question_id,question_type,orig_target,hypernym,neg1,neg2,neg3,neg4
13614795,existThatNotC,television,television,woman,banana,helmet,boot
13614795,existThatNotC,television,electronic device,computer,photographic equipment,tower,phone
13614795,existThatNotC,television,device,elephant,giraffe,clothing,dress
13614796,existThatNotC,television,television,truck,drawer,lid,candle
13614796,existThatNotC,television,electronic device,phone,train,photographic equipment,keyboard
13614796,existThatNotC,television,device,table linen,stalk,source of illumination,horse
16732925,existThatNotC,woman,woman,child,dog,bull,bridge
16732925,existThatNotC,woman,adult,footwear,cattle,girl,skier
16732925,existThatNotC,woman,person,footwear,people,surfer,sheep
8955389,existThatNotC,bird,bird,pilot,boy,couple,cow
8955389,existThatNotC,bird,vertebrate,cat,cow,person,girl
8955389,existThatNotC,bird,animal,cutlery,zebra,baby,couple
91008717,existThatNotC,knife,knife,doll,surfer,bear,bull
91008717,existThatNotC,knife,hand tool,child,surfer,club,bird
91008717,existThatNotC,knife,tool,vertebrate,bull,adult,boy
8918484,existThatNotC,train,train,purse,bat,orange,bear
8918484,existThatNotC,train,vehicle,sheet metal,seat,monitor,vase
10262344,existThatNotC,cow,cow,man,kitten,bat,zebra
10262344,existThatNotC,cow,cattle,girl,aquatic bird,sheep,antelope
10262344,existThatNotC,cow,mammal,feline,boy,elephant,baby
10262344,existThatNotC,cow,vertebrate,guy,girl,sheep,giraffe
10262344,existThatNotC,cow,animal,goat,canine,bull,feline
4429695,existThatNotC,cat,cat,antelope,bat,doll,girl
4429695,existThatNotC,cat,feline,antelope,bird,toy,bear
4429695,existThatNotC,cat,mammal,surfer,aquatic bird,adult,lady
4429695,existThatNotC,cat,vertebrate,stick,man,toy,bat
4429695,existThatNotC,cat,animal,athlete,elephant,goat,lady
2591034,existThatNotC,cat,cat,tent,dish,sculpture,television
2591034,existThatNotC,cat,feline,girl,wheeled vehicle,pad,source of illumination
2591034,existThatNotC,cat,mammal,pot,salad green,bench,people
2591034,existThatNotC,cat,vertebrate,bedroom furniture,stick,soap,cucumber
2591034,existThatNotC,cat,animal,furniture,source of illumination,passenger,airplane
2591035,existThatNotC,cat,cat,lamp,flower,laptop,pan
2591035,existThatNotC,cat,feline,snowboarder,kitchen appliance,parrot,airplane
2591035,existThatNotC,cat,mammal,food,hand tool,sink,ball
2591035,existThatNotC,cat,vertebrate,snowboard,cyclist,tent,toiletry
2591035,existThatNotC,cat,animal,van,driver,surfboard,orange
15239222,existThatNotC,cat,cat,dish,banana,luggage,van
15239222,existThatNotC,cat,feline,tool,athlete,motor vehicle,food
15239222,existThatNotC,cat,mammal,pot,produce,giraffe,towel
15239222,existThatNotC,cat,vertebrate,vegetable,equipment,jar,dog
