lemma,singular,plural,article,taxonomic_phrase,novel_property_is,novel_property_have,generic,remove
necklace,necklace,necklaces,a necklace,are a type of,necklaces are daxable.,necklaces have daxes.,p,NA
wagon,wagon,wagons,a wagon,are a type of,wagons are daxable.,wagons have daxes.,p,NA
roadway,NA,NA,NA,NA,NA,NA,NA,NA
bag,bag,bags,a bag,are a type of,bags are daxable.,bags have daxes.,p,NA
equine,NA,NA,NA,NA,NA,NA,NA,NA
fork,fork,forks,a fork,are a type of,forks are daxable.,forks have daxes.,p,NA
car,car,cars,a car,are a type of,cars are daxable.,cars have daxes.,p,NA
board,NA,NA,NA,NA,NA,NA,NA,NA
plumbing fixture,NA,NA,NA,NA,NA,NA,NA,NA
fixture,NA,NA,NA,NA,NA,NA,NA,NA
garnish,NA,NA,NA,NA,NA,NA,NA,NA
sailboat,sailboat,sailboats,a sailboat,are a type of,sailboats are daxable.,sailboats have daxes.,p,NA
coffee,coffee,coffees,coffee,is a type of,coffee is daxable.,coffee has daxes.,s,NA
batter,batter,batters,a batter,are a type of,batters are daxable.,batters have daxes.,p,NA
bear,bear,bears,a bear,are a type of,bears are daxable.,bears have daxes.,p,NA
cucumber,cucumber,cucumbers,a cucumber,are a type of,cucumbers are daxable.,cucumbers have daxes.,p,NA
topping,NA,NA,NA,NA,NA,NA,NA,NA
strip,NA,NA,NA,NA,NA,NA,NA,NA
piece of cloth,NA,NA,NA,NA,NA,NA,NA,NA
photographic equipment,NA,NA,NA,NA,NA,NA,NA,NA
sail,NA,NA,NA,NA,NA,NA,NA,NA
surfboard,NA,NA,NA,NA,NA,NA,NA,NA
blanket,NA,NA,NA,NA,NA,NA,NA,NA
poster,poster,posters,a poster,are a type of,posters are daxable.,posters have daxes.,p,NA
baseball,NA,NA,NA,NA,NA,NA,NA,NA
thermometer,thermometer,thermometers,a thermometer,are a type of,thermometers are daxable.,thermometers have daxes.,p,NA
woman,NA,NA,NA,NA,NA,NA,NA,NA
pad,NA,NA,NA,NA,NA,NA,NA,NA
road,NA,NA,NA,NA,NA,NA,NA,NA
