noun,sense,replacement,marked,notes
window,window.n.01,,,
tree,tree.n.01,,,
man,man.n.01,,,
shirt,shirt.n.01,,,
wall,wall.n.01,,,
building,building.n.01,,,
person,person.n.01,,1,
ground,land.n.04,,1,no good hypernym available
sky,sky.n.01,,1,ngha
leg,leg.n.01,,3,bp; also v ambiguous
leaf,leaf.n.01,,,
sign,sign.n.01,sign.n.04,,
hand,hand.n.01,,3,body part (bp)
head,head.n.01,,3,bp
pole,pole.n.01,,,
grass,grass.n.01,,1,ngha
hair,hair.n.01,,3,bp
car,car.n.01,,,
ear,ear.n.01,,3,bp
eye,eye.n.01,,3,bp
woman,woman.n.01,,,
cloud,cloud.n.01,,,
table,table.n.01,table.n.02,,
shoe,shoe.n.01,,,
wheel,wheel.n.01,,,
door,door.n.01,,,
pant,pant.n.01,,,
letter,letter.n.01,,2,can be multiple things
people,people.n.01,,1,ngha
flower,flower.n.01,,,
water,water.n.01,,,
chair,chair.n.01,,,
glass,glass.n.01,,,
fence,fence.n.01,,,
arm,arm.n.01,,3,bp
number,number.n.01,,1,
nose,nose.n.01,,3,bp
floor,floor.n.01,,,
rock,rock.n.01,,,
jacket,jacket.n.01,,,
hat,hat.n.01,,,
tail,tail.n.01,,,
plate,home_plate.n.01,plate.n.04,2,could also depend on context
foot,foot.n.01,,3,bp
face,face.n.01,,3,bp
bush,shrub.n.01,,,
short,short.n.01,,1,
road,road.n.01,,,
bag,bag.n.01,,,
sidewalk,sidewalk.n.01,,,
helmet,helmet.n.01,,,
tire,tire.n.01,,,
snow,snow.n.01,snow.n.02,1,ngha
boy,male_child.n.01,,,
logo,logo.n.01,,1,
roof,roof.n.01,,,
umbrella,umbrella.n.01,,,
bottle,bottle.n.01,,,
boat,boat.n.01,,,
plant,plant.n.01,plant.n.02,,
street,street.n.01,,1,
branch,branch.n.01,branch.n.02,,assuming branch of a tree
post,post.n.01,post.n.04,2,ambiguous: can also be post.n.08 or post.n.09
jean,jean.n.01,,,
mouth,mouth.n.01,,3,bp
cap,cap.n.01,,,
bird,bird.n.01,,,
banana,banana.n.01,banana.n.02,,
girl,girl.n.01,,,
box,box.n.01,,,
mirror,mirror.n.01,,,
bench,bench.n.01,,,
field,field.n.01,,,
picture,picture.n.01,picture.n.05,,
pillow,pillow.n.01,,,
book,book.n.01,,,
glove,baseball_glove.n.01,,,
shelf,shelf.n.01,,,
dirt,soil.n.02,,1,ngha
clock,clock.n.01,,,
bowl,bowl.n.01,,,
neck,neck.n.01,,3,bp
trunk,trunk.n.01,,,
horse,horse.n.01,,,
wing,wing.n.01,,,
bus,bus.n.01,,,
food,food.n.01,,,
train,train.n.01,,,
paper,paper.n.01,,,
kite,kite.n.01,,,
sock,sock.n.01,,,
airplane,airplane.n.01,,,
elephant,elephant.n.01,,,
house,house.n.01,,,
lamp,lamp.n.01,,,
coat,coat.n.01,,,
cabinet,cabinet.n.01,,,
cup,cup.n.01,,,
cow,cow.n.01,,,
dog,dog.n.01,,,
finger,finger.n.01,,,
wire,wire.n.01,,,
giraffe,giraffe.n.01,,,
word,word.n.01,,1,ngha
flag,flag.n.01,,,
mountain,mountain.n.01,,,
seat,seat.n.01,,,
counter,counter.n.01,,,
sheep,sheep.n.01,,,
street_light,NF,streetlight.n.01,,
ski,ski.n.01,,,
zebra,zebra.n.01,,,
hill,hill.n.01,,,
truck,truck.n.01,,,
bike,motorcycle.n.01,,,
child,child.n.01,,,
ball,ball.n.01,,,
racket,racket.n.01,,,
skateboard,skateboard.n.01,,,
ceiling,ceiling.n.01,,,
player,player.n.01,,,
motorcycle,motorcycle.n.01,,,
surfboard,surfboard.n.01,,,
towel,towel.n.01,,,
container,container.n.01,,,
sand,sand.n.01,,,
paw,paw.n.01,,,
frame,frame.n.01,,,
curtain,curtain.n.01,,,
windshield,windshield.n.01,,,
horn,horn.n.01,,,
cat,cat.n.01,,,
boot,boot.n.01,,,
bed,bed.n.01,,,
animal,animal.n.01,,1,too hypernymy already
sink,sink.n.01,,,
donut,doughnut.n.02,,,
tie,necktie.n.01,,,
traffic_light,traffic_light.n.01,,,
pizza,pizza.n.01,,,
