noun,sense
window,window.n.01
tree,tree.n.01
man,man.n.01
shirt,shirt.n.01
wall,wall.n.01
building,building.n.01
person,person.n.01
ground,land.n.04
sky,sky.n.01
leg,leg.n.01
leaf,leaf.n.01
sign,sign.n.01
hand,hand.n.01
head,head.n.01
pole,pole.n.01
grass,grass.n.01
hair,hair.n.01
car,car.n.01
ear,ear.n.01
eye,eye.n.01
woman,woman.n.01
cloud,cloud.n.01
table,table.n.01
shoe,shoe.n.01
wheel,wheel.n.01
door,door.n.01
pant,pant.n.01
letter,letter.n.01
people,people.n.01
flower,flower.n.01
water,water.n.01
chair,chair.n.01
glass,glass.n.01
fence,fence.n.01
arm,arm.n.01
number,number.n.01
nose,nose.n.01
floor,floor.n.01
rock,rock.n.01
jacket,jacket.n.01
hat,hat.n.01
tail,tail.n.01
plate,home_plate.n.01
foot,foot.n.01
face,face.n.01
bush,shrub.n.01
short,short.n.01
road,road.n.01
bag,bag.n.01
sidewalk,sidewalk.n.01
helmet,helmet.n.01
tire,tire.n.01
snow,snow.n.01
boy,male_child.n.01
logo,logo.n.01
roof,roof.n.01
umbrella,umbrella.n.01
bottle,bottle.n.01
boat,boat.n.01
plant,plant.n.01
street,street.n.01
branch,branch.n.01
post,post.n.01
jean,jean.n.01
mouth,mouth.n.01
cap,cap.n.01
bird,bird.n.01
banana,banana.n.01
girl,girl.n.01
box,box.n.01
mirror,mirror.n.01
bench,bench.n.01
field,field.n.01
picture,picture.n.01
pillow,pillow.n.01
book,book.n.01
glove,baseball_glove.n.01
shelf,shelf.n.01
dirt,soil.n.02
clock,clock.n.01
bowl,bowl.n.01
neck,neck.n.01
trunk,trunk.n.01
horse,horse.n.01
wing,wing.n.01
bus,bus.n.01
food,food.n.01
train,train.n.01
paper,paper.n.01
kite,kite.n.01
sock,sock.n.01
airplane,airplane.n.01
elephant,elephant.n.01
house,house.n.01
lamp,lamp.n.01
coat,coat.n.01
cabinet,cabinet.n.01
cup,cup.n.01
cow,cow.n.01
dog,dog.n.01
finger,finger.n.01
wire,wire.n.01
giraffe,giraffe.n.01
word,word.n.01
flag,flag.n.01
mountain,mountain.n.01
seat,seat.n.01
counter,counter.n.01
sheep,sheep.n.01
street_light,NF
ski,ski.n.01
zebra,zebra.n.01
hill,hill.n.01
truck,truck.n.01
bike,motorcycle.n.01
child,child.n.01
ball,ball.n.01
racket,racket.n.01
skateboard,skateboard.n.01
ceiling,ceiling.n.01
player,player.n.01
motorcycle,motorcycle.n.01
surfboard,surfboard.n.01
towel,towel.n.01
container,container.n.01
sand,sand.n.01
paw,paw.n.01
frame,frame.n.01
curtain,curtain.n.01
windshield,windshield.n.01
horn,horn.n.01
cat,cat.n.01
boot,boot.n.01
bed,bed.n.01
animal,animal.n.01
sink,sink.n.01
donut,doughnut.n.02
tie,necktie.n.01
traffic_light,traffic_light.n.01
pizza,pizza.n.01
stone,rock.n.01
sticker,spine.n.03
orange,orange.n.01
backpack,backpack.n.01
apple,apple.n.01
basket,basket.n.01
collar,collar.n.01
drawer,drawer.n.01
lid,eyelid.n.01
vase,vase.n.01
cord,cord.n.01
pot,pot.n.01
phone,telephone.n.01
fork,fork.n.01
uniform,uniform.n.01
vehicle,vehicle.n.01
laptop,laptop.n.01
fruit,fruit.n.01
lady,lady.n.01
tomato,tomato.n.01
bear,bear.n.01
mane,mane.n.01
license_plate,license_plate.n.01
cheese,cheese.n.01
tag,tag.n.01
fur,fur.n.01
carrot,carrot.n.01
beach,beach.n.01
tower,tower.n.01
vegetable,vegetable.n.01
wrist,wrist.n.01
desk,desk.n.01
cone,cone.n.01
knife,knife.n.01
napkin,napkin.n.01
toilet,toilet.n.01
dress,dress.n.01
blanket,blanket.n.01
faucet,faucet.n.01
screen,screen.n.01
keyboard,keyboard.n.01
cell_phone,cell_phone.v.01
watch,watch.n.01
arrow,arrow.n.01
bicycle,bicycle.n.01
sneaker,gym_shoe.n.01
broccoli,broccoli.n.01
guy,guy.n.01
ocean,ocean.n.01
t-shirt,jersey.n.03
pipe,pipe.n.01
spot,topographic_point.n.01
cake,cake.n.01
bread,bread.n.01
