concept1,concept2,yes,no
bat,bear,-2.4382858276367188,-5.438285827636719
bat,cat,-2.4760990142822266,-5.101099014282227
bat,cheetah,-2.5422534942626953,-5.417253494262695
bat,leopard,-2.5984878540039062,-5.348487854003906
bat,lion,-2.502431869506836,-5.127431869506836
bat,panther,-2.550844192504883,-5.425844192504883
bat,tiger,-2.5177764892578125,-5.3927764892578125
bat,dog,-2.558443069458008,-5.308443069458008
bat,fox,-2.46142578125,-5.21142578125
bat,hyena,-2.5728321075439453,-5.447832107543945
bat,wolf,-2.420726776123047,-5.420726776123047
bat,raccoon,-2.3082733154296875,-5.4332733154296875
bat,skunk,-2.408048629760742,-5.283048629760742
bat,otter,-2.625946044921875,-5.813446044921875
bat,beaver,-2.7552871704101562,-5.817787170410156
bat,chipmunk,-2.539155960083008,-5.414155960083008
bat,squirrel,-2.4533519744873047,-5.453351974487305
bat,gerbil,-2.5780162811279297,-5.45301628112793
bat,guinea_pig,-2.5462684631347656,-5.546268463134766
bat,hamster,-2.5055599212646484,-5.255559921264648
bat,mouse,-2.362852096557617,-5.362852096557617
bat,porcupine,-2.6883792877197266,-5.750879287719727
bat,rat,-2.4990005493164062,-5.249000549316406
bat,buffalo,-2.716777801513672,-5.466777801513672
bat,cow,-2.527463912963867,-5.152463912963867
bat,ox,-2.475614547729492,-5.725614547729492
bat,goat,-2.579133987426758,-5.204133987426758
bat,sheep,-2.5571956634521484,-5.744695663452148
bat,deer,-2.503725051879883,-5.503725051879883
bat,moose,-2.446409225463867,-5.571409225463867
bat,giraffe,-2.647480010986328,-5.397480010986328
bat,camel,-2.5602855682373047,-5.560285568237305
bat,hippo,-2.546833038330078,-5.609333038330078
bat,llama,-2.5174636840820312,-5.392463684082031
bat,pig,-2.630817413330078,-5.255817413330078
bat,donkey,-2.6365318298339844,-5.261531829833984
bat,horse,-2.4369163513183594,-5.311916351318359
bat,pony,-2.6019973754882812,-5.351997375488281
bat,zebra,-2.6029701232910156,-5.477970123291016
bat,rhino,-2.7963600158691406,-5.671360015869141
bat,gorilla,-2.6420974731445312,-5.517097473144531
bat,monkey,-2.6469039916992188,-5.396903991699219
bat,hedgehog,-2.570768356323242,-5.195768356323242
bat,rabbit,-2.5717430114746094,-5.321743011474609
bat,seal,-2.628805160522461,-6.128805160522461
bat,walrus,-2.7176990509033203,-5.59269905090332
bat,dolphin,-2.598278045654297,-5.223278045654297
bat,whale,-2.7295150756835938,-5.479515075683594
bat,elephant,-2.5938587188720703,-5.34385871887207
bat,kangaroo,-2.4943885803222656,-5.619388580322266
bat,platypus,-2.648090362548828,-5.835590362548828
bat,crocodile,-2.5191822052001953,-5.394182205200195
bat,alligator,-2.6781044006347656,-5.553104400634766
bat,lizard,-2.3860301971435547,-5.261030197143555
bat,iguana,-2.6020584106445312,-5.727058410644531
bat,rattlesnake,-2.481599807739258,-5.231599807739258
bat,tortoise,-2.6501522064208984,-5.525152206420898
bat,turtle,-2.5388545989990234,-5.288854598999023
bat,frog,-2.6135387420654297,-5.11353874206543
bat,toad,-2.530691146850586,-5.405691146850586
bat,budgie,-2.678220748901367,-5.303220748901367
bat,parakeet,-2.4807586669921875,-5.6057586669921875
bat,buzzard,-2.518369674682617,-5.268369674682617
bat,falcon,-2.3978233337402344,-5.397823333740234
bat,hawk,-2.3550071716308594,-5.230007171630859
bat,eagle,-2.6257858276367188,-5.500785827636719
bat,owl,-2.5098228454589844,-5.259822845458984
bat,canary,-2.4711055755615234,-5.596105575561523
bat,magpie,-2.554964065551758,-5.429964065551758
bat,raven,-2.2779769897460938,-5.277976989746094
bat,nightingale,-2.496683120727539,-4.621683120727539
bat,robin,-2.6241588592529297,-5.68665885925293
bat,starling,-2.4104480743408203,-5.59794807434082
bat,sparrow,-2.4683589935302734,-5.343358993530273
bat,wren,-2.6457138061523438,-5.645713806152344
bat,chicken,-2.590076446533203,-5.340076446533203
bat,cockerel,-2.5271453857421875,-4.4021453857421875
bat,turkey,-2.5416107177734375,-5.5416107177734375
bat,dove,-2.539295196533203,-5.164295196533203
bat,pigeon,-2.318601608276367,-5.318601608276367
bat,partridge,-2.453512191772461,-5.328512191772461
bat,peacock,-2.4389076232910156,-5.188907623291016
bat,crane,-2.4856739044189453,-5.360673904418945
bat,flamingo,-2.6577606201171875,-5.2827606201171875
bat,heron,-2.4342498779296875,-5.3092498779296875
bat,duck,-2.515012741088867,-5.140012741088867
bat,goose,-2.5398387908935547,-5.414838790893555
bat,pelican,-2.5279197692871094,-5.402919769287109
bat,penguin,-2.6307315826416016,-5.630731582641602
bat,seagull,-2.4731388092041016,-5.473138809204102
bat,swan,-2.523895263671875,-5.398895263671875
bat,hummingbird,-2.5492076873779297,-5.42420768737793
bat,kingfisher,-2.84423828125,-5.71923828125
bat,woodpecker,-2.443326950073242,-5.318326950073242
bat,emu,-2.615264892578125,-5.615264892578125
bat,ostrich,-2.619840621948242,-5.682340621948242
bat,carp,-2.516590118408203,-5.641590118408203
bat,goldfish,-2.4479408264160156,-5.322940826416016
bat,minnow,-2.4717578887939453,-5.721757888793945
bat,cod,-2.490091323852539,-5.740091323852539
bat,herring,-2.5548553466796875,-5.1798553466796875
bat,sardine,-2.5530319213867188,-5.178031921386719
bat,salmon,-2.398202896118164,-5.398202896118164
bat,trout,-2.587085723876953,-5.587085723876953
bat,eel,-2.573965072631836,-5.448965072631836
bat,flounder,-2.5618858337402344,-5.436885833740234
bat,mackerel,-2.3467140197753906,-5.596714019775391
bat,tuna,-2.457967758178711,-5.582967758178711
bat,seahorse,-2.593721389770508,-5.343721389770508
bat,shark,-2.4712581634521484,-5.346258163452148
bat,bee,-2.383869171142578,-5.383869171142578
bat,hornet,-2.5217647552490234,-5.396764755249023
bat,wasp,-2.5260353088378906,-5.276035308837891
bat,ant,-2.5489273071289062,-5.298927307128906
bat,beetle,-2.5311508178710938,-5.593650817871094
bat,ladybird,-2.8372879028320312,-4.587287902832031
bat,butterfly,-2.352029800415039,-5.227029800415039
bat,moth,-2.4324417114257812,-5.182441711425781
bat,cockroach,-2.3793087005615234,-5.254308700561523
bat,cricket,-2.4082279205322266,-5.158227920532227
bat,grasshopper,-2.3994197845458984,-5.524419784545898
bat,locust,-2.491758346557617,-5.366758346557617
bat,dragonfly,-2.5039749145507812,-5.503974914550781
bat,flea,-2.4744091033935547,-5.349409103393555
bat,housefly,-2.2530670166015625,-5.5030670166015625
bat,mosquito,-2.358287811279297,-5.233287811279297
bat,stick_insect,-2.5987186431884766,-5.536218643188477
bat,termite,-2.4810028076171875,-5.3560028076171875
bat,centipede,-2.3668251037597656,-5.491825103759766
bat,millipede,-2.5023193359375,-5.8148193359375
bat,scorpion,-2.383838653564453,-5.258838653564453
bat,spider,-2.5120296478271484,-5.262029647827148
bat,tarantula,-2.479490280151367,-5.666990280151367
bat,crab,-2.5325260162353516,-5.282526016235352
bat,crayfish,-2.613673210144043,-6.113673210144043
bat,lobster,-2.5743274688720703,-5.57432746887207
bat,prawn,-2.6112232208251953,-4.986223220825195
bat,shrimp,-2.5131473541259766,-4.888147354125977
bat,slug,-2.5630931854248047,-5.625593185424805
bat,snail,-2.7144813537597656,-5.714481353759766
bat,clam,-2.608814239501953,-5.796314239501953
bat,mussel,-2.4078121185302734,-5.532812118530273
bat,scallop,-2.5106678009033203,-5.69816780090332
bat,oyster,-2.547008514404297,-5.734508514404297
bat,squid,-2.6742324829101562,-5.674232482910156
bat,octopus,-2.662273406982422,-5.787273406982422
bat,worm,-2.719959259033203,-5.594959259033203
bat,jellyfish,-2.496826171875,-5.496826171875
bear,bat,-2.387065887451172,-5.262065887451172
bear,cat,-2.5436038970947266,-5.168603897094727
bear,cheetah,-2.595479965209961,-5.345479965209961
bear,leopard,-2.4466476440429688,-5.196647644042969
bear,lion,-2.594358444213867,-5.094358444213867
bear,panther,-2.520456314086914,-5.145456314086914
bear,tiger,-2.433176040649414,-5.183176040649414
bear,dog,-2.484598159790039,-5.234598159790039
bear,fox,-2.368501663208008,-5.118501663208008
bear,hyena,-2.5689735412597656,-5.193973541259766
bear,wolf,-2.3658447265625,-4.9908447265625
bear,raccoon,-2.293550491333008,-5.293550491333008
bear,skunk,-2.425302505493164,-5.050302505493164
bear,otter,-2.4552459716796875,-5.2052459716796875
bear,beaver,-2.617586135864258,-5.367586135864258
bear,chipmunk,-2.3914794921875,-5.2664794921875
bear,squirrel,-2.4470462799072266,-5.197046279907227
