item,idx,hypernym_pred,negative_pred,swapped_pred,hypernym_yes,negative_yes,swapped_yes
1,1,Yes,No,No,0.9932648539543152,1.2806001592480243e-08,1.588886675563117e-07
2,2,Yes,No,No,0.9999939203262329,4.273064035942298e-08,8.464048164569249e-07
3,3,Yes,No,No,0.9999995231628418,3.5294171141231345e-08,4.1859740917971067e-07
4,4,Yes,No,No,0.9999992847442627,2.01755163686812e-08,6.778743681934429e-07
5,5,Yes,No,No,0.9999997615814209,7.482456254592762e-08,9.131656497629592e-07
6,6,Yes,No,No,0.9999995231628418,4.228392072036513e-07,1.1480591410872876e-06
7,7,Yes,No,No,0.9999933242797852,1.7609828262266092e-08,2.072806211117495e-07
8,8,Yes,No,No,0.9999992847442627,8.798433981382914e-09,3.476430379123485e-07
9,9,Yes,No,No,0.9999997615814209,2.6174134859502374e-08,9.65439267019974e-06
10,10,Yes,No,No,0.9999998807907104,2.6174134859502374e-08,1.862204408098478e-05
11,11,Yes,No,No,0.9999986886978149,8.694568620626342e-09,2.6024034127658524e-07
12,12,Yes,No,No,0.9999990463256836,7.805084578649257e-09,9.425221833225805e-06
13,13,Yes,No,No,0.9999998807907104,1.0014464812968527e-08,6.489663064712659e-07
14,14,Yes,No,No,0.9999997615814209,4.2064623784199284e-08,1.7193040093843592e-06
15,15,Yes,No,No,0.9999997615814209,6.996166757033961e-09,1.3928046200817334e-06
16,16,Yes,No,No,0.9999998807907104,1.0082237267283745e-08,4.130985416850308e-06
17,17,Yes,No,No,0.9999995231628418,9.555897406698932e-09,2.3418424461851828e-06
18,18,Yes,No,No,0.999998927116394,1.0590073884486628e-07,4.863325102633098e-06
19,19,No,No,No,0.00012973533011972904,1.7614759428852267e-08,2.7146500158892195e-08
20,20,Yes,No,No,0.9999991655349731,3.217439470404315e-08,1.5819795180505025e-06
21,21,Yes,No,No,0.9999995231628418,2.4851853908103294e-08,4.988338559996919e-07
22,22,Yes,No,No,1.0,9.812683110510534e-09,2.6048479639939615e-07
23,23,Yes,No,No,0.9989287257194519,4.229616834550143e-08,1.270284855081627e-07
24,24,Yes,No,No,0.9999997615814209,3.781265434099623e-08,1.3903315903007751e-06
25,25,Yes,No,No,1.0,1.0929624316702302e-08,2.799786500418122e-07
26,26,Yes,No,No,1.0,1.7686918596382384e-08,4.835911227019096e-07
27,27,Yes,No,No,0.9999998807907104,1.0929624316702302e-08,3.44690846532103e-07
28,28,Yes,No,No,0.9999998807907104,1.0929624316702302e-08,9.796016456675716e-06
29,29,Yes,No,No,0.9998822808265686,1.4550889382292098e-08,1.6119487554533407e-05
30,30,Yes,No,No,0.9999995231628418,3.9754297631589e-09,2.9914651804574532e-06
31,31,Yes,No,No,0.9999998807907104,2.9471509677136964e-08,3.597122122300789e-05
32,32,Yes,No,No,0.9999959468841553,9.500775277615503e-09,4.99832310651982e-07
33,33,Yes,No,No,0.9999998807907104,9.92154014056723e-07,3.8373315192075097e-07
34,34,Yes,No,No,0.9999998807907104,2.324882046877974e-07,5.405906335909094e-07
35,35,Yes,No,No,0.9999998807907104,2.938944643204877e-09,9.924428923113737e-07
36,36,Yes,No,Yes,0.9999998807907104,9.917638266188078e-09,0.9985935688018799
37,37,No,No,No,0.04336842522025108,0.0009233207092620432,2.65627392082024e-07
38,38,Yes,No,No,0.794755220413208,3.012146976288932e-09,1.340887507694788e-07
39,39,Yes,No,No,0.9999997615814209,7.225858666970453e-08,1.7998276291564252e-07
40,40,Yes,No,No,0.9999982118606567,1.4516217561322264e-07,8.512022304785205e-07
41,41,Yes,No,No,0.9999997615814209,5.0347949809292913e-08,4.54107612313237e-06
42,42,No,No,No,0.021561237052083015,8.292486199934501e-06,4.6490043814628734e-08
43,43,No,No,No,0.0003505134955048561,7.831933324098372e-09,0.0014200112782418728
44,44,Yes,No,No,0.9999992847442627,2.287200295825187e-08,6.586243017636662e-08
45,45,Yes,No,No,0.9999998807907104,1.3657383668430612e-08,6.569493962160777e-06
46,46,Yes,No,No,0.9999997615814209,8.22792074473e-08,1.0161450063606026e-06
47,47,Yes,No,No,0.9998472929000854,3.653753521959402e-09,8.969487907961593e-08
48,48,Yes,No,No,0.9999995231628418,3.184703700753744e-08,2.255431752473669e-07
49,49,Yes,No,No,0.9999995231628418,4.064014902382951e-08,1.0044460907465691e-07
50,50,Yes,No,No,0.9999955296516418,8.94730867173621e-09,2.978053146307502e-07
51,51,Yes,No,No,0.999998927116394,1.0623136148524281e-08,2.8587639917532215e-06
52,52,Yes,No,No,0.9999991655349731,2.056374341918854e-07,3.8700008531122876e-07
53,53,Yes,No,No,0.9999997615814209,2.5242311352258184e-08,9.140014185504697e-07
54,54,Yes,No,No,0.9999542832374573,0.0001622757554287091,2.865979524813156e-07
55,55,Yes,No,No,0.9999996423721313,0.0012181702768430114,2.0913696516799973e-06
56,56,No,No,No,0.22086597979068756,1.4539637049892917e-08,4.7211918285938737e-07
57,57,Yes,No,No,0.9999996423721313,1.0049911125520339e-08,6.936412773939082e-06
58,58,Yes,Yes,No,0.9999994039535522,0.9999979734420776,1.2432778930815402e-05
59,59,Yes,No,No,0.9999997615814209,2.1790446780300954e-08,9.676608669906273e-08
60,60,Yes,No,No,0.9999996423721313,1.5370458683605648e-08,3.371934508322738e-05
61,61,Yes,No,No,0.9999998807907104,3.5550506254367065e-06,1.0464259503351059e-05
62,62,Yes,No,No,0.9999997615814209,9.303841252972234e-09,5.227256565376592e-07
63,63,Yes,No,No,0.9999996423721313,7.145606772951396e-09,2.342208745176322e-06
