item,idx,hypernym_pred,negative_pred,swapped_pred,hypernym_yes,negative_yes,swapped_yes
1,1,Yes,No,No,0.9687895178794861,0.00034058172605000436,0.00144634407479316
2,2,Yes,No,No,0.9989698529243469,0.00048507569590583444,0.0005624452023766935
3,3,Yes,No,No,0.9956158399581909,0.0006604683585464954,0.007807158399373293
4,4,Yes,No,No,0.9998759627342224,0.00028183162794448435,0.004363635554909706
5,5,Yes,No,No,0.9998236894607544,0.0022699765395373106,0.002957682590931654
6,6,Yes,No,No,0.9996271133422852,0.07811673730611801,0.000720345473382622
7,7,Yes,No,No,0.9997729659080505,7.966996054165065e-05,0.15721772611141205
8,8,Yes,No,No,0.9998494386672974,0.00021572248078882694,0.013715001754462719
9,9,Yes,No,No,0.9998593330383301,0.00044275488471612334,0.007072605658322573
10,10,Yes,No,No,0.9958147406578064,0.00044275488471612334,0.06463028490543365
11,11,Yes,No,No,0.9198259711265564,0.00028458418091759086,0.018944691866636276
12,12,Yes,No,No,0.9999098181724548,0.000390598172089085,0.0066892909817397594
13,13,Yes,No,No,0.9996986389160156,0.0011874112533405423,0.019938306882977486
14,14,Yes,No,No,0.999901533126831,0.0023875052575021982,0.022076470777392387
15,15,Yes,No,No,0.9999197721481323,0.0005741053028032184,0.0221716295927763
16,16,Yes,No,No,0.9998285174369812,0.00025829178048297763,0.0018276701448485255
17,17,Yes,No,No,0.9998733401298523,0.0005498532555066049,0.0059968954883515835
18,18,Yes,No,No,0.9995847940444946,0.0004450498381629586,0.0019235467771068215
19,19,No,No,No,0.021883612498641014,8.129287016345188e-05,0.0002409410080872476
20,20,Yes,No,No,0.9996479153633118,0.00012554538261611015,0.0051184240728616714
21,21,Yes,No,No,0.9972817301750183,0.0006111065740697086,0.004963308107107878
22,22,Yes,No,No,0.9996592402458191,0.00010323939932277426,0.004905467852950096
23,23,Yes,No,No,0.99952632188797,0.00017690114327706397,0.0014851746382191777
24,24,Yes,No,No,0.9998878240585327,0.00018080903100781143,0.006617235019803047
25,25,Yes,No,No,0.9990658760070801,0.000740206683985889,0.02230721339583397
26,26,Yes,No,No,0.9984200596809387,0.0005363996606320143,0.00096433877479285
27,27,Yes,No,No,0.8136206269264221,0.000740206683985889,0.0004282993613742292
28,28,Yes,No,No,0.9997430443763733,0.000740206683985889,0.060231078416109085
29,29,Yes,No,No,0.9994268417358398,0.0035544722341001034,0.009190653450787067
30,30,Yes,No,No,0.999751091003418,0.000490712933242321,0.0007275202078744769
31,31,Yes,No,Yes,0.9993574023246765,0.00022736945538781583,0.656745195388794
32,32,Yes,No,No,0.9997154474258423,0.00019280266133137047,0.0008597496780566871
33,33,Yes,No,No,0.9991611838340759,0.009302468970417976,0.0002800484071485698
34,34,Yes,Yes,No,0.9996563196182251,0.7567666172981262,0.0007798533188179135
35,35,Yes,No,No,0.9998383522033691,8.47211922518909e-05,0.00855844933539629
36,36,Yes,No,Yes,0.9998452067375183,0.00016239778778981417,0.9960680603981018
37,37,Yes,No,No,0.9617419838905334,0.46762651205062866,0.00018691639706958085
38,38,Yes,No,No,0.7766640186309814,0.0001810164249036461,0.00019725473248399794
39,39,Yes,No,No,0.9983510375022888,0.0014199148863554,0.0004256342654116452
40,40,Yes,No,No,0.999871015548706,0.010028421878814697,0.0007650830084457994
41,41,Yes,No,No,0.9998219013214111,0.003824578132480383,0.03563268855214119
42,42,No,Yes,No,0.1147383525967598,0.7169247269630432,0.00042854296043515205
43,43,Yes,No,Yes,0.9906315803527832,0.00016258095274679363,0.8781034350395203
44,44,Yes,No,No,0.9986018538475037,0.0003053387044928968,0.0009689887519925833
45,45,Yes,No,No,0.9998937249183655,0.00023044869885779917,0.06111608073115349
46,46,Yes,No,No,0.9998005032539368,0.000579430372454226,0.04983660578727722
47,47,Yes,No,No,0.9999232292175293,0.0003235983313061297,0.0005359573406167328
48,48,Yes,No,No,0.9997701644897461,0.0004452331049833447,0.0033101276494562626
49,49,Yes,No,No,0.9996289014816284,0.0005112882936373353,0.003801492275670171
50,50,Yes,No,No,0.9994432330131531,0.0006846666219644248,0.001733806449919939
51,51,Yes,No,No,0.9999105334281921,0.00021082552848383784,0.009339341893792152
52,52,No,Yes,No,0.1546030342578888,0.5646592974662781,0.0012129582464694977
53,53,Yes,No,No,0.9996525049209595,0.0001674293162068352,0.0005979409324936569
54,54,Yes,No,No,0.9986947178840637,0.16925784945487976,0.026551585644483566
55,55,Yes,No,No,0.9990187287330627,0.0614948533475399,0.20710259675979614
56,56,Yes,No,No,0.8455061912536621,0.0025058998726308346,0.002867428818717599
57,57,Yes,No,No,0.9994133114814758,0.00048231941764242947,0.0033605184871703386
58,58,Yes,No,No,0.9984644055366516,0.20918512344360352,0.0026510953903198242
59,59,Yes,No,No,0.9997345209121704,0.00014681978791486472,0.004599565174430609
60,60,Yes,No,No,0.9998730421066284,0.0004137667128816247,0.012305578216910362
61,61,Yes,No,No,0.9996214509010315,0.015171256847679615,0.022121980786323547
62,62,Yes,No,No,0.9998887777328491,0.0003667665587272495,0.003986309748142958
63,63,Yes,No,No,0.9998830556869507,0.019916927441954613,0.009416704997420311
64,64,Yes,No,No,0.999905526638031,9.722985851112753e-05,0.009047332219779491
65,65,Yes,No,No,0.9998258948326111,0.016863787546753883,0.001212615636177361
66,66,Yes,No,No,0.999902606010437,0.0014517154777422547,0.0005848160362802446
67,67,Yes,No,No,0.9998830556869507,0.0003752150805667043,0.000918786448892206
68,68,Yes,No,No,0.9998903870582581,0.059793513268232346,0.02484617941081524
69,69,Yes,No,No,0.9996979832649231,0.005090069957077503,0.001262491918168962
70,70,Yes,No,No,0.9985706210136414,8.994449308374897e-05,0.0003678171487990767
71,71,Yes,No,No,0.9998447895050049,0.0002383788669249043,0.009234868921339512
72,72,Yes,No,No,0.9998509287834167,0.00027053465601056814,0.014686576090753078
73,73,Yes,No,No,0.9997361898422241,0.00017804416711442173,0.010382803156971931
74,74,Yes,No,No,0.8685635328292847,9.104997297981754e-05,0.005015335511416197
75,75,Yes,No,No,0.9993839263916016,0.0054418048821389675,0.06378410756587982
76,76,Yes,No,No,0.998933732509613,0.005135880317538977,0.0426085963845253
77,77,Yes,No,No,0.9988316893577576,0.00040815104148350656,0.012432924471795559
78,78,Yes,No,No,0.9999070167541504,0.0029601280111819506,0.0007938345661386847
79,79,Yes,Yes,No,0.9998489618301392,0.9998757839202881,0.005801181308925152
80,80,Yes,No,No,0.9998913407325745,0.00014136945537757128,0.005349928047508001
81,81,Yes,No,No,0.9887482523918152,0.00044277028064243495,0.005200324114412069
82,82,Yes,No,No,0.9998207688331604,0.00291458610445261,0.04156288877129555
83,83,No,No,No,0.01109352894127369,0.0007428029202856123,0.0005173650570213795
84,84,Yes,No,No,0.9973234534263611,0.00014803811791352928,0.06713073700666428
85,85,Yes,No,No,0.9991512894630432,0.004859256092458963,0.007659371476620436
86,86,Yes,No,No,0.9996821880340576,0.0005175588885322213,0.01256027165800333
87,87,Yes,No,No,0.9998950362205505,0.003007396124303341,0.0007211893098428845
88,88,Yes,No,No,0.9978986382484436,0.004034259356558323,0.00013981825031805784
89,89,Yes,No,No,0.9998952150344849,0.0026548919267952442,0.001455229241400957
90,90,No,No,No,0.18280093371868134,0.00015982096374500543,0.00037026384961791337
91,91,Yes,No,No,0.9997164011001587,0.00020184286404401064,0.0010573106119409204
92,92,Yes,No,No,0.9997593760490417,0.005468680523335934,0.0003455376427154988
93,93,Yes,No,No,0.9996698498725891,0.0001327079371549189,0.003977869637310505
94,94,Yes,No,No,0.9998207092285156,0.00018035950779449195,0.000611866416875273
95,95,Yes,No,No,0.9984998106956482,0.0022780222352594137,0.0033626407384872437
96,96,Yes,No,No,0.9972896575927734,0.2653668224811554,0.009953295812010765
97,97,Yes,No,No,0.9997712969779968,8.322738722199574e-05,0.006500872317701578
98,98,Yes,Yes,No,0.9998486042022705,0.9996457099914551,0.006131216883659363
99,99,Yes,No,No,0.9998320937156677,0.0009451730875298381,0.003330982755869627
100,100,Yes,No,No,0.9998580813407898,0.0003043801407329738,0.0009956866269931197
101,101,Yes,No,No,0.9998511075973511,0.00022120306675788015,0.0010225659934803843
102,102,Yes,No,No,0.999923050403595,0.00013996195048093796,0.011270255781710148
103,103,Yes,No,No,0.9998228549957275,0.0002867182483896613,0.004627779591828585
104,104,Yes,No,No,0.9998784065246582,0.00017933604249265045,0.0018657014006748796
105,105,Yes,No,No,0.9997751116752625,0.0010574442567303777,0.0015731045277789235
106,106,Yes,No,No,0.9998704791069031,0.0012735944474115968,0.047879908233881
107,107,Yes,No,No,0.9998718500137329,0.0001492483715992421,0.030936479568481445
108,108,Yes,No,No,0.9998235106468201,0.0004373980045784265,0.07873359322547913
109,109,Yes,No,No,0.999832034111023,0.0001633999781915918,0.04166446253657341
110,110,Yes,No,No,0.999816358089447,0.00019863022316712886,0.1090124174952507
111,111,Yes,No,No,0.9993628263473511,0.0001436343154637143,0.19442211091518402
112,112,Yes,No,No,0.9999061226844788,0.000251200603088364,0.009032825008034706
113,113,Yes,No,No,0.9966499209403992,0.0015809331089258194,0.006768818479031324
114,114,Yes,No,No,0.9999269247055054,0.00016936937754508108,0.007893897593021393
115,115,Yes,No,No,0.9999383091926575,0.0011224016780033708,0.004147012252360582
116,116,Yes,No,No,0.9999067187309265,0.0005642668111249804,0.025821367278695107
117,117,Yes,No,No,0.9998223781585693,0.00016337548731826246,0.0024565733037889004
118,118,Yes,No,No,0.9998335242271423,0.000770195503719151,0.008426214568316936
119,119,Yes,No,No,0.9995841383934021,0.00020062338444404304,0.01248186081647873
120,120,Yes,No,No,0.9997686743736267,0.0003916759160347283,0.0028923815116286278
121,121,Yes,No,No,0.9997484683990479,0.0002627852954901755,0.03208193928003311
122,122,Yes,No,No,0.9999074935913086,0.0006450104992836714,0.0003036347043234855
123,123,Yes,No,No,0.9991544485092163,0.0002735814487095922,0.013059674762189388
124,124,Yes,No,No,0.9994356036186218,0.0010630646720528603,0.011771132238209248
125,125,Yes,Yes,No,0.9997007846832275,0.9563432931900024,0.0020495273638516665
126,126,Yes,No,No,0.9998418092727661,0.00014873428153805435,0.0003022523014806211
127,127,Yes,No,No,0.9996917843818665,0.00011510631156852469,0.006432951893657446
128,128,Yes,No,No,0.9997451305389404,0.00011648234794847667,0.002163264434784651
129,129,Yes,No,No,0.9993706941604614,0.001843408914282918,0.008821606636047363
130,130,Yes,No,No,0.9998428225517273,0.0005185431218706071,0.10652327537536621
131,131,Yes,No,No,0.9826604127883911,0.00903793890029192,0.011985725723206997
132,132,Yes,No,No,0.9998803734779358,0.0010915102902799845,0.00532322796061635
133,133,Yes,No,No,0.9999116659164429,0.0001457413745811209,0.01900375261902809
134,134,Yes,No,No,0.9996629357337952,0.000538638501893729,0.0017258572624996305
135,135,Yes,No,No,0.9993528723716736,0.00016908525140024722,0.000861724023707211
136,136,Yes,No,No,0.999683141708374,7.273132359841838e-05,0.004789317492395639
137,137,Yes,No,No,0.9998730421066284,6.065602065064013e-05,0.000814368948340416
138,138,Yes,No,No,0.9998986721038818,0.00013582927931565791,0.007885375060141087
139,139,Yes,No,No,0.9966667890548706,0.0005404746625572443,0.00550404516980052
140,140,Yes,No,No,0.9998392462730408,0.008941368199884892,0.0017360560595989227
141,141,Yes,No,No,0.9998803734779358,0.00021971344540361315,0.005705070216208696
142,142,Yes,No,No,0.999862015247345,0.0004613684141077101,0.002352203708142042
143,143,Yes,No,No,0.9998399615287781,0.012042836286127567,0.004828400444239378
144,144,Yes,No,No,0.9996419548988342,0.00032300129532814026,0.013348794542253017
145,145,Yes,No,No,0.8461593389511108,0.01123938150703907,0.006112282630056143
146,146,Yes,No,No,0.9980494379997253,0.27207499742507935,0.0186875332146883
147,147,Yes,No,No,0.9999188184738159,0.0002539413399063051,0.014210707508027554
148,148,Yes,No,No,0.9995431900024414,0.00011829094728454947,0.009048706851899624
149,149,Yes,No,No,0.9998058080673218,0.001600964809767902,0.04007893055677414
150,150,Yes,No,No,0.9873188138008118,0.020497245714068413,0.005495624151080847
151,151,No,No,No,0.0006092581315897405,0.0004647359310183674,0.0037808960769325495
152,152,Yes,No,No,0.9998178482055664,0.00016555403999518603,0.0021126309875398874
153,153,Yes,No,No,0.9998533129692078,0.0006845527095720172,0.006994723808020353
154,154,Yes,No,No,0.9999111294746399,0.005301004741340876,0.026308953762054443
155,155,Yes,No,No,0.9998323321342468,0.006523401476442814,0.005193287506699562
156,156,Yes,No,No,0.9997987151145935,0.00022217942751012743,0.026240933686494827
157,157,Yes,No,No,0.5324022769927979,0.003065973287448287,0.0016065018717199564
158,158,Yes,No,No,0.9993036985397339,0.00024233676958829165,0.02543533593416214
159,159,Yes,No,No,0.9997385740280151,0.00018479564459994435,0.0020677801221609116
160,160,Yes,No,No,0.9997135400772095,0.00017950173059944063,0.00017639301950111985
161,161,Yes,No,No,0.9994643926620483,0.00010956422192975879,0.015160766430199146
162,162,Yes,No,No,0.9998682141304016,0.0010170391760766506,0.007226547691971064
163,163,Yes,No,No,0.9998499155044556,0.00010896791354753077,0.005474643781781197
164,164,Yes,No,No,0.9998441338539124,0.0003875755937770009,0.0068642133846879005
165,165,Yes,No,No,0.9996582865715027,0.0006877880077809095,0.0003775241784751415
166,166,Yes,No,No,0.9997555613517761,0.000933328177779913,0.004942215513437986
167,167,Yes,No,No,0.9999097585678101,0.0009750238968990743,0.004766687750816345
168,168,Yes,No,No,0.7932004928588867,0.0021467546466737986,0.00042538021807558835
169,169,Yes,No,No,0.9692804217338562,0.2038879245519638,0.1523667573928833
170,170,Yes,No,No,0.9976668357849121,0.00024022607249207795,0.010029233060777187
171,171,Yes,No,No,0.9711409211158752,0.0002953623770736158,0.00048264997894875705
172,172,Yes,No,No,0.9967607855796814,0.0008977407705970109,0.0012849407503381371
173,173,Yes,No,No,0.9997837543487549,0.00013497908366844058,0.0016190882306545973
174,174,Yes,No,No,0.999883770942688,0.0072148884646594524,0.0011304095387458801
175,175,Yes,No,No,0.9997192025184631,0.0002244431379949674,0.01828077808022499
176,176,Yes,No,No,0.9997898936271667,0.0001714700774755329,0.0009077259455807507
177,177,Yes,Yes,No,0.9997715353965759,0.7137600779533386,0.0004223440191708505
178,178,Yes,No,No,0.9998088479042053,0.00021297240164130926,0.002124320948496461
179,179,Yes,No,No,0.9577277898788452,0.09781693667173386,0.12497787177562714
180,180,No,No,No,0.4219789505004883,0.00084351358236745,0.0003611905558500439
181,181,Yes,No,No,0.9998735189437866,0.00016334942483808845,0.02105395309627056
182,182,Yes,No,No,0.9944659471511841,0.00015865622845012695,0.0001904326054500416
183,183,Yes,No,No,0.9996378421783447,0.0001767795765772462,0.02354416251182556
184,184,No,No,No,0.0012177065946161747,0.0005249945679679513,0.0013745458563789725
185,185,Yes,No,No,0.9902535080909729,8.819241338642314e-05,0.0042866915464401245
186,186,No,No,No,0.03442684933543205,0.000977097894065082,0.0009592358255758882
187,187,Yes,No,No,0.9998616576194763,0.00043595078750513494,0.004403912462294102
188,188,Yes,No,No,0.9998170137405396,0.00014507451851386577,0.2522294521331787
189,189,Yes,No,No,0.9998453855514526,0.0031697286758571863,0.03235233575105667
190,190,Yes,No,No,0.9905508756637573,0.00014886063581798226,0.01128789596259594
191,191,No,No,No,0.03486689552664757,0.00019668129971250892,0.0007020361954346299
192,192,Yes,No,No,0.6861458420753479,0.007356350310146809,0.01042936835438013
193,193,Yes,No,No,0.9996463656425476,0.00011208692740183324,0.06476457417011261
194,194,Yes,No,No,0.9996022582054138,7.795718556735665e-05,0.10295214504003525
195,195,Yes,No,No,0.9997513294219971,0.00026860623620450497,0.011386304162442684
196,196,Yes,No,No,0.9997188448905945,0.0001112909521907568,0.0488237626850605
197,197,Yes,No,No,0.9977194666862488,0.00131365773268044,0.0012120520696043968
198,198,Yes,No,No,0.9998655915260315,0.011764273047447205,0.002698340220376849
199,199,Yes,No,No,0.9998413324356079,0.000181667142896913,0.00031239664531312883
200,200,Yes,No,No,0.9998233318328857,0.0009942254982888699,0.0009157757158391178
201,201,Yes,No,No,0.9995511770248413,0.00011461253598099574,0.0031056469306349754
202,202,Yes,No,No,0.9998877048492432,0.00017025259148795158,0.004437858238816261
203,203,Yes,No,No,0.9999019503593445,0.0009559093159623444,0.0166805200278759
204,204,Yes,No,No,0.9992592334747314,0.0004889100673608482,0.03409340977668762
205,205,Yes,No,No,0.999753475189209,0.00035578335518948734,0.10386490076780319
206,206,Yes,No,Yes,0.999802827835083,0.00023449742002412677,0.9358879327774048
207,207,Yes,No,No,0.9998476505279541,0.0002560129505582154,0.023096390068531036
208,208,No,No,No,0.15967047214508057,0.0011208041105419397,0.07592390477657318
209,209,Yes,No,No,0.9997889399528503,0.00015357721713371575,0.001305576297454536
210,210,Yes,No,No,0.9995042681694031,0.0003239185898564756,0.011005857959389687
211,211,Yes,No,No,0.9998521208763123,0.0003289863816462457,0.029263706877827644
212,212,Yes,No,No,0.9998170733451843,0.000838317908346653,0.00387171795591712
213,213,Yes,No,No,0.9998780488967896,0.0005829586298204958,0.00678079342469573
214,214,Yes,No,No,0.9996356964111328,0.00016774903633631766,0.0002824510738719255
215,215,Yes,No,No,0.999854326248169,0.00033650410478003323,0.001546874875202775
216,216,Yes,No,No,0.9978442192077637,0.0023310529068112373,0.1411582976579666
217,217,Yes,No,No,0.9996803998947144,0.0003529587702360004,0.0880160853266716
218,218,Yes,No,Yes,0.990246057510376,0.004557498265057802,0.7704616785049438
219,219,Yes,No,No,0.9996989369392395,9.581694757798687e-05,0.007425704505294561
220,220,Yes,No,No,0.9994692206382751,0.00010196504445048049,0.0008568885968998075
221,221,Yes,No,No,0.9998804926872253,0.3674408197402954,0.0007981181261129677
222,222,Yes,No,No,0.9999001026153564,0.0018071741797029972,0.01075732707977295
223,223,Yes,No,No,0.999801754951477,0.00020808544650208205,0.043064430356025696
224,224,No,No,No,0.18007926642894745,0.004526678007096052,0.0001255264796782285
225,225,Yes,No,No,0.9978179335594177,0.0007625226862728596,0.0025933939032256603
226,226,Yes,No,No,0.9985967874526978,0.00013137803762219846,0.0005194005207158625
227,227,Yes,No,No,0.9997442960739136,7.561661914223805e-05,0.00021458558330778033
228,228,Yes,No,No,0.9997125864028931,0.00028650835156440735,0.001588689279742539
229,229,Yes,No,No,0.9998897314071655,0.0006420783465728164,0.017337946221232414
230,230,No,No,No,0.11975442618131638,0.0005393013707362115,0.00017925319843925536
231,231,Yes,No,No,0.9997670650482178,0.00017611913790460676,0.003733576275408268
232,232,Yes,No,No,0.9894235134124756,0.0009728769073262811,0.002735049230977893
233,233,Yes,No,No,0.9998066425323486,0.3663242757320404,0.011994521133601665
234,234,Yes,Yes,No,0.9960721135139465,0.995820164680481,0.03632713481783867
235,235,Yes,Yes,No,0.998591959476471,0.995820164680481,0.002828331431373954
236,236,Yes,No,No,0.9867997169494629,9.9368960945867e-05,0.0007173297926783562
237,237,Yes,No,No,0.9998949766159058,0.0003031234082300216,0.010141931474208832
238,238,Yes,No,No,0.9997953772544861,0.03385861963033676,0.22528062760829926
239,239,Yes,No,No,0.9994953870773315,0.00011308673128951341,0.0009591330890543759
240,240,Yes,No,No,0.9521416425704956,0.00011496367369545624,0.00037737758248113096
241,241,Yes,No,No,0.9999041557312012,0.00024936956469900906,0.0009426539181731641
242,242,Yes,No,No,0.9999200701713562,0.003387044183909893,0.004535926505923271
243,243,Yes,No,No,0.9998496174812317,0.00013266789028421044,0.0011027136351913214
244,244,No,No,No,0.24484550952911377,0.00014033436309546232,0.0033476632088422775
245,245,Yes,Yes,Yes,0.9998255968093872,0.9768273234367371,0.791263997554779
246,246,Yes,No,No,0.9997143745422363,7.601373363286257e-05,0.013115105219185352
247,247,Yes,No,No,0.9999165534973145,0.002550952835008502,0.001243997598066926
248,248,Yes,No,No,0.999862790107727,0.0013908544788137078,0.0003079610178247094
249,249,Yes,No,No,0.9996116161346436,0.00044694269308820367,0.013753531500697136
250,250,Yes,No,No,0.9995237588882446,0.0004379137244541198,0.00031958529143594205
251,251,Yes,No,No,0.9997151494026184,0.00017318154277745634,0.00714997760951519
252,252,Yes,No,No,0.9863512516021729,0.00025192840257659554,0.0018538369331508875
