item,idx,hypernym_pred,negative_pred,swapped_pred,hypernym_yes,negative_yes,swapped_yes
1,1,No,No,No,0.38243934512138367,0.02504504844546318,0.10750527679920197
2,2,No,No,No,0.47263509035110474,0.049275174736976624,0.11191480606794357
3,3,Yes,No,No,0.7357469201087952,0.11630193889141083,0.20598435401916504
4,4,Yes,No,No,0.9693328142166138,0.06359411776065826,0.4707759618759155
5,5,Yes,No,Yes,0.9571740031242371,0.09344460815191269,0.6308678984642029
6,6,Yes,Yes,No,0.9241054654121399,0.5229030847549438,0.06350519508123398
7,7,Yes,No,No,0.9712792038917542,0.013162389397621155,0.2211075723171234
8,8,Yes,No,No,0.9719358086585999,0.04238462448120117,0.4094099998474121
9,9,Yes,No,No,0.6914106011390686,0.028804130852222443,0.2604106664657593
10,10,Yes,No,Yes,0.9342016577720642,0.028804130852222443,0.5275014042854309
11,11,Yes,No,No,0.9248426556587219,0.027111772447824478,0.39631107449531555
12,12,Yes,No,No,0.9786738157272339,0.11634661257266998,0.2633000910282135
13,13,Yes,No,No,0.9545129537582397,0.0626547783613205,0.2592310607433319
14,14,Yes,No,No,0.9121725559234619,0.20709341764450073,0.4759809970855713
15,15,Yes,No,No,0.9518487453460693,0.09354084730148315,0.2515465319156647
16,16,Yes,No,No,0.9765703678131104,0.041203685104846954,0.43017661571502686
17,17,Yes,No,No,0.965372622013092,0.05413468927145004,0.3555297255516052
18,18,Yes,No,No,0.8131548762321472,0.03480953723192215,0.16138823330402374
19,19,Yes,No,No,0.6298408508300781,0.022797545418143272,0.06021464243531227
20,20,Yes,No,Yes,0.9461756348609924,0.026723187416791916,0.5167071223258972
21,21,Yes,No,No,0.8690281510353088,0.06077791377902031,0.221614807844162
22,22,Yes,No,No,0.9611068964004517,0.05249619483947754,0.23131337761878967
23,23,Yes,No,No,0.9178158044815063,0.0501360259950161,0.11614467203617096
24,24,Yes,No,Yes,0.9664711356163025,0.023399721831083298,0.5796627402305603
25,25,Yes,No,No,0.914641797542572,0.2669224441051483,0.19984756410121918
26,26,Yes,No,No,0.8838023543357849,0.09038127958774567,0.13167665898799896
27,27,Yes,No,No,0.7183268666267395,0.2669224441051483,0.07382743060588837
28,28,Yes,No,No,0.9515946507453918,0.2669224441051483,0.4680512845516205
29,29,Yes,No,Yes,0.9342002868652344,0.08869986981153488,0.7374560832977295
30,30,Yes,No,No,0.97081458568573,0.04174061119556427,0.12611137330532074
31,31,Yes,No,Yes,0.9594688415527344,0.01936853863298893,0.7314022183418274
32,32,Yes,No,No,0.972486138343811,0.04741634801030159,0.47910356521606445
33,33,Yes,No,No,0.916290819644928,0.3753219544887543,0.1769389510154724
34,34,Yes,No,No,0.923676073551178,0.15276262164115906,0.09832967072725296
35,35,Yes,No,No,0.9457467794418335,0.032188937067985535,0.13994881510734558
36,36,Yes,No,Yes,0.9701824188232422,0.060946423560380936,0.8126001358032227
37,37,Yes,Yes,No,0.6197407841682434,0.7669334411621094,0.08041781187057495
38,38,Yes,No,No,0.7822077870368958,0.022983921691775322,0.05006609112024307
39,39,Yes,No,No,0.8066667914390564,0.15151658654212952,0.27620962262153625
40,40,Yes,No,No,0.5451850891113281,0.19163887202739716,0.24131755530834198
41,41,Yes,Yes,Yes,0.7420968413352966,0.5053059458732605,0.6454599499702454
42,42,Yes,Yes,No,0.7480700016021729,0.6438870429992676,0.10522745549678802
43,43,Yes,No,No,0.7382845878601074,0.052318014204502106,0.4390941262245178
44,44,Yes,No,No,0.9032023549079895,0.16422441601753235,0.14084993302822113
45,45,Yes,No,Yes,0.9627664685249329,0.02126968838274479,0.6534963250160217
46,46,Yes,No,No,0.9765748977661133,0.2568475902080536,0.19126833975315094
