item,idx,hypernym_pred,negative_pred,swapped_pred,hypernym_yes,negative_yes,swapped_yes
1,1,Yes,No,No,0.9836539626121521,0.0112869031727314,0.10890006273984909
2,2,Yes,No,No,0.7878761291503906,0.01720631681382656,0.05182036757469177
3,3,Yes,No,No,0.7978672385215759,0.05235835909843445,0.04337911307811737
4,4,Yes,No,No,0.9999128580093384,0.005766629707068205,0.029325412586331367
5,5,Yes,No,No,0.9982081651687622,0.006957837380468845,0.13153499364852905
6,6,Yes,No,No,0.9989950656890869,0.05527885630726814,0.012417221441864967
7,7,Yes,No,No,0.9997533559799194,0.003926312550902367,0.01323394663631916
8,8,Yes,No,No,0.9999067187309265,0.004847203381359577,0.03682301193475723
9,9,Yes,No,No,0.998895525932312,0.0598079115152359,0.14324615895748138
10,10,Yes,No,Yes,0.9983384013175964,0.0598079115152359,0.591866135597229
11,11,Yes,No,No,0.9993866086006165,0.006929764058440924,0.09504721313714981
12,12,Yes,No,No,0.999914824962616,0.08890440315008163,0.033668238669633865
13,13,Yes,No,No,0.999585747718811,0.01161031424999237,0.1381770372390747
14,14,Yes,No,No,0.9975346922874451,0.21291483938694,0.21870413422584534
15,15,Yes,No,No,0.9996591210365295,0.018177013844251633,0.024369671940803528
16,16,Yes,No,No,0.9997546076774597,0.035042449831962585,0.3629069924354553
17,17,Yes,No,No,0.9999521970748901,0.010391942225396633,0.05217809975147247
18,18,Yes,No,No,0.9966764450073242,0.026561392471194267,0.07165105640888214
19,19,No,No,No,0.269561767578125,0.028263313695788383,0.04423115402460098
20,20,Yes,No,No,0.9996581077575684,0.014410457573831081,0.18732920289039612
21,21,Yes,No,No,0.9980155825614929,0.060567259788513184,0.18908104300498962
22,22,Yes,No,No,0.9997897148132324,0.009344481863081455,0.23465605080127716
23,23,Yes,No,No,0.9990194439888,0.022303812205791473,0.08572566509246826
24,24,Yes,No,No,0.999893307685852,0.008739392273128033,0.2972674071788788
25,25,Yes,No,No,0.9991744160652161,0.13972991704940796,0.15902240574359894
26,26,Yes,No,No,0.9455967545509338,0.013828466646373272,0.0910118967294693
27,27,Yes,No,No,0.9757656455039978,0.13972991704940796,0.1038113459944725
28,28,Yes,No,Yes,0.9996984601020813,0.13972991704940796,0.7159395813941956
29,29,Yes,No,Yes,0.9954510927200317,0.00907975621521473,0.5814635753631592
30,30,Yes,No,No,0.9997653961181641,0.0062313564121723175,0.021954111754894257
31,31,Yes,No,Yes,0.9970210790634155,0.007334182504564524,0.7978802919387817
32,32,Yes,No,No,0.9988796710968018,0.0130173210054636,0.05357799679040909
33,33,Yes,No,No,0.9993454813957214,0.43826496601104736,0.17139863967895508
34,34,Yes,No,No,0.9982870817184448,0.36909857392311096,0.08162232488393784
35,35,Yes,No,No,0.9996982216835022,0.006798801943659782,0.26963359117507935
36,36,Yes,No,Yes,0.9993685483932495,0.020607251673936844,0.9813662171363831
37,37,Yes,Yes,No,0.8399066925048828,0.9748976230621338,0.17452439665794373
38,38,Yes,No,No,0.9619094729423523,0.06777745485305786,0.08855932950973511
39,39,Yes,No,No,0.9931617379188538,0.03080694191157818,0.1648281067609787
40,40,Yes,No,No,0.9903036952018738,0.09571513533592224,0.254423588514328
41,41,Yes,No,Yes,0.9995540976524353,0.06750576943159103,0.5223134160041809
42,42,Yes,Yes,No,0.5954607129096985,0.5631877183914185,0.0627908781170845
43,43,Yes,No,Yes,0.7026136517524719,0.01915355585515499,0.7608283162117004
44,44,Yes,No,No,0.9127171039581299,0.10700199007987976,0.21187809109687805
45,45,Yes,No,No,0.9998782873153687,0.0070136976428329945,0.3778160810470581
46,46,Yes,No,No,0.9999323487281799,0.0305843036621809,0.17405040562152863
47,47,Yes,No,No,0.9997658729553223,0.01047045923769474,0.016594137996435165
48,48,Yes,No,No,0.9986871480941772,0.00629412941634655,0.034366149455308914
49,49,Yes,No,No,0.9974076747894287,0.03304847329854965,0.043937381356954575
50,50,Yes,No,No,0.9959304332733154,0.010403970256447792,0.22374095022678375
51,51,Yes,No,No,0.9998565912246704,0.01950846239924431,0.11293380707502365
52,52,Yes,No,No,0.9935683012008667,0.3280137777328491,0.15169239044189453
53,53,Yes,No,No,0.999824047088623,0.007657215930521488,0.22517690062522888
54,54,Yes,Yes,No,0.9629486203193665,0.7791711688041687,0.13700513541698456
55,55,Yes,No,Yes,0.9873461127281189,0.24882976710796356,0.5622756481170654
56,56,Yes,No,No,0.890673041343689,0.09110430628061295,0.19847224652767181
