idx,hypernym_pred,negative_pred,hypernym_yes,negative_yes
1,Yes,No,0.7894341945648193,0.036363743245601654
2,Yes,No,0.7894341945648193,0.04451422765851021
3,Yes,No,0.7894341945648193,0.04395410418510437
4,Yes,No,0.7894341945648193,0.042313236743211746
5,Yes,No,0.5497103333473206,0.06941235810518265
6,Yes,No,0.5497103333473206,0.07462430745363235
7,Yes,No,0.5497103333473206,0.03331936523318291
8,Yes,No,0.5497103333473206,0.19428974390029907
9,Yes,No,0.7792672514915466,0.3782013952732086
10,Yes,No,0.7792672514915466,0.12735392153263092
11,Yes,No,0.7792672514915466,0.1884496957063675
12,Yes,Yes,0.7792672514915466,0.79288250207901
13,Yes,No,0.9389683604240417,0.07819491624832153
14,Yes,No,0.9389683604240417,0.3407059907913208
15,Yes,No,0.9389683604240417,0.07182368636131287
16,Yes,No,0.9389683604240417,0.10791242122650146
17,Yes,No,0.9279592633247375,0.017101658508181572
18,Yes,No,0.9279592633247375,0.03346192464232445
19,Yes,No,0.9279592633247375,0.0375419445335865
20,Yes,No,0.9279592633247375,0.10910416394472122
21,Yes,No,0.9311556816101074,0.01841004192829132
22,Yes,No,0.9311556816101074,0.04613121598958969
23,Yes,No,0.9311556816101074,0.05581099912524223
24,Yes,No,0.9311556816101074,0.0575411282479763
25,Yes,No,0.9569695591926575,0.07069853693246841
26,Yes,No,0.9569695591926575,0.0184733048081398
27,Yes,No,0.9569695591926575,0.07003790885210037
28,Yes,No,0.9569695591926575,0.04534664377570152
29,Yes,No,0.9305527210235596,0.02140015736222267
30,Yes,No,0.9305527210235596,0.04823937267065048
31,Yes,No,0.9305527210235596,0.06298372894525528
32,Yes,No,0.9305527210235596,0.05752287805080414
33,Yes,No,0.9047040939331055,0.24011310935020447
34,Yes,No,0.9047040939331055,0.1297246515750885
35,Yes,No,0.9047040939331055,0.2018863409757614
36,Yes,No,0.9047040939331055,0.051422324031591415
37,Yes,No,0.8282886147499084,0.09632431715726852
38,Yes,No,0.8282886147499084,0.2018863409757614
39,Yes,No,0.8282886147499084,0.08267842233181
40,Yes,No,0.8282886147499084,0.1996268779039383
41,Yes,No,0.7060377597808838,0.044768933206796646
42,Yes,No,0.7060377597808838,0.10043585300445557
43,Yes,No,0.7060377597808838,0.03479590266942978
44,Yes,No,0.7060377597808838,0.23882776498794556
45,Yes,No,0.931633710861206,0.10178709030151367
46,Yes,No,0.931633710861206,0.09219864755868912
47,Yes,No,0.931633710861206,0.05417641997337341
48,Yes,No,0.931633710861206,0.07264316827058792
49,Yes,No,0.9242143034934998,0.09799554944038391
50,Yes,No,0.9242143034934998,0.08411873131990433
51,Yes,No,0.9242143034934998,0.04870612919330597
52,Yes,No,0.9242143034934998,0.043832581490278244
53,Yes,No,0.9497345089912415,0.05073125287890434
54,Yes,No,0.9497345089912415,0.06207067891955376
55,Yes,No,0.9497345089912415,0.08267705142498016
56,Yes,No,0.9497345089912415,0.2816115915775299
57,Yes,No,0.9226835370063782,0.0938953086733818
58,Yes,No,0.9226835370063782,0.18816445767879486
59,Yes,No,0.9226835370063782,0.06588830053806305
60,Yes,No,0.9226835370063782,0.04241836816072464
61,Yes,No,0.9376651644706726,0.035866983234882355
62,Yes,No,0.9376651644706726,0.22628167271614075
63,Yes,No,0.9376651644706726,0.04764799028635025
64,Yes,No,0.9376651644706726,0.021340934559702873
65,Yes,No,0.9276082515716553,0.1403328776359558
66,Yes,No,0.9276082515716553,0.039736174046993256
67,Yes,No,0.9276082515716553,0.04298438876867294
68,Yes,No,0.9276082515716553,0.05834188684821129
69,Yes,No,0.8334903717041016,0.0705113559961319
70,Yes,No,0.8334903717041016,0.06284691393375397
71,Yes,No,0.8334903717041016,0.14200465381145477
72,Yes,No,0.8334903717041016,0.04866772145032883
73,No,No,0.16607289016246796,0.050896283239126205
74,No,No,0.16607289016246796,0.064789317548275
75,No,No,0.16607289016246796,0.04103708639740944
76,No,No,0.16607289016246796,0.07032688707113266
77,Yes,No,0.9151188135147095,0.0411144383251667
78,Yes,No,0.9151188135147095,0.04063979536294937
79,Yes,No,0.9151188135147095,0.04282255098223686
80,Yes,No,0.9151188135147095,0.10030444711446762
81,Yes,No,0.916594922542572,0.03987343609333038
82,Yes,No,0.916594922542572,0.061670295894145966
83,Yes,No,0.916594922542572,0.049726396799087524
84,Yes,No,0.916594922542572,0.14050371944904327
85,Yes,No,0.9517219662666321,0.04807506501674652
86,Yes,No,0.9517219662666321,0.04120602086186409
87,Yes,No,0.9517219662666321,0.06303786486387253
88,Yes,No,0.9517219662666321,0.06537432968616486
89,Yes,No,0.755669116973877,0.04130041226744652
90,Yes,No,0.755669116973877,0.049526531249284744
91,Yes,No,0.755669116973877,0.06008535996079445
92,Yes,No,0.755669116973877,0.074796661734581
93,Yes,No,0.9549002051353455,0.05708814412355423
94,Yes,No,0.9549002051353455,0.028434935957193375
95,Yes,No,0.9549002051353455,0.07546646893024445
96,Yes,No,0.9549002051353455,0.035079196095466614
97,Yes,No,0.858928918838501,0.03967086970806122
98,Yes,No,0.858928918838501,0.3356388807296753
99,Yes,No,0.858928918838501,0.2313205748796463
100,Yes,No,0.858928918838501,0.44303473830223083
101,Yes,No,0.6992106437683105,0.0653514713048935
102,Yes,No,0.6992106437683105,0.28783300518989563
103,Yes,No,0.6992106437683105,0.11875218152999878
104,Yes,No,0.6992106437683105,0.13936351239681244
105,Yes,No,0.6705043315887451,0.037042755633592606
106,Yes,No,0.6705043315887451,0.3273436427116394
107,Yes,No,0.6705043315887451,0.03967086970806122
108,Yes,No,0.6705043315887451,0.038441989570856094
109,Yes,No,0.917718231678009,0.04092501848936081
110,Yes,No,0.917718231678009,0.06439637392759323
111,Yes,No,0.917718231678009,0.14214789867401123
112,Yes,No,0.917718231678009,0.08294925093650818
113,Yes,No,0.8413023948669434,0.08581490814685822
114,Yes,No,0.8413023948669434,0.09624826908111572
115,Yes,No,0.8413023948669434,0.026111790910363197
116,Yes,No,0.8413023948669434,0.09203328937292099
117,Yes,No,0.9371765851974487,0.028818171471357346
118,Yes,No,0.9371765851974487,0.1276424378156662
119,Yes,No,0.9371765851974487,0.06851048022508621
120,Yes,No,0.9371765851974487,0.11100544035434723
121,Yes,No,0.8869284987449646,0.2722229063510895
122,Yes,No,0.8869284987449646,0.14699141681194305
123,Yes,No,0.8869284987449646,0.1276424378156662
124,Yes,No,0.8869284987449646,0.04517100751399994
125,Yes,No,0.8584315776824951,0.02225458435714245
126,Yes,No,0.8584315776824951,0.044270142912864685
127,Yes,No,0.8584315776824951,0.04582004249095917
128,Yes,No,0.8584315776824951,0.07878390699625015
