item,idx,hypernym_pred,negative_pred,swapped_pred,hypernym_yes,negative_yes,swapped_yes
1,1,Yes,No,No,1.0,3.5988119861940504e-07,1.1896597698068945e-06
2,2,Yes,No,No,1.0,3.8848173744554515e-07,3.469695855073951e-07
3,3,Yes,No,No,1.0,1.7007278074743226e-07,4.5205280230220524e-07
4,4,Yes,No,No,1.0,3.619934147991444e-07,1.0867331212693898e-07
5,5,Yes,No,No,1.0,5.728400083171437e-07,3.5377647122913913e-07
6,6,Yes,No,No,1.0,8.355799536730046e-07,1.2717632102976495e-07
7,7,Yes,No,No,1.0,2.390344491232099e-07,2.912569243562757e-07
8,8,Yes,No,No,1.0,4.014806620489253e-07,1.9366619596894452e-07
9,9,Yes,No,No,1.0,5.386712587096554e-07,1.6420568726971396e-06
10,10,Yes,No,No,1.0,5.386712587096554e-07,0.07263561338186264
11,11,Yes,No,No,1.0,2.831243364198599e-07,9.944589010046911e-07
12,12,Yes,No,No,1.0,6.081601213736576e-07,2.1420203211164335e-06
13,13,Yes,No,No,1.0,5.501898385773529e-07,3.1223651149048237e-06
14,14,Yes,No,No,1.0,1.1730933692888357e-05,2.3736024559184443e-06
15,15,Yes,No,No,1.0,2.8785981953660666e-07,1.2766808765718451e-07
16,16,Yes,No,No,1.0,2.5490871848887764e-06,1.1638650221357238e-06
17,17,Yes,No,No,1.0,2.760252471034619e-07,8.282916041935096e-07
18,18,Yes,No,No,0.9999998807907104,1.1467251681551716e-07,5.222378831604146e-07
19,19,No,No,No,3.5241203022451373e-07,2.3805390014786099e-07,4.5848520358049427e-07
20,20,Yes,No,No,1.0,2.791161080040183e-07,2.684246510398225e-06
21,21,Yes,No,No,1.0,2.2059143134356418e-07,1.976975227080402e-06
22,22,Yes,No,No,1.0,4.6475440740323393e-07,5.329719101609953e-07
23,23,Yes,No,No,1.0,5.195207108954492e-07,2.84173836462287e-07
24,24,Yes,No,No,1.0,1.7985945532927872e-07,1.6835672795423307e-05
25,25,Yes,No,No,1.0,3.989617198385531e-06,0.0001519351062597707
26,26,Yes,No,No,1.0,4.082233999724849e-07,1.8626445807967684e-06
27,27,Yes,No,No,1.0,3.989617198385531e-06,6.291157319537888e-07
28,28,Yes,No,No,1.0,3.989617198385531e-06,0.00025390571681782603
29,29,Yes,No,No,1.0,3.4707656482169114e-07,0.00047204812290146947
30,30,Yes,No,No,1.0,6.998109256528551e-07,4.748595117121113e-08
31,31,Yes,No,Yes,1.0,7.174457294922831e-08,0.7422224283218384
32,32,Yes,No,No,1.0,6.33335446309502e-07,1.0141303619093378e-06
33,33,Yes,No,No,1.0,0.08771531283855438,1.0157810947930557e-07
34,34,Yes,No,No,1.0,0.00011090854968642816,2.468329114435619e-07
35,35,Yes,No,No,1.0,4.0540567169955466e-07,0.0019122868543490767
36,36,Yes,No,Yes,1.0,2.1278397355217749e-07,1.0
37,37,Yes,Yes,No,1.0,1.0,8.502804575982736e-07
38,38,Yes,No,No,1.0,2.7283371650810295e-07,6.935795795470767e-07
39,39,Yes,No,No,1.0,2.0277973362681223e-06,5.610261837318831e-07
40,40,Yes,No,No,1.0,1.3087053048366215e-05,5.068813607067568e-06
41,41,Yes,No,No,1.0,9.986687473428901e-06,1.3978446077089757e-05
42,42,No,No,No,0.018989557400345802,0.0021458694245666265,1.156382609224238e-06
43,43,Yes,No,Yes,1.0,6.419282954084338e-07,1.0
44,44,No,No,No,0.004399660974740982,2.8704366741294507e-06,3.8643011066596955e-06
45,45,Yes,No,No,1.0,1.32286075427146e-07,3.462372114881873e-05
46,46,Yes,No,No,1.0,2.9893178066231485e-07,5.2681771194329485e-06
47,47,Yes,No,No,1.0,3.0990560162535985e-07,4.4825227973888104e-07
48,48,Yes,No,No,1.0,1.1996198168162664e-07,2.871498736567446e-07
49,49,Yes,No,No,1.0,4.270465296940529e-07,4.239312261233863e-07
50,50,Yes,No,No,1.0,5.875165811630723e-07,1.8354104440732044e-06
51,51,Yes,No,No,1.0,2.394802152139164e-07,5.396657343226252e-06
52,52,Yes,Yes,No,1.0,0.998734176158905,8.388192327402066e-07
53,53,Yes,No,No,1.0,2.3158942497047974e-07,7.613066941303259e-07
54,54,Yes,Yes,No,1.0,0.9999998807907104,8.331365393132728e-07
55,55,Yes,No,No,1.0,1.184215670946287e-05,3.445748734520748e-05
56,56,Yes,No,No,0.9999994039535522,2.594168472569436e-05,2.209179683632101e-07
57,57,Yes,No,No,1.0,9.991331353376154e-07,3.7216339023871114e-06
58,58,Yes,Yes,No,1.0,1.0,1.0426099805727063e-07
59,59,Yes,No,No,1.0,1.9286474639557127e-07,2.628792799441726e-06
60,60,Yes,No,No,1.0,3.945757498513558e-07,2.281312390550738e-06
61,61,Yes,Yes,Yes,1.0,0.9999999403953552,0.8611130118370056
62,62,Yes,No,No,1.0,2.571080699453887e-07,3.025364208042447e-07
63,63,Yes,No,No,1.0,3.113594573278533e-07,2.3059628802002408e-06
64,64,Yes,No,No,1.0,8.064398571150377e-07,4.7038879529281985e-06
65,65,Yes,No,No,1.0,2.7539957159206097e-07,1.0523542925966467e-07
66,66,Yes,No,No,1.0,2.3100577095647168e-07,1.5537433739609696e-07
67,67,Yes,No,No,1.0,3.6590523677659803e-07,2.8788980444005574e-07
68,68,Yes,No,No,1.0,0.00030605975189246237,1.0971220376632118e-07
69,69,Yes,No,No,1.0,3.0845587843941757e-06,1.1125927812827285e-05
70,70,Yes,No,No,0.9999998807907104,2.767854766716482e-06,1.2387164360916358e-06
71,71,Yes,No,No,1.0,4.0510803955839947e-07,9.995302389143035e-05
72,72,Yes,No,No,1.0,2.2894168694165273e-07,8.19154308828729e-07
73,73,Yes,No,No,1.0,2.854105787264416e-07,1.2245091056684032e-06
74,74,Yes,No,No,1.0,8.663814128340164e-07,2.084840616589645e-06
75,75,Yes,No,No,1.0,6.856014920231246e-07,1.8102258763974532e-05
76,76,Yes,No,Yes,0.9999999403953552,0.10403388738632202,0.690579354763031
77,77,Yes,No,No,0.9999997615814209,3.009009788002004e-07,2.751158899627626e-05
78,78,Yes,No,No,1.0,4.1699129837979854e-07,8.799684536597852e-08
79,79,Yes,Yes,No,1.0,1.0,3.1452509574592113e-07
80,80,Yes,No,No,1.0,1.685185111455212e-07,1.5056959909998113e-06
81,81,Yes,No,No,1.0,3.4119463521165017e-07,1.3120413314027246e-05
82,82,Yes,No,No,1.0,1.0116533530890592e-06,1.3168142913855263e-06
83,83,Yes,No,No,1.0,2.723056127251766e-07,3.794501992615551e-07
84,84,Yes,No,No,1.0,1.7960392995064467e-07,1.491979787715536e-06
85,85,Yes,No,No,1.0,6.520649094454711e-06,5.368039182940265e-06
86,86,Yes,Yes,No,1.0,0.9999997615814209,1.6791307189123472e-06
87,87,Yes,No,No,1.0,7.05140337231569e-07,1.0105113545932909e-07
88,88,Yes,No,No,1.0,7.851529630897858e-07,4.053530915371084e-07
89,89,Yes,No,No,1.0,3.3569725133020256e-07,2.7833485205519537e-07
90,90,Yes,No,No,1.0,4.794568440047442e-07,4.6246481133493944e-07
91,91,Yes,No,No,1.0,2.07286035447396e-07,1.8890752073730255e-07
92,92,Yes,No,No,1.0,3.5581281281338306e-06,1.5137338493786956e-07
93,93,Yes,No,No,1.0,1.0732840109994868e-06,7.068957074807258e-06
94,94,Yes,No,No,1.0,2.1641976388764306e-07,7.808093869243748e-07
95,95,Yes,No,No,0.9999999403953552,6.190544809214771e-06,7.163403097365517e-06
96,96,Yes,No,No,1.0,0.0007298317505046725,9.87986186373746e-06
97,97,Yes,No,No,1.0,1.3170543411433755e-07,2.867751334179047e-07
98,98,Yes,Yes,No,1.0,1.0,5.282643087411998e-07
99,99,Yes,No,No,1.0,7.78042533511325e-07,1.0598407698125811e-06
100,100,Yes,No,No,1.0,3.7205512626314885e-07,1.2944173022333416e-07
101,101,Yes,No,No,1.0,2.656179276527837e-07,2.2958988665777724e-07
102,102,Yes,No,No,1.0,1.4033983575245657e-07,1.9309167953451833e-07
103,103,Yes,No,No,1.0,1.7201091395691037e-07,4.933671675644291e-07
104,104,Yes,No,No,1.0,2.3971932705535437e-07,2.1963992935525312e-07
105,105,Yes,No,No,1.0,3.658196021660842e-07,3.0990702271083137e-06
106,106,Yes,No,No,1.0,8.724983331376279e-07,0.019131815060973167
107,107,Yes,No,No,1.0,2.1668152783149708e-07,7.002568622738181e-07
108,108,Yes,No,No,1.0,1.748406788237844e-07,0.2586979866027832
109,109,Yes,No,No,1.0,3.123799672266614e-07,1.6326681588907377e-06
110,110,Yes,No,No,1.0,5.614581937152252e-07,0.00010352733806939796
111,111,Yes,No,No,1.0,2.432724386380869e-07,2.3247252102009952e-05
112,112,Yes,No,No,1.0,1.89792089599905e-07,1.2341231467871694e-06
113,113,Yes,No,No,0.9999972581863403,2.1219597101662657e-07,6.584557468158891e-07
114,114,Yes,No,No,1.0,2.2426439727496472e-07,3.8544101244042395e-07
115,115,Yes,No,No,1.0,3.089635356445797e-07,8.995245082132897e-08
116,116,Yes,No,No,1.0,1.584414519584243e-07,4.9399284307583e-07
117,117,Yes,No,No,1.0,5.591078320321685e-07,7.968685622472549e-07
118,118,Yes,No,No,1.0,3.653846931683802e-07,5.867827326255792e-07
119,119,Yes,No,No,1.0,1.9077860713423433e-07,7.13696499587968e-05
120,120,Yes,No,No,1.0,1.8091858464686084e-06,2.3514494387200102e-06
121,121,Yes,No,No,1.0,1.6323052420830209e-07,0.09820936620235443
122,122,Yes,No,No,1.0,2.454686693909025e-07,6.85036525283067e-07
123,123,Yes,No,No,1.0,3.3998448998318054e-06,5.568370397668332e-06
124,124,Yes,No,No,1.0,7.379665589724027e-07,8.73684766702354e-05
125,125,Yes,Yes,No,1.0,1.0,5.83095129513822e-07
126,126,Yes,No,No,1.0,2.7774183308793e-07,1.1017054646345059e-07
127,127,Yes,No,No,1.0,4.762463845509046e-07,1.7113048897954286e-06
128,128,Yes,No,No,1.0,4.2658376742110704e-07,4.652951872685662e-07
129,129,Yes,No,No,1.0,8.69748248533142e-07,1.5293417163775302e-06
130,130,Yes,No,No,1.0,4.7198173547258193e-07,0.0006178714684210718
131,131,Yes,No,No,0.9999999403953552,9.130590115091763e-06,1.25847932963552e-07
132,132,Yes,No,No,1.0,8.735722190067463e-08,9.991115348384483e-07
133,133,Yes,No,No,1.0,3.123884937394905e-07,8.366164934159315e-07
134,134,Yes,No,No,1.0,3.9620655911676295e-07,4.646088314075314e-07
135,135,Yes,No,No,1.0,9.573777788318694e-07,4.7274340886360733e-07
136,136,Yes,No,No,1.0,2.835673456047516e-07,1.3594328720500926e-06
137,137,Yes,No,No,1.0,2.6947654419018363e-07,1.4599989128782909e-07
138,138,Yes,No,No,1.0,1.6173393646568002e-07,3.010111981893715e-07
139,139,Yes,No,No,1.0,5.16575539677433e-07,7.617798587489233e-07
140,140,Yes,No,No,1.0,3.319539246149361e-06,1.726132268231595e-07
141,141,Yes,No,No,1.0,2.6615501269589004e-07,1.7701488275179145e-07
142,142,Yes,No,No,1.0,5.666611855303927e-07,1.6115002665628708e-07
143,143,Yes,No,No,1.0,1.6497219803568441e-06,1.252651600225363e-07
144,144,Yes,No,No,1.0,2.712313289521262e-07,1.0599487723084167e-05
145,145,Yes,No,No,0.9999999403953552,9.987222438212484e-05,2.90737152681686e-05
146,146,Yes,Yes,No,0.9999998807907104,0.9999999403953552,0.0037510429974645376
147,147,Yes,No,No,1.0,9.189858474201174e-08,9.523280368739506e-07
148,148,Yes,No,No,1.0,3.9653554040341987e-07,7.644994184374809e-07
149,149,Yes,No,Yes,1.0,4.62395973954699e-07,0.9999101161956787
150,150,Yes,No,No,0.9999999403953552,0.0004640474799089134,8.496059308527038e-06
151,151,No,No,No,1.7099348781357548e-07,2.8799732376683096e-07,1.1591018846957013e-06
152,152,Yes,No,No,1.0,1.1915116715499607e-07,2.6994928248313954e-07
153,153,Yes,No,No,1.0,2.7331998353474773e-07,1.2309403985000245e-07
154,154,Yes,No,No,1.0,7.070634637784678e-07,2.6644295303412946e-06
155,155,Yes,No,No,1.0,0.0004591697652358562,1.8555728331648425e-07
156,156,Yes,No,No,1.0,4.5967229311827396e-07,3.331208790768869e-05
157,157,Yes,No,No,1.0,3.1013314583105966e-06,2.6435404265612306e-07
158,158,Yes,No,No,1.0,2.935296095074591e-07,9.019017852551769e-07
159,159,Yes,No,No,1.0,2.6075085202137416e-07,7.2975799412233755e-06
160,160,Yes,No,No,1.0,2.4109064611366193e-07,1.3408700283434882e-07
161,161,Yes,No,No,1.0,2.7608410846369225e-07,1.6463212659800774e-07
162,162,Yes,No,No,1.0,4.803976594303094e-07,3.580402392344695e-07
163,163,Yes,No,No,1.0,5.738712616221164e-07,3.22072128255968e-06
164,164,Yes,No,No,1.0,1.5373004202956508e-07,3.861149707518052e-06
165,165,Yes,No,No,1.0,4.3247516146038834e-07,2.045299879682716e-06
166,166,Yes,No,No,1.0,2.8552148023663904e-07,3.30849587726334e-07
167,167,Yes,No,No,1.0,7.674695012838129e-08,6.927989204541518e-08
168,168,No,No,No,0.14487098157405853,1.603582546749749e-07,2.68208566467365e-07
169,169,Yes,No,Yes,1.0,0.11386324465274811,0.9999999403953552
170,170,Yes,No,No,1.0,7.03217267528089e-07,4.8864385462366045e-06
171,171,No,No,No,0.18827612698078156,4.7120090584940044e-07,6.114130428613862e-07
172,172,Yes,No,No,1.0,5.511786298484367e-07,9.058438195097551e-07
173,173,Yes,No,No,1.0,3.7525299489971076e-07,5.703061560780043e-07
174,174,Yes,No,No,1.0,2.152098090846266e-07,1.3384013186623633e-07
175,175,Yes,No,No,1.0,2.3814470750949113e-07,3.1562085496261716e-06
176,176,Yes,No,No,1.0,3.236070540424407e-07,1.404993327014381e-06
177,177,Yes,No,No,1.0,4.9145186494570225e-05,5.713178552468889e-07
178,178,Yes,No,No,1.0,3.4074787436111365e-07,2.6492966753721703e-06
179,179,No,No,No,0.00010803445911733434,1.4841059964965098e-05,3.768099122680724e-05
180,180,No,No,No,0.019405001774430275,8.111428542179056e-07,1.8129394163679535e-07
181,181,Yes,No,No,1.0,1.1490631379729166e-07,0.03743773326277733
182,182,No,No,No,0.003292319132015109,2.845811479801341e-07,5.355425400921376e-07
183,183,Yes,No,No,1.0,1.7350123471260304e-07,0.0006516228313557804
184,184,No,No,No,0.0016676561208441854,3.321884207707626e-07,1.561077311862391e-07
185,185,Yes,No,No,1.0,2.750545888829947e-07,1.0614467100822367e-06
186,186,Yes,No,No,0.9968560934066772,3.8136002444844053e-07,6.81885467201937e-07
187,187,Yes,No,No,1.0,2.7108367817163526e-07,1.7861317758161022e-07
188,188,Yes,No,No,1.0,1.1275510303221381e-07,0.004174015484750271
189,189,Yes,No,No,1.0,7.676443942727929e-07,1.239471089320432e-06
190,190,Yes,No,No,1.0,3.00649162454647e-07,1.8452272342983633e-05
191,191,Yes,No,No,0.9999991059303284,3.5144435628353676e-07,2.433475401630858e-06
192,192,Yes,No,No,0.9999999403953552,1.100064218917396e-05,1.4246406863094307e-06
193,193,Yes,No,No,1.0,2.430017218557623e-07,0.009849311783909798
194,194,Yes,No,No,1.0,4.3431577978481073e-07,0.02565511129796505
195,195,Yes,No,No,1.0,6.091451609790965e-07,9.211088581650984e-06
196,196,Yes,No,No,1.0,3.644027231075597e-07,4.64532058686018e-05
197,197,Yes,No,No,1.0,2.678100656794413e-07,5.5191185310832225e-06
198,198,Yes,Yes,No,1.0,0.999991238117218,7.426053798553767e-07
199,199,Yes,No,No,1.0,1.774367035523028e-07,1.5115091400730307e-07
200,200,Yes,No,No,1.0,8.642023203719873e-07,9.725071095090243e-07
201,201,Yes,No,No,1.0,1.7004136054765695e-07,3.4424620025674812e-06
202,202,Yes,No,No,1.0,5.510456730917213e-07,1.2967810789632495e-06
203,203,Yes,No,No,1.0,1.3086149408536585e-07,3.6541946428769734e-06
204,204,Yes,No,No,1.0,3.6421199183678254e-05,0.007452510297298431
205,205,Yes,No,No,1.0,1.8802630563641287e-07,2.9811415060976287e-06
206,206,Yes,No,Yes,1.0,2.2793022935729823e-07,0.871336042881012
207,207,Yes,No,No,1.0,3.037254145965562e-07,0.05548481270670891
208,208,No,No,No,1.7312349598341825e-07,1.8867761752972e-07,2.751311740212259e-06
209,209,Yes,No,No,1.0,2.4828796085785143e-07,2.085826054099016e-07
210,210,Yes,No,No,1.0,2.8842265464845696e-07,1.4562727983502555e-06
211,211,Yes,No,No,1.0,2.7495167387314723e-07,3.637063628048054e-06
212,212,Yes,No,No,1.0,8.612144597464066e-07,9.422377189594044e-08
213,213,Yes,No,No,1.0,7.448237511198386e-07,1.2901735146897408e-07
214,214,Yes,No,No,1.0,2.3438690277544083e-07,6.613040568481665e-07
215,215,Yes,No,No,1.0,1.3172481772016909e-07,6.764379918422492e-07
216,216,Yes,No,No,1.0,4.970768259227043e-07,0.2821628153324127
217,217,Yes,No,Yes,1.0,9.407569336872257e-07,0.9998568296432495
218,218,Yes,No,No,1.0,6.184377070894698e-06,0.3920624256134033
219,219,Yes,No,No,1.0,6.458407710852043e-07,1.0636985052769887e-06
220,220,Yes,No,No,1.0,1.6481169495818904e-07,6.571370363417373e-07
221,221,Yes,No,No,1.0,0.0003127980453427881,1.432522509503542e-07
222,222,Yes,No,No,1.0,2.0429040148428612e-07,6.705311506038925e-08
223,223,Yes,No,No,1.0,1.5708424427884893e-07,3.1269243550013925e-07
224,224,No,No,No,0.0009225141257047653,5.800245617137989e-08,3.194207067735988e-07
225,225,Yes,No,No,1.0,2.882257490455231e-07,7.053640160847863e-07
226,226,Yes,No,No,1.0,2.8862561407549947e-07,3.1825899782234046e-07
227,227,Yes,No,No,1.0,1.7897525594889885e-07,1.6416915116224118e-07
228,228,Yes,No,No,1.0,2.4498092443536734e-07,4.204059951007366e-05
229,229,Yes,No,No,1.0,1.4878103229420958e-06,9.582049642631318e-07
230,230,Yes,No,No,1.0,3.9674770846431784e-07,9.432558840671845e-07
231,231,Yes,No,No,1.0,2.4449948909932573e-07,0.0003090467944275588
232,232,Yes,No,No,1.0,2.5538479349052068e-06,3.1459990168514196e-07
233,233,Yes,No,No,1.0,0.0001916353648994118,0.017741693183779716
234,234,Yes,Yes,No,1.0,0.9999999403953552,1.524055278423475e-06
235,235,Yes,Yes,No,1.0,0.9999999403953552,2.427408389849006e-07
236,236,Yes,No,No,1.0,3.710422049607587e-07,5.912036158406409e-07
237,237,Yes,No,No,1.0,6.246731913961412e-07,1.244347572537663e-06
238,238,Yes,No,No,1.0,6.912563890182355e-07,3.461854066699743e-05
239,239,Yes,No,No,1.0,2.563512566666759e-07,1.0115743407368427e-06
240,240,Yes,No,No,1.0,9.361165780319425e-07,8.159975664057129e-07
241,241,Yes,No,No,1.0,3.573486822006089e-07,3.67761543884626e-07
242,242,Yes,No,No,1.0,3.152573810893955e-07,1.0485707662155619e-06
243,243,Yes,No,No,1.0,1.5897003891041095e-07,2.1474843947544286e-07
244,244,Yes,No,No,0.9999997019767761,4.4504403717837704e-07,5.295552796269476e-07
245,245,Yes,Yes,Yes,1.0,1.0,0.6913612484931946
246,246,Yes,No,No,1.0,4.4013287947564095e-07,6.99582597007975e-06
247,247,Yes,No,No,1.0,3.0864799782648333e-07,1.6293462579142215e-07
248,248,Yes,No,No,1.0,3.698063437695964e-07,2.968477872400399e-07
249,249,Yes,No,Yes,1.0,4.2831689484046365e-07,1.0
250,250,Yes,No,No,1.0,1.2589782727445709e-06,1.2223946441736189e-06
251,251,Yes,No,No,1.0,1.3195615622407786e-07,1.1973679647780955e-07
252,252,Yes,No,No,1.0,1.3064791914985108e-07,1.6482968590025848e-07
253,253,Yes,No,No,1.0,7.264378041327291e-07,1.702227223177033e-06
254,254,Yes,No,No,1.0,6.584414222743362e-07,2.9262457701406674e-06
255,255,Yes,Yes,No,1.0,0.9999999403953552,2.364635292906314e-06
256,256,Yes,No,No,1.0,1.9570371989630075e-07,0.043505504727363586
257,257,Yes,No,No,1.0,4.140899250160146e-07,3.161914605698257e-07
258,258,Yes,No,No,1.0,4.140899250160146e-07,9.684628139439155e-07
259,259,Yes,Yes,Yes,1.0,1.0,0.9999945163726807
260,260,Yes,No,No,1.0,2.9321631700440776e-07,0.447442889213562
261,261,Yes,No,No,1.0,6.013806910232233e-07,4.3278694761283987e-07
262,262,Yes,No,No,1.0,3.327035642541887e-07,6.957629352655204e-07
263,263,Yes,No,No,1.0,1.1725471438239765e-07,2.0276903001104074e-07
264,264,Yes,No,No,1.0,3.33496927851229e-07,8.935805340115621e-08
265,265,Yes,No,No,1.0,2.1820839890551724e-07,8.933565709412505e-07
266,266,Yes,No,No,0.9999993443489075,3.12669794766407e-06,2.7495800623000832e-06
267,267,Yes,No,No,1.0,2.8896135972900083e-07,0.040284305810928345
268,268,Yes,No,No,1.0,1.0522084892272687e-07,0.0001749046496115625
269,269,Yes,No,No,1.0,3.9472388380090706e-07,6.470682274084538e-05
270,270,Yes,No,No,1.0,7.889433391028433e-07,1.5547169596175081e-06
271,271,Yes,No,No,1.0,1.4560750116743293e-07,8.940274938140647e-07
272,272,Yes,No,No,1.0,1.4896795619279146e-07,3.733427718088933e-07
273,273,Yes,No,No,1.0,2.627066533023026e-05,1.348694695479935e-06
274,274,Yes,No,No,1.0,1.8298665338534192e-07,1.31061227648388e-07
275,275,Yes,No,No,1.0,1.0359981672536378e-07,9.180508442341306e-08
276,276,Yes,No,No,1.0,3.0079942803240556e-07,3.710677276558272e-07
277,277,Yes,No,No,1.0,1.3266570022096857e-05,7.781272302054276e-07
278,278,Yes,No,No,1.0,2.93195796530199e-07,7.233825840557984e-07
279,279,Yes,No,No,1.0,4.1107915649263305e-07,6.71075213176664e-07
280,280,Yes,No,No,1.0,7.93087735928566e-07,4.7054626861608995e-07
281,281,Yes,No,No,1.0,2.384679191891337e-07,8.299721798721293e-07
282,282,Yes,No,No,1.0,6.270999506341468e-07,6.749705221409386e-07
283,283,Yes,No,No,1.0,1.8572423243767844e-07,1.115756589342709e-07
284,284,Yes,No,No,1.0,3.572642697236006e-07,1.91702883967082e-06
285,285,Yes,No,No,1.0,3.102942685018206e-07,5.212846758695378e-07
286,286,Yes,No,No,1.0,1.6054450213687232e-07,3.0285886509773263e-07
287,287,Yes,No,No,1.0,3.3761602935555857e-07,1.4842396467429353e-07
288,288,Yes,No,No,1.0,3.625197280143766e-07,2.3275261185062845e-07
289,289,Yes,No,No,0.9999999403953552,2.6272579134456464e-07,0.00019108358537778258
290,290,Yes,No,No,1.0,2.688583151666535e-07,3.0973069442552514e-06
291,291,Yes,No,No,1.0,2.70215963382725e-07,4.300151431380073e-06
292,292,Yes,No,No,1.0,2.8869598622804915e-07,2.8029810437146807e-06
