idx,hypernym_score,negative_score
1,-3.084754705429077,-3.550546646118164
2,-3.084754705429077,-4.37843656539917
3,-3.084754705429077,-4.081038475036621
4,-3.084754705429077,-3.714900016784668
5,-2.7440907955169678,-3.7345077991485596
6,-2.7440907955169678,-3.505800724029541
7,-2.7440907955169678,-3.7722511291503906
8,-2.7440907955169678,-3.4069132804870605
9,-3.3133254051208496,-4.39406681060791
10,-3.3133254051208496,-4.081432342529297
11,-3.3133254051208496,-3.672494411468506
12,-3.3133254051208496,-3.5123772621154785
13,-3.9685425758361816,-5.061485290527344
14,-3.9685425758361816,-4.8859429359436035
15,-3.9685425758361816,-5.6681036949157715
16,-3.9685425758361816,-5.287148952484131
17,-3.5255985260009766,-4.318258762359619
18,-3.5255985260009766,-5.386205673217773
19,-3.5255985260009766,-5.198321342468262
20,-3.5255985260009766,-4.9470534324646
21,-3.3613414764404297,-4.672946929931641
22,-3.3613414764404297,-5.147216796875
23,-3.3613414764404297,-5.199760437011719
24,-3.3613414764404297,-4.568300724029541
25,-3.548398017883301,-4.465163230895996
26,-3.548398017883301,-4.484225749969482
27,-3.548398017883301,-4.650611400604248
28,-3.548398017883301,-4.974298477172852
29,-3.857186794281006,-4.795091152191162
30,-3.857186794281006,-4.941702842712402
31,-3.857186794281006,-4.965231895446777
32,-3.857186794281006,-5.135381698608398
33,-3.8419761657714844,-5.096974849700928
34,-3.8419761657714844,-4.842156410217285
35,-3.8419761657714844,-4.6775712966918945
36,-3.8419761657714844,-4.939908981323242
37,-3.6422832012176514,-4.459964275360107
38,-3.6422832012176514,-4.6775712966918945
39,-3.6422832012176514,-4.576875686645508
40,-3.6422832012176514,-4.70526647567749
41,-4.003992080688477,-5.06014347076416
42,-4.003992080688477,-4.089454174041748
43,-4.003992080688477,-4.9774932861328125
44,-4.003992080688477,-4.834874153137207
45,-3.076519012451172,-4.598491668701172
46,-3.076519012451172,-3.120274305343628
47,-3.076519012451172,-4.380967140197754
48,-3.076519012451172,-4.505354881286621
49,-2.680952787399292,-3.748152732849121
50,-2.680952787399292,-5.355045795440674
51,-2.680952787399292,-4.426629066467285
52,-2.680952787399292,-4.237644672393799
53,-3.901258945465088,-5.139008522033691
54,-3.901258945465088,-5.357726573944092
55,-3.901258945465088,-5.5440802574157715
56,-3.901258945465088,-4.502540111541748
57,-4.255623817443848,-5.0124430656433105
58,-4.255623817443848,-5.156558513641357
59,-4.255623817443848,-4.561402320861816
60,-4.255623817443848,-5.387667655944824
61,-3.304982900619507,-4.155167102813721
62,-3.304982900619507,-4.417018890380859
63,-3.304982900619507,-4.710660457611084
64,-3.304982900619507,-4.123093605041504
65,-3.394084930419922,-5.231982707977295
66,-3.394084930419922,-4.945398330688477
67,-3.394084930419922,-4.760045528411865
68,-3.394084930419922,-4.464687347412109
69,-3.4131484031677246,-5.5950703620910645
70,-3.4131484031677246,-4.321872711181641
71,-3.4131484031677246,-4.326480388641357
72,-3.4131484031677246,-4.677645206451416
73,-3.8242955207824707,-4.79306173324585
74,-3.8242955207824707,-4.175015926361084
75,-3.8242955207824707,-4.471388816833496
76,-3.8242955207824707,-4.454195022583008
77,-3.255943536758423,-3.769598960876465
78,-3.255943536758423,-4.193831443786621
79,-3.255943536758423,-4.523564338684082
80,-3.255943536758423,-3.6620492935180664
81,-4.1075944900512695,-4.22743034362793
82,-4.1075944900512695,-4.742740154266357
83,-4.1075944900512695,-5.643439292907715
84,-4.1075944900512695,-4.3922247886657715
85,-3.5761055946350098,-4.753604888916016
86,-3.5761055946350098,-5.459136009216309
87,-3.5761055946350098,-4.443501949310303
88,-3.5761055946350098,-4.395434379577637
89,-4.221558570861816,-5.253308296203613
90,-4.221558570861816,-4.764735698699951
91,-4.221558570861816,-4.948529243469238
92,-4.221558570861816,-4.770513534545898
93,-3.7100257873535156,-4.888299465179443
94,-3.7100257873535156,-4.74189567565918
95,-3.7100257873535156,-4.655632019042969
96,-3.7100257873535156,-4.7990899085998535
97,-3.5406134128570557,-4.368229866027832
98,-3.5406134128570557,-4.360301971435547
99,-3.5406134128570557,-3.7258598804473877
100,-3.5406134128570557,-3.966002941131592
101,-3.380523443222046,-4.034083366394043
102,-3.380523443222046,-4.101011276245117
