idx,hypernym_score,negative_score
1,-3.6160855293273926,-4.389531135559082
2,-3.6160855293273926,-4.43808650970459
3,-3.6160855293273926,-3.7638814449310303
4,-3.6160855293273926,-4.160645484924316
5,-3.299546718597412,-4.21670389175415
6,-3.299546718597412,-3.990368366241455
7,-3.299546718597412,-4.447108268737793
8,-3.299546718597412,-3.8234715461730957
9,-4.927958011627197,-5.4064531326293945
10,-4.927958011627197,-5.382029056549072
11,-4.927958011627197,-5.194941997528076
12,-4.927958011627197,-4.8512468338012695
13,-3.4347286224365234,-4.023437976837158
14,-3.4347286224365234,-4.025116443634033
15,-3.4347286224365234,-4.48744535446167
16,-3.4347286224365234,-3.821924924850464
17,-3.320697069168091,-3.794133424758911
18,-3.320697069168091,-3.693274736404419
19,-3.320697069168091,-4.0594940185546875
20,-3.320697069168091,-4.004970073699951
21,-2.3620426654815674,-4.192409038543701
22,-2.3620426654815674,-3.6170859336853027
23,-2.3620426654815674,-4.280641078948975
24,-2.3620426654815674,-3.7853245735168457
25,-2.621568441390991,-3.892576217651367
26,-2.621568441390991,-3.9239583015441895
27,-2.621568441390991,-3.390007734298706
28,-2.621568441390991,-4.203601837158203
29,-3.481585741043091,-4.0845489501953125
30,-3.481585741043091,-4.019789695739746
31,-3.481585741043091,-4.593655109405518
32,-3.481585741043091,-4.888006687164307
33,-4.037191390991211,-4.690312385559082
34,-4.037191390991211,-5.039013862609863
35,-4.037191390991211,-4.857088565826416
36,-4.037191390991211,-4.16159200668335
37,-3.381080150604248,-4.381491184234619
38,-3.381080150604248,-4.857088565826416
39,-3.381080150604248,-5.04536247253418
40,-3.381080150604248,-4.757425785064697
41,-4.187755584716797,-4.823304653167725
42,-4.187755584716797,-4.1157546043396
43,-4.187755584716797,-5.169457912445068
44,-4.187755584716797,-4.552796840667725
45,-4.167820930480957,-5.379242420196533
46,-4.167820930480957,-4.030444622039795
47,-4.167820930480957,-3.94557785987854
48,-4.167820930480957,-4.444735527038574
49,-3.28047513961792,-4.544616222381592
50,-3.28047513961792,-5.435715675354004
51,-3.28047513961792,-4.546146869659424
52,-3.28047513961792,-4.737575531005859
53,-3.3590028285980225,-4.756569862365723
54,-3.3590028285980225,-4.418501377105713
55,-3.3590028285980225,-4.488807201385498
56,-3.3590028285980225,-4.0948662757873535
57,-3.702138662338257,-4.423992156982422
58,-3.702138662338257,-3.7172582149505615
59,-3.702138662338257,-4.03244161605835
