idx,hypernym_score,negative_score
1,-3.5001258850097656,-4.32404088973999
2,-3.5001258850097656,-4.452249050140381
3,-3.5001258850097656,-3.7965447902679443
4,-3.5001258850097656,-4.110669136047363
5,-3.389925241470337,-4.173814296722412
6,-3.389925241470337,-3.8975701332092285
7,-3.389925241470337,-4.455434799194336
8,-3.389925241470337,-3.875901460647583
9,-4.886916160583496,-5.2505645751953125
10,-4.886916160583496,-5.400877952575684
11,-4.886916160583496,-5.03521728515625
12,-4.886916160583496,-4.8019561767578125
13,-3.256908655166626,-4.038794040679932
14,-3.256908655166626,-3.897773265838623
15,-3.256908655166626,-4.490849018096924
16,-3.256908655166626,-3.8310089111328125
17,-3.2654941082000732,-3.675429344177246
18,-3.2654941082000732,-3.6278107166290283
19,-3.2654941082000732,-4.11732292175293
20,-3.2654941082000732,-4.076328754425049
21,-2.3042984008789062,-4.166075706481934
22,-2.3042984008789062,-3.590276002883911
23,-2.3042984008789062,-4.309919357299805
24,-2.3042984008789062,-3.9276983737945557
25,-2.7661211490631104,-4.155472755432129
26,-2.7661211490631104,-4.036708831787109
27,-2.7661211490631104,-3.5179760456085205
28,-2.7661211490631104,-4.674529075622559
29,-3.718466281890869,-4.2971510887146
30,-3.718466281890869,-4.413242340087891
31,-3.718466281890869,-4.621204853057861
32,-3.718466281890869,-5.101578712463379
33,-4.008372783660889,-4.619914531707764
34,-4.008372783660889,-4.975938320159912
35,-4.008372783660889,-4.746188163757324
36,-4.008372783660889,-4.18480110168457
37,-3.292647123336792,-4.4586181640625
38,-3.292647123336792,-4.746188163757324
39,-3.292647123336792,-5.311019420623779
40,-3.292647123336792,-4.774484634399414
41,-4.104585647583008,-4.675558090209961
42,-4.104585647583008,-3.8830201625823975
43,-4.104585647583008,-4.933021068572998
44,-4.104585647583008,-4.325602054595947
45,-4.162162780761719,-5.21200704574585
46,-4.162162780761719,-3.702761650085449
47,-4.162162780761719,-3.7594354152679443
48,-4.162162780761719,-4.361081123352051
49,-3.350672721862793,-4.585386753082275
50,-3.350672721862793,-5.137151718139648
51,-3.350672721862793,-4.325596809387207
52,-3.350672721862793,-4.682699203491211
53,-3.701585531234741,-4.831850528717041
54,-3.701585531234741,-4.586334228515625
55,-3.701585531234741,-4.678072929382324
56,-3.701585531234741,-4.249410152435303
57,-3.7481606006622314,-4.564435958862305
58,-3.7481606006622314,-3.856539487838745
59,-3.7481606006622314,-4.276051998138428
60,-3.7481606006622314,-3.3634300231933594
61,-3.9364871978759766,-4.945884704589844
62,-3.9364871978759766,-4.233601093292236
63,-3.9364871978759766,-4.412644863128662
64,-3.9364871978759766,-4.669376850128174
65,-3.7511353492736816,-4.495363235473633
66,-3.7511353492736816,-3.753787040710449
67,-3.7511353492736816,-4.98682975769043
68,-3.7511353492736816,-4.604616165161133
69,-3.998568534851074,-4.131441593170166
70,-3.998568534851074,-4.526226043701172
71,-3.998568534851074,-4.447701930999756
72,-3.998568534851074,-4.902821063995361
73,-4.468425273895264,-5.191920280456543
74,-4.468425273895264,-5.494882106781006
75,-4.468425273895264,-5.525088787078857
76,-4.468425273895264,-5.241703033447266
77,-3.823119640350342,-4.985525608062744
78,-3.823119640350342,-5.3215742111206055
79,-3.823119640350342,-3.867243766784668
80,-3.823119640350342,-4.5566205978393555
81,-3.8372914791107178,-4.3544464111328125
82,-3.8372914791107178,-4.079384803771973
83,-3.8372914791107178,-4.698070526123047
84,-3.8372914791107178,-3.9831957817077637
85,-3.3530633449554443,-4.296714782714844
86,-3.3530633449554443,-4.761626243591309
87,-3.3530633449554443,-4.048181533813477
88,-3.3530633449554443,-3.974642276763916
89,-3.9435524940490723,-5.482053279876709
90,-3.9435524940490723,-4.766522407531738
91,-3.9435524940490723,-5.318152904510498
92,-3.9435524940490723,-4.759592056274414
93,-4.125979900360107,-4.313771724700928
94,-4.125979900360107,-5.184228897094727
95,-4.125979900360107,-5.034066677093506
96,-4.125979900360107,-4.176987171173096
97,-3.6269748210906982,-4.639737129211426
98,-3.6269748210906982,-4.866616725921631
99,-3.6269748210906982,-4.170865058898926
100,-3.6269748210906982,-4.444192409515381
