idx,hypernym_score,negative_score
1,-4.308202266693115,-4.652935981750488
2,-4.308202266693115,-5.02180814743042
3,-4.308202266693115,-5.211680889129639
4,-4.308202266693115,-4.812673568725586
5,-3.8914482593536377,-4.751815319061279
6,-3.8914482593536377,-4.632687568664551
7,-3.8914482593536377,-4.7990217208862305
8,-3.8914482593536377,-4.627936840057373
9,-4.627721786499023,-5.459434509277344
10,-4.627721786499023,-5.0593366622924805
11,-4.627721786499023,-4.70620584487915
12,-4.627721786499023,-4.685190200805664
13,-3.8821918964385986,-5.462714672088623
14,-3.8821918964385986,-4.881189823150635
15,-3.8821918964385986,-5.385434627532959
16,-3.8821918964385986,-5.477856636047363
17,-3.861039161682129,-4.524477481842041
18,-3.861039161682129,-5.536136150360107
19,-3.861039161682129,-5.777151107788086
20,-3.861039161682129,-5.1784539222717285
21,-3.2298645973205566,-4.656014442443848
22,-3.2298645973205566,-5.205367565155029
23,-3.2298645973205566,-5.3046746253967285
24,-3.2298645973205566,-4.982519626617432
25,-3.248929500579834,-4.260562896728516
26,-3.248929500579834,-4.21719217300415
27,-3.248929500579834,-4.79789400100708
28,-3.248929500579834,-4.762783527374268
29,-3.5992515087127686,-4.244161128997803
30,-3.5992515087127686,-4.530620098114014
31,-3.5992515087127686,-5.048376083374023
32,-3.5992515087127686,-4.772749900817871
33,-4.13681173324585,-5.479809761047363
34,-4.13681173324585,-5.1974592208862305
35,-4.13681173324585,-5.312260627746582
36,-4.13681173324585,-5.727263927459717
37,-3.9712629318237305,-5.050507068634033
38,-3.9712629318237305,-5.312260627746582
39,-3.9712629318237305,-5.0720415115356445
40,-3.9712629318237305,-5.247737407684326
41,-4.514763832092285,-5.68825626373291
42,-4.514763832092285,-4.445259094238281
43,-4.514763832092285,-5.156901836395264
44,-4.514763832092285,-4.930266857147217
45,-4.470215797424316,-5.6356635093688965
46,-4.470215797424316,-4.673655033111572
47,-4.470215797424316,-5.777372360229492
48,-4.470215797424316,-5.726442813873291
49,-4.264636993408203,-4.94672966003418
50,-4.264636993408203,-6.1776204109191895
51,-4.264636993408203,-5.709549427032471
52,-4.264636993408203,-5.3624444007873535
53,-3.7098727226257324,-4.470986843109131
54,-3.7098727226257324,-5.3238959312438965
55,-3.7098727226257324,-5.176209449768066
56,-3.7098727226257324,-4.314934730529785
57,-3.777988910675049,-4.988159656524658
58,-3.777988910675049,-4.651892185211182
59,-3.777988910675049,-4.614148139953613
