idx,hypernym_score,negative_score
1,-4.4357733726501465,-5.185362339019775
2,-4.4357733726501465,-5.579153537750244
3,-4.4357733726501465,-5.584714412689209
4,-4.4357733726501465,-5.241944313049316
5,-4.298359394073486,-5.227949142456055
6,-4.298359394073486,-5.068748474121094
7,-4.298359394073486,-5.287724018096924
8,-4.298359394073486,-4.905437469482422
9,-6.01016902923584,-6.411837100982666
10,-6.01016902923584,-6.281671524047852
11,-6.01016902923584,-5.872595310211182
12,-6.01016902923584,-5.872074604034424
13,-4.909967422485352,-5.804611682891846
14,-4.909967422485352,-5.801840782165527
15,-4.909967422485352,-5.996750831604004
16,-4.909967422485352,-6.162491321563721
17,-4.89451789855957,-5.509487152099609
18,-4.89451789855957,-6.1638665199279785
19,-4.89451789855957,-6.35362434387207
20,-4.89451789855957,-5.889296054840088
21,-4.09999418258667,-5.616189479827881
22,-4.09999418258667,-6.031479835510254
23,-4.09999418258667,-6.100273132324219
24,-4.09999418258667,-5.674724578857422
25,-4.381607532501221,-5.621109962463379
26,-4.381607532501221,-5.5707831382751465
27,-4.381607532501221,-5.813884258270264
28,-4.381607532501221,-5.928740978240967
29,-5.02289342880249,-5.54869270324707
30,-5.02289342880249,-5.535098552703857
31,-5.02289342880249,-5.859968662261963
32,-5.02289342880249,-5.819302558898926
33,-5.754356384277344,-6.762749671936035
34,-5.754356384277344,-6.591037750244141
35,-5.754356384277344,-6.622234344482422
36,-5.754356384277344,-6.92077112197876
37,-5.51656436920166,-6.164362907409668
38,-5.51656436920166,-6.622234344482422
39,-5.51656436920166,-6.314063549041748
40,-5.51656436920166,-6.560507774353027
41,-5.330355167388916,-6.690903186798096
42,-5.330355167388916,-5.428484916687012
43,-5.330355167388916,-6.205513954162598
44,-5.330355167388916,-5.996706485748291
45,-4.731663703918457,-5.441965103149414
46,-4.731663703918457,-5.013164520263672
47,-4.731663703918457,-5.875911712646484
48,-4.731663703918457,-5.778595924377441
49,-4.675861358642578,-5.264218807220459
50,-4.675861358642578,-6.04210090637207
51,-4.675861358642578,-5.561938285827637
