model,model-type,concept1,concept2,sim_lhs_pooled,sim_pooled,img_raw_counts,source
llava-hf/llava-1.5-7b-hf,vlm,giraffe,mammal,0.93603515625,0.4599609375,"(24, 1378)",img-sim
llava-hf/llava-1.5-7b-hf,vlm,giraffe,vertebrate,0.93359375,0.450439453125,"(24, 2112)",img-sim
llava-hf/llava-1.5-7b-hf,vlm,giraffe,animal,0.93017578125,0.428466796875,"(24, 2737)",img-sim
llava-hf/llava-1.5-7b-hf,vlm,mammal,vertebrate,0.9384765625,0.440185546875,"(1378, 2112)",img-sim
llava-hf/llava-1.5-7b-hf,vlm,mammal,animal,0.9365234375,0.425048828125,"(1378, 2737)",img-sim
llava-hf/llava-1.5-7b-hf,vlm,vertebrate,animal,0.9375,0.427978515625,"(2112, 2737)",img-sim
llava-hf/llava-1.5-7b-hf,vlm,rabbit,mammal,0.94091796875,0.48779296875,"(14, 1378)",img-sim
llava-hf/llava-1.5-7b-hf,vlm,rabbit,vertebrate,0.939453125,0.482666015625,"(14, 2112)",img-sim
llava-hf/llava-1.5-7b-hf,vlm,rabbit,animal,0.9375,0.4716796875,"(14, 2737)",img-sim
llava-hf/llava-1.5-7b-hf,vlm,owl,bird of prey,0.95654296875,0.650390625,"(27, 82)",img-sim
llava-hf/llava-1.5-7b-hf,vlm,owl,bird,0.9453125,0.53857421875,"(27, 487)",img-sim
llava-hf/llava-1.5-7b-hf,vlm,owl,vertebrate,0.9404296875,0.464111328125,"(27, 2112)",img-sim
llava-hf/llava-1.5-7b-hf,vlm,owl,animal,0.93896484375,0.447998046875,"(27, 2737)",img-sim
llava-hf/llava-1.5-7b-hf,vlm,bird of prey,bird,0.95068359375,0.54052734375,"(82, 487)",img-sim
llava-hf/llava-1.5-7b-hf,vlm,bird of prey,vertebrate,0.94140625,0.4638671875,"(82, 2112)",img-sim
llava-hf/llava-1.5-7b-hf,vlm,bird of prey,animal,0.94091796875,0.447998046875,"(82, 2737)",img-sim
llava-hf/llava-1.5-7b-hf,vlm,bird,vertebrate,0.9404296875,0.455322265625,"(487, 2112)",img-sim
llava-hf/llava-1.5-7b-hf,vlm,bird,animal,0.93994140625,0.44189453125,"(487, 2737)",img-sim
