model_class,metric,score,pvalue,eff_size
vicuna-7b,v_wn_lda,0.43098693573235225,0.0,0
vicuna-7b,v_s_wn_lda,0.35644845724716495,0.0,0
vicuna-7b,v_wn_mean,0.4223863476423738,0.0,0
vicuna-7b,v_s_wn_mean,0.3557508564391579,0.0,0
vicuna-7b,l_wn_lda,0.43176340857789214,0.0,0
vicuna-7b,l_s_wn_lda,0.3672364803888895,0.0,0
vicuna-7b,l_wn_mean,0.42287107453552375,0.0,0
vicuna-7b,l_s_wn_mean,0.3683927856228824,0.0,0
vicuna-7b,v_l_lda,0.9998238658693345,0.0,0
vicuna-7b,v_l_mean,0.9998569186409069,0.0,0
vicuna-7b,v_l_non_param_lda_diff,0.000776991668689484,4.3971135541818935e-18,0.8668016930731772
vicuna-7b,v_l_non_param_diff,0.0005331989900654688,2.0195637546078604e-17,0.8492662363707844
qwen2-7b-molmo,v_wn_lda,0.3789939773180567,0.0,0
qwen2-7b-molmo,v_s_wn_lda,0.2313890676843828,0.0,0
qwen2-7b-molmo,v_wn_mean,0.3759697348428725,0.0,0
qwen2-7b-molmo,v_s_wn_mean,0.23457551138205185,0.0,0
qwen2-7b-molmo,l_wn_lda,0.39902734676090384,0.0,0
qwen2-7b-molmo,l_s_wn_lda,0.2309114120837236,0.0,0
qwen2-7b-molmo,l_wn_mean,0.38972124078196363,0.0,0
qwen2-7b-molmo,l_s_wn_mean,0.233461337052897,0.0,0
qwen2-7b-molmo,v_l_lda,0.961095735606977,0.0,0
qwen2-7b-molmo,v_l_mean,0.9544470346108808,0.0,0
qwen2-7b-molmo,v_l_non_param_lda_diff,0.02039738222326344,3.896559845095909e-18,0.8681770230106196
qwen2-7b-molmo,v_l_non_param_diff,0.012531292820667773,8.472927436574743e-15,0.7760299172019678
llama-3.1-8b,v_wn_lda,0.4035733137272634,0.0,0
llama-3.1-8b,v_s_wn_lda,0.2297189589395017,0.0,0
llama-3.1-8b,v_wn_mean,0.3894417459205329,0.0,0
llama-3.1-8b,v_s_wn_mean,0.23052942356360043,0.0,0
llama-3.1-8b,l_wn_lda,0.4055494753264072,0.0,0
llama-3.1-8b,l_s_wn_lda,0.2293107258275358,0.0,0
llama-3.1-8b,l_wn_mean,0.39082230501056653,0.0,0
llama-3.1-8b,l_s_wn_mean,0.23006398503448208,0.0,0
llama-3.1-8b,v_l_lda,0.9993752896108025,0.0,0
llama-3.1-8b,v_l_mean,0.9996115841586766,0.0,0
llama-3.1-8b,v_l_non_param_lda_diff,0.0017176597494086754,7.333806979251821e-18,0.8609565408390463
llama-3.1-8b,v_l_non_param_diff,0.0014533222426853804,1.3329700507875106e-17,0.8540798911518334
qwen2-7b-llava-ov,v_wn_lda,0.39642585414681736,0.0,0
qwen2-7b-llava-ov,v_s_wn_lda,0.23989296439663532,0.0,0
qwen2-7b-llava-ov,v_wn_mean,0.3913961087791058,0.0,0
qwen2-7b-llava-ov,v_s_wn_mean,0.24722557493000033,0.0,0
qwen2-7b-llava-ov,l_wn_lda,0.39902734676090384,0.0,0
qwen2-7b-llava-ov,l_s_wn_lda,0.2309114120837236,0.0,0
qwen2-7b-llava-ov,l_wn_mean,0.38972124078196363,0.0,0
qwen2-7b-llava-ov,l_s_wn_mean,0.233461337052897,0.0,0
qwen2-7b-llava-ov,v_l_lda,0.9948431148769445,0.0,0
qwen2-7b-llava-ov,v_l_mean,0.995743344478325,0.0,0
qwen2-7b-llava-ov,v_l_non_param_lda_diff,0.0027664878905517844,3.5385909819756535e-11,0.6622213648785954
qwen2-7b-llava-ov,v_l_non_param_diff,-0.0018102342464814598,1.1632821704386496e-06,0.48617913288594705
llama-3.1.8b-instruct,v_wn_lda,0.40357329734968517,0.0,0
llama-3.1.8b-instruct,v_s_wn_lda,0.22971899992891154,0.0,0
llama-3.1.8b-instruct,v_wn_mean,0.38944174177781266,0.0,0
llama-3.1.8b-instruct,v_s_wn_mean,0.23052941592657603,0.0,0
llama-3.1.8b-instruct,l_wn_lda,0.4035727747745303,0.0,0
llama-3.1.8b-instruct,l_s_wn_lda,0.22973013199630576,0.0,0
llama-3.1.8b-instruct,l_wn_mean,0.3894340533706026,0.0,0
llama-3.1.8b-instruct,l_s_wn_mean,0.230541912950993,0.0,0
llama-3.1.8b-instruct,v_l_lda,0.999999871305479,0.0,0
llama-3.1.8b-instruct,v_l_mean,0.9999999357035961,0.0,0
llama-3.1.8b-instruct,v_l_non_param_lda_diff,-1.2287794500120963e-06,0.47238131655432447,0.07186098923137407
llama-3.1.8b-instruct,v_l_non_param_diff,-8.029773008055851e-06,4.360082482018146e-10,0.6240559591145642
mistral-7b,v_wn_lda,0.41820237208124117,0.0,0
mistral-7b,v_s_wn_lda,0.3615370378404426,0.0,0
mistral-7b,v_wn_mean,0.41021400151771076,0.0,0
mistral-7b,v_s_wn_mean,0.3623325117831992,0.0,0
mistral-7b,l_wn_lda,0.41826133813125854,0.0,0
mistral-7b,l_s_wn_lda,0.3402591318305075,0.0,0
mistral-7b,l_wn_mean,0.4101786304693142,0.0,0
mistral-7b,l_s_wn_mean,0.3389987648284931,0.0,0
mistral-7b,v_l_lda,0.999844233541223,0.0,0
mistral-7b,v_l_mean,0.9998770314457407,0.0,0
mistral-7b,v_l_non_param_lda_diff,0.00011251635671819859,0.02325042905695826,0.22692943967802343
mistral-7b,v_l_non_param_diff,-6.559980130209475e-05,0.10170516363941541,0.1636642625556653
qwen-2.5-7b-instruct,v_wn_lda,0.3787515657699921,0.0,0
qwen-2.5-7b-instruct,v_s_wn_lda,0.23600899036092574,0.0,0
qwen-2.5-7b-instruct,v_wn_mean,0.38057642260701036,0.0,0
qwen-2.5-7b-instruct,v_s_wn_mean,0.23938652413428868,0.0,0
qwen-2.5-7b-instruct,l_wn_lda,0.4003356907946703,0.0,0
qwen-2.5-7b-instruct,l_s_wn_lda,0.2340388064906284,0.0,0
qwen-2.5-7b-instruct,l_wn_mean,0.39072136296339616,0.0,0
qwen-2.5-7b-instruct,l_s_wn_mean,0.2365796672558952,0.0,0
qwen-2.5-7b-instruct,v_l_lda,0.9561153351400489,0.0,0
qwen-2.5-7b-instruct,v_l_mean,0.9564832174446211,0.0,0
qwen-2.5-7b-instruct,v_l_non_param_lda_diff,0.022720440205938927,3.896559845095909e-18,0.8681770230106196
qwen-2.5-7b-instruct,v_l_non_param_diff,0.011299239249192272,4.159221788308028e-12,0.6931662884710532
