item,label,p_yes
1,Yes,0.8255428075790405
2,Yes,0.9731844663619995
3,Yes,0.9760529398918152
4,Yes,0.976305365562439
5,Yes,0.9604985117912292
6,Yes,0.9591713547706604
7,Yes,0.9625640511512756
8,Yes,0.965171217918396
9,Yes,0.7887551188468933
10,Yes,0.7884172797203064
11,Yes,0.7611393928527832
12,Yes,0.903852641582489
13,Yes,0.7700891494750977
14,Yes,0.7800341248512268
15,Yes,0.8509040474891663
16,Yes,0.8965865969657898
17,Yes,0.9475953578948975
18,Yes,0.9370112419128418
19,Yes,0.9613314270973206
20,Yes,0.9605175256729126
21,Yes,0.6295891404151917
22,Yes,0.6903548836708069
23,Yes,0.8506436347961426
24,Yes,0.8299073576927185
25,Yes,0.7761073708534241
26,Yes,0.6515921354293823
27,Yes,0.8121720552444458
28,Yes,0.7075221538543701
29,Yes,0.8678680062294006
30,Yes,0.9255504012107849
31,Yes,0.9595886468887329
32,Yes,0.9544099569320679
33,Yes,0.9670244455337524
34,Yes,0.9713220596313477
35,Yes,0.9790253043174744
36,Yes,0.971699595451355
37,Yes,0.9747481346130371
38,Yes,0.9617122411727905
39,Yes,0.968640148639679
40,Yes,0.9521980285644531
41,Yes,0.7861156463623047
42,No,0.3098255693912506
43,Yes,0.8780195713043213
44,Yes,0.8871397972106934
45,Yes,0.844554603099823
46,Yes,0.721728503704071
47,Yes,0.8599280714988708
48,Yes,0.8725196123123169
49,Yes,0.966229259967804
50,Yes,0.9643402695655823
51,Yes,0.9579938054084778
52,Yes,0.9588928818702698
53,Yes,0.8372282981872559
54,Yes,0.7837515473365784
55,Yes,0.8925175666809082
56,Yes,0.9129326343536377
57,Yes,0.8037084341049194
58,Yes,0.9399820566177368
59,Yes,0.9261208772659302
60,Yes,0.9331822395324707
61,Yes,0.8586702346801758
62,Yes,0.914978563785553
63,Yes,0.9281957149505615
64,Yes,0.9422762393951416
65,Yes,0.8628693222999573
66,Yes,0.8323202133178711
67,Yes,0.9527612924575806
68,Yes,0.9278173446655273
69,Yes,0.6942784786224365
70,Yes,0.7751797437667847
71,Yes,0.818228006362915
72,Yes,0.8460298776626587
73,Yes,0.802489161491394
74,Yes,0.8549187779426575
75,Yes,0.9363563060760498
76,Yes,0.9244072437286377
77,Yes,0.8185060620307922
78,Yes,0.8081790208816528
79,Yes,0.5788406133651733
80,Yes,0.6719099283218384
81,Yes,0.9225571751594543
82,Yes,0.9369508028030396
83,Yes,0.5133776068687439
84,Yes,0.6393575072288513
85,Yes,0.8731387257575989
86,Yes,0.8652806878089905
87,Yes,0.9141477942466736
88,Yes,0.9317824840545654
89,Yes,0.9874392151832581
90,Yes,0.9792538285255432
91,Yes,0.9771251082420349
92,Yes,0.974821150302887
93,Yes,0.8963044285774231
94,Yes,0.926374077796936
95,Yes,0.8835492134094238
96,Yes,0.9531684517860413
97,Yes,0.9625077247619629
98,Yes,0.9729251265525818
99,Yes,0.9551909565925598
100,Yes,0.9600914716720581
101,Yes,0.8540201783180237
102,Yes,0.8843312859535217
103,Yes,0.9284986257553101
104,Yes,0.9015117883682251
105,Yes,0.9375534057617188
106,Yes,0.8558430671691895
107,Yes,0.9476209282875061
108,Yes,0.936373233795166
109,Yes,0.9487699866294861
110,Yes,0.9313018321990967
111,Yes,0.9454950094223022
112,Yes,0.9308682084083557
113,Yes,0.9384773373603821
114,Yes,0.915596067905426
115,Yes,0.9473082423210144
116,Yes,0.9350882172584534
117,Yes,0.8943162560462952
118,Yes,0.9094478487968445
119,Yes,0.9368691444396973
120,Yes,0.9238588809967041
121,Yes,0.7727920413017273
122,Yes,0.73652184009552
123,Yes,0.9648516178131104
124,Yes,0.9735220670700073
125,Yes,0.8298898339271545
126,Yes,0.9248980283737183
127,Yes,0.950588583946228
