item,label,p_yes
1,Yes,0.9636849761009216
2,Yes,0.9528135657310486
3,Yes,0.9780349731445312
4,Yes,0.9772788882255554
5,Yes,0.9588609933853149
6,Yes,0.9535872936248779
7,Yes,0.9769108891487122
8,Yes,0.9732015132904053
9,Yes,0.862948477268219
10,Yes,0.8961577415466309
11,Yes,0.9435115456581116
12,Yes,0.9428908228874207
13,Yes,0.918152928352356
14,Yes,0.9094040989875793
15,Yes,0.9625131487846375
16,Yes,0.9585453271865845
17,Yes,0.9401629567146301
18,Yes,0.9352521896362305
19,Yes,0.9630653262138367
20,Yes,0.9577823877334595
21,Yes,0.9470894932746887
22,Yes,0.9500746130943298
23,Yes,0.9611911773681641
24,Yes,0.9510111212730408
25,Yes,0.9523929357528687
26,Yes,0.9586447477340698
27,Yes,0.9605518579483032
28,Yes,0.9540145993232727
29,Yes,0.9524863958358765
30,Yes,0.9522037506103516
31,Yes,0.9689472317695618
32,Yes,0.9672489166259766
33,Yes,0.9638636112213135
34,Yes,0.9685388207435608
35,Yes,0.972349226474762
36,Yes,0.9681578278541565
37,Yes,0.8802877068519592
38,Yes,0.889773428440094
39,Yes,0.9519814252853394
40,Yes,0.9364764094352722
41,Yes,0.8984280824661255
42,Yes,0.8782058954238892
43,Yes,0.9304170608520508
44,Yes,0.8847463726997375
45,Yes,0.8061681389808655
46,Yes,0.7507762312889099
47,Yes,0.9274874925613403
48,Yes,0.8814662098884583
49,Yes,0.8684635758399963
50,Yes,0.8505637049674988
51,Yes,0.9396686553955078
52,Yes,0.9001648426055908
53,Yes,0.883791446685791
54,Yes,0.8529040217399597
55,Yes,0.939678430557251
56,Yes,0.9007987380027771
57,Yes,0.920674204826355
58,Yes,0.9895732402801514
59,Yes,0.9542198181152344
60,Yes,0.994242787361145
61,Yes,0.9367576241493225
62,Yes,0.99527508020401
63,Yes,0.9585555195808411
64,Yes,0.9935259819030762
65,Yes,0.9455081820487976
66,Yes,0.9925848245620728
67,Yes,0.9570546746253967
68,Yes,0.9955838322639465
69,Yes,0.9399782419204712
70,Yes,0.9266418814659119
71,Yes,0.9721207022666931
72,Yes,0.9613338708877563
73,Yes,0.9320876002311707
74,Yes,0.9285079836845398
75,Yes,0.9761151075363159
76,Yes,0.9671980738639832
77,Yes,0.9802277684211731
78,Yes,0.9640389084815979
79,Yes,0.9721881151199341
80,Yes,0.9530942440032959
81,Yes,0.9473161101341248
82,Yes,0.9587444067001343
83,Yes,0.9744258522987366
84,Yes,0.9555168151855469
85,Yes,0.9032413363456726
86,Yes,0.9246199727058411
87,Yes,0.9674405455589294
88,Yes,0.9538320899009705
89,Yes,0.9432395100593567
90,Yes,0.9393401145935059
91,Yes,0.9637506604194641
92,Yes,0.9522548317909241
93,Yes,0.9761630296707153
94,Yes,0.9739951491355896
95,Yes,0.9823472499847412
96,Yes,0.9734966158866882
97,Yes,0.9244216680526733
98,Yes,0.9276546835899353
99,Yes,0.9739649891853333
100,Yes,0.9562634229660034
101,Yes,0.9875267148017883
102,Yes,0.9666042923927307
103,Yes,0.993178129196167
104,Yes,0.9744495153427124
105,Yes,0.9032789468765259
106,Yes,0.9359935522079468
107,Yes,0.9121111631393433
108,Yes,0.9339216947555542
109,Yes,0.7602347135543823
110,Yes,0.8708094954490662
111,Yes,0.8878310322761536
112,Yes,0.9161871075630188
113,Yes,0.8885248303413391
114,Yes,0.9369290471076965
115,Yes,0.9341725707054138
116,Yes,0.9590383768081665
117,Yes,0.8293932676315308
118,Yes,0.9211761951446533
119,Yes,0.9224117398262024
120,Yes,0.9480324387550354
121,Yes,0.9711461067199707
122,Yes,0.9697835445404053
123,Yes,0.9805616140365601
124,Yes,0.9732048511505127
125,Yes,0.9620563387870789
