item,label,p_yes
1,Yes,0.5530250668525696
2,Yes,0.6655932664871216
3,Yes,0.6689925193786621
4,Yes,0.7161099314689636
5,Yes,0.6844865679740906
6,Yes,0.7035520076751709
7,Yes,0.6777621507644653
8,Yes,0.7366064786911011
9,Yes,0.6049380302429199
10,Yes,0.7034223079681396
11,Yes,0.6560940742492676
12,Yes,0.750523567199707
13,Yes,0.6876863837242126
14,Yes,0.6332130432128906
15,Yes,0.6914528608322144
16,Yes,0.6861792802810669
17,Yes,0.743813693523407
18,Yes,0.7535635828971863
19,Yes,0.7305879592895508
20,Yes,0.745190441608429
21,Yes,0.539599597454071
22,No,0.48835259675979614
23,Yes,0.5599386096000671
24,Yes,0.5318562388420105
25,No,0.4909399449825287
26,No,0.46158695220947266
27,Yes,0.5756723880767822
28,Yes,0.5602902770042419
29,Yes,0.6306869387626648
30,Yes,0.5233879685401917
31,Yes,0.6229013800621033
32,Yes,0.5932056903839111
33,Yes,0.746547281742096
34,Yes,0.6048735976219177
35,Yes,0.7384986877441406
36,Yes,0.7032713890075684
37,Yes,0.7306535840034485
38,Yes,0.6925768256187439
39,Yes,0.7589815855026245
40,Yes,0.7355967164039612
41,Yes,0.5735275149345398
42,Yes,0.539253830909729
43,Yes,0.6003463268280029
44,Yes,0.6429231762886047
45,Yes,0.5681332349777222
46,Yes,0.5952073335647583
47,Yes,0.6129076480865479
48,Yes,0.663149893283844
49,Yes,0.6578973531723022
50,Yes,0.695656955242157
51,Yes,0.6675334572792053
52,Yes,0.7241983413696289
53,Yes,0.6887089610099792
54,Yes,0.7456653714179993
55,Yes,0.6621363759040833
56,Yes,0.7062901258468628
57,Yes,0.6411108374595642
58,Yes,0.6712672114372253
59,Yes,0.6338450312614441
60,Yes,0.727081835269928
61,Yes,0.696631908416748
62,Yes,0.7003756761550903
63,Yes,0.6717597246170044
64,Yes,0.7553584575653076
65,Yes,0.7308464050292969
66,Yes,0.8131727576255798
67,Yes,0.637883722782135
68,Yes,0.744448184967041
