item,label,p_yes
1,Yes,0.8961876630783081
2,Yes,0.9380601644515991
3,Yes,0.9437553286552429
4,Yes,0.9414987564086914
5,Yes,0.9473768472671509
6,Yes,0.9413793087005615
7,Yes,0.9424400925636292
8,Yes,0.9435164928436279
9,Yes,0.929937481880188
10,Yes,0.9293469190597534
11,Yes,0.9305698275566101
12,Yes,0.9325869083404541
13,Yes,0.908254861831665
14,Yes,0.9206563830375671
15,Yes,0.9294251799583435
16,Yes,0.9278790950775146
17,Yes,0.9329121708869934
18,Yes,0.9276467561721802
19,Yes,0.9322592616081238
20,Yes,0.9266553521156311
21,Yes,0.8942083716392517
22,Yes,0.8743740320205688
23,Yes,0.9207383394241333
24,Yes,0.9048107862472534
25,Yes,0.8954921364784241
26,Yes,0.8842398524284363
27,Yes,0.912266194820404
28,Yes,0.8938258290290833
29,Yes,0.9135390520095825
30,Yes,0.8984474539756775
31,Yes,0.919074296951294
32,Yes,0.9073887467384338
33,Yes,0.9122094511985779
34,Yes,0.9190762639045715
35,Yes,0.9222919940948486
36,Yes,0.918138861656189
37,Yes,0.9256299138069153
38,Yes,0.9266387820243835
39,Yes,0.9375012516975403
40,Yes,0.9328488111495972
41,Yes,0.9341138005256653
42,Yes,0.9179562330245972
43,Yes,0.9382387399673462
44,Yes,0.938639223575592
45,Yes,0.9255193471908569
46,Yes,0.9278448224067688
47,Yes,0.9389126300811768
48,Yes,0.9389199614524841
49,Yes,0.9481217265129089
50,Yes,0.9459287524223328
51,Yes,0.9429118633270264
52,Yes,0.9436352252960205
53,Yes,0.9445763230323792
54,Yes,0.94207364320755
55,Yes,0.9388392567634583
56,Yes,0.9394594430923462
57,Yes,0.8980230689048767
58,Yes,0.9362660646438599
59,Yes,0.904228925704956
60,Yes,0.9327136874198914
61,Yes,0.8816250562667847
62,Yes,0.9091660380363464
63,Yes,0.8999539613723755
64,Yes,0.9284654855728149
65,Yes,0.9035018682479858
66,Yes,0.9272094368934631
67,Yes,0.9043114185333252
68,Yes,0.9313225746154785
69,Yes,0.8875814080238342
70,Yes,0.909601628780365
