item,label,p_yes
1,Yes,0.6297067403793335
2,Yes,0.7102906107902527
3,Yes,0.6875750422477722
4,Yes,0.7368744015693665
5,Yes,0.662079930305481
6,Yes,0.7270635962486267
7,Yes,0.6864827871322632
8,Yes,0.7387499809265137
9,Yes,0.6547870635986328
10,Yes,0.718055784702301
11,Yes,0.6543015837669373
12,Yes,0.7265889048576355
13,Yes,0.6164848208427429
14,Yes,0.6391710638999939
15,Yes,0.6557004451751709
16,Yes,0.660969614982605
17,Yes,0.6985949873924255
18,Yes,0.6826913952827454
19,Yes,0.693392276763916
20,Yes,0.6808248162269592
21,Yes,0.5489215850830078
22,Yes,0.5609745383262634
23,Yes,0.6258426904678345
24,Yes,0.6005123853683472
25,No,0.47043195366859436
26,Yes,0.5197830200195312
27,Yes,0.608515202999115
28,Yes,0.604993999004364
29,Yes,0.6291578412055969
30,Yes,0.6132674813270569
31,Yes,0.6711887717247009
32,Yes,0.6434699892997742
33,Yes,0.617486298084259
34,Yes,0.5799017548561096
35,Yes,0.6211590766906738
36,Yes,0.562120795249939
37,Yes,0.6893343925476074
38,Yes,0.6581471562385559
39,Yes,0.6677340269088745
40,Yes,0.6407418251037598
41,Yes,0.5495938062667847
42,Yes,0.5975358486175537
43,Yes,0.6334571838378906
44,Yes,0.6656038165092468
45,Yes,0.5788564682006836
46,Yes,0.6172299981117249
47,Yes,0.6525759696960449
48,Yes,0.6906129717826843
49,Yes,0.6415613889694214
50,Yes,0.6983819007873535
51,Yes,0.667262077331543
52,Yes,0.6927945613861084
53,Yes,0.6707509756088257
54,Yes,0.6904503703117371
55,Yes,0.6736786365509033
56,Yes,0.70079505443573
57,Yes,0.6104776263237
58,Yes,0.6802290081977844
59,Yes,0.6186562180519104
60,Yes,0.6958533525466919
61,Yes,0.6541126370429993
62,Yes,0.6619051694869995
63,Yes,0.6373549699783325
64,Yes,0.7046450972557068
65,Yes,0.7089332938194275
66,Yes,0.7250973582267761
67,Yes,0.6390751004219055
68,Yes,0.7246022820472717
69,No,0.4899161159992218
70,Yes,0.5480955243110657
71,Yes,0.5523202419281006
72,Yes,0.6045374274253845
73,No,0.4235575497150421
74,No,0.47176405787467957
75,Yes,0.5453355312347412
76,Yes,0.5938998460769653
77,Yes,0.6358273029327393
78,Yes,0.6366917490959167
79,Yes,0.6257332563400269
80,Yes,0.621580958366394
81,Yes,0.673235297203064
82,Yes,0.6748865842819214
83,Yes,0.6484851837158203
84,Yes,0.6524558067321777
85,Yes,0.5154532790184021
86,Yes,0.528141975402832
87,Yes,0.6058920621871948
88,Yes,0.5888473987579346
89,Yes,0.5947281718254089
90,Yes,0.5753297805786133
91,Yes,0.6126142740249634
92,Yes,0.5930965542793274
93,Yes,0.5278887748718262
94,Yes,0.5359988808631897
95,Yes,0.5530961751937866
96,Yes,0.5444034934043884
97,Yes,0.6564916372299194
98,Yes,0.669171154499054
99,Yes,0.6439481377601624
100,Yes,0.6347317099571228
101,Yes,0.7494593858718872
102,Yes,0.6739194989204407
103,Yes,0.7222208976745605
104,Yes,0.697807788848877
105,Yes,0.6113436818122864
106,Yes,0.5882102251052856
107,Yes,0.6587831974029541
108,Yes,0.6532724499702454
109,Yes,0.673898458480835
110,Yes,0.6803436875343323
111,Yes,0.6720267534255981
112,Yes,0.6845203638076782
113,Yes,0.6322051286697388
114,Yes,0.6678836941719055
115,Yes,0.6626749038696289
116,Yes,0.6681501269340515
117,Yes,0.6408533453941345
118,Yes,0.6951749920845032
119,Yes,0.6775069236755371
120,Yes,0.6800374984741211
121,Yes,0.5446963310241699
122,Yes,0.5987966060638428
123,Yes,0.6388655304908752
124,Yes,0.6840065717697144
125,Yes,0.6089218258857727
126,Yes,0.7042658925056458
127,Yes,0.6197527050971985
128,Yes,0.6902409195899963
129,Yes,0.6698205471038818
130,Yes,0.6217430830001831
131,Yes,0.634064257144928
132,Yes,0.6007263660430908
133,Yes,0.6582139134407043
134,Yes,0.6517458558082581
135,Yes,0.631392776966095
136,Yes,0.6160902380943298
137,Yes,0.6458785533905029
138,Yes,0.593720555305481
139,Yes,0.6391010880470276
140,Yes,0.6035075783729553
141,Yes,0.5446773171424866
142,Yes,0.5369771718978882
143,Yes,0.5709165930747986
144,Yes,0.5629631876945496
145,Yes,0.6776111721992493
146,Yes,0.6463997960090637
147,Yes,0.634468674659729
148,Yes,0.6231268644332886
149,Yes,0.6119013428688049
150,Yes,0.6079958081245422
151,Yes,0.6028639078140259
152,Yes,0.6186695098876953
153,Yes,0.6027792692184448
154,Yes,0.651018500328064
155,Yes,0.6139542460441589
156,Yes,0.637167751789093
157,Yes,0.5732620358467102
158,Yes,0.6027680039405823
159,Yes,0.5974040627479553
160,Yes,0.6263180375099182
161,Yes,0.6360092163085938
162,Yes,0.6337054371833801
163,Yes,0.625453531742096
164,Yes,0.6446696519851685
165,Yes,0.5986877083778381
166,Yes,0.5584841370582581
167,Yes,0.6019500494003296
168,Yes,0.5795740485191345
169,Yes,0.6011432409286499
170,Yes,0.5640160441398621
171,Yes,0.5953527092933655
172,Yes,0.561547577381134
173,Yes,0.5941849946975708
174,Yes,0.568805456161499
175,Yes,0.5994898676872253
176,Yes,0.5526110529899597
177,Yes,0.6985992789268494
178,Yes,0.6631798148155212
179,Yes,0.6528983116149902
180,Yes,0.6255966424942017
181,Yes,0.6059012413024902
182,Yes,0.5604135990142822
183,Yes,0.6244913935661316
184,Yes,0.5972063541412354
185,Yes,0.634263277053833
186,Yes,0.5959000587463379
187,Yes,0.6683260798454285
188,Yes,0.6371162533760071
189,Yes,0.7111666798591614
190,Yes,0.6535430550575256
191,Yes,0.6716548204421997
192,Yes,0.6527456045150757
193,No,0.49783942103385925
194,Yes,0.5521470904350281
195,Yes,0.5800725221633911
196,Yes,0.596983790397644
197,Yes,0.5645633935928345
198,Yes,0.5851816534996033
199,Yes,0.6159967184066772
200,Yes,0.6144928932189941
201,Yes,0.5712997913360596
202,Yes,0.5903067588806152
203,Yes,0.6083149313926697
204,Yes,0.614667534828186
205,Yes,0.5768397450447083
206,Yes,0.6214127540588379
207,Yes,0.6239400506019592
208,Yes,0.6573787331581116
209,Yes,0.5463216304779053
210,Yes,0.5923482775688171
211,Yes,0.5720224380493164
212,Yes,0.6307873725891113
213,Yes,0.6459081768989563
214,Yes,0.6743215918540955
215,Yes,0.6720419526100159
216,Yes,0.6954298615455627
217,No,0.5169453024864197
218,Yes,0.5262528657913208
219,Yes,0.6226962804794312
220,Yes,0.6190718412399292
221,Yes,0.5930899977684021
222,Yes,0.6139289736747742
223,Yes,0.6323363780975342
224,Yes,0.6256654858589172
225,Yes,0.5505902767181396
226,Yes,0.5306439399719238
227,Yes,0.6132486462593079
228,Yes,0.6074599623680115
229,Yes,0.6259841322898865
230,Yes,0.6591755151748657
231,Yes,0.6442083716392517
232,Yes,0.6296812295913696
233,Yes,0.6811423301696777
234,Yes,0.6750428080558777
235,Yes,0.6903113722801208
236,Yes,0.6759424209594727
237,Yes,0.587681233882904
238,Yes,0.6091567873954773
239,Yes,0.6695882678031921
240,Yes,0.655360758304596
241,Yes,0.7165833115577698
242,Yes,0.6685280799865723
243,Yes,0.7218490839004517
244,Yes,0.6935458779335022
245,Yes,0.6583092212677002
246,Yes,0.6868874430656433
247,Yes,0.699680745601654
248,Yes,0.690825879573822
249,Yes,0.6623674035072327
250,Yes,0.6945738792419434
251,Yes,0.6884294152259827
252,Yes,0.6927892565727234
253,Yes,0.5499325394630432
254,Yes,0.5787113904953003
255,Yes,0.587131917476654
256,Yes,0.6357131004333496
257,Yes,0.5299983024597168
258,Yes,0.5477432012557983
259,Yes,0.5763430595397949
260,Yes,0.6096743941307068
261,Yes,0.5950701236724854
262,Yes,0.6284254193305969
263,Yes,0.6122943758964539
264,Yes,0.6138157844543457
265,Yes,0.6276842355728149
266,Yes,0.6643458008766174
267,Yes,0.6510953903198242
268,Yes,0.6752211451530457
269,Yes,0.6852088570594788
270,Yes,0.6743846535682678
271,Yes,0.6970434188842773
272,Yes,0.6969349384307861
273,Yes,0.6777905821800232
274,Yes,0.6836538910865784
275,Yes,0.6840201020240784
276,Yes,0.6987555027008057
277,Yes,0.6790162324905396
278,Yes,0.6482332944869995
279,Yes,0.7053782939910889
280,Yes,0.6683627367019653
281,Yes,0.7553958892822266
282,Yes,0.691530168056488
283,Yes,0.7328122854232788
284,Yes,0.6936793327331543
285,Yes,0.5288963317871094
286,Yes,0.5880565047264099
287,Yes,0.5517067909240723
288,Yes,0.627411425113678
289,Yes,0.5462092757225037
290,Yes,0.5475683808326721
291,Yes,0.5951226949691772
292,Yes,0.6110286116600037
293,No,0.4697767198085785
294,Yes,0.526469349861145
295,Yes,0.5937269330024719
296,Yes,0.6168197393417358
297,No,0.5097711682319641
298,Yes,0.5690244436264038
299,Yes,0.550047755241394
300,Yes,0.5995439291000366
301,Yes,0.5863215327262878
302,Yes,0.615581214427948
303,Yes,0.5840730667114258
304,Yes,0.6281054019927979
305,Yes,0.669866681098938
306,Yes,0.6879047751426697
307,Yes,0.7331876158714294
308,Yes,0.7099969983100891
309,Yes,0.7439583539962769
310,Yes,0.6982256770133972
311,Yes,0.7293848991394043
312,Yes,0.7162484526634216
313,Yes,0.6902114748954773
314,Yes,0.7058794498443604
315,Yes,0.6914387941360474
316,Yes,0.6769712567329407
317,Yes,0.659519374370575
318,Yes,0.6657776832580566
319,Yes,0.6617484092712402
320,Yes,0.6736034154891968
321,Yes,0.6115707159042358
322,Yes,0.6160097122192383
323,Yes,0.6055158972740173
324,Yes,0.602260410785675
325,Yes,0.7079915404319763
326,Yes,0.7103826403617859
327,Yes,0.6958380341529846
328,Yes,0.6909066438674927
329,Yes,0.6784248948097229
330,Yes,0.5773757696151733
331,Yes,0.6789434552192688
332,Yes,0.5908362865447998
333,Yes,0.6587708592414856
334,Yes,0.6051058173179626
335,Yes,0.6711413860321045
336,Yes,0.606270968914032
337,Yes,0.7877705097198486
338,Yes,0.7100523710250854
339,Yes,0.7521952390670776
340,Yes,0.6826320886611938
341,Yes,0.6006919741630554
342,Yes,0.6193788051605225
343,Yes,0.6831725239753723
344,Yes,0.6835205554962158
345,Yes,0.6652860045433044
346,Yes,0.6972663402557373
347,Yes,0.7031822800636292
348,Yes,0.7250621318817139
349,Yes,0.5095833539962769
350,Yes,0.5343624353408813
351,Yes,0.6300124526023865
352,Yes,0.6185943484306335
353,No,0.40467870235443115
354,No,0.456803560256958
355,Yes,0.5358391404151917
356,Yes,0.5330759882926941
357,Yes,0.6319109201431274
358,Yes,0.6820363998413086
359,Yes,0.6992178559303284
360,Yes,0.7023622989654541
361,Yes,0.6410717964172363
362,Yes,0.6017318367958069
363,Yes,0.6588167548179626
364,Yes,0.6003326773643494
365,Yes,0.5708639621734619
366,Yes,0.5841965675354004
367,Yes,0.6291313767433167
368,Yes,0.6034674048423767
369,Yes,0.5408584475517273
370,Yes,0.6012606620788574
371,Yes,0.6171263456344604
372,Yes,0.6109389662742615
373,Yes,0.5337539315223694
374,Yes,0.5665971040725708
375,Yes,0.5921332836151123
376,Yes,0.6324307322502136
377,Yes,0.6323135495185852
378,Yes,0.5188400149345398
379,Yes,0.7065313458442688
380,Yes,0.5791575908660889
381,Yes,0.6824434995651245
382,Yes,0.6739169955253601
383,Yes,0.6920892596244812
384,Yes,0.701741099357605
385,Yes,0.5582058429718018
386,Yes,0.6410747766494751
387,Yes,0.6141989231109619
388,Yes,0.6649774312973022
389,Yes,0.6107191443443298
390,Yes,0.6564027667045593
391,Yes,0.6270270347595215
392,Yes,0.6816473603248596
393,Yes,0.5863885283470154
394,Yes,0.6661046147346497
395,Yes,0.7388261556625366
396,Yes,0.736240804195404
397,Yes,0.5256045460700989
398,Yes,0.5423839688301086
399,Yes,0.6128561496734619
400,Yes,0.5999392867088318
401,Yes,0.675758421421051
402,Yes,0.6340011358261108
403,Yes,0.6921376585960388
404,Yes,0.6542608737945557
405,No,0.45169922709465027
406,No,0.5015466809272766
407,Yes,0.5754284262657166
408,Yes,0.6032404899597168
409,Yes,0.5418651700019836
410,Yes,0.546827495098114
411,Yes,0.6126603484153748
412,Yes,0.6149207353591919
413,Yes,0.6044142246246338
414,Yes,0.6108578443527222
415,Yes,0.6198713779449463
416,Yes,0.6500697135925293
417,Yes,0.6809415221214294
418,Yes,0.6544510126113892
419,Yes,0.7409158945083618
420,Yes,0.6725200414657593
421,Yes,0.5547173023223877
422,Yes,0.58622145652771
423,Yes,0.5801492929458618
424,Yes,0.6115919947624207
425,Yes,0.5889487266540527
426,Yes,0.6476906538009644
427,Yes,0.6056491732597351
428,Yes,0.6431959867477417
429,Yes,0.5305256247520447
430,Yes,0.5673173069953918
431,Yes,0.5575200319290161
432,Yes,0.6060263514518738
433,No,0.4910678565502167
434,Yes,0.5467491745948792
435,Yes,0.6178446412086487
436,Yes,0.6364554762840271
437,No,0.45004570484161377
438,No,0.504173994064331
439,Yes,0.580631673336029
440,Yes,0.6251626014709473
441,Yes,0.6297653317451477
442,Yes,0.5886808037757874
443,Yes,0.6457992196083069
444,Yes,0.6214343905448914
445,Yes,0.717609167098999
446,Yes,0.6654837727546692
447,Yes,0.6963503956794739
448,Yes,0.6594918966293335
449,Yes,0.6791223287582397
450,Yes,0.6978175640106201
451,Yes,0.6802276968955994
452,Yes,0.6957939863204956
453,Yes,0.5206652283668518
454,Yes,0.5750811100006104
455,Yes,0.6382709741592407
456,Yes,0.6554495692253113
457,No,0.49634864926338196
458,Yes,0.5788602232933044
459,Yes,0.5837033987045288
460,Yes,0.6270976066589355
461,Yes,0.6827312707901001
462,Yes,0.701129138469696
463,Yes,0.7131487727165222
464,Yes,0.7048439979553223
465,Yes,0.737541675567627
466,Yes,0.707038402557373
467,Yes,0.7391988635063171
468,Yes,0.7239355444908142
469,Yes,0.5866631269454956
470,Yes,0.5995712876319885
471,Yes,0.5818870663642883
472,Yes,0.5948530435562134
473,No,0.47537195682525635
474,Yes,0.5061017870903015
