item,label,p_yes
1,No,0.2579366862773895
2,No,0.4024120271205902
3,Yes,0.5246973633766174
4,No,0.47684770822525024
5,Yes,0.5670241713523865
6,No,0.47674304246902466
7,Yes,0.577277421951294
8,Yes,0.5115309357643127
9,No,0.3618677258491516
10,No,0.419386088848114
11,Yes,0.5137977004051208
12,No,0.4909548759460449
13,No,0.3783431649208069
14,No,0.3610556721687317
15,No,0.4329291880130768
16,No,0.3928164839744568
17,No,0.37664365768432617
18,No,0.4041820168495178
19,No,0.4633961617946625
20,Yes,0.50902259349823
21,No,0.23190940916538239
22,No,0.2744339406490326
23,No,0.27375492453575134
24,No,0.27524301409721375
25,No,0.16464942693710327
26,No,0.20999526977539062
27,No,0.22377242147922516
28,No,0.2073289304971695
29,No,0.4607233703136444
30,No,0.367851585149765
31,No,0.4314785599708557
32,No,0.4181108772754669
33,No,0.4855794608592987
34,Yes,0.6702329516410828
35,Yes,0.7443636059761047
36,Yes,0.6200641989707947
37,No,0.4964495599269867
38,No,0.4841129779815674
39,Yes,0.6788787841796875
40,Yes,0.5085656642913818
41,No,0.35897985100746155
42,No,0.41256922483444214
43,Yes,0.6119555234909058
44,Yes,0.5745887756347656
45,No,0.4551326334476471
46,Yes,0.5666682720184326
47,Yes,0.671870768070221
48,Yes,0.6373597383499146
49,Yes,0.5960358381271362
50,Yes,0.6855486631393433
51,Yes,0.7190380096435547
52,Yes,0.689157247543335
53,Yes,0.5411402583122253
54,Yes,0.6165211796760559
55,Yes,0.6913750767707825
56,Yes,0.6661623120307922
57,No,0.2515995502471924
58,No,0.31976014375686646
59,No,0.3994700014591217
60,No,0.43568137288093567
61,No,0.3703688979148865
62,No,0.29958322644233704
63,No,0.2991805672645569
64,No,0.264620304107666
65,No,0.35247424244880676
66,No,0.41999173164367676
67,No,0.40928930044174194
68,No,0.4533580541610718
69,No,0.34670376777648926
70,No,0.35437333583831787
71,No,0.3179200291633606
72,No,0.3698338568210602
73,No,0.2351187765598297
74,No,0.2987514138221741
75,No,0.3054026961326599
76,No,0.33426618576049805
77,No,0.29685744643211365
78,No,0.36931440234184265
79,No,0.36959680914878845
80,No,0.35617494583129883
81,No,0.2905389964580536
82,Yes,0.5054667592048645
83,Yes,0.5182072520256042
84,Yes,0.5314580798149109
85,No,0.17136618494987488
86,No,0.2651219367980957
87,No,0.32622331380844116
88,No,0.28643715381622314
89,No,0.3440062403678894
90,No,0.3443582057952881
91,Yes,0.5037166476249695
92,No,0.4302246570587158
93,No,0.3690011203289032
94,Yes,0.5688413977622986
95,Yes,0.6447073221206665
96,Yes,0.5444197058677673
97,No,0.42889177799224854
98,No,0.4609924256801605
99,Yes,0.5203434228897095
100,No,0.4415647089481354
101,No,0.42511120438575745
102,No,0.4216771423816681
103,Yes,0.5236369967460632
104,No,0.405141681432724
105,No,0.4131608009338379
106,No,0.47912976145744324
107,No,0.4397321343421936
108,No,0.45414265990257263
109,No,0.3564645051956177
110,No,0.43769657611846924
111,Yes,0.5264050960540771
112,Yes,0.5041000843048096
113,No,0.1978282779455185
114,No,0.25673773884773254
115,No,0.28485679626464844
116,No,0.27477723360061646
117,No,0.1858755201101303
118,No,0.3347880244255066
119,No,0.3725702464580536
120,No,0.3486919701099396
121,No,0.36955952644348145
122,No,0.23918205499649048
123,Yes,0.751122236251831
124,Yes,0.577423095703125
125,Yes,0.5556979775428772
126,No,0.4644092917442322
127,Yes,0.7821047306060791
128,Yes,0.6186875700950623
129,No,0.22728203237056732
130,No,0.3307519853115082
131,No,0.46440041065216064
132,No,0.4459666311740875
133,No,0.1931227743625641
134,No,0.407219797372818
135,No,0.4172424077987671
136,No,0.44358402490615845
137,No,0.27688875794410706
138,No,0.36621108651161194
139,No,0.47408008575439453
140,No,0.46074843406677246
141,No,0.247685506939888
142,Yes,0.5481363534927368
143,Yes,0.5515570044517517
144,Yes,0.5445559024810791
145,No,0.324812114238739
146,No,0.42590948939323425
147,No,0.4623982608318329
148,No,0.4257831573486328
149,Yes,0.6381147503852844
150,Yes,0.6399896144866943
151,Yes,0.726758599281311
152,Yes,0.6716119050979614
153,No,0.19697770476341248
154,No,0.2917865216732025
155,No,0.3465088903903961
156,No,0.33874690532684326
157,No,0.24544917047023773
158,No,0.281100869178772
159,No,0.2976982295513153
160,No,0.3205815553665161
161,No,0.25770652294158936
162,No,0.31608209013938904
163,No,0.31065633893013
164,No,0.3238838315010071
165,No,0.3644447326660156
166,No,0.27057981491088867
167,No,0.38644570112228394
168,No,0.45430639386177063
169,No,0.238715261220932
170,No,0.27921247482299805
171,No,0.40022778511047363
172,No,0.36248207092285156
173,No,0.34787818789482117
174,Yes,0.6311132311820984
175,Yes,0.6325843930244446
176,Yes,0.6129598617553711
177,No,0.3162858188152313
178,No,0.3950216472148895
179,No,0.4689350426197052
180,No,0.44901809096336365
181,No,0.12378248572349548
182,No,0.18922972679138184
183,No,0.224818617105484
184,No,0.2817816734313965
185,No,0.23773536086082458
186,No,0.32143548130989075
187,No,0.20412376523017883
188,No,0.2356192022562027
189,No,0.22738312184810638
190,No,0.2714376449584961
191,No,0.2801062762737274
192,No,0.32751357555389404
193,No,0.3261401057243347
194,No,0.4274645745754242
195,Yes,0.5568902492523193
196,Yes,0.5479069352149963
197,No,0.28822875022888184
198,No,0.3683852255344391
199,No,0.48237934708595276
200,No,0.4833267033100128
201,No,0.39449095726013184
202,No,0.3755999207496643
203,Yes,0.5847657918930054
204,Yes,0.5550898313522339
205,No,0.39944180846214294
206,Yes,0.5406133532524109
207,Yes,0.5322715640068054
208,Yes,0.5843490362167358
209,Yes,0.5345643162727356
210,No,0.4851558208465576
211,Yes,0.528468906879425
212,Yes,0.5482036471366882
213,No,0.3120596706867218
214,Yes,0.5665078163146973
215,Yes,0.5763401389122009
216,Yes,0.6800584197044373
217,No,0.4711478054523468
218,Yes,0.5267751812934875
219,Yes,0.744626522064209
220,Yes,0.6957356333732605
221,Yes,0.603932797908783
222,Yes,0.5493984818458557
223,Yes,0.7245512008666992
224,Yes,0.6443480849266052
225,No,0.3732651472091675
226,No,0.4456111490726471
227,Yes,0.5547424554824829
228,No,0.49375516176223755
229,No,0.418170690536499
230,No,0.3735169470310211
231,Yes,0.5283547043800354
232,No,0.40433841943740845
233,No,0.49774810671806335
234,No,0.47209519147872925
235,Yes,0.7024259567260742
236,Yes,0.6324177384376526
237,No,0.4140826165676117
238,Yes,0.5074951648712158
239,Yes,0.6458256840705872
240,Yes,0.5515275001525879
241,Yes,0.6201069951057434
242,Yes,0.5347548127174377
243,Yes,0.7240791916847229
244,Yes,0.5698078274726868
245,No,0.25655028223991394
246,No,0.3082420527935028
247,Yes,0.6083563566207886
248,No,0.47933265566825867
249,No,0.38210561871528625
250,No,0.45300260186195374
251,Yes,0.6434037685394287
252,Yes,0.6072023510932922
253,No,0.20108447968959808
254,No,0.2739581763744354
255,No,0.36662301421165466
256,No,0.3487391471862793
257,No,0.3973027169704437
258,No,0.32679063081741333
259,Yes,0.5242897272109985
260,No,0.44076910614967346
261,No,0.42512986063957214
262,No,0.31905069947242737
263,No,0.4268595576286316
264,No,0.3096199929714203
265,Yes,0.5190288424491882
266,No,0.45923489332199097
267,Yes,0.6306753754615784
268,Yes,0.5303982496261597
269,Yes,0.5126006603240967
270,No,0.48458296060562134
271,Yes,0.6656729578971863
272,Yes,0.5187041759490967
273,Yes,0.5365780591964722
274,Yes,0.5425147414207458
275,Yes,0.7131406664848328
276,Yes,0.5973093509674072
277,No,0.2361326813697815
278,No,0.25364434719085693
279,No,0.3737632930278778
280,No,0.32523128390312195
281,No,0.2731996774673462
282,No,0.2939966022968292
283,No,0.39107561111450195
284,No,0.31270304322242737
285,No,0.24260026216506958
286,No,0.4127933382987976
287,No,0.4153076708316803
288,No,0.4843171536922455
289,No,0.30670297145843506
290,No,0.3600577712059021
291,Yes,0.544129490852356
292,No,0.38148006796836853
293,No,0.2011393904685974
294,No,0.3265553414821625
295,No,0.25906607508659363
296,No,0.2994106113910675
297,No,0.3992859423160553
298,No,0.40020424127578735
299,Yes,0.6283469796180725
300,No,0.49605393409729004
301,No,0.3898850083351135
302,No,0.3958989083766937
303,Yes,0.6610711812973022
304,No,0.489483505487442
305,No,0.4440799951553345
306,No,0.46991071105003357
307,Yes,0.6935084462165833
308,Yes,0.5211932063102722
309,Yes,0.5329076051712036
310,No,0.4811861515045166
311,Yes,0.7468934059143066
312,No,0.49502256512641907
313,No,0.2587697207927704
314,No,0.3043423593044281
315,No,0.4207698106765747
316,No,0.33766356110572815
317,No,0.2370324730873108
318,No,0.3974563479423523
319,No,0.4773578643798828
320,No,0.4462352395057678
321,No,0.4519813060760498
322,Yes,0.6232163906097412
323,Yes,0.6934828758239746
324,Yes,0.5898229479789734
325,Yes,0.5140801668167114
326,Yes,0.5073261857032776
327,Yes,0.5911828875541687
328,No,0.4853453040122986
329,No,0.28226250410079956
330,No,0.2612553536891937
