item,label,p_yes
1,Yes,0.7501633763313293
2,Yes,0.7616357803344727
3,Yes,0.7583746910095215
4,Yes,0.7641525268554688
5,Yes,0.7786513566970825
6,Yes,0.7708974480628967
7,Yes,0.767255425453186
8,Yes,0.776284396648407
9,Yes,0.77454674243927
10,Yes,0.7684928774833679
11,Yes,0.7678946256637573
12,Yes,0.7663403749465942
13,Yes,0.7821037173271179
14,Yes,0.7635432481765747
15,Yes,0.7700861096382141
16,Yes,0.7649163007736206
17,Yes,0.7875174283981323
18,Yes,0.7689193487167358
19,Yes,0.7729074954986572
20,Yes,0.7658633589744568
21,Yes,0.7599550485610962
22,Yes,0.7424553036689758
23,Yes,0.7823219299316406
24,Yes,0.7711619734764099
25,Yes,0.7634516358375549
26,Yes,0.7363700270652771
27,Yes,0.7751230001449585
28,Yes,0.7613252401351929
29,Yes,0.7672116160392761
30,Yes,0.7401612997055054
31,Yes,0.7677265405654907
32,Yes,0.7557275891304016
33,Yes,0.781027615070343
34,Yes,0.7533714175224304
35,Yes,0.7660565972328186
36,Yes,0.7497931122779846
37,Yes,0.7754838466644287
38,Yes,0.7497543692588806
39,Yes,0.7664218544960022
40,Yes,0.752737820148468
41,Yes,0.7945024371147156
42,Yes,0.7879892587661743
43,Yes,0.7791326642036438
44,Yes,0.7810062170028687
45,Yes,0.7946223020553589
46,Yes,0.776417076587677
47,Yes,0.7846826314926147
48,Yes,0.7712075710296631
49,Yes,0.7918068766593933
50,Yes,0.772399365901947
51,Yes,0.7798343300819397
52,Yes,0.7815076112747192
53,Yes,0.793271005153656
54,Yes,0.7736520767211914
55,Yes,0.7830346822738647
56,Yes,0.7714394330978394
57,Yes,0.7777131199836731
58,Yes,0.7904331684112549
59,Yes,0.7792189717292786
60,Yes,0.7835513949394226
61,Yes,0.779558539390564
62,Yes,0.7958698868751526
63,Yes,0.7797178030014038
64,Yes,0.783850371837616
65,Yes,0.7846705317497253
66,Yes,0.7926867604255676
67,Yes,0.7884133458137512
68,Yes,0.7860674262046814
69,Yes,0.7801538705825806
70,Yes,0.7635512948036194
71,Yes,0.7914034724235535
72,Yes,0.7852980494499207
73,Yes,0.7724855542182922
74,Yes,0.75058913230896
75,Yes,0.7906208634376526
76,Yes,0.7868616580963135
77,Yes,0.7512523531913757
78,Yes,0.7145821452140808
79,Yes,0.7488589882850647
80,Yes,0.7374753355979919
81,Yes,0.7504088282585144
82,Yes,0.7196410298347473
83,Yes,0.74519944190979
84,Yes,0.7333676218986511
85,Yes,0.776125431060791
86,Yes,0.7619688510894775
