item,label,p_yes
1,Yes,0.7435334920883179
2,Yes,0.7915140390396118
3,Yes,0.8035847544670105
4,Yes,0.7771198153495789
5,Yes,0.8364517092704773
6,Yes,0.8138895034790039
7,Yes,0.8166546821594238
8,Yes,0.8007223010063171
9,Yes,0.7900323867797852
10,Yes,0.7693866491317749
11,Yes,0.7669780850410461
12,Yes,0.7606155276298523
13,Yes,0.7646100521087646
14,Yes,0.7301974892616272
15,Yes,0.7546976804733276
16,Yes,0.7327773571014404
17,Yes,0.759553849697113
18,Yes,0.756797194480896
19,Yes,0.7598853707313538
20,Yes,0.7474957704544067
21,Yes,0.7556487321853638
22,Yes,0.7475278973579407
23,Yes,0.664869487285614
24,Yes,0.6474242806434631
25,Yes,0.7601705193519592
26,Yes,0.7523487210273743
27,Yes,0.7397838234901428
28,Yes,0.7367528676986694
29,Yes,0.797430694103241
30,Yes,0.7948169112205505
31,Yes,0.759489893913269
32,Yes,0.7566857933998108
33,Yes,0.794861912727356
34,Yes,0.7441992163658142
35,Yes,0.776875376701355
36,Yes,0.7399587631225586
37,Yes,0.8156577348709106
38,Yes,0.7625601887702942
39,Yes,0.7856013178825378
40,Yes,0.7477976083755493
41,Yes,0.7849433422088623
42,Yes,0.7791732549667358
43,Yes,0.7750611901283264
44,Yes,0.7423831224441528
45,Yes,0.7441374063491821
46,Yes,0.7186856269836426
47,Yes,0.7667598724365234
48,Yes,0.7421166896820068
49,Yes,0.8269979953765869
50,Yes,0.811032235622406
51,Yes,0.8063596487045288
52,Yes,0.7727020978927612
53,Yes,0.7669821381568909
54,Yes,0.7425711154937744
55,Yes,0.7671841382980347
56,Yes,0.7478047609329224
57,Yes,0.8061792254447937
58,Yes,0.835553765296936
59,Yes,0.7882277965545654
60,Yes,0.8520512580871582
61,Yes,0.8207411766052246
62,Yes,0.8495185375213623
63,Yes,0.7876348495483398
64,Yes,0.8479412198066711
65,Yes,0.8403198719024658
66,Yes,0.8548668026924133
67,Yes,0.7721716165542603
68,Yes,0.8408090472221375
69,Yes,0.7632562518119812
70,Yes,0.7564073204994202
71,Yes,0.7395874857902527
72,Yes,0.7425276041030884
73,Yes,0.8153342604637146
74,Yes,0.8020333647727966
75,Yes,0.7649990916252136
76,Yes,0.7615341544151306
77,Yes,0.7869482040405273
78,Yes,0.7450802326202393
79,Yes,0.7209396958351135
80,Yes,0.7069819569587708
81,Yes,0.8149749040603638
82,Yes,0.7624974250793457
83,Yes,0.7254509925842285
84,Yes,0.7003200650215149
85,Yes,0.771772027015686
86,Yes,0.7606229186058044
87,Yes,0.7840609550476074
88,Yes,0.7838566303253174
89,Yes,0.8482751250267029
90,Yes,0.8155582547187805
91,Yes,0.829484760761261
92,Yes,0.8054653406143188
93,Yes,0.8265922665596008
94,Yes,0.80267733335495
95,Yes,0.8100298047065735
96,Yes,0.7940575480461121
97,Yes,0.8490705490112305
98,Yes,0.8277535438537598
99,Yes,0.813337504863739
100,Yes,0.7939848303794861
101,Yes,0.813835084438324
102,Yes,0.7875242233276367
103,Yes,0.798069417476654
104,Yes,0.7613831162452698
105,Yes,0.7523375153541565
106,Yes,0.7143541574478149
107,Yes,0.7206728458404541
108,Yes,0.7243322730064392
109,Yes,0.7844165563583374
110,Yes,0.7807410955429077
111,Yes,0.7525761127471924
112,Yes,0.7512393593788147
113,Yes,0.7866134643554688
114,Yes,0.7549465894699097
115,Yes,0.6763837933540344
116,Yes,0.6557974815368652
117,Yes,0.7469770908355713
118,Yes,0.7504424452781677
119,Yes,0.7435023784637451
120,Yes,0.6814765930175781
121,Yes,0.7983493208885193
122,Yes,0.7768728137016296
123,Yes,0.8001110553741455
124,Yes,0.8002229928970337
125,Yes,0.8164495825767517
126,Yes,0.8084040284156799
127,Yes,0.8085736036300659
128,Yes,0.8156539797782898
129,Yes,0.7626373171806335
130,Yes,0.7653688788414001
131,Yes,0.7389309406280518
132,Yes,0.7188491225242615
133,Yes,0.7460335493087769
134,Yes,0.7303426265716553
135,Yes,0.7267155647277832
136,Yes,0.6960769295692444
137,Yes,0.7796679139137268
