item,label,p_yes
1,Yes,0.9420064687728882
2,Yes,0.9555512070655823
3,Yes,0.9726302027702332
4,Yes,0.969147264957428
5,Yes,0.9022560119628906
6,Yes,0.8881218433380127
7,Yes,0.9207178950309753
8,Yes,0.9078624844551086
9,Yes,0.8082785606384277
10,Yes,0.8259972929954529
11,Yes,0.8495156764984131
12,Yes,0.885202169418335
13,Yes,0.7768574953079224
14,Yes,0.8000848293304443
15,Yes,0.8454399108886719
16,Yes,0.7807413935661316
17,Yes,0.807490885257721
18,Yes,0.809673547744751
19,Yes,0.8037756681442261
20,Yes,0.801045298576355
21,Yes,0.819862961769104
22,Yes,0.793889045715332
23,Yes,0.8130956292152405
24,Yes,0.8111618161201477
25,Yes,0.9524896740913391
26,Yes,0.9554207921028137
27,Yes,0.9726680517196655
28,Yes,0.9640935063362122
29,Yes,0.8759235739707947
30,Yes,0.8077995777130127
31,Yes,0.8590527772903442
32,Yes,0.9010984897613525
33,Yes,0.8961924314498901
34,Yes,0.8928449153900146
35,Yes,0.9464001059532166
36,Yes,0.9214714765548706
37,Yes,0.8717161417007446
38,Yes,0.9199825525283813
39,Yes,0.9229233264923096
40,Yes,0.9288558959960938
41,Yes,0.9265369176864624
42,Yes,0.9168410301208496
43,Yes,0.9347717761993408
44,Yes,0.9296313524246216
45,Yes,0.9108144640922546
46,Yes,0.9055894017219543
47,Yes,0.9170120358467102
48,Yes,0.9321754574775696
49,Yes,0.923546552658081
50,Yes,0.9319599270820618
51,Yes,0.9546553492546082
52,Yes,0.946766197681427
53,Yes,0.8900275826454163
54,Yes,0.9415099620819092
55,Yes,0.95462566614151
56,Yes,0.9536663889884949
57,Yes,0.9695946574211121
58,Yes,0.9821779131889343
59,Yes,0.9748286604881287
60,Yes,0.9681044816970825
61,Yes,0.9810426831245422
62,Yes,0.9488953351974487
63,Yes,0.9682419300079346
64,Yes,0.9585309624671936
65,Yes,0.8991336226463318
66,Yes,0.9015274047851562
67,Yes,0.9496230483055115
68,Yes,0.9494385123252869
69,Yes,0.7371000647544861
70,Yes,0.8392855525016785
71,Yes,0.8967586159706116
72,Yes,0.8972609639167786
73,Yes,0.9605777263641357
74,Yes,0.9681312441825867
