item,label,p_yes
1,Yes,0.5471428036689758
2,Yes,0.6135830283164978
3,Yes,0.6328354477882385
4,Yes,0.7123748660087585
5,No,0.3885499835014343
6,No,0.41794079542160034
7,No,0.48724785447120667
8,Yes,0.5382676720619202
9,No,0.41711699962615967
10,No,0.43784916400909424
11,No,0.4342811703681946
12,No,0.47333747148513794
13,No,0.39916977286338806
14,No,0.3955319821834564
15,No,0.46123409271240234
16,No,0.48663145303726196
17,No,0.41301482915878296
18,No,0.44897615909576416
19,No,0.5034655928611755
20,Yes,0.5470147132873535
21,No,0.3851523697376251
22,No,0.442914754152298
23,No,0.48038801550865173
24,Yes,0.5367527604103088
25,Yes,0.6338625550270081
26,Yes,0.8073409795761108
27,Yes,0.6454374194145203
28,Yes,0.7579358816146851
29,No,0.4320277273654938
30,No,0.43206703662872314
31,No,0.4314817488193512
32,No,0.4778003990650177
33,No,0.44853806495666504
34,No,0.47346654534339905
35,Yes,0.5248125195503235
36,Yes,0.6064825057983398
37,No,0.4058350920677185
38,No,0.4409095346927643
39,No,0.45947402715682983
40,Yes,0.5192704200744629
41,No,0.4004254937171936
42,No,0.4519161581993103
43,No,0.45039013028144836
44,Yes,0.5477689504623413
45,No,0.4371166527271271
46,No,0.4641714096069336
47,No,0.4818677008152008
48,Yes,0.5327568650245667
49,No,0.41153088212013245
50,No,0.4026222229003906
51,No,0.44325166940689087
52,No,0.4785595238208771
53,No,0.46163323521614075
54,No,0.47773537039756775
55,Yes,0.5539968609809875
56,Yes,0.5712084174156189
57,No,0.4077349603176117
58,No,0.44368976354599
59,No,0.47170424461364746
60,Yes,0.5107399225234985
61,No,0.48942941427230835
62,No,0.4948979318141937
63,Yes,0.6111754179000854
64,Yes,0.636194109916687
65,No,0.4717586636543274
66,No,0.4758460521697998
67,Yes,0.5293153524398804
68,Yes,0.5437138080596924
69,No,0.4342576265335083
70,No,0.42463064193725586
71,No,0.4898756146430969
72,Yes,0.5079419016838074
73,No,0.39504289627075195
74,No,0.38552236557006836
75,No,0.43259716033935547
76,No,0.4853566884994507
77,No,0.4138029217720032
78,No,0.41385430097579956
79,No,0.5021531581878662
80,Yes,0.5212410688400269
81,No,0.44477513432502747
82,No,0.45018213987350464
83,No,0.45084860920906067
84,No,0.43514108657836914
85,No,0.3400122821331024
86,No,0.42696183919906616
87,No,0.2582157850265503
88,No,0.2381548285484314
89,No,0.4151667058467865
90,No,0.4065970480442047
91,No,0.407296359539032
92,No,0.452291339635849
93,Yes,0.5665497183799744
94,Yes,0.5181287527084351
95,Yes,0.5933721661567688
96,Yes,0.571684718132019
97,No,0.4103873074054718
98,No,0.39537131786346436
99,No,0.43309423327445984
100,No,0.4295704960823059
101,No,0.4489591717720032
102,No,0.4475078880786896
103,No,0.47116532921791077
104,No,0.491070419549942
105,No,0.37778836488723755
106,No,0.31152409315109253
107,No,0.3659747540950775
108,No,0.3586033582687378
109,No,0.4697376489639282
110,No,0.4712883532047272
111,No,0.4573410153388977
112,No,0.45427417755126953
113,No,0.3771972358226776
114,No,0.3150362968444824
115,No,0.37319377064704895
116,No,0.35409310460090637
117,No,0.4075360596179962
118,No,0.4672558009624481
119,No,0.41644859313964844
120,No,0.4027051031589508
121,No,0.36495891213417053
122,No,0.33645957708358765
123,No,0.36525243520736694
124,No,0.3405188322067261
125,No,0.43869030475616455
126,No,0.43093132972717285
127,No,0.4806080162525177
128,No,0.49746015667915344
129,No,0.4254232347011566
130,No,0.4153520464897156
131,No,0.4654456079006195
132,No,0.46485981345176697
133,No,0.4255352020263672
134,No,0.3938482105731964
135,No,0.3692246973514557
136,No,0.43759602308273315
137,No,0.35372400283813477
138,No,0.37302303314208984
139,No,0.3704521954059601
140,No,0.40765640139579773
141,No,0.3910514712333679
142,No,0.3957926332950592
143,No,0.3986111283302307
144,No,0.4291676878929138
145,No,0.4120931625366211
146,No,0.48252880573272705
147,No,0.5008041858673096
148,No,0.4999605715274811
149,No,0.35372400283813477
150,No,0.37302303314208984
151,No,0.3704521954059601
152,No,0.40765640139579773
153,Yes,0.5338887572288513
154,No,0.4697609543800354
155,Yes,0.6370691657066345
156,Yes,0.6242946982383728
157,No,0.36590954661369324
158,No,0.3775724470615387
159,No,0.4250311553478241
160,No,0.4361608922481537
161,No,0.3773549199104309
162,No,0.3868110477924347
163,No,0.4493192434310913
164,Yes,0.5114752054214478
165,No,0.47122707962989807
166,No,0.45234212279319763
167,Yes,0.5129131078720093
