item,label,p_yes
1,Yes,0.5527971982955933
2,Yes,0.623712956905365
3,Yes,0.6063616275787354
4,Yes,0.6887536644935608
5,Yes,0.5431382060050964
6,Yes,0.6199401617050171
7,Yes,0.6178513765335083
8,Yes,0.6960335969924927
9,No,0.454497367143631
10,Yes,0.5152648687362671
11,No,0.4985164701938629
12,Yes,0.5937291383743286
13,No,0.4983070492744446
14,Yes,0.5342844724655151
15,No,0.4765010178089142
16,Yes,0.5637227892875671
17,Yes,0.5316112041473389
18,Yes,0.6024962067604065
19,Yes,0.5914427638053894
20,Yes,0.6844457387924194
21,Yes,0.5987582206726074
22,Yes,0.628020703792572
23,Yes,0.5790857076644897
24,Yes,0.6722259521484375
25,Yes,0.6447280645370483
26,Yes,0.7231049537658691
27,Yes,0.6469610333442688
28,Yes,0.7242234945297241
29,Yes,0.5035110116004944
30,Yes,0.5574443936347961
31,Yes,0.5298383831977844
32,Yes,0.6423650979995728
33,No,0.49556422233581543
34,Yes,0.5812106132507324
35,Yes,0.5702444911003113
36,Yes,0.6548376679420471
37,Yes,0.5027887225151062
38,Yes,0.5943611860275269
39,Yes,0.5737358927726746
40,Yes,0.66087806224823
41,No,0.47699272632598877
42,Yes,0.561004102230072
43,Yes,0.5367461442947388
44,Yes,0.6253366470336914
45,Yes,0.529501736164093
46,Yes,0.6522693634033203
47,Yes,0.592470645904541
48,Yes,0.6826066970825195
49,No,0.4905441105365753
50,Yes,0.5305300951004028
51,Yes,0.5688402652740479
52,Yes,0.5866245627403259
53,No,0.4850105047225952
54,Yes,0.5628063082695007
55,Yes,0.5742854475975037
56,Yes,0.5869761109352112
57,No,0.49746349453926086
58,Yes,0.5507133603096008
59,Yes,0.5825706124305725
60,Yes,0.5955276489257812
61,Yes,0.5811687707901001
62,Yes,0.5821931958198547
63,Yes,0.618872344493866
64,Yes,0.6118281483650208
65,Yes,0.545494556427002
66,Yes,0.5754131078720093
67,Yes,0.6256613731384277
68,Yes,0.6372065544128418
69,Yes,0.5667498111724854
70,Yes,0.5509544610977173
71,Yes,0.5820626020431519
72,Yes,0.5646477937698364
73,Yes,0.550395667552948
74,Yes,0.5664816498756409
75,Yes,0.5754146575927734
76,Yes,0.5919529795646667
77,Yes,0.5179435014724731
78,Yes,0.559738278388977
79,Yes,0.6259223222732544
80,Yes,0.6371243000030518
81,No,0.444186270236969
82,No,0.47081732749938965
83,Yes,0.521126925945282
84,Yes,0.5356537103652954
85,Yes,0.524040699005127
86,Yes,0.5909767150878906
87,Yes,0.5478682518005371
88,Yes,0.5812495350837708
89,Yes,0.5593905448913574
90,Yes,0.5544934868812561
91,Yes,0.5852312445640564
92,Yes,0.573627233505249
93,Yes,0.6431980133056641
94,Yes,0.666124165058136
95,Yes,0.7039453387260437
96,Yes,0.6872839331626892
97,No,0.46087369322776794
98,No,0.5016641616821289
99,Yes,0.5750511288642883
100,Yes,0.5692446231842041
101,Yes,0.5988410711288452
102,No,0.4611597955226898
103,Yes,0.5172348618507385
104,Yes,0.5413154363632202
105,Yes,0.5041056871414185
106,Yes,0.534715473651886
107,Yes,0.5309922695159912
108,Yes,0.5463658571243286
109,No,0.49895423650741577
110,Yes,0.5049712657928467
111,Yes,0.552970826625824
112,Yes,0.5611824989318848
113,Yes,0.51233971118927
114,No,0.4816264510154724
115,Yes,0.510221540927887
116,Yes,0.5116072297096252
117,Yes,0.5472805500030518
118,Yes,0.531825065612793
119,Yes,0.5469628572463989
120,Yes,0.5568991303443909
121,Yes,0.5309879183769226
122,Yes,0.5386730432510376
123,Yes,0.53195720911026
124,Yes,0.5288798809051514
125,Yes,0.5289504528045654
126,Yes,0.5452777743339539
127,Yes,0.6266555786132812
128,Yes,0.6123576760292053
129,Yes,0.5556821227073669
130,Yes,0.5364122986793518
131,Yes,0.6283943057060242
132,Yes,0.5636892318725586
133,Yes,0.6274702548980713
134,Yes,0.5582425594329834
135,Yes,0.630951464176178
136,Yes,0.5823100209236145
137,No,0.48761340975761414
138,No,0.45153719186782837
139,Yes,0.5486599802970886
140,No,0.49410417675971985
141,Yes,0.5550968647003174
142,Yes,0.5161066055297852
143,Yes,0.582821786403656
144,Yes,0.5539376735687256
145,No,0.4707965552806854
146,No,0.45878085494041443
147,Yes,0.5672478079795837
148,No,0.4956222176551819
149,No,0.48761340975761414
150,No,0.45153719186782837
151,Yes,0.5486599802970886
152,No,0.49410417675971985
153,Yes,0.6175956726074219
154,Yes,0.5854612588882446
155,Yes,0.6610597968101501
156,Yes,0.6142781376838684
157,No,0.49702733755111694
158,No,0.4553215801715851
159,Yes,0.5412541627883911
160,Yes,0.5058293342590332
161,Yes,0.5741955637931824
162,Yes,0.5800212025642395
163,Yes,0.5722248554229736
164,Yes,0.5814253091812134
165,Yes,0.5977778434753418
166,Yes,0.6032637357711792
167,Yes,0.614586353302002
168,Yes,0.6364584565162659
169,Yes,0.6527471542358398
170,Yes,0.5438393354415894
171,Yes,0.5725682973861694
172,Yes,0.6041689515113831
173,Yes,0.5340601801872253
174,Yes,0.5304027795791626
175,Yes,0.5374559164047241
176,Yes,0.5488334894180298
177,Yes,0.5455248355865479
178,Yes,0.5959011316299438
179,Yes,0.6323267221450806
180,Yes,0.6544706225395203
181,Yes,0.5632100701332092
182,Yes,0.5433900952339172
183,Yes,0.5477055311203003
184,Yes,0.5343319773674011
185,No,0.4877258241176605
186,Yes,0.5202199220657349
187,Yes,0.5215290784835815
188,Yes,0.5469058156013489
189,Yes,0.6688095927238464
190,Yes,0.6780956387519836
191,Yes,0.6743617653846741
192,Yes,0.6860835552215576
193,No,0.48865100741386414
194,Yes,0.5249199271202087
195,Yes,0.5518691539764404
196,Yes,0.5736933350563049
197,Yes,0.7451959252357483
198,Yes,0.745383083820343
199,Yes,0.7493320107460022
200,Yes,0.7503519058227539
201,Yes,0.5865505933761597
202,Yes,0.5987247824668884
203,Yes,0.5759689807891846
204,Yes,0.5863435864448547
205,Yes,0.5845692157745361
206,Yes,0.5816717147827148
207,Yes,0.5587924122810364
208,Yes,0.5562751293182373
209,Yes,0.5116938352584839
210,Yes,0.5282449722290039
211,Yes,0.5746973752975464
212,Yes,0.5855872631072998
213,Yes,0.5157223343849182
214,Yes,0.555429995059967
215,Yes,0.5828274488449097
216,Yes,0.5931790471076965
217,Yes,0.6391303539276123
218,Yes,0.6128543615341187
219,Yes,0.5992857217788696
220,Yes,0.6146470308303833
221,Yes,0.5113853216171265
222,No,0.48964816331863403
223,No,0.5043575167655945
224,Yes,0.5227481126785278
225,Yes,0.563726007938385
226,Yes,0.5902900099754333
227,Yes,0.5397464036941528
228,Yes,0.6050837635993958
229,Yes,0.5358639359474182
230,Yes,0.5678560733795166
231,Yes,0.5077240467071533
232,Yes,0.5908974409103394
233,No,0.4331040680408478
234,Yes,0.542096734046936
235,No,0.4742175340652466
236,Yes,0.5496413111686707
237,No,0.4617328345775604
238,Yes,0.6126738786697388
239,Yes,0.5419638752937317
240,Yes,0.6017385721206665
241,Yes,0.5471612215042114
242,Yes,0.5244593024253845
243,Yes,0.534751832485199
244,Yes,0.5825446844100952
245,Yes,0.5184397101402283
246,Yes,0.5774667859077454
247,Yes,0.5092006921768188
248,Yes,0.5646865963935852
249,No,0.49930742383003235
250,Yes,0.5733085870742798
251,No,0.49640893936157227
252,Yes,0.531190037727356
253,No,0.4889256954193115
254,Yes,0.6011494994163513
255,Yes,0.562437117099762
256,Yes,0.63222736120224
257,Yes,0.5890721678733826
258,Yes,0.6774646639823914
259,Yes,0.5702095627784729
260,Yes,0.6329537034034729
261,Yes,0.5589715242385864
262,Yes,0.6726833581924438
263,Yes,0.5954121351242065
264,Yes,0.652242124080658
265,Yes,0.5283946990966797
266,Yes,0.5897629261016846
267,No,0.49166151881217957
268,Yes,0.5410251021385193
269,Yes,0.5093857645988464
270,No,0.4862346649169922
271,No,0.49177512526512146
272,Yes,0.5207992792129517
273,No,0.4564857482910156
274,Yes,0.5096628069877625
275,Yes,0.546234130859375
276,Yes,0.5764840841293335
277,No,0.40515807271003723
278,No,0.44939562678337097
279,No,0.44376030564308167
280,No,0.494792103767395
281,No,0.47046446800231934
282,No,0.5014837980270386
283,Yes,0.5185678005218506
284,Yes,0.5443447828292847
285,No,0.37932461500167847
286,No,0.47878122329711914
287,No,0.4566955864429474
288,Yes,0.5224570631980896
289,Yes,0.5286173224449158
290,Yes,0.5326411724090576
291,No,0.5059545040130615
292,Yes,0.5514572262763977
293,No,0.451893150806427
294,No,0.5008053183555603
295,No,0.4623192250728607
296,Yes,0.5090253353118896
297,No,0.5006551742553711
298,Yes,0.5075808763504028
299,Yes,0.5510166883468628
300,Yes,0.5664274096488953
301,Yes,0.5244156122207642
302,Yes,0.5909246802330017
303,Yes,0.5473319292068481
304,Yes,0.5638748407363892
305,Yes,0.545451819896698
306,Yes,0.5357287526130676
307,Yes,0.5666329860687256
308,Yes,0.5473248958587646
309,No,0.48879474401474
310,Yes,0.5358998775482178
311,Yes,0.5498855710029602
312,Yes,0.524072527885437
313,Yes,0.5510672330856323
314,Yes,0.6442582607269287
315,Yes,0.6402212977409363
316,Yes,0.6319094896316528
317,No,0.4658661484718323
318,No,0.4973348379135132
319,Yes,0.5524603128433228
320,Yes,0.5292561650276184
321,Yes,0.5075725317001343
322,Yes,0.5659329295158386
323,Yes,0.5852664709091187
324,Yes,0.5579719543457031
325,No,0.42790931463241577
326,No,0.44207292795181274
327,Yes,0.5383461117744446
328,Yes,0.5209673047065735
329,No,0.49421125650405884
330,Yes,0.5245984196662903
331,Yes,0.6041228771209717
332,Yes,0.5928062200546265
333,Yes,0.545118510723114
334,Yes,0.5310928821563721
335,Yes,0.5718628764152527
336,Yes,0.5456926822662354
337,No,0.40764257311820984
338,No,0.41070717573165894
339,No,0.409932404756546
340,No,0.4346677362918854
341,No,0.38809487223625183
342,No,0.47354018688201904
343,No,0.4785308837890625
344,No,0.4955300986766815
345,No,0.4166455864906311
346,No,0.4371083080768585
347,No,0.4909800589084625
348,No,0.4814926087856293
349,Yes,0.5092330574989319
350,Yes,0.5441768169403076
351,Yes,0.6076655387878418
352,Yes,0.5772922039031982
353,Yes,0.5477536916732788
354,Yes,0.5149926543235779
355,Yes,0.5318664908409119
356,Yes,0.5287446975708008
357,No,0.5047426819801331
358,Yes,0.5208050608634949
359,Yes,0.5434109568595886
360,Yes,0.5188347101211548
361,Yes,0.5175642371177673
362,Yes,0.5293350219726562
363,Yes,0.5075657367706299
364,Yes,0.5069262981414795
365,Yes,0.5265211462974548
366,No,0.4732202887535095
367,Yes,0.5139986872673035
368,Yes,0.5042566061019897
369,No,0.4752902388572693
370,No,0.4916597306728363
371,Yes,0.5109651684761047
372,No,0.4998418688774109
373,No,0.4607808589935303
374,No,0.4906785488128662
375,Yes,0.5435389876365662
376,Yes,0.5376991629600525
377,No,0.42730045318603516
378,No,0.45866554975509644
379,Yes,0.5033812522888184
380,No,0.48452523350715637
381,Yes,0.5228666663169861
382,Yes,0.5477012991905212
383,Yes,0.5662335157394409
384,Yes,0.5831584930419922
385,Yes,0.7248375415802002
386,Yes,0.5742892026901245
