item,label,p_yes
1,Yes,0.7688086032867432
2,Yes,0.7596973180770874
3,Yes,0.762733519077301
4,Yes,0.7583837509155273
5,Yes,0.7743754386901855
6,Yes,0.7664107084274292
7,Yes,0.7636840343475342
8,Yes,0.7554832696914673
9,Yes,0.7789686322212219
10,Yes,0.7769549489021301
11,Yes,0.7722876667976379
12,Yes,0.7667755484580994
13,Yes,0.7745023965835571
14,Yes,0.7734031677246094
15,Yes,0.7642083168029785
16,Yes,0.7591794729232788
17,Yes,0.7690578699111938
18,Yes,0.7667275667190552
19,Yes,0.7613373398780823
20,Yes,0.7578136920928955
21,Yes,0.7733614444732666
22,Yes,0.7716589570045471
23,Yes,0.7621245384216309
24,Yes,0.7570371031761169
25,Yes,0.768170952796936
26,Yes,0.7639679312705994
27,Yes,0.7587824463844299
28,Yes,0.7594019174575806
29,Yes,0.7779808044433594
30,Yes,0.7738406658172607
31,Yes,0.7709662914276123
32,Yes,0.7676286101341248
33,Yes,0.7746091485023499
34,Yes,0.7685725688934326
35,Yes,0.768007218837738
36,Yes,0.7650887966156006
37,Yes,0.7688736319541931
38,Yes,0.7594208717346191
39,Yes,0.7501018643379211
40,Yes,0.7578227519989014
41,Yes,0.7665340304374695
42,Yes,0.7701355218887329
43,Yes,0.7659769058227539
44,Yes,0.760767936706543
45,Yes,0.7917013764381409
46,Yes,0.7696768045425415
47,Yes,0.7807376980781555
48,Yes,0.7968367338180542
49,Yes,0.7716595530509949
50,Yes,0.7483892440795898
51,Yes,0.7602115273475647
52,Yes,0.7513276934623718
53,Yes,0.782784640789032
54,Yes,0.7651950120925903
55,Yes,0.7649054527282715
56,Yes,0.7600629329681396
57,Yes,0.7577807307243347
58,Yes,0.7506340742111206
59,Yes,0.7647219300270081
60,Yes,0.7578049898147583
61,Yes,0.7798017263412476
62,Yes,0.7631835341453552
63,Yes,0.76363605260849
64,Yes,0.7604504823684692
65,Yes,0.793056309223175
66,Yes,0.7741476893424988
67,Yes,0.7730607986450195
68,Yes,0.7683733105659485
69,Yes,0.7909455895423889
70,Yes,0.771477997303009
71,Yes,0.771094560623169
72,Yes,0.7706900238990784
73,Yes,0.7925680875778198
74,Yes,0.7735105752944946
75,Yes,0.7742648124694824
76,Yes,0.7650521397590637
77,Yes,0.7752465605735779
78,Yes,0.7555591464042664
79,Yes,0.7524805068969727
80,Yes,0.7463340163230896
81,Yes,0.7761027216911316
82,Yes,0.7613859176635742
83,Yes,0.777863085269928
84,Yes,0.7680359482765198
85,Yes,0.7764090299606323
86,Yes,0.7657384276390076
87,Yes,0.7857792377471924
88,Yes,0.7747822403907776
89,Yes,0.7804890871047974
90,Yes,0.7588962316513062
91,Yes,0.7782246470451355
92,Yes,0.7648375034332275
93,Yes,0.764808714389801
94,Yes,0.7426934242248535
95,Yes,0.767970860004425
96,Yes,0.7540137767791748
97,Yes,0.770797073841095
98,Yes,0.7581002712249756
99,Yes,0.770473837852478
100,Yes,0.7607277035713196
101,Yes,0.7640843987464905
102,Yes,0.7417073845863342
103,Yes,0.7617689967155457
104,Yes,0.7495346665382385
105,Yes,0.7719880938529968
106,Yes,0.7490904927253723
107,Yes,0.7659919857978821
108,Yes,0.7552513480186462
109,Yes,0.7902883887290955
110,Yes,0.7595654726028442
111,Yes,0.7791372537612915
112,Yes,0.7682666182518005
113,Yes,0.7782981395721436
114,Yes,0.7589094042778015
115,Yes,0.7742319703102112
116,Yes,0.7624144554138184
117,Yes,0.7645365595817566
118,Yes,0.7623946666717529
119,Yes,0.7759653329849243
120,Yes,0.7656961679458618
121,Yes,0.7867019772529602
122,Yes,0.77281653881073
123,Yes,0.7940786480903625
124,Yes,0.7819439172744751
125,Yes,0.7704728841781616
126,Yes,0.7465472221374512
127,Yes,0.7726399898529053
128,Yes,0.7585945725440979
129,Yes,0.7805623412132263
130,Yes,0.7460975050926208
131,Yes,0.7521874904632568
132,Yes,0.7494974136352539
133,Yes,0.7934398055076599
134,Yes,0.7686232924461365
135,Yes,0.7718504071235657
136,Yes,0.7522959113121033
137,Yes,0.7772057056427002
138,Yes,0.7371457815170288
139,Yes,0.7609816789627075
140,Yes,0.7650119066238403
141,Yes,0.7950321435928345
142,Yes,0.7738538384437561
143,Yes,0.7817027568817139
144,Yes,0.7685583233833313
145,Yes,0.7707330584526062
146,Yes,0.7610291838645935
147,Yes,0.7676039934158325
148,Yes,0.7517411708831787
149,Yes,0.7772057056427002
150,Yes,0.7371457815170288
151,Yes,0.7609816789627075
152,Yes,0.7650119066238403
153,Yes,0.7717086672782898
154,Yes,0.7515757083892822
155,Yes,0.7614771127700806
156,Yes,0.7488793730735779
157,Yes,0.7814751267433167
158,Yes,0.7504444718360901
159,Yes,0.766279935836792
160,Yes,0.7471014261245728
161,Yes,0.7808082699775696
162,Yes,0.7750662565231323
163,Yes,0.7747088670730591
164,Yes,0.7658575773239136
165,Yes,0.7938792109489441
166,Yes,0.7807114720344543
167,Yes,0.7869688868522644
168,Yes,0.7730292677879333
169,Yes,0.7559434175491333
170,Yes,0.7490290999412537
171,Yes,0.7533913850784302
172,Yes,0.757666289806366
173,Yes,0.7921435236930847
174,Yes,0.7763331532478333
175,Yes,0.7812952995300293
176,Yes,0.768399715423584
177,Yes,0.8085851073265076
178,Yes,0.785601794719696
179,Yes,0.7918590903282166
180,Yes,0.778614342212677
181,Yes,0.7755700349807739
182,Yes,0.7467700242996216
183,Yes,0.7639279961585999
184,Yes,0.7785845994949341
185,Yes,0.8042365908622742
186,Yes,0.8028116226196289
187,Yes,0.7822529077529907
188,Yes,0.7866487503051758
189,Yes,0.7822381258010864
190,Yes,0.7612128853797913
191,Yes,0.7717682123184204
192,Yes,0.7579615116119385
193,Yes,0.7879074811935425
194,Yes,0.7605342268943787
195,Yes,0.765241801738739
196,Yes,0.7714030742645264
197,Yes,0.7906621694564819
198,Yes,0.7692241668701172
199,Yes,0.7791824340820312
200,Yes,0.7631261944770813
201,Yes,0.7689809799194336
202,Yes,0.7457428574562073
203,Yes,0.7549004554748535
204,Yes,0.7434909343719482
205,Yes,0.8143516182899475
206,Yes,0.7926823496818542
207,Yes,0.7945106029510498
208,Yes,0.7799112796783447
209,Yes,0.7872883677482605
210,Yes,0.7587296962738037
211,Yes,0.7632695436477661
212,Yes,0.7482824325561523
213,Yes,0.7912871241569519
214,Yes,0.7673859596252441
215,Yes,0.7710405588150024
216,Yes,0.772452712059021
217,Yes,0.8048712611198425
218,Yes,0.7904970645904541
219,Yes,0.7988772988319397
220,Yes,0.7887621521949768
221,Yes,0.7728767395019531
222,Yes,0.7468729615211487
223,Yes,0.7580327987670898
224,Yes,0.7478354573249817
225,Yes,0.7671486735343933
226,Yes,0.7926759123802185
227,Yes,0.7791297435760498
228,Yes,0.7820116877555847
229,Yes,0.7758404612541199
230,Yes,0.7884921431541443
231,Yes,0.7762355804443359
232,Yes,0.7772700786590576
233,Yes,0.7726613879203796
234,Yes,0.7868537902832031
235,Yes,0.7766323089599609
236,Yes,0.7784346342086792
237,Yes,0.76531583070755
238,Yes,0.800162672996521
239,Yes,0.7737215757369995
240,Yes,0.7812180519104004
241,Yes,0.7528095245361328
242,Yes,0.7696412205696106
243,Yes,0.7684572339057922
244,Yes,0.7520391941070557
245,Yes,0.7635939121246338
246,Yes,0.7837051153182983
247,Yes,0.779687762260437
248,Yes,0.7637019157409668
249,Yes,0.7804321646690369
250,Yes,0.807748019695282
251,Yes,0.7833440899848938
252,Yes,0.7856985330581665
253,Yes,0.7706523537635803
254,Yes,0.7913916707038879
255,Yes,0.7576988935470581
256,Yes,0.771480143070221
257,Yes,0.7683038711547852
258,Yes,0.786755383014679
259,Yes,0.7687614560127258
260,Yes,0.7716894149780273
261,Yes,0.7758967280387878
262,Yes,0.8048452138900757
263,Yes,0.7735931277275085
264,Yes,0.787822961807251
265,Yes,0.7803769707679749
266,Yes,0.805127739906311
267,Yes,0.7844849228858948
268,Yes,0.7916161417961121
269,Yes,0.7637658715248108
270,Yes,0.7626843452453613
271,Yes,0.760043203830719
272,Yes,0.7573985457420349
273,Yes,0.7752262353897095
274,Yes,0.7621345520019531
275,Yes,0.7867423295974731
276,Yes,0.780585765838623
277,Yes,0.7533371448516846
278,Yes,0.7460368871688843
279,Yes,0.7894957065582275
280,Yes,0.785979151725769
281,Yes,0.7854822874069214
282,Yes,0.7721024751663208
283,Yes,0.7809970378875732
284,Yes,0.7789413928985596
285,Yes,0.7707513570785522
286,Yes,0.7615640163421631
287,Yes,0.7730749845504761
288,Yes,0.7712874412536621
289,Yes,0.7824233174324036
290,Yes,0.7552992105484009
291,Yes,0.7819057703018188
292,Yes,0.7732113003730774
293,Yes,0.7801344394683838
294,Yes,0.7620468139648438
295,Yes,0.7837792634963989
296,Yes,0.7788490056991577
297,Yes,0.7809996008872986
298,Yes,0.7615253925323486
299,Yes,0.7838574647903442
300,Yes,0.7767540216445923
301,Yes,0.7716941833496094
302,Yes,0.7562754154205322
303,Yes,0.7800341248512268
304,Yes,0.7722036838531494
305,Yes,0.7949059009552002
306,Yes,0.7735158205032349
307,Yes,0.7745680809020996
308,Yes,0.7636035680770874
309,Yes,0.767768383026123
310,Yes,0.7344561815261841
311,Yes,0.7482032179832458
312,Yes,0.7654248476028442
313,Yes,0.7616647481918335
314,Yes,0.7402170300483704
315,Yes,0.7553235292434692
316,Yes,0.7437666058540344
