item,label,p_yes
1,Yes,0.6492850184440613
2,Yes,0.858660876750946
3,Yes,0.7965776324272156
4,Yes,0.9042920470237732
5,Yes,0.8157442808151245
6,Yes,0.8182238340377808
7,Yes,0.8965537548065186
8,Yes,0.8599125742912292
9,Yes,0.5889096260070801
10,Yes,0.6585119962692261
11,Yes,0.7401753067970276
12,Yes,0.7239176034927368
13,Yes,0.8040338158607483
14,Yes,0.6985145807266235
15,Yes,0.7712893486022949
16,Yes,0.7714675664901733
17,Yes,0.5776895880699158
18,Yes,0.5987516641616821
19,No,0.4558420479297638
20,Yes,0.7114679217338562
21,Yes,0.7685067653656006
22,Yes,0.8378904461860657
23,Yes,0.9067338705062866
24,Yes,0.9020530581474304
25,Yes,0.8997538685798645
26,Yes,0.9199315905570984
27,Yes,0.9334035515785217
28,Yes,0.9245803952217102
29,Yes,0.5083449482917786
30,Yes,0.6524093747138977
31,Yes,0.6257210373878479
32,Yes,0.7797994613647461
33,Yes,0.8782666325569153
34,Yes,0.8071910738945007
35,Yes,0.900479257106781
36,Yes,0.8322258591651917
37,Yes,0.849438488483429
38,Yes,0.8319494128227234
39,Yes,0.8982837796211243
40,Yes,0.7960432171821594
41,No,0.47105979919433594
42,Yes,0.6531113386154175
43,Yes,0.6391220688819885
44,Yes,0.7071976065635681
45,Yes,0.5376326441764832
46,Yes,0.641181230545044
47,Yes,0.5980827212333679
48,Yes,0.6234365105628967
49,Yes,0.5426061153411865
50,Yes,0.5671576857566833
51,Yes,0.6447839736938477
52,Yes,0.5527428388595581
53,Yes,0.5523664951324463
54,Yes,0.6310888528823853
55,Yes,0.7376665472984314
56,Yes,0.6528436541557312
57,Yes,0.8337705135345459
58,Yes,0.6015866994857788
59,Yes,0.6221563816070557
60,Yes,0.6100155115127563
61,Yes,0.7416507005691528
62,Yes,0.5835591554641724
63,Yes,0.5415710210800171
64,Yes,0.5011236667633057
65,Yes,0.8292203545570374
66,Yes,0.5553057789802551
67,Yes,0.5712617039680481
68,Yes,0.5196742415428162
69,Yes,0.8142688274383545
70,Yes,0.6275867223739624
71,Yes,0.7974487543106079
72,Yes,0.7474947571754456
73,Yes,0.8010006546974182
74,Yes,0.6472300291061401
75,Yes,0.7654716372489929
76,Yes,0.7518773674964905
77,Yes,0.9490657448768616
78,Yes,0.8682979941368103
79,Yes,0.9174829125404358
80,Yes,0.7466562390327454
81,Yes,0.9213956594467163
82,Yes,0.9022342562675476
83,Yes,0.8932985067367554
84,Yes,0.7610555291175842
85,Yes,0.8446857929229736
86,Yes,0.7625976800918579
87,Yes,0.868851900100708
88,Yes,0.8662652373313904
89,Yes,0.7898677587509155
90,Yes,0.7887434959411621
91,Yes,0.8188859224319458
92,Yes,0.775008499622345
93,Yes,0.7061862349510193
94,Yes,0.6777667999267578
95,Yes,0.8366929292678833
96,Yes,0.7302050590515137
97,Yes,0.7876225113868713
98,Yes,0.7692909240722656
99,Yes,0.8409876227378845
100,Yes,0.7009763121604919
101,Yes,0.8393685221672058
102,Yes,0.7878177165985107
103,Yes,0.8252128958702087
104,Yes,0.8282083868980408
105,Yes,0.5374115109443665
106,Yes,0.7014563083648682
107,Yes,0.7537742853164673
108,Yes,0.8212137222290039
109,No,0.39306342601776123
110,Yes,0.6588356494903564
111,Yes,0.5382415652275085
112,Yes,0.7560495138168335
113,Yes,0.7591648697853088
114,Yes,0.7042136192321777
115,Yes,0.7994100451469421
116,Yes,0.7582563757896423
117,Yes,0.5361437797546387
118,Yes,0.6089574694633484
119,No,0.4855540692806244
120,Yes,0.6405807733535767
121,Yes,0.6353644132614136
122,Yes,0.7220953702926636
123,Yes,0.7588484287261963
124,Yes,0.7973843812942505
125,Yes,0.7424805164337158
126,Yes,0.7215642929077148
127,Yes,0.7791615128517151
128,Yes,0.7895423769950867
129,Yes,0.7388272285461426
