item,label,p_yes
1,Yes,0.5039950013160706
2,Yes,0.605276346206665
3,Yes,0.5779817700386047
4,Yes,0.6073261499404907
5,Yes,0.580851674079895
6,Yes,0.5653931498527527
7,Yes,0.5765693783760071
8,Yes,0.5930907130241394
9,No,0.49943670630455017
10,No,0.49064934253692627
11,Yes,0.5682456493377686
12,Yes,0.5496113896369934
13,Yes,0.5406667590141296
14,Yes,0.5357828140258789
15,Yes,0.6097418665885925
16,Yes,0.6195409297943115
17,Yes,0.537078857421875
18,No,0.4956388473510742
19,Yes,0.5326021909713745
20,Yes,0.5711172223091125
21,No,0.5011035799980164
22,No,0.4461217522621155
23,Yes,0.5158294439315796
24,Yes,0.526768684387207
25,Yes,0.5423803329467773
26,Yes,0.5278176665306091
27,Yes,0.5447489619255066
28,Yes,0.5674258470535278
29,No,0.5029375553131104
30,No,0.43076419830322266
31,Yes,0.5424752831459045
32,Yes,0.5340667366981506
33,No,0.453490287065506
34,No,0.4284239411354065
35,No,0.3600386679172516
36,No,0.4147348999977112
37,No,0.4355265498161316
38,No,0.501445472240448
39,No,0.47847554087638855
40,Yes,0.5456828474998474
41,Yes,0.5117751359939575
42,No,0.46445271372795105
43,Yes,0.5400471091270447
44,Yes,0.5180439352989197
45,Yes,0.5099155306816101
46,No,0.47951000928878784
47,Yes,0.5437768697738647
48,Yes,0.5320755839347839
49,Yes,0.5148038864135742
50,Yes,0.5102860927581787
51,Yes,0.5272089838981628
52,Yes,0.5348779559135437
53,No,0.4679586589336395
54,No,0.4684891998767853
55,No,0.5020468235015869
56,No,0.4868106544017792
57,Yes,0.5157758593559265
58,Yes,0.5854885578155518
59,Yes,0.5678549408912659
60,Yes,0.5789995789527893
61,Yes,0.5223687291145325
62,Yes,0.576274573802948
63,Yes,0.5576464533805847
64,Yes,0.5750024914741516
65,No,0.480186402797699
66,Yes,0.5626285672187805
67,No,0.49702468514442444
68,Yes,0.5123412013053894
69,No,0.4334021508693695
70,Yes,0.5128402709960938
71,Yes,0.509672224521637
72,Yes,0.5723530650138855
73,No,0.4951381981372833
74,Yes,0.5070549249649048
75,Yes,0.5462711453437805
76,Yes,0.557898998260498
77,Yes,0.5086938142776489
78,Yes,0.5384902954101562
79,Yes,0.528006911277771
80,Yes,0.5825160145759583
81,Yes,0.5240469574928284
82,Yes,0.5324252247810364
83,Yes,0.5420316457748413
84,Yes,0.5479521155357361
85,Yes,0.5882230401039124
86,Yes,0.5811339616775513
87,Yes,0.6300604343414307
88,Yes,0.6381897926330566
89,No,0.4324713945388794
90,Yes,0.5180753469467163
91,No,0.4576941430568695
92,Yes,0.5291552543640137
93,No,0.44132155179977417
94,No,0.4744150936603546
95,No,0.3947025537490845
96,No,0.43596339225769043
97,Yes,0.5296009182929993
98,Yes,0.6202926635742188
99,Yes,0.5335203409194946
100,Yes,0.589065670967102
101,Yes,0.5167410969734192
102,No,0.46110060811042786
103,Yes,0.5415465235710144
104,Yes,0.5628458261489868
105,No,0.4970445930957794
106,No,0.46547940373420715
107,Yes,0.5293669104576111
108,Yes,0.5310123562812805
109,Yes,0.5487983226776123
110,Yes,0.5173693299293518
111,Yes,0.5652604103088379
112,Yes,0.5937170386314392
113,Yes,0.523500382900238
114,No,0.5037372708320618
115,No,0.5035192370414734
116,Yes,0.5352484583854675
117,No,0.4791203439235687
118,No,0.4954417943954468
119,No,0.5027163624763489
120,Yes,0.5270229578018188
121,Yes,0.5329006910324097
122,Yes,0.5087319016456604
123,Yes,0.6004037261009216
124,Yes,0.5683918595314026
125,Yes,0.554926872253418
