item,label,p_yes
1,Yes,0.8169398307800293
2,Yes,0.9138567447662354
3,Yes,0.8764578104019165
4,Yes,0.9303151369094849
5,Yes,0.9004197120666504
6,Yes,0.8913130164146423
7,Yes,0.909450113773346
8,Yes,0.9048843383789062
9,Yes,0.8872249722480774
10,Yes,0.8787245750427246
11,Yes,0.9002518057823181
12,Yes,0.9031930565834045
13,Yes,0.8929495215415955
14,Yes,0.8807259798049927
15,Yes,0.918014407157898
16,Yes,0.9073389768600464
17,Yes,0.8769814372062683
18,Yes,0.8590556979179382
19,Yes,0.8676286339759827
20,Yes,0.881984531879425
21,Yes,0.8975856900215149
22,Yes,0.9023424983024597
23,Yes,0.9132577776908875
24,Yes,0.9148842692375183
25,Yes,0.9196944236755371
26,Yes,0.9176369905471802
27,Yes,0.9215520620346069
28,Yes,0.9234373569488525
29,Yes,0.7607991099357605
30,Yes,0.7943525314331055
31,Yes,0.8330068588256836
32,Yes,0.8344253301620483
33,Yes,0.893288791179657
34,Yes,0.887808620929718
35,Yes,0.8697705864906311
36,Yes,0.8824837803840637
37,Yes,0.9237989783287048
38,Yes,0.9243964552879333
39,Yes,0.9239364862442017
40,Yes,0.9248895645141602
41,Yes,0.8896166086196899
42,Yes,0.8952416777610779
43,Yes,0.8945565819740295
44,Yes,0.8946713209152222
45,Yes,0.8992451429367065
46,Yes,0.9012948870658875
47,Yes,0.9039378762245178
48,Yes,0.9083234071731567
49,Yes,0.8956227898597717
50,Yes,0.9092545509338379
51,Yes,0.9046839475631714
52,Yes,0.9171589016914368
53,Yes,0.9029313325881958
54,Yes,0.9105356335639954
55,Yes,0.9120451211929321
56,Yes,0.9130361080169678
57,Yes,0.8650307059288025
58,Yes,0.8693364262580872
59,Yes,0.8618381023406982
60,Yes,0.865811288356781
61,Yes,0.8758895993232727
62,Yes,0.8755154013633728
63,Yes,0.8790199756622314
64,Yes,0.8738954663276672
65,Yes,0.8834434747695923
66,Yes,0.8879933953285217
67,Yes,0.886592447757721
68,Yes,0.8787177801132202
69,Yes,0.900682806968689
70,Yes,0.8958243131637573
71,Yes,0.914675772190094
72,Yes,0.909774661064148
73,Yes,0.8923484683036804
74,Yes,0.8904706239700317
75,Yes,0.9066370725631714
76,Yes,0.9086034297943115
77,Yes,0.9025096893310547
78,Yes,0.9043896794319153
79,Yes,0.905038058757782
80,Yes,0.8957372903823853
81,Yes,0.8861555457115173
82,Yes,0.8917352557182312
83,Yes,0.8908634781837463
84,Yes,0.8794921636581421
85,Yes,0.864163339138031
86,Yes,0.8809177279472351
87,Yes,0.8987183570861816
88,Yes,0.8956045508384705
89,Yes,0.8307263255119324
90,Yes,0.8755372166633606
91,Yes,0.8639017939567566
92,Yes,0.8707882761955261
93,Yes,0.8076006174087524
94,Yes,0.8257384896278381
95,Yes,0.8204346299171448
96,Yes,0.8216115832328796
97,Yes,0.8706014752388
98,Yes,0.9057233333587646
99,Yes,0.8977606892585754
100,Yes,0.8972746133804321
101,Yes,0.922903299331665
102,Yes,0.9270740151405334
103,Yes,0.9262958765029907
104,Yes,0.9229920506477356
105,Yes,0.8682217001914978
106,Yes,0.8470093607902527
107,Yes,0.8798699975013733
108,Yes,0.8778050541877747
109,Yes,0.8561221361160278
110,Yes,0.86030113697052
111,Yes,0.8728771805763245
112,Yes,0.8861920833587646
113,Yes,0.8577185869216919
114,Yes,0.8918182849884033
115,Yes,0.9050317406654358
116,Yes,0.9219948649406433
117,Yes,0.8524179458618164
118,Yes,0.8796172738075256
119,Yes,0.8942914009094238
120,Yes,0.9084667563438416
121,Yes,0.9036921262741089
122,Yes,0.9077492952346802
123,Yes,0.9262457489967346
124,Yes,0.9235301613807678
125,Yes,0.913539707660675
126,Yes,0.9173535108566284
127,Yes,0.9211958646774292
128,Yes,0.918781578540802
129,Yes,0.9261658191680908
130,Yes,0.9231826663017273
131,Yes,0.9431203007698059
132,Yes,0.9368743896484375
133,Yes,0.9009026885032654
134,Yes,0.8919970393180847
135,Yes,0.8984787464141846
136,Yes,0.899778425693512
137,Yes,0.9152464866638184
138,Yes,0.9237505197525024
139,Yes,0.9181722402572632
140,Yes,0.926518440246582
141,Yes,0.8849232792854309
142,Yes,0.8842915892601013
143,Yes,0.8685005307197571
144,Yes,0.8764325380325317
145,Yes,0.9187494516372681
146,Yes,0.922736644744873
147,Yes,0.9234771728515625
148,Yes,0.9202495813369751
149,Yes,0.8922366499900818
150,Yes,0.9037131071090698
151,Yes,0.9113928079605103
152,Yes,0.9099081754684448
153,Yes,0.8811277747154236
154,Yes,0.8904350399971008
155,Yes,0.9000288248062134
156,Yes,0.8936759233474731
157,Yes,0.863624632358551
158,Yes,0.9077813029289246
159,Yes,0.8977540731430054
160,Yes,0.9020931720733643
161,Yes,0.8771018385887146
162,Yes,0.8827237486839294
163,Yes,0.9003773927688599
164,Yes,0.8881466388702393
165,Yes,0.9255223870277405
166,Yes,0.9157276749610901
167,Yes,0.9354822039604187
168,Yes,0.9257832765579224
169,Yes,0.8712244033813477
170,Yes,0.8963806629180908
171,Yes,0.8804998993873596
172,Yes,0.8920935392379761
173,Yes,0.8490195870399475
174,Yes,0.860563337802887
175,Yes,0.8457151651382446
176,Yes,0.8526553511619568
177,Yes,0.9101793766021729
178,Yes,0.9277259111404419
179,Yes,0.9226527214050293
180,Yes,0.9277940988540649
181,Yes,0.8462024331092834
182,Yes,0.87684166431427
183,Yes,0.8736997246742249
184,Yes,0.8908469676971436
185,Yes,0.8816223740577698
186,Yes,0.8866471648216248
187,Yes,0.8945170640945435
188,Yes,0.8899145126342773
189,Yes,0.8874092698097229
190,Yes,0.8868512511253357
191,Yes,0.9017703533172607
192,Yes,0.8966644406318665
193,Yes,0.9025127291679382
194,Yes,0.898208498954773
195,Yes,0.919587254524231
196,Yes,0.9157465100288391
197,Yes,0.8491774201393127
198,Yes,0.8567445874214172
