item,label,p_yes
1,Yes,0.616355299949646
2,Yes,0.6255236268043518
3,Yes,0.6866363286972046
4,Yes,0.6916841864585876
5,Yes,0.5675444602966309
6,Yes,0.6008695960044861
7,Yes,0.6718292236328125
8,Yes,0.6517237424850464
9,Yes,0.5953770279884338
10,Yes,0.6465371251106262
11,Yes,0.6915014982223511
12,Yes,0.6777383685112
13,Yes,0.5872922539710999
14,Yes,0.608007550239563
15,Yes,0.6159306764602661
16,Yes,0.6469985842704773
17,Yes,0.6273064017295837
18,Yes,0.607766330242157
19,Yes,0.6156544089317322
20,Yes,0.6310480237007141
21,Yes,0.5470644235610962
22,Yes,0.5499023795127869
23,Yes,0.6277614831924438
24,Yes,0.6263886094093323
25,No,0.5003353953361511
26,No,0.4831216633319855
27,Yes,0.5831807255744934
28,Yes,0.5718898773193359
29,No,0.48740336298942566
30,No,0.5020470023155212
31,Yes,0.600208044052124
32,Yes,0.5922538042068481
33,Yes,0.5729324817657471
34,Yes,0.5214396715164185
35,Yes,0.5364418625831604
36,Yes,0.5214926600456238
37,Yes,0.5955454111099243
38,Yes,0.5835778713226318
39,Yes,0.6326586008071899
40,Yes,0.5943731069564819
41,Yes,0.5305407047271729
42,Yes,0.6146770715713501
43,Yes,0.6022437810897827
44,Yes,0.6017247438430786
45,Yes,0.5363318920135498
46,Yes,0.5711498260498047
47,Yes,0.6103647947311401
48,Yes,0.6196675300598145
49,Yes,0.536048948764801
50,Yes,0.609248161315918
51,Yes,0.6079626679420471
52,Yes,0.6218149065971375
53,Yes,0.5901011824607849
54,Yes,0.6430916786193848
55,Yes,0.6681516766548157
56,Yes,0.6588037014007568
57,Yes,0.5859781503677368
58,Yes,0.603577733039856
59,Yes,0.6043996810913086
60,Yes,0.5817277431488037
61,Yes,0.5399097800254822
62,Yes,0.5936955809593201
63,Yes,0.5821021795272827
64,Yes,0.5945903062820435
65,Yes,0.6439628601074219
66,Yes,0.6133031845092773
67,Yes,0.6634783148765564
68,Yes,0.6305021643638611
69,Yes,0.5129876136779785
70,No,0.47955718636512756
71,Yes,0.5761951804161072
72,Yes,0.5389113426208496
73,No,0.4390513002872467
74,No,0.42451485991477966
75,No,0.4687345325946808
76,No,0.4790312349796295
77,Yes,0.5474495887756348
78,Yes,0.5413441061973572
79,Yes,0.589716374874115
80,Yes,0.5572167038917542
81,Yes,0.6026153564453125
82,Yes,0.5925133228302002
83,Yes,0.5920885801315308
84,Yes,0.5936893820762634
85,No,0.45958900451660156
86,Yes,0.5373944044113159
87,Yes,0.5751560926437378
88,Yes,0.5913820266723633
89,No,0.4240682125091553
90,No,0.4887312650680542
91,No,0.5031572580337524
92,Yes,0.5069693326950073
93,No,0.4181773364543915
94,No,0.46190139651298523
95,No,0.45194998383522034
96,No,0.4670531451702118
97,Yes,0.5431455373764038
98,Yes,0.5885179042816162
99,Yes,0.6189602613449097
100,Yes,0.5848158597946167
101,Yes,0.6451318860054016
102,Yes,0.5908913612365723
103,Yes,0.676624059677124
104,Yes,0.6396998763084412
105,Yes,0.534703254699707
106,Yes,0.5753949880599976
107,Yes,0.6392285227775574
108,Yes,0.6281296610832214
109,Yes,0.5372385382652283
110,Yes,0.5919039249420166
111,Yes,0.6354650855064392
112,Yes,0.643995463848114
113,No,0.49801862239837646
114,Yes,0.559954047203064
115,Yes,0.6052749752998352
116,Yes,0.5999069809913635
117,No,0.5031653642654419
118,Yes,0.604404866695404
119,Yes,0.6384584307670593
120,Yes,0.6405643820762634
121,No,0.49348515272140503
122,Yes,0.5685839653015137
123,Yes,0.6424555778503418
124,Yes,0.6459887623786926
125,Yes,0.5095402598381042
126,Yes,0.5153735280036926
127,Yes,0.616370677947998
128,Yes,0.5903708934783936
129,Yes,0.5798630714416504
130,Yes,0.576939046382904
131,Yes,0.6472480893135071
132,Yes,0.5938228964805603
133,Yes,0.5508792400360107
134,Yes,0.5791118144989014
135,Yes,0.6060926914215088
136,Yes,0.6067690849304199
137,Yes,0.5115903615951538
