item,label,p_yes
1,Yes,0.636655867099762
2,Yes,0.6235410571098328
3,Yes,0.6758002042770386
4,Yes,0.6405321955680847
5,Yes,0.6360496282577515
6,Yes,0.6716771125793457
7,Yes,0.693067729473114
8,Yes,0.6847450733184814
9,Yes,0.6615315675735474
10,Yes,0.6681028008460999
11,Yes,0.6988017559051514
12,Yes,0.6816144585609436
13,Yes,0.6513660550117493
14,Yes,0.6766402721405029
15,Yes,0.6990759968757629
16,Yes,0.6827062368392944
17,Yes,0.6183343529701233
18,Yes,0.6700469851493835
19,Yes,0.6677908897399902
20,Yes,0.6744228005409241
21,Yes,0.6289547085762024
22,Yes,0.6654738187789917
23,Yes,0.6782299876213074
24,Yes,0.6760927438735962
25,Yes,0.6513668894767761
26,Yes,0.6921122074127197
27,Yes,0.7063598036766052
28,Yes,0.7066905498504639
29,Yes,0.6435917019844055
30,Yes,0.6928066611289978
31,Yes,0.7031121850013733
32,Yes,0.6979644894599915
33,Yes,0.7550321817398071
34,Yes,0.7151462435722351
35,Yes,0.7678861021995544
36,Yes,0.7285084128379822
37,Yes,0.7188141345977783
38,Yes,0.6920491456985474
39,Yes,0.7316669821739197
40,Yes,0.7069656848907471
41,Yes,0.6935760378837585
42,Yes,0.6973784565925598
43,Yes,0.713316023349762
44,Yes,0.7066826820373535
45,Yes,0.7030290365219116
46,Yes,0.6925947666168213
47,Yes,0.7188023328781128
48,Yes,0.6939347982406616
49,Yes,0.6802255511283875
50,Yes,0.6925738453865051
51,Yes,0.7017520666122437
52,Yes,0.6934733390808105
53,Yes,0.6977553963661194
54,Yes,0.6909584403038025
55,Yes,0.7108772993087769
56,Yes,0.6915116906166077
57,Yes,0.7134076952934265
58,Yes,0.7237989902496338
59,Yes,0.7731748819351196
60,Yes,0.7492203712463379
61,Yes,0.6739228963851929
62,Yes,0.734605073928833
63,Yes,0.7509320974349976
64,Yes,0.750663697719574
65,Yes,0.6871119141578674
66,Yes,0.7063260674476624
67,Yes,0.7622580528259277
68,Yes,0.7291465401649475
69,Yes,0.7239184975624084
70,Yes,0.7097525596618652
71,Yes,0.7475061416625977
72,Yes,0.7219749093055725
73,Yes,0.6868177056312561
74,Yes,0.6816083788871765
75,Yes,0.711272656917572
76,Yes,0.7091407179832458
77,Yes,0.7263472676277161
78,Yes,0.69720059633255
79,Yes,0.7156695127487183
80,Yes,0.6897205114364624
81,Yes,0.7127055525779724
82,Yes,0.6850531697273254
83,Yes,0.6961612701416016
