item,label,p_yes
1,Yes,0.7054449915885925
2,Yes,0.7338406443595886
3,Yes,0.6140562295913696
4,Yes,0.733264684677124
5,Yes,0.715639591217041
6,Yes,0.7014201283454895
7,Yes,0.7279271483421326
8,Yes,0.717176616191864
9,Yes,0.6848405599594116
10,Yes,0.6889855861663818
11,Yes,0.6966465711593628
12,Yes,0.6827657222747803
13,Yes,0.7213886976242065
14,Yes,0.6962633728981018
15,Yes,0.7069823741912842
16,Yes,0.6903963088989258
17,Yes,0.666924238204956
18,Yes,0.6644335985183716
19,Yes,0.6424895524978638
20,Yes,0.6701130270957947
21,Yes,0.7073729038238525
22,Yes,0.704973042011261
23,Yes,0.7261049151420593
24,Yes,0.7241457104682922
25,Yes,0.7558682560920715
26,Yes,0.7454827427864075
27,Yes,0.7431008815765381
28,Yes,0.7583277821540833
29,Yes,0.7352865934371948
30,Yes,0.706210732460022
31,Yes,0.7157269716262817
32,Yes,0.7115558981895447
33,Yes,0.6809371709823608
34,Yes,0.6680245995521545
35,Yes,0.654707133769989
36,Yes,0.6631981730461121
37,Yes,0.6421481370925903
38,Yes,0.6785633563995361
39,Yes,0.6866654753684998
40,Yes,0.6892313361167908
41,Yes,0.7613284587860107
42,Yes,0.7575862407684326
43,Yes,0.7421351671218872
44,Yes,0.7428228855133057
45,Yes,0.7594950199127197
46,Yes,0.7143658399581909
47,Yes,0.7547659277915955
48,Yes,0.721156656742096
49,Yes,0.7444779872894287
50,Yes,0.7365022897720337
51,Yes,0.7172396183013916
52,Yes,0.7086443901062012
53,Yes,0.6977735757827759
54,Yes,0.6886772513389587
55,Yes,0.6903572678565979
56,Yes,0.6840494275093079
57,Yes,0.7317354679107666
58,Yes,0.7852497696876526
59,Yes,0.7492468953132629
60,Yes,0.7468104958534241
61,Yes,0.7671990394592285
62,Yes,0.8025090098381042
63,Yes,0.7662860155105591
64,Yes,0.7663424015045166
65,Yes,0.7132518887519836
66,Yes,0.7687419652938843
67,Yes,0.696310818195343
68,Yes,0.7094310522079468
69,Yes,0.7156308889389038
70,Yes,0.7012715339660645
71,Yes,0.731158435344696
72,Yes,0.6924462914466858
73,Yes,0.7580675482749939
74,Yes,0.7389816045761108
75,Yes,0.7411775588989258
76,Yes,0.7475115060806274
77,Yes,0.7153229117393494
78,Yes,0.7140055298805237
79,Yes,0.690626859664917
80,Yes,0.6805264353752136
81,Yes,0.7474026679992676
82,Yes,0.7422717809677124
83,Yes,0.711982250213623
84,Yes,0.6905617117881775
85,Yes,0.7802267670631409
86,Yes,0.7647264003753662
87,Yes,0.7719355225563049
88,Yes,0.7855605483055115
89,Yes,0.6607840657234192
90,Yes,0.7097110748291016
91,Yes,0.6827834844589233
92,Yes,0.7060412764549255
93,Yes,0.674594521522522
94,Yes,0.7149533629417419
95,Yes,0.669352114200592
96,Yes,0.6888838410377502
97,Yes,0.7571879029273987
98,Yes,0.774824857711792
99,Yes,0.7246319055557251
100,Yes,0.7322980165481567
101,Yes,0.7302683591842651
102,Yes,0.7062872052192688
103,Yes,0.7142580151557922
104,Yes,0.7389936447143555
105,Yes,0.678950309753418
106,Yes,0.689846396446228
107,Yes,0.6631900668144226
108,Yes,0.6875038743019104
109,Yes,0.6843762397766113
110,Yes,0.6789725422859192
111,Yes,0.6764788031578064
112,Yes,0.6871873736381531
113,Yes,0.7337937355041504
114,Yes,0.7099311351776123
115,Yes,0.6801382303237915
116,Yes,0.6019103527069092
117,Yes,0.7126727104187012
118,Yes,0.7136918306350708
119,Yes,0.678271472454071
120,Yes,0.6196340918540955
121,Yes,0.6930797696113586
122,Yes,0.7149228453636169
123,Yes,0.7264754772186279
124,Yes,0.7234767079353333
125,Yes,0.7313947677612305
126,Yes,0.7200618982315063
127,Yes,0.6924648880958557
128,Yes,0.7152791023254395
129,Yes,0.761692225933075
130,Yes,0.750544548034668
131,Yes,0.6976224184036255
132,Yes,0.7064310908317566
133,Yes,0.731636106967926
134,Yes,0.6906153559684753
135,Yes,0.6977062225341797
136,Yes,0.6696186661720276
137,Yes,0.7394844889640808
138,Yes,0.6968626379966736
139,Yes,0.7248023748397827
140,Yes,0.7061168551445007
141,Yes,0.7213296890258789
142,Yes,0.7215420007705688
143,Yes,0.6766204237937927
144,Yes,0.6915612816810608
145,Yes,0.7370480895042419
146,Yes,0.7524723410606384
147,Yes,0.7018579840660095
148,Yes,0.7221143841743469
149,Yes,0.6858547329902649
150,Yes,0.6736783981323242
151,Yes,0.6915141940116882
152,Yes,0.6437510848045349
153,Yes,0.7743050456047058
154,Yes,0.7805665135383606
155,Yes,0.7470055818557739
156,Yes,0.7657325863838196
157,Yes,0.7447047233581543
158,Yes,0.7183231711387634
159,Yes,0.6895793676376343
160,Yes,0.695619523525238
161,Yes,0.721403956413269
162,Yes,0.698799729347229
163,Yes,0.6813934445381165
164,Yes,0.7021571397781372
165,Yes,0.7758978605270386
166,Yes,0.753435492515564
167,Yes,0.7901408076286316
168,Yes,0.7503975033760071
169,Yes,0.6790950298309326
170,Yes,0.6709852814674377
171,Yes,0.6756098866462708
172,Yes,0.6738950610160828
173,Yes,0.6913066506385803
174,Yes,0.6795638799667358
175,Yes,0.6614456176757812
176,Yes,0.6600003242492676
177,Yes,0.7385021448135376
178,Yes,0.7389141321182251
179,Yes,0.7098589539527893
180,Yes,0.7052785158157349
181,Yes,0.7330034375190735
182,Yes,0.7377237677574158
183,Yes,0.7288852334022522
184,Yes,0.7209791541099548
185,Yes,0.7970938086509705
186,Yes,0.7427432537078857
187,Yes,0.7491332292556763
188,Yes,0.7526854276657104
189,Yes,0.7090988755226135
190,Yes,0.6889598369598389
191,Yes,0.6902991533279419
192,Yes,0.7090845108032227
193,Yes,0.6843158602714539
194,Yes,0.6827108860015869
195,Yes,0.6932277083396912
196,Yes,0.6727071404457092
197,Yes,0.630543053150177
198,Yes,0.6224184036254883
199,Yes,0.6380755305290222
200,Yes,0.5742581486701965
201,Yes,0.6279727220535278
202,Yes,0.6013688445091248
203,Yes,0.6088544726371765
204,Yes,0.6085917353630066
205,Yes,0.7114835381507874
206,Yes,0.6850470304489136
207,Yes,0.7141496539115906
208,Yes,0.6829319596290588
209,Yes,0.6892923712730408
210,Yes,0.6199564337730408
211,Yes,0.6529220342636108
212,Yes,0.6143245100975037
213,Yes,0.670028567314148
214,Yes,0.6916530132293701
215,Yes,0.6831113696098328
216,Yes,0.6981996297836304
217,Yes,0.7400156259536743
218,Yes,0.6819320321083069
219,Yes,0.7099984884262085
220,Yes,0.7084235548973083
221,Yes,0.706486165523529
222,Yes,0.7104870676994324
223,Yes,0.714658796787262
224,Yes,0.6980594396591187
225,Yes,0.6801552176475525
226,Yes,0.7047519087791443
227,Yes,0.6896243691444397
228,Yes,0.7092835903167725
229,Yes,0.7560811042785645
230,Yes,0.7217322587966919
231,Yes,0.7148480415344238
232,Yes,0.6528347730636597
233,Yes,0.7298116683959961
234,Yes,0.7154465317726135
235,Yes,0.726237416267395
236,Yes,0.7253693342208862
237,Yes,0.7717894911766052
238,Yes,0.7395195364952087
239,Yes,0.7573524713516235
240,Yes,0.7616678476333618
241,Yes,0.709075927734375
242,Yes,0.6907281279563904
243,Yes,0.7150757312774658
244,Yes,0.6954240798950195
245,Yes,0.7718442678451538
246,Yes,0.7459272146224976
247,Yes,0.7134381532669067
248,Yes,0.7116169333457947
249,Yes,0.7354762554168701
250,Yes,0.7839992046356201
251,Yes,0.7285470962524414
252,Yes,0.7306104898452759
253,Yes,0.7140561938285828
254,Yes,0.6960296630859375
255,Yes,0.7289361953735352
256,Yes,0.7214731574058533
257,Yes,0.7027758955955505
258,Yes,0.7172906398773193
259,Yes,0.7016564011573792
260,Yes,0.7162172198295593
261,Yes,0.7436952590942383
262,Yes,0.7179437279701233
263,Yes,0.7052798271179199
264,Yes,0.656258225440979
265,Yes,0.7276620268821716
266,Yes,0.7268879413604736
267,Yes,0.7290749549865723
268,Yes,0.7237272262573242
269,Yes,0.7425948977470398
270,Yes,0.7101539969444275
271,Yes,0.730033814907074
272,Yes,0.7149425148963928
273,Yes,0.7318359613418579
274,Yes,0.6997470855712891
275,Yes,0.7392970323562622
276,Yes,0.7065191864967346
277,Yes,0.7043860554695129
278,Yes,0.6989038586616516
279,Yes,0.6946027278900146
280,Yes,0.6994970440864563
281,Yes,0.6951111555099487
282,Yes,0.6411445736885071
283,Yes,0.6413513422012329
284,Yes,0.6640199422836304
285,Yes,0.7348922491073608
286,Yes,0.709517240524292
287,Yes,0.7110894322395325
288,Yes,0.693015456199646
289,Yes,0.7583057284355164
290,Yes,0.7601878046989441
291,Yes,0.7341312766075134
292,Yes,0.7131532430648804
293,Yes,0.725367546081543
294,Yes,0.6788432002067566
295,Yes,0.6532059907913208
296,Yes,0.6543992757797241
297,Yes,0.8138777017593384
298,Yes,0.7909809947013855
299,Yes,0.7708581686019897
300,Yes,0.7555363178253174
301,Yes,0.7880622744560242
302,Yes,0.7600077986717224
303,Yes,0.7627832889556885
304,Yes,0.7477472424507141
305,Yes,0.7490772604942322
306,Yes,0.7463175654411316
307,Yes,0.7437731027603149
308,Yes,0.7589723467826843
309,Yes,0.7101187109947205
310,Yes,0.6741925477981567
311,Yes,0.6703003644943237
312,Yes,0.6815522313117981
313,Yes,0.7913873195648193
314,Yes,0.7522433996200562
315,Yes,0.7090863585472107
316,Yes,0.6263321042060852
317,Yes,0.7474827766418457
318,Yes,0.7157076001167297
319,Yes,0.7049700021743774
320,Yes,0.7097541093826294
321,Yes,0.6836236119270325
322,Yes,0.6416923999786377
323,Yes,0.6239761114120483
324,Yes,0.6309694647789001
325,Yes,0.7066420316696167
326,Yes,0.6992325782775879
327,Yes,0.666145920753479
328,Yes,0.6746843457221985
329,Yes,0.6572203636169434
330,Yes,0.6617991328239441
331,Yes,0.6529567241668701
332,Yes,0.6614360809326172
333,Yes,0.6842870712280273
334,Yes,0.6839133501052856
335,Yes,0.6344325542449951
336,Yes,0.6403989791870117
337,Yes,0.7557381391525269
338,Yes,0.7437209486961365
339,Yes,0.7120683789253235
340,Yes,0.7049508094787598
341,Yes,0.7259517312049866
342,Yes,0.6966784596443176
343,Yes,0.7055853605270386
344,Yes,0.7223512530326843
345,Yes,0.6696311831474304
346,Yes,0.6739175915718079
347,Yes,0.6685954928398132
348,Yes,0.6854845881462097
349,Yes,0.6752827167510986
350,Yes,0.6682164669036865
351,Yes,0.6934674978256226
352,Yes,0.6961660981178284
353,Yes,0.6570612192153931
354,Yes,0.6679500937461853
355,Yes,0.6936514973640442
356,Yes,0.689324676990509
357,Yes,0.7554290890693665
358,Yes,0.7285099625587463
359,Yes,0.7375088334083557
360,Yes,0.7193334102630615
361,Yes,0.7436758875846863
362,Yes,0.7143253087997437
363,Yes,0.69293212890625
364,Yes,0.6705223917961121
