item,label,p_yes
1,Yes,0.5881810784339905
2,Yes,0.6391623020172119
3,Yes,0.6275859475135803
4,Yes,0.6043540239334106
5,Yes,0.6509869694709778
6,Yes,0.5994181036949158
7,Yes,0.6512846946716309
8,Yes,0.6244933009147644
9,No,0.40175551176071167
10,No,0.48930031061172485
11,No,0.4623953700065613
12,No,0.4996589422225952
13,No,0.4312271177768707
14,Yes,0.5032300353050232
15,No,0.48047763109207153
16,Yes,0.5140401721000671
17,No,0.4969196915626526
18,Yes,0.5596398711204529
19,Yes,0.50896155834198
20,Yes,0.5410152077674866
21,No,0.42096447944641113
22,No,0.4857836067676544
23,No,0.4599672257900238
24,No,0.46857279539108276
25,No,0.41791483759880066
26,No,0.45308589935302734
27,No,0.4550539553165436
28,No,0.4614603817462921
29,No,0.43151208758354187
30,No,0.44288039207458496
31,No,0.45663464069366455
32,No,0.4523412585258484
33,No,0.48746728897094727
34,Yes,0.5025870203971863
35,No,0.49401289224624634
36,No,0.5008422136306763
37,Yes,0.5435953736305237
38,Yes,0.5514363646507263
39,Yes,0.5814293622970581
40,Yes,0.5517232418060303
41,Yes,0.5217524766921997
42,Yes,0.5101144313812256
43,Yes,0.5679670572280884
44,Yes,0.5463795065879822
45,Yes,0.5663843154907227
46,Yes,0.5725383758544922
47,Yes,0.6305568218231201
48,Yes,0.6145866513252258
49,Yes,0.5352546572685242
50,Yes,0.5570942163467407
51,Yes,0.6130973696708679
52,Yes,0.605074405670166
53,Yes,0.5761388540267944
54,Yes,0.6138381361961365
55,Yes,0.6685763597488403
56,Yes,0.6529514193534851
57,Yes,0.5685184001922607
58,Yes,0.579666256904602
59,Yes,0.6837830543518066
60,Yes,0.6465731263160706
61,No,0.3978179097175598
62,No,0.4789901673793793
63,No,0.48099619150161743
64,No,0.4858081638813019
65,Yes,0.5352399945259094
66,Yes,0.5472726821899414
67,Yes,0.5947843790054321
68,Yes,0.5934245586395264
69,Yes,0.5983484983444214
70,Yes,0.6462647318840027
71,Yes,0.6301811933517456
72,Yes,0.6453905701637268
73,Yes,0.5951246619224548
74,Yes,0.5866497755050659
75,Yes,0.617668628692627
76,Yes,0.5729123950004578
77,Yes,0.58537757396698
78,No,0.4998382329940796
79,Yes,0.6175298690795898
80,Yes,0.5718496441841125
81,No,0.48953157663345337
82,No,0.4540533125400543
83,No,0.4733348488807678
84,No,0.4814644157886505
85,No,0.5009968280792236
86,No,0.49808430671691895
87,No,0.488271027803421
88,Yes,0.5141840577125549
89,No,0.4767366349697113
90,No,0.4936300218105316
91,No,0.49873462319374084
92,Yes,0.5109538435935974
93,Yes,0.5340765118598938
94,Yes,0.5970625281333923
95,Yes,0.5860193371772766
96,Yes,0.5949988961219788
97,Yes,0.5306591987609863
98,Yes,0.5787625312805176
99,Yes,0.5710253715515137
100,Yes,0.5775196552276611
101,No,0.47792869806289673
102,No,0.37128663063049316
103,No,0.4721943736076355
104,No,0.45287737250328064
105,No,0.4821232259273529
106,No,0.4960442781448364
107,No,0.4730064868927002
108,No,0.4720161259174347
109,Yes,0.5827493667602539
110,Yes,0.5927854180335999
111,Yes,0.6308770179748535
112,Yes,0.6382912397384644
113,Yes,0.5461259484291077
114,Yes,0.5958042740821838
115,Yes,0.6343419551849365
116,Yes,0.6458123326301575
117,No,0.3343625068664551
118,No,0.4361792206764221
119,No,0.3816041648387909
120,No,0.391511470079422
121,No,0.35867011547088623
122,No,0.4220530390739441
123,No,0.3787337839603424
124,No,0.4083958566188812
125,No,0.34196242690086365
126,No,0.43652892112731934
127,No,0.3753349184989929
128,No,0.41536176204681396
129,No,0.3885931670665741
130,Yes,0.5182271003723145
131,No,0.4427765905857086
132,No,0.49518898129463196
133,Yes,0.5031084418296814
134,Yes,0.5052473545074463
135,Yes,0.537347137928009
136,Yes,0.5124474763870239
137,Yes,0.5234807133674622
138,No,0.48229944705963135
139,Yes,0.5322641134262085
140,Yes,0.5276360511779785
141,No,0.4850601553916931
142,No,0.5021568536758423
143,Yes,0.5933449864387512
144,Yes,0.5738305449485779
145,No,0.421152800321579
146,No,0.4837709367275238
147,No,0.4272785484790802
148,No,0.4568183720111847
149,No,0.39365503191947937
150,No,0.4846270680427551
151,No,0.45153555274009705
152,No,0.4755958318710327
153,No,0.3519716262817383
154,No,0.4251403510570526
155,No,0.4224342107772827
156,No,0.4362621009349823
157,No,0.4378630816936493
158,No,0.4941141605377197
159,No,0.47308918833732605
160,No,0.4902161955833435
161,No,0.4809582531452179
162,Yes,0.5116795897483826
163,Yes,0.573377788066864
164,Yes,0.548012375831604
165,Yes,0.5222878456115723
166,Yes,0.5672909617424011
167,Yes,0.5808174014091492
168,Yes,0.558293342590332
169,Yes,0.5659023523330688
170,Yes,0.5106540322303772
171,Yes,0.6022663116455078
172,Yes,0.5821520090103149
173,No,0.47929611802101135
174,Yes,0.5076355934143066
175,Yes,0.540235161781311
176,Yes,0.5560239553451538
177,No,0.4454769194126129
178,Yes,0.5089520812034607
179,No,0.4854421615600586
180,Yes,0.5174508094787598
181,No,0.45507439970970154
182,Yes,0.5099202394485474
183,No,0.480621874332428
184,Yes,0.5098567605018616
185,No,0.4966607689857483
186,Yes,0.5735823512077332
187,Yes,0.5171379446983337
188,Yes,0.5570399165153503
189,No,0.43924152851104736
190,Yes,0.5282169580459595
191,No,0.4848357141017914
192,Yes,0.5162544846534729
193,No,0.4909326732158661
194,Yes,0.5678467154502869
195,Yes,0.5116652846336365
196,Yes,0.5537415742874146
197,Yes,0.5993839502334595
198,Yes,0.5901572108268738
199,Yes,0.6291800737380981
200,Yes,0.6163340210914612
201,Yes,0.5589177012443542
202,Yes,0.587673008441925
203,Yes,0.6200823187828064
204,Yes,0.6012623906135559
205,Yes,0.6388590335845947
206,Yes,0.6286444664001465
207,Yes,0.658105731010437
208,Yes,0.6379488110542297
209,Yes,0.5212844014167786
210,Yes,0.5834684371948242
211,Yes,0.5713956356048584
212,Yes,0.5551297068595886
213,Yes,0.5544711351394653
214,Yes,0.5301857590675354
215,Yes,0.5867720246315002
216,Yes,0.5577231645584106
217,Yes,0.5606670379638672
218,Yes,0.5982935428619385
219,Yes,0.5679600834846497
220,Yes,0.6548852324485779
221,Yes,0.5297272801399231
222,Yes,0.5674458146095276
223,Yes,0.5388399958610535
224,Yes,0.6329331994056702
225,Yes,0.583957850933075
226,Yes,0.6399258375167847
227,Yes,0.6615064740180969
228,Yes,0.6656025648117065
229,Yes,0.5214346647262573
230,Yes,0.5724453330039978
231,Yes,0.5633324384689331
232,Yes,0.5272014141082764
233,Yes,0.5747867822647095
234,Yes,0.5834899544715881
235,Yes,0.5838829874992371
236,Yes,0.5413739681243896
237,Yes,0.5555357933044434
238,Yes,0.6084271669387817
239,Yes,0.6077337861061096
240,Yes,0.5750454068183899
241,No,0.4715251326560974
242,Yes,0.5927612781524658
243,Yes,0.5288004875183105
244,Yes,0.5887547135353088
245,Yes,0.6052531599998474
246,Yes,0.6638162732124329
247,Yes,0.6346949338912964
248,Yes,0.6439768075942993
249,No,0.4676123857498169
250,No,0.48871737718582153
251,Yes,0.5152125954627991
252,No,0.49597063660621643
253,Yes,0.5637356638908386
254,Yes,0.5927451848983765
255,Yes,0.6135363578796387
256,Yes,0.5905641317367554
257,No,0.4510502219200134
258,Yes,0.567798376083374
259,No,0.49924057722091675
260,Yes,0.5288146138191223
261,No,0.44632890820503235
262,Yes,0.5812971591949463
263,Yes,0.5054057240486145
264,Yes,0.5408197045326233
265,No,0.4762158989906311
266,Yes,0.5432031154632568
267,Yes,0.5617421269416809
268,Yes,0.5635518431663513
269,No,0.47241389751434326
270,Yes,0.5322516560554504
271,Yes,0.5524200797080994
272,Yes,0.57205730676651
273,Yes,0.5515199303627014
274,Yes,0.6109955906867981
275,Yes,0.5988249182701111
276,Yes,0.6112927794456482
277,Yes,0.5745311379432678
278,Yes,0.620164692401886
279,Yes,0.6055048108100891
280,Yes,0.6404732465744019
281,No,0.38981127738952637
282,No,0.4761110842227936
283,No,0.4447941482067108
284,No,0.449937641620636
285,No,0.4869309365749359
286,Yes,0.5208063125610352
287,No,0.48527446389198303
288,No,0.49160152673721313
289,No,0.40768375992774963
290,No,0.46883291006088257
291,No,0.45156148076057434
292,No,0.4623606204986572
293,No,0.4205625355243683
294,No,0.44436192512512207
295,No,0.47322770953178406
296,No,0.4647722840309143
297,No,0.414788156747818
298,No,0.4636665880680084
299,No,0.46589696407318115
300,No,0.4681006073951721
301,No,0.38640281558036804
