item,label,p_yes
1,Yes,0.653557538986206
2,Yes,0.6706305146217346
3,Yes,0.6925654411315918
4,Yes,0.6956489086151123
5,Yes,0.6459614634513855
6,Yes,0.6755724549293518
7,Yes,0.6969352960586548
8,Yes,0.6924247145652771
9,Yes,0.7493278384208679
10,Yes,0.7391688823699951
11,Yes,0.7842358946800232
12,Yes,0.7478322386741638
13,Yes,0.7616773843765259
14,Yes,0.7473263740539551
15,Yes,0.7890971899032593
16,Yes,0.7510710954666138
17,Yes,0.7244988083839417
18,Yes,0.7203289866447449
19,Yes,0.7485368251800537
20,Yes,0.724475622177124
21,Yes,0.7054504752159119
22,Yes,0.7038105726242065
23,Yes,0.7270420789718628
24,Yes,0.7132202386856079
25,Yes,0.7376104593276978
26,Yes,0.7216010689735413
27,Yes,0.7621937990188599
28,Yes,0.729060173034668
29,Yes,0.7511242628097534
30,Yes,0.7194318175315857
31,Yes,0.7605922818183899
32,Yes,0.7250347137451172
33,Yes,0.7102234363555908
34,Yes,0.6997873783111572
35,Yes,0.7232128381729126
36,Yes,0.7036111950874329
37,Yes,0.6283136010169983
38,Yes,0.668790340423584
39,Yes,0.6480808258056641
40,Yes,0.6634132862091064
41,Yes,0.6587709784507751
42,Yes,0.660027027130127
43,Yes,0.6755222082138062
44,Yes,0.6653044819831848
45,Yes,0.7215988636016846
46,Yes,0.7220131158828735
47,Yes,0.7302417755126953
48,Yes,0.7258356809616089
49,Yes,0.7217028141021729
50,Yes,0.7250791192054749
51,Yes,0.7335655689239502
52,Yes,0.7324106693267822
53,Yes,0.7225862145423889
54,Yes,0.7232034802436829
55,Yes,0.7342575788497925
56,Yes,0.7304792404174805
57,Yes,0.7055637836456299
58,Yes,0.6975591778755188
59,Yes,0.7218033671379089
60,Yes,0.7189462184906006
61,Yes,0.7235013842582703
62,Yes,0.6936776638031006
63,Yes,0.741765022277832
64,Yes,0.7144462466239929
65,Yes,0.7334016561508179
66,Yes,0.7529042959213257
67,Yes,0.7572353482246399
68,Yes,0.7469373941421509
69,Yes,0.6803250312805176
70,Yes,0.6977262496948242
71,Yes,0.7226065397262573
72,Yes,0.715945839881897
