item,label,p_yes
1,Yes,0.7801966667175293
2,Yes,0.763175368309021
3,Yes,0.7278256416320801
4,Yes,0.7300966382026672
5,Yes,0.8039509057998657
6,Yes,0.7657617330551147
7,Yes,0.7419134378433228
8,Yes,0.7418950796127319
9,Yes,0.8010512590408325
10,Yes,0.7700499296188354
11,Yes,0.7781844735145569
12,Yes,0.7498708963394165
13,Yes,0.7652660012245178
14,Yes,0.742432713508606
15,Yes,0.7615320682525635
16,Yes,0.7355750799179077
17,Yes,0.8184497356414795
18,Yes,0.7848157286643982
19,Yes,0.7655845880508423
20,Yes,0.7384975552558899
21,Yes,0.7732710838317871
22,Yes,0.7684850096702576
23,Yes,0.7808199524879456
24,Yes,0.7682504653930664
25,Yes,0.7891326546669006
26,Yes,0.7839249968528748
27,Yes,0.7781648635864258
28,Yes,0.773841142654419
29,Yes,0.7527783513069153
30,Yes,0.7463950514793396
31,Yes,0.7537393569946289
32,Yes,0.745772123336792
33,Yes,0.8118860125541687
34,Yes,0.8019998073577881
35,Yes,0.7854632139205933
36,Yes,0.7676809430122375
37,Yes,0.8059771060943604
38,Yes,0.773916482925415
39,Yes,0.8167884349822998
40,Yes,0.7453386187553406
41,Yes,0.7859543561935425
42,Yes,0.7672263979911804
43,Yes,0.7921916842460632
44,Yes,0.7432085871696472
45,Yes,0.8350754976272583
46,Yes,0.808396577835083
47,Yes,0.8008100986480713
48,Yes,0.7825942039489746
49,Yes,0.814976692199707
50,Yes,0.8013450503349304
51,Yes,0.8021155595779419
52,Yes,0.78575599193573
53,Yes,0.7807689309120178
54,Yes,0.7503451704978943
55,Yes,0.7671206593513489
56,Yes,0.7242748737335205
57,Yes,0.7769474387168884
58,Yes,0.752970278263092
59,Yes,0.7740592956542969
60,Yes,0.7535285353660583
61,Yes,0.7915538549423218
62,Yes,0.7537977695465088
63,Yes,0.8021826148033142
64,Yes,0.7645659446716309
65,Yes,0.7910557985305786
66,Yes,0.7814725637435913
67,Yes,0.7489701509475708
68,Yes,0.7614628672599792
69,Yes,0.7616596817970276
70,Yes,0.744450569152832
