item,label,p_yes
1,Yes,0.9372920393943787
2,Yes,0.9717795252799988
3,Yes,0.9814784526824951
4,Yes,0.9801341891288757
5,Yes,0.9714353084564209
6,Yes,0.9765862226486206
7,Yes,0.9842377305030823
8,Yes,0.9829654693603516
9,Yes,0.7526637315750122
10,Yes,0.8864421248435974
11,Yes,0.7169778347015381
12,Yes,0.8487911820411682
13,Yes,0.8904972076416016
14,Yes,0.9173305630683899
15,Yes,0.9400896430015564
16,Yes,0.9551073908805847
17,Yes,0.7379388809204102
18,Yes,0.8658973574638367
19,Yes,0.8353314399719238
20,Yes,0.9032713770866394
21,Yes,0.7454931735992432
22,Yes,0.7665454745292664
23,Yes,0.9182184338569641
24,Yes,0.93149334192276
25,No,0.43185460567474365
26,No,0.47754937410354614
27,Yes,0.7848250865936279
28,Yes,0.8016383051872253
29,Yes,0.9198211431503296
30,Yes,0.9350414872169495
31,Yes,0.9328194856643677
32,Yes,0.9492697715759277
33,Yes,0.9640412330627441
34,Yes,0.9757604002952576
35,Yes,0.9738876819610596
36,Yes,0.9799531102180481
37,Yes,0.9786727428436279
38,Yes,0.9873706102371216
39,Yes,0.977727472782135
40,Yes,0.986182451248169
41,Yes,0.9219796657562256
42,Yes,0.9423626065254211
43,Yes,0.9624536037445068
44,Yes,0.9729773998260498
45,Yes,0.9488423466682434
46,Yes,0.9727715849876404
47,Yes,0.9445635080337524
48,Yes,0.9712038636207581
49,Yes,0.9643955230712891
50,Yes,0.9754749536514282
51,Yes,0.9729146957397461
52,Yes,0.980185329914093
53,Yes,0.9172351360321045
54,Yes,0.9565046429634094
55,Yes,0.9503790140151978
56,Yes,0.9666123390197754
57,Yes,0.9715049862861633
58,Yes,0.9639313817024231
59,Yes,0.9731369614601135
60,Yes,0.9703604578971863
61,Yes,0.9174410700798035
62,Yes,0.874627947807312
63,Yes,0.9660007357597351
64,Yes,0.9632654786109924
65,Yes,0.9748764634132385
66,Yes,0.9464485049247742
67,Yes,0.9796838164329529
68,Yes,0.9750553965568542
69,Yes,0.9034256339073181
70,Yes,0.925015389919281
71,Yes,0.9532261490821838
72,Yes,0.9597117900848389
73,Yes,0.9669164419174194
74,Yes,0.970810055732727
75,Yes,0.9702536463737488
76,Yes,0.9715551137924194
77,Yes,0.8442314267158508
78,Yes,0.8197305798530579
79,Yes,0.8798668384552002
80,Yes,0.9526404142379761
81,Yes,0.9163550734519958
82,Yes,0.9682568311691284
83,Yes,0.511018693447113
84,Yes,0.9404261708259583
85,Yes,0.8917123079299927
86,Yes,0.9226014018058777
87,Yes,0.9129425883293152
88,Yes,0.9496227502822876
89,Yes,0.9855707883834839
90,Yes,0.9869765639305115
