item,label,p_yes
1,Yes,0.8803549408912659
2,Yes,0.9706188440322876
3,Yes,0.9720582365989685
4,Yes,0.9774964451789856
5,Yes,0.9777935147285461
6,Yes,0.9726961255073547
7,Yes,0.9785798192024231
8,Yes,0.9793592095375061
9,Yes,0.9199110865592957
10,Yes,0.9672103524208069
11,Yes,0.9473650455474854
12,Yes,0.9682255983352661
13,Yes,0.7863747477531433
14,Yes,0.943860650062561
15,Yes,0.9651468396186829
16,Yes,0.975407063961029
17,Yes,0.8554895520210266
18,Yes,0.9696429371833801
19,Yes,0.931768000125885
20,Yes,0.9725249409675598
21,Yes,0.9554094672203064
22,Yes,0.9395425915718079
23,Yes,0.9675178527832031
24,Yes,0.9683330655097961
25,Yes,0.5486551523208618
26,Yes,0.5173574090003967
27,Yes,0.8458499908447266
28,Yes,0.8133073449134827
29,Yes,0.9728301763534546
30,Yes,0.9779157638549805
31,Yes,0.9642144441604614
32,Yes,0.9721820950508118
33,Yes,0.9768694043159485
34,Yes,0.9771168231964111
35,Yes,0.9740076661109924
36,Yes,0.9764328598976135
37,Yes,0.9838710427284241
38,Yes,0.9886779189109802
39,Yes,0.9807369709014893
40,Yes,0.9877021312713623
41,Yes,0.7788640260696411
42,Yes,0.7684707641601562
43,Yes,0.9516815543174744
44,Yes,0.9535651206970215
45,Yes,0.9552121758460999
46,Yes,0.9743703007698059
47,Yes,0.9630581140518188
48,Yes,0.9785777926445007
49,Yes,0.9751313328742981
50,Yes,0.9833778142929077
51,Yes,0.9760914444923401
52,Yes,0.9829592108726501
53,Yes,0.9728586673736572
54,Yes,0.9807581901550293
55,Yes,0.9682915806770325
56,Yes,0.9765303730964661
57,Yes,0.9834499359130859
58,Yes,0.977371096611023
59,Yes,0.9777392745018005
60,Yes,0.9796310663223267
61,Yes,0.920936644077301
62,Yes,0.9446550607681274
63,Yes,0.9676331281661987
64,Yes,0.9755560755729675
65,Yes,0.9789841771125793
66,Yes,0.9874359965324402
67,Yes,0.9794229865074158
68,Yes,0.9797357320785522
69,Yes,0.9472925066947937
70,Yes,0.9585390090942383
71,Yes,0.9559755325317383
72,Yes,0.9625413417816162
73,Yes,0.9876354336738586
74,Yes,0.9894657731056213
75,Yes,0.9809219837188721
76,Yes,0.9870690107345581
77,Yes,0.9604036211967468
78,Yes,0.923649251461029
79,Yes,0.8006976842880249
80,Yes,0.9061182141304016
81,Yes,0.9803390502929688
82,Yes,0.9785634875297546
83,No,0.3823486864566803
84,Yes,0.5620502233505249
85,Yes,0.7480132579803467
86,Yes,0.7706846594810486
87,Yes,0.8532646894454956
88,Yes,0.8939955830574036
89,Yes,0.9848423004150391
90,Yes,0.9834252595901489
91,Yes,0.9809304475784302
92,Yes,0.983619213104248
93,Yes,0.9669597148895264
94,Yes,0.9661734700202942
95,Yes,0.960896909236908
96,Yes,0.9645702838897705
97,Yes,0.9815669655799866
98,Yes,0.9841471910476685
99,Yes,0.9772171974182129
100,Yes,0.9851067066192627
101,Yes,0.9898438453674316
102,Yes,0.9900633692741394
103,Yes,0.9883159399032593
104,Yes,0.9882511496543884
105,Yes,0.8995785713195801
106,Yes,0.6423037648200989
107,Yes,0.9502963423728943
108,Yes,0.9646689891815186
109,Yes,0.9451644420623779
110,Yes,0.963153600692749
111,Yes,0.9571278095245361
112,Yes,0.9722468256950378
113,Yes,0.9739689826965332
114,Yes,0.9773982763290405
115,Yes,0.9713350534439087
116,Yes,0.9780210852622986
117,Yes,0.9236293435096741
118,Yes,0.9559374451637268
119,Yes,0.957487165927887
120,Yes,0.9682188630104065
121,Yes,0.9257533550262451
122,Yes,0.9365784525871277
123,Yes,0.9627222418785095
124,Yes,0.971115231513977
125,Yes,0.9815956354141235
126,Yes,0.9874597191810608
127,Yes,0.9799493551254272
128,Yes,0.985978901386261
129,Yes,0.8051296472549438
130,Yes,0.9131478071212769
131,Yes,0.9433549046516418
132,Yes,0.9442943930625916
133,Yes,0.929397463798523
134,Yes,0.9480426907539368
135,Yes,0.6577385067939758
136,Yes,0.8823193907737732
137,Yes,0.9781922698020935
138,Yes,0.9787535071372986
139,Yes,0.9817546010017395
140,Yes,0.9839491248130798
141,Yes,0.9614627957344055
142,Yes,0.9549785256385803
143,Yes,0.9554571509361267
144,Yes,0.9602159261703491
145,Yes,0.9758499264717102
146,Yes,0.9797558784484863
147,Yes,0.9631679058074951
148,Yes,0.9772320985794067
149,Yes,0.964635968208313
150,Yes,0.9800212979316711
151,Yes,0.9729765057563782
152,Yes,0.9815587997436523
153,Yes,0.9604709148406982
154,Yes,0.9383967518806458
155,Yes,0.973388671875
156,Yes,0.9799072742462158
157,Yes,0.9767174124717712
158,Yes,0.9887586236000061
159,Yes,0.9810563921928406
160,Yes,0.9889208078384399
161,Yes,0.965417742729187
162,Yes,0.9898720383644104
163,Yes,0.9833904504776001
164,Yes,0.9888450503349304
165,Yes,0.9261108636856079
166,Yes,0.9713597297668457
167,Yes,0.9756843447685242
168,Yes,0.979374885559082
169,Yes,0.9849728941917419
170,Yes,0.9844569563865662
171,Yes,0.984828531742096
172,Yes,0.9856039881706238
173,Yes,0.9717059135437012
174,Yes,0.9698060154914856
175,Yes,0.9687550663948059
176,Yes,0.9710327386856079
177,Yes,0.9862603545188904
178,Yes,0.9883614182472229
179,Yes,0.9825645089149475
180,Yes,0.9883055090904236
181,Yes,0.977125883102417
182,Yes,0.9747545719146729
183,Yes,0.9701491594314575
184,Yes,0.9784474968910217
185,Yes,0.8776949644088745
186,Yes,0.8680765628814697
187,Yes,0.9627631902694702
188,Yes,0.978325366973877
189,Yes,0.9740673899650574
190,Yes,0.9856964349746704
191,Yes,0.9739243388175964
192,Yes,0.9762158393859863
193,Yes,0.8330388069152832
194,Yes,0.9229220747947693
195,Yes,0.937151312828064
196,Yes,0.9531816244125366
197,Yes,0.9525664448738098
198,Yes,0.9583988785743713
199,Yes,0.9656793475151062
