item,label,p_yes
1,No,0.4899137616157532
2,No,0.5037751793861389
3,Yes,0.5188156366348267
4,No,0.4926411509513855
5,No,0.3889820873737335
6,No,0.35798612236976624
7,No,0.4432302713394165
8,No,0.4223446249961853
9,No,0.42894136905670166
10,No,0.4418398439884186
11,No,0.44741833209991455
12,No,0.4700917899608612
13,No,0.45945289731025696
14,No,0.47746798396110535
15,Yes,0.5136758089065552
16,Yes,0.5182448625564575
17,Yes,0.5967034697532654
18,Yes,0.6277418732643127
19,Yes,0.664607584476471
20,Yes,0.6481627821922302
21,No,0.4332728981971741
22,No,0.41283664107322693
23,No,0.4673362672328949
24,No,0.4609489440917969
25,No,0.4384312927722931
26,No,0.43557438254356384
27,No,0.48550859093666077
28,No,0.48320841789245605
29,No,0.4200573265552521
30,No,0.3886319100856781
31,No,0.44676750898361206
32,No,0.4361540973186493
33,No,0.3459235727787018
34,No,0.33931365609169006
35,No,0.34288761019706726
36,No,0.3639146685600281
37,No,0.3546477258205414
38,No,0.33395230770111084
39,No,0.30921125411987305
40,No,0.3372563123703003
41,No,0.29465213418006897
42,No,0.2813408374786377
43,No,0.33022937178611755
44,No,0.3336610794067383
45,No,0.3682543933391571
46,No,0.36209964752197266
47,No,0.38332197070121765
48,No,0.4010316729545593
49,No,0.3877066969871521
50,No,0.36536911129951477
51,No,0.41490429639816284
52,No,0.4298931658267975
53,No,0.4947769343852997
54,No,0.49761512875556946
55,Yes,0.5268673896789551
56,Yes,0.53451007604599
57,No,0.4658861458301544
58,No,0.4601404368877411
59,No,0.47025829553604126
60,Yes,0.5070833563804626
61,No,0.3984396755695343
62,No,0.35181140899658203
63,No,0.4134240746498108
64,No,0.42297518253326416
65,No,0.4658861458301544
66,No,0.4601404368877411
67,No,0.47025829553604126
68,Yes,0.5070833563804626
69,No,0.42240071296691895
70,No,0.39098015427589417
71,No,0.44524064660072327
72,No,0.48164910078048706
73,No,0.38228487968444824
74,No,0.35308659076690674
75,No,0.34200191497802734
76,No,0.39486509561538696
77,No,0.37239977717399597
78,No,0.355518639087677
79,No,0.39008328318595886
80,No,0.4492076635360718
81,Yes,0.5574590563774109
82,Yes,0.5558265447616577
83,Yes,0.5701194405555725
84,Yes,0.5861712098121643
85,No,0.2877456247806549
86,No,0.3223609924316406
87,No,0.4087987542152405
88,Yes,0.5221278071403503
89,No,0.5004774928092957
90,Yes,0.5352440476417542
91,Yes,0.5776265859603882
92,Yes,0.6042106747627258
93,No,0.4674956500530243
94,No,0.4660126566886902
95,Yes,0.5658917427062988
96,Yes,0.555571973323822
97,No,0.39095476269721985
98,No,0.34049612283706665
99,No,0.45480895042419434
100,No,0.5030627846717834
101,No,0.4297603666782379
102,No,0.35485580563545227
103,No,0.39477604627609253
104,No,0.44150587916374207
105,No,0.2772975564002991
106,No,0.23774074018001556
107,No,0.3456883430480957
108,No,0.4097262918949127
109,No,0.4438849091529846
110,No,0.468650221824646
111,Yes,0.5346319079399109
112,Yes,0.5659983158111572
113,No,0.4528065323829651
114,No,0.4581473171710968
115,Yes,0.5485812425613403
116,Yes,0.5529901385307312
117,No,0.39122360944747925
118,No,0.33056360483169556
119,No,0.41873860359191895
120,No,0.48179829120635986
121,No,0.39507386088371277
122,No,0.4024585783481598
123,Yes,0.5415477156639099
124,Yes,0.5901104807853699
125,No,0.30783918499946594
126,No,0.37342724204063416
