item,label,p_yes
1,No,0.3895843029022217
2,No,0.4383202791213989
3,No,0.44248753786087036
4,No,0.4629509150981903
5,No,0.4376738667488098
6,No,0.4001585841178894
7,No,0.4444975256919861
8,No,0.45434877276420593
9,No,0.4661734104156494
10,No,0.47369641065597534
11,No,0.46620890498161316
12,No,0.4859757721424103
13,No,0.4205695390701294
14,No,0.47322210669517517
15,No,0.4672737717628479
16,No,0.4997049868106842
17,No,0.409775972366333
18,No,0.43393734097480774
19,No,0.5057809352874756
20,Yes,0.5152238011360168
21,No,0.3361237049102783
22,No,0.39911216497421265
23,No,0.3657997250556946
24,No,0.4131441116333008
25,No,0.4667491614818573
26,Yes,0.5313298106193542
27,Yes,0.5203261375427246
28,Yes,0.5200039148330688
29,No,0.37571874260902405
30,No,0.44817206263542175
31,No,0.45212841033935547
32,No,0.4982532858848572
33,Yes,0.554222583770752
34,Yes,0.5715712308883667
35,Yes,0.5633984804153442
36,Yes,0.5626603960990906
37,No,0.49256324768066406
38,No,0.48610588908195496
39,Yes,0.506110668182373
40,Yes,0.5025254487991333
41,No,0.46303024888038635
42,No,0.4767456352710724
43,No,0.4535585343837738
44,No,0.4645710289478302
45,No,0.43884122371673584
46,No,0.4274749159812927
47,No,0.43926143646240234
48,No,0.44410189986228943
49,Yes,0.506618320941925
50,Yes,0.5202708840370178
51,Yes,0.5306793451309204
52,No,0.4943447709083557
53,No,0.47744786739349365
54,Yes,0.5034916996955872
55,No,0.49529004096984863
56,Yes,0.5149810314178467
57,Yes,0.5482481718063354
58,Yes,0.5244991779327393
59,Yes,0.587095320224762
60,Yes,0.5488545894622803
61,No,0.45223915576934814
62,No,0.459934264421463
63,Yes,0.5402334928512573
64,No,0.493197500705719
65,Yes,0.5482481718063354
66,Yes,0.5244991779327393
67,Yes,0.587095320224762
68,Yes,0.5488545894622803
69,No,0.48599570989608765
70,Yes,0.5157793164253235
71,Yes,0.5095799565315247
72,Yes,0.5255697965621948
73,Yes,0.5500085949897766
74,Yes,0.5645654201507568
75,Yes,0.5266408920288086
76,Yes,0.5225898623466492
77,No,0.41629093885421753
78,No,0.41901895403862
79,No,0.3968504071235657
80,No,0.4048674404621124
81,Yes,0.6543837785720825
82,Yes,0.6841959357261658
83,Yes,0.621831476688385
84,Yes,0.6136700510978699
85,No,0.48756349086761475
86,No,0.4804076552391052
87,No,0.5030481219291687
88,Yes,0.520197331905365
89,No,0.5025773048400879
90,Yes,0.532837986946106
91,Yes,0.5632336735725403
92,Yes,0.5615130662918091
93,Yes,0.5261552333831787
94,Yes,0.5220651030540466
95,Yes,0.5783917307853699
96,Yes,0.5616859793663025
97,No,0.4381941556930542
98,Yes,0.5611147880554199
99,Yes,0.5440239310264587
100,Yes,0.5723275542259216
