item,label,p_yes
1,Yes,0.7269582748413086
2,Yes,0.7242429256439209
3,Yes,0.7455204725265503
4,Yes,0.7264723181724548
5,Yes,0.7053747773170471
6,Yes,0.7058588862419128
7,Yes,0.7389674186706543
8,Yes,0.7233911752700806
9,Yes,0.710358738899231
10,Yes,0.6754410266876221
11,Yes,0.7253445386886597
12,Yes,0.7093808650970459
13,Yes,0.6827214956283569
14,Yes,0.6886109709739685
15,Yes,0.7090594172477722
16,Yes,0.7021908164024353
17,Yes,0.696965217590332
18,Yes,0.7046604752540588
19,Yes,0.7355576157569885
20,Yes,0.7182498574256897
21,Yes,0.683428943157196
22,Yes,0.6625975370407104
23,Yes,0.6957087516784668
24,Yes,0.692429780960083
25,Yes,0.7189368009567261
26,Yes,0.7376810908317566
27,Yes,0.7522639632225037
28,Yes,0.7399160265922546
29,Yes,0.7112528085708618
30,Yes,0.704816460609436
31,Yes,0.7326447367668152
32,Yes,0.7181000709533691
33,Yes,0.7666925191879272
34,Yes,0.7520986795425415
35,Yes,0.7682790160179138
36,Yes,0.7506722807884216
37,Yes,0.7463607788085938
38,Yes,0.7304677367210388
39,Yes,0.7652472853660583
40,Yes,0.7408279776573181
41,Yes,0.7361611127853394
42,Yes,0.7489446401596069
43,Yes,0.7661393880844116
44,Yes,0.7372008562088013
45,Yes,0.7472073435783386
46,Yes,0.7221975922584534
47,Yes,0.7579859495162964
48,Yes,0.7315778732299805
49,Yes,0.7299413681030273
50,Yes,0.7127199769020081
51,Yes,0.7423752546310425
52,Yes,0.7213952541351318
53,Yes,0.7268010377883911
54,Yes,0.7088385224342346
55,Yes,0.7506654262542725
56,Yes,0.7185590267181396
57,Yes,0.7495492100715637
58,Yes,0.7268415093421936
59,Yes,0.7482967376708984
60,Yes,0.722610354423523
61,Yes,0.7552733421325684
62,Yes,0.7226690649986267
63,Yes,0.7575162053108215
64,Yes,0.7303124666213989
65,Yes,0.7495492100715637
66,Yes,0.7268415093421936
67,Yes,0.7482967376708984
68,Yes,0.722610354423523
69,Yes,0.7290500402450562
70,Yes,0.7518231868743896
71,Yes,0.7803927659988403
72,Yes,0.7495188117027283
73,Yes,0.7276068925857544
74,Yes,0.6936874985694885
75,Yes,0.720202624797821
76,Yes,0.6959341764450073
77,Yes,0.7558232545852661
78,Yes,0.737061083316803
79,Yes,0.771514356136322
80,Yes,0.7457929253578186
81,Yes,0.740776538848877
82,Yes,0.7220471501350403
83,Yes,0.7690598368644714
84,Yes,0.7295958399772644
85,Yes,0.7239806652069092
86,Yes,0.7221457958221436
87,Yes,0.7580863237380981
88,Yes,0.7265436053276062
89,Yes,0.7275651693344116
90,Yes,0.6882310509681702
91,Yes,0.73221355676651
92,Yes,0.708747923374176
93,Yes,0.7231422066688538
94,Yes,0.6948212385177612
95,Yes,0.7534428238868713
96,Yes,0.709201991558075
97,Yes,0.714593231678009
98,Yes,0.7073562145233154
99,Yes,0.7519872188568115
100,Yes,0.7165836095809937
101,Yes,0.7097747325897217
102,Yes,0.6926702857017517
103,Yes,0.7578860521316528
104,Yes,0.7233439683914185
105,Yes,0.7394029498100281
106,Yes,0.7308242321014404
107,Yes,0.7631055116653442
108,Yes,0.7374572157859802
109,Yes,0.7042189836502075
110,Yes,0.7058418393135071
111,Yes,0.7511183023452759
112,Yes,0.7163462042808533
113,Yes,0.717017412185669
114,Yes,0.714067816734314
115,Yes,0.7623664140701294
116,Yes,0.7267146110534668
117,Yes,0.7334935069084167
118,Yes,0.7287565469741821
119,Yes,0.7532854676246643
120,Yes,0.724115788936615
121,Yes,0.7034135460853577
122,Yes,0.701704740524292
123,Yes,0.7462119460105896
124,Yes,0.71388179063797
125,Yes,0.7147492170333862
126,Yes,0.7093195915222168
127,Yes,0.7605959177017212
128,Yes,0.7253403663635254
129,Yes,0.7120348811149597
130,Yes,0.6768890023231506
131,Yes,0.7524078488349915
132,Yes,0.7163305878639221
133,Yes,0.7118183374404907
134,Yes,0.6964669823646545
135,Yes,0.7476050853729248
136,Yes,0.7114326357841492
137,Yes,0.7306484580039978
138,Yes,0.7341151237487793
139,Yes,0.7710314393043518
140,Yes,0.7391098141670227
141,Yes,0.7105258703231812
142,Yes,0.7094466090202332
143,Yes,0.7525789737701416
144,Yes,0.7270969152450562
145,Yes,0.6849638223648071
146,Yes,0.6867850422859192
147,Yes,0.6967083811759949
148,Yes,0.6929734349250793
