item,label,p_yes
1,Yes,0.7214021682739258
2,Yes,0.7127812504768372
3,Yes,0.6716476678848267
4,Yes,0.6760944128036499
5,Yes,0.6373464465141296
6,Yes,0.6147230267524719
7,Yes,0.5766412615776062
8,Yes,0.577116072177887
9,Yes,0.7051756978034973
10,Yes,0.7159238457679749
11,Yes,0.6727453470230103
12,Yes,0.684118390083313
13,Yes,0.6992441415786743
14,Yes,0.7005499601364136
15,Yes,0.5718358755111694
16,Yes,0.5979054570198059
17,Yes,0.7361772060394287
18,Yes,0.7335091829299927
19,Yes,0.7202437520027161
20,Yes,0.7353875041007996
21,Yes,0.6441265940666199
22,Yes,0.6631673574447632
23,Yes,0.5285157561302185
24,Yes,0.5478665828704834
25,Yes,0.7110384106636047
26,Yes,0.6684674024581909
27,Yes,0.5638660192489624
28,Yes,0.5602724552154541
29,Yes,0.6776496767997742
30,Yes,0.6438560485839844
31,Yes,0.6057460308074951
32,Yes,0.6113749742507935
33,Yes,0.6697487235069275
34,Yes,0.6031931042671204
35,Yes,0.6083654761314392
36,Yes,0.5416866540908813
37,Yes,0.6398407816886902
38,Yes,0.597389817237854
39,Yes,0.5810072422027588
40,Yes,0.5453652143478394
41,Yes,0.6228287816047668
42,Yes,0.6069393157958984
43,Yes,0.6422669291496277
44,Yes,0.6226922869682312
45,Yes,0.6841557621955872
46,Yes,0.6795592904090881
47,Yes,0.6938274502754211
48,Yes,0.6352581977844238
49,Yes,0.6369104981422424
50,Yes,0.6310575008392334
51,Yes,0.6326816082000732
52,Yes,0.6013422012329102
53,Yes,0.6686989068984985
54,Yes,0.6523746252059937
55,Yes,0.6600707769393921
56,Yes,0.6376661658287048
57,Yes,0.6730553507804871
58,Yes,0.6360294818878174
59,Yes,0.6648345589637756
60,Yes,0.6244388818740845
61,Yes,0.6905316114425659
62,Yes,0.6664740443229675
63,Yes,0.6740170121192932
64,Yes,0.6120986342430115
65,Yes,0.6730553507804871
66,Yes,0.6360294818878174
67,Yes,0.6648345589637756
68,Yes,0.6244388818740845
69,Yes,0.6413999199867249
70,Yes,0.586029052734375
71,Yes,0.6051085591316223
72,Yes,0.5813503265380859
73,Yes,0.6654516458511353
74,Yes,0.6522089242935181
75,Yes,0.657507061958313
76,Yes,0.6457597017288208
77,Yes,0.6484244465827942
78,Yes,0.6301240921020508
79,Yes,0.6398252248764038
80,Yes,0.5899794697761536
81,Yes,0.7765191793441772
82,Yes,0.7710176110267639
83,Yes,0.7296324372291565
84,Yes,0.706068754196167
85,Yes,0.6648050546646118
86,Yes,0.6748763918876648
87,Yes,0.6799353361129761
88,Yes,0.7113885879516602
89,Yes,0.6997213959693909
90,Yes,0.7127808332443237
91,Yes,0.7320632934570312
92,Yes,0.7070850133895874
93,Yes,0.6872630715370178
94,Yes,0.6691591739654541
95,Yes,0.6734033823013306
96,Yes,0.6616601943969727
97,Yes,0.661078155040741
98,Yes,0.7005048990249634
99,Yes,0.6882497072219849
100,Yes,0.6958374977111816
101,Yes,0.6229985356330872
102,Yes,0.6929466724395752
103,Yes,0.6545954942703247
104,Yes,0.6901906132698059
105,Yes,0.5800423622131348
106,Yes,0.5716251134872437
107,Yes,0.5987412929534912
108,Yes,0.6441861987113953
109,Yes,0.7449575066566467
110,Yes,0.7189443111419678
111,Yes,0.7123295068740845
112,Yes,0.6902097463607788
113,Yes,0.6673712730407715
114,Yes,0.6869838833808899
115,Yes,0.6882247924804688
116,Yes,0.6702917814254761
117,Yes,0.625794529914856
