item,label,p_yes
1,No,0.4667517840862274
2,Yes,0.5462099313735962
3,No,0.07807844877243042
4,No,0.31894639134407043
5,No,0.09613543748855591
6,No,0.24885638058185577
7,No,0.17367428541183472
8,No,0.4141658544540405
9,No,0.03266528993844986
10,No,0.037178438156843185
11,No,0.011964759789407253
12,No,0.014509922824800014
13,No,0.06886984407901764
14,No,0.03786879777908325
15,No,0.019878551363945007
16,No,0.018539072945713997
17,No,0.03285590931773186
18,No,0.053922802209854126
19,No,0.01627516560256481
20,No,0.030063463374972343
21,No,0.04397645592689514
22,No,0.062181755900382996
23,No,0.05291813239455223
24,No,0.15633298456668854
25,Yes,0.5509644746780396
26,Yes,0.7331103682518005
27,No,0.2952606678009033
28,Yes,0.7770731449127197
29,No,0.03420950099825859
30,No,0.06458375602960587
31,No,0.01183763425797224
32,No,0.01608566753566265
33,No,0.19955724477767944
34,No,0.40258169174194336
35,No,0.19965499639511108
36,No,0.3120433986186981
37,No,0.04824210703372955
38,No,0.05780575051903725
39,No,0.036492686718702316
40,No,0.06171097978949547
41,No,0.06056630611419678
42,No,0.05102594196796417
43,No,0.03027537651360035
44,No,0.020229758694767952
45,No,0.131145179271698
46,No,0.09637776017189026
47,No,0.045996252447366714
48,No,0.07707948237657547
49,No,0.03464871272444725
50,No,0.016813719645142555
51,No,0.01665613241493702
52,No,0.010517781600356102
53,No,0.024898599833250046
54,No,0.0431104451417923
55,No,0.03559025377035141
56,No,0.021662995219230652
57,No,0.11749459058046341
58,No,0.10099410265684128
59,No,0.03562437370419502
60,No,0.01695529744029045
61,No,0.14399807155132294
62,No,0.03913570195436478
63,No,0.05675564333796501
64,No,0.034299127757549286
65,No,0.06245175376534462
66,No,0.029294727370142937
67,No,0.10500919073820114
68,No,0.024176593869924545
69,No,0.4198794960975647
70,No,0.09028064459562302
71,No,0.1585218906402588
72,No,0.016709821298718452
73,No,0.019993755966424942
74,No,0.015854977071285248
75,No,0.006373395211994648
76,No,0.004424888640642166
77,No,0.04142073914408684
78,No,0.03216103836894035
79,No,0.023897163569927216
80,No,0.009260537102818489
81,No,0.05358394980430603
82,No,0.046093977987766266
83,No,0.01778121292591095
84,No,0.014616724103689194
85,No,0.025322232395410538
86,No,0.08497709035873413
87,No,0.008993212133646011
88,No,0.007751831319183111
89,No,0.10124294459819794
90,No,0.09921131283044815
91,No,0.033271729946136475
92,No,0.021013563498854637
93,Yes,0.8845690488815308
94,Yes,0.7991329431533813
95,Yes,0.9403725266456604
96,Yes,0.8973340392112732
97,No,0.029275747016072273
98,No,0.03226551413536072
99,No,0.01579909771680832
100,No,0.01391598954796791
101,No,0.13466545939445496
102,No,0.15194955468177795
103,No,0.05064579099416733
104,No,0.027990497648715973
105,No,0.13251909613609314
106,No,0.1251223087310791
107,No,0.053994860500097275
108,No,0.05582433193922043
109,No,0.14377999305725098
110,No,0.09084475040435791
111,No,0.051832180470228195
112,No,0.04557148739695549
113,No,0.1387248933315277
114,No,0.07587102055549622
115,No,0.0715976431965828
116,No,0.07459737360477448
117,No,0.06255847215652466
118,No,0.05501125752925873
119,No,0.021020371466875076
120,No,0.02109404280781746
121,No,0.014900051057338715
122,No,0.02898685820400715
123,No,0.01896423101425171
124,No,0.01699993573129177
125,No,0.04167674854397774
126,No,0.036058489233255386
127,No,0.03891286253929138
128,No,0.03143933042883873
129,No,0.02265949547290802
130,No,0.013587506487965584
131,No,0.005898293107748032
132,No,0.005625559017062187
133,No,0.02272164635360241
134,No,0.035147905349731445
135,No,0.010747851803898811
136,No,0.008841065689921379
137,No,0.01965886540710926
138,No,0.020522411912679672
139,No,0.006824049167335033
140,No,0.00989994965493679
141,No,0.07508107274770737
142,No,0.05321338772773743
143,No,0.013662065379321575
144,No,0.01229687500745058
145,No,0.0212723258882761
146,No,0.018241288140416145
147,No,0.013303319923579693
148,No,0.00891374796628952
149,No,0.01965886540710926
150,No,0.020522411912679672
151,No,0.006824049167335033
152,No,0.00989994965493679
153,No,0.4021284580230713
154,No,0.4273030459880829
155,No,0.04087185487151146
156,No,0.04846550524234772
157,No,0.025701330974698067
158,No,0.025358909741044044
159,No,0.01006124448031187
160,No,0.013979446142911911
161,No,0.03675004839897156
162,No,0.06650956720113754
163,No,0.024397071450948715
164,No,0.019766544923186302
165,No,0.2902865707874298
166,No,0.1279759705066681
167,No,0.09270552545785904
168,No,0.019418010488152504
169,No,0.11509814858436584
170,No,0.03281193599104881
171,No,0.012801514938473701
172,No,0.011334390379488468
173,No,0.04095721244812012
174,No,0.02264004573225975
175,No,0.018227476626634598
176,No,0.01069430261850357
177,No,0.2096581906080246
178,No,0.11451661586761475
179,No,0.19839879870414734
180,No,0.15343400835990906
181,No,0.02565665729343891
182,No,0.015358916483819485
183,No,0.00998577568680048
184,No,0.008826150558888912
185,No,0.07691489905118942
186,No,0.08142993599176407
187,No,0.014764709398150444
188,No,0.01132773794233799
189,No,0.2049558162689209
190,No,0.1221834346652031
191,No,0.045782383531332016
192,No,0.04099147394299507
193,No,0.012217222712934017
194,No,0.009760859422385693
195,No,0.005631455220282078
196,No,0.004371443763375282
197,Yes,0.98991459608078
198,Yes,0.9894258379936218
199,Yes,0.8871997594833374
200,No,0.40891021490097046
201,No,0.1768493950366974
202,No,0.13133254647254944
203,No,0.02630939520895481
204,No,0.014986451715230942
205,No,0.01999572478234768
206,No,0.015123693272471428
207,No,0.009764722548425198
208,No,0.008105208165943623
209,No,0.014440112747251987
210,No,0.028527742251753807
211,No,0.011897317133843899
212,No,0.010520217008888721
213,No,0.011472304351627827
214,No,0.017847169190645218
215,No,0.00924641638994217
216,No,0.006474110297858715
217,No,0.0567210391163826
218,No,0.061478883028030396
219,No,0.03298813849687576
220,No,0.011863848194479942
221,No,0.0856970027089119
222,No,0.024219220504164696
223,No,0.011136740446090698
224,No,0.00796688161790371
225,No,0.01922403648495674
226,No,0.038507770746946335
227,No,0.025947408750653267
228,No,0.027862440794706345
229,No,0.028078576549887657
230,No,0.03193264082074165
231,No,0.011662758886814117
232,No,0.008338876068592072
233,No,0.0797634944319725
234,No,0.06718336790800095
235,No,0.028226356953382492
236,No,0.02115350030362606
237,No,0.0566679872572422
238,No,0.0322764627635479
239,No,0.0175540279597044
240,No,0.013387823477387428
241,No,0.07733704149723053
242,No,0.18626241385936737
243,No,0.06717897951602936
244,No,0.061870574951171875
245,No,0.02976422756910324
246,No,0.028040125966072083
247,No,0.0129688186571002
248,No,0.013691127300262451
249,No,0.03583487495779991
250,No,0.08714959770441055
251,No,0.018390687182545662
252,No,0.015981130301952362
253,No,0.12948547303676605
254,No,0.1887120008468628
255,No,0.17261028289794922
256,No,0.2875514328479767
257,No,0.15314535796642303
258,No,0.11532723903656006
259,No,0.02528897486627102
260,No,0.01290096715092659
261,No,0.03282049670815468
262,No,0.06057121977210045
263,No,0.06758686900138855
264,No,0.04893676936626434
265,No,0.048223067075014114
266,No,0.02540263906121254
267,No,0.022019490599632263
268,No,0.012586426921188831
269,No,0.06783001869916916
270,No,0.05403663218021393
271,No,0.03654688596725464
272,No,0.021397734060883522
273,No,0.057821135967969894
274,No,0.04772428795695305
275,No,0.20915506780147552
276,No,0.10161719471216202
277,No,0.017340343445539474
278,No,0.01360089797526598
279,No,0.007957789115607738
280,No,0.00830821879208088
281,No,0.012787362560629845
282,No,0.013313673436641693
283,No,0.021361365914344788
284,No,0.008121456950902939
285,No,0.10327612608671188
286,No,0.12011171132326126
287,No,0.049335185438394547
288,No,0.04161650314927101
289,No,0.04071524366736412
290,No,0.01462564617395401
291,No,0.008904202841222286
292,No,0.007806144189089537
293,No,0.02323826216161251
294,No,0.03345365822315216
295,No,0.010180409997701645
296,No,0.00622902438044548
297,No,0.05930718034505844
298,No,0.03418988361954689
299,No,0.01570175401866436
300,No,0.0053293597884476185
301,No,0.03328997269272804
302,No,0.0211187731474638
303,No,0.020567914471030235
304,No,0.01761530339717865
305,No,0.04537014663219452
306,No,0.03584737330675125
307,No,0.017522089183330536
308,No,0.015908829867839813
309,No,0.086802639067173
310,No,0.05570726469159126
311,No,0.0540538989007473
312,No,0.020263131707906723
313,No,0.11836298555135727
314,No,0.1864367127418518
315,No,0.0331418514251709
316,No,0.051053889095783234
317,No,0.07468248158693314
318,No,0.037539951503276825
319,No,0.021917356178164482
320,No,0.01579187996685505
321,No,0.051236942410469055
322,No,0.2535650134086609
323,No,0.028321009129285812
324,No,0.01963094063103199
325,No,0.2002534568309784
326,No,0.16652604937553406
327,No,0.0924454778432846
328,No,0.07239914685487747
329,No,0.3752012848854065
330,No,0.1521214246749878
331,No,0.19786325097084045
332,No,0.11059446632862091
333,Yes,0.9739521145820618
334,Yes,0.9833413362503052
335,Yes,0.9678906798362732
336,Yes,0.9837633371353149
337,No,0.018401572480797768
338,No,0.02137160487473011
339,No,0.01305892039090395
340,No,0.012687478214502335
341,No,0.026345375925302505
342,No,0.01353095006197691
343,No,0.0169124286621809
344,No,0.010726040229201317
345,No,0.033676087856292725
346,No,0.029345586895942688
347,No,0.01570303738117218
348,No,0.012286636047065258
349,No,0.1348479688167572
350,No,0.1638629287481308
351,No,0.06010377034544945
352,No,0.06296039372682571
353,No,0.09611117094755173
354,No,0.0833984762430191
355,No,0.07145758718252182
356,No,0.052126944065093994
357,No,0.0823284387588501
358,No,0.048212893307209015
359,No,0.02374337613582611
360,No,0.01567273773252964
361,No,0.08610687404870987
362,No,0.059089820832014084
363,No,0.04928385838866234
364,No,0.026935240253806114
365,No,0.02828097715973854
366,No,0.021521378308534622
367,No,0.01322252955287695
368,No,0.008849496021866798
369,No,0.02689039148390293
370,No,0.05273943021893501
371,No,0.01586231030523777
372,No,0.015142453834414482
373,No,0.17291279137134552
374,No,0.07535325735807419
375,No,0.03525252640247345
376,No,0.019184576347470284
377,No,0.04389386624097824
378,No,0.028413504362106323
379,No,0.02695987932384014
380,No,0.01787581481039524
381,No,0.16885250806808472
382,Yes,0.5380814075469971
383,No,0.018167631700634956
384,No,0.021753694862127304
385,No,0.2492901086807251
386,No,0.045658454298973083
387,No,0.1250775307416916
388,No,0.03684628754854202
389,No,0.02498229220509529
390,No,0.038884636014699936
391,No,0.02875528484582901
392,No,0.014150976203382015
393,No,0.03921297937631607
394,No,0.02149767242372036
395,No,0.012959594838321209
396,No,0.009656853973865509
397,No,0.030817443504929543
398,No,0.020751457661390305
399,No,0.021489590406417847
400,No,0.016757724806666374
401,No,0.018443919718265533
402,No,0.023293351754546165
403,No,0.012334642931818962
404,No,0.010198084637522697
405,No,0.009890642948448658
406,No,0.019207162782549858
407,No,0.005872342735528946
408,No,0.005742448382079601
409,No,0.00943797267973423
410,No,0.009971000254154205
411,No,0.004622769076377153
412,No,0.005872771609574556
413,No,0.11838975548744202
414,No,0.07561562955379486
415,No,0.03756747394800186
416,No,0.018736040219664574
417,No,0.09402566403150558
418,No,0.047529079020023346
419,No,0.046066805720329285
420,No,0.027839183807373047
421,No,0.08554629981517792
422,No,0.06402013450860977
423,No,0.05760849267244339
424,No,0.030172988772392273
425,No,0.25949642062187195
426,No,0.20467588305473328
427,No,0.03441096842288971
428,No,0.03172069042921066
429,No,0.09102144837379456
430,No,0.08332881331443787
431,No,0.10334228724241257
432,No,0.06444483250379562
433,No,0.07745982706546783
434,No,0.06712988018989563
435,No,0.0944448783993721
436,No,0.04124467074871063
437,No,0.05902397260069847
438,No,0.04757321625947952
439,No,0.018491629511117935
440,No,0.01849045231938362
441,No,0.07833363115787506
442,No,0.12548184394836426
443,No,0.03504737466573715
444,No,0.017381587997078896
445,No,0.11122563481330872
446,No,0.13850019872188568
447,No,0.30797749757766724
448,No,0.3071105480194092
449,No,0.037598151713609695
450,No,0.02515127696096897
451,No,0.02285013720393181
452,No,0.013630061410367489
453,No,0.21474948525428772
454,No,0.06990750879049301
455,No,0.14160874485969543
456,No,0.035834480077028275
457,No,0.02164195477962494
458,No,0.012265454977750778
459,No,0.013042733073234558
460,No,0.01035019475966692
461,No,0.037343576550483704
462,No,0.032529566437006
463,No,0.02501497231423855
464,No,0.01289493590593338
465,No,0.38226982951164246
466,No,0.29978206753730774
467,No,0.1964542716741562
468,No,0.16611430048942566
469,No,0.041515279561281204
470,No,0.028096532449126244
471,No,0.045228056609630585
472,No,0.032232195138931274
473,No,0.04253263399004936
474,No,0.0961667001247406
475,No,0.02519678883254528
476,No,0.013344545848667622
477,No,0.0378652848303318
478,No,0.028008168563246727
479,No,0.06199676916003227
480,No,0.028519490733742714
481,No,0.03562285006046295
482,No,0.02012161910533905
483,No,0.01793874427676201
484,No,0.015150199644267559
485,No,0.1167171448469162
486,No,0.1746462881565094
487,No,0.05007266253232956
488,No,0.020743142813444138
489,No,0.037676867097616196
490,No,0.07059725373983383
491,No,0.03403365984559059
492,No,0.027532394975423813
493,No,0.08082306385040283
494,No,0.04264622926712036
495,No,0.015950510278344154
496,No,0.010019941255450249
497,No,0.29368534684181213
498,No,0.13619080185890198
499,Yes,0.6077420115470886
500,No,0.4051191806793213
501,No,0.10693696141242981
502,No,0.055102795362472534
503,No,0.048036787658929825
504,No,0.02547014318406582
505,No,0.1768348217010498
506,No,0.06905405968427658
507,No,0.01962640881538391
508,No,0.018809815868735313
509,No,0.03658232465386391
510,No,0.03498617187142372
511,No,0.017394158989191055
512,No,0.01763039268553257
513,No,0.2131716012954712
514,No,0.276873916387558
515,No,0.0372437909245491
516,No,0.025441424921154976
517,No,0.1362624317407608
518,No,0.12069886922836304
519,No,0.1180369034409523
520,No,0.061502546072006226
521,No,0.18087983131408691
