item,label,p_yes
1,No,0.020742502063512802
2,No,0.0010687195463106036
3,No,0.0002516453678254038
4,No,0.00011976882524322718
5,No,0.00024838250828906894
6,No,0.00024565690546296537
7,No,9.970238170353696e-05
8,No,0.00013987583224661648
9,No,0.0044168876484036446
10,No,0.008607529103755951
11,No,0.00013929839769843966
12,No,0.00020159631094429642
13,No,0.003739559091627598
14,No,0.001550481072627008
15,No,0.008455942384898663
16,No,0.0009444489260204136
17,Yes,0.9603049159049988
18,Yes,0.9869897961616516
19,Yes,0.5233174562454224
20,Yes,0.9467859864234924
21,No,0.0026285196654498577
22,No,0.0038490795996040106
23,No,0.0004152229812461883
24,No,0.00043876751442439854
25,No,0.03814781829714775
26,No,0.015346924774348736
27,No,0.00931931845843792
28,No,0.009697376750409603
29,No,0.0010325695620849729
30,No,0.00023397276527248323
31,No,8.754790178500116e-05
32,No,0.00012507599603850394
33,No,0.0003460101434029639
34,No,0.00024731780285947025
35,No,0.00031128094997256994
36,No,0.0003122415510006249
37,No,0.05005917698144913
38,No,0.014167319983243942
39,No,0.011476327665150166
40,No,0.0040688421577215195
41,No,0.00046314377686940134
42,No,0.0004068971029482782
43,No,7.322765304706991e-05
44,No,9.493828838458285e-05
45,No,0.008459777571260929
46,No,0.004199740011245012
47,No,0.002139888470992446
48,No,0.0013293224619701505
49,No,0.003839567769318819
50,No,0.0007078803610056639
51,No,0.0002471164334565401
52,No,0.00021251470025163144
53,No,0.026534156873822212
54,No,0.0046691736206412315
55,No,0.013582018204033375
56,No,0.003974368795752525
57,No,0.027031289413571358
58,No,0.0076835728250443935
59,No,0.006705576088279486
60,No,0.0017771846614778042
61,No,0.002072174334898591
62,No,0.0007970919832587242
63,No,0.000604411936365068
64,No,0.0003663337556645274
65,No,0.027031289413571358
66,No,0.0076835728250443935
67,No,0.006705576088279486
68,No,0.0017771846614778042
69,No,0.019775547087192535
70,No,0.021167783066630363
71,No,0.007224471773952246
72,No,0.006003430113196373
73,No,0.0054132346995174885
74,No,0.0006643428350798786
75,No,0.0003832009679172188
76,No,0.00027496222173795104
77,No,0.011010238900780678
78,No,0.0027068890631198883
79,No,0.001101645757444203
80,No,0.0004066732944920659
81,No,0.15515819191932678
82,No,0.09457511454820633
83,No,0.054488103836774826
84,No,0.012928667478263378
85,No,0.0002538153494242579
86,No,0.00020657069399021566
87,No,0.00015117324073798954
88,No,0.0001707902702037245
89,No,0.061479028314352036
90,No,0.04330352321267128
91,No,0.014557392336428165
92,No,0.003644001204520464
93,No,0.02341444604098797
94,No,0.009424757212400436
95,No,0.03275856748223305
96,No,0.0103989839553833
97,No,0.0007111947052180767
98,No,0.006983867846429348
99,No,0.007652647793292999
100,No,0.008619905449450016
101,No,0.008717444725334644
102,No,0.006733087822794914
103,No,0.0008030083845369518
104,No,0.0003926776989828795
105,No,0.0002753920271061361
106,No,0.00021071950322948396
107,No,0.0001303929166169837
108,No,0.00012876270920969546
109,No,0.037386927753686905
110,No,0.03873216360807419
111,No,0.006802137475460768
112,No,0.004740213509649038
113,No,0.009782075881958008
114,No,0.0024814445059746504
115,No,0.010926171205937862
116,No,0.0026197677943855524
117,No,0.00020449186558835208
118,No,0.00013572884199675173
119,No,0.00010849269892787561
120,No,9.621326171327382e-05
121,No,0.0004264105227775872
122,No,0.00028256233781576157
123,No,0.0004634387150872499
124,No,0.00013973421300761402
125,No,0.002084042178466916
126,No,0.0009038085117936134
127,No,0.0005597303970716894
128,No,0.0004307133494876325
129,No,0.009921024553477764
130,No,0.018482696264982224
131,No,0.0010385002242401242
132,No,0.0005519717233255506
133,No,0.0032021806109696627
134,No,0.001269780332222581
135,No,0.0004433867579791695
136,No,0.0005103159346617758
137,No,0.027402186766266823
138,No,0.01939336024224758
139,No,0.011048082262277603
140,No,0.004488302394747734
141,No,0.02884259633719921
142,No,0.01354567427188158
143,No,0.005589742679148912
144,No,0.0033390007447451353
145,No,0.014112601988017559
146,No,0.014699793420732021
147,No,0.00710010901093483
148,No,0.009709547273814678
149,No,0.0018563875928521156
150,No,0.0022656775545328856
151,No,0.00023207686899695545
152,No,0.0002681576879695058
153,No,0.18104992806911469
154,No,0.044504314661026
155,No,0.0021582997869700193
156,No,0.002111583249643445
157,No,0.0017467960715293884
158,No,0.0009716414497233927
159,No,0.00028116971952840686
160,No,0.00031465961365029216
161,No,0.0007380176684819162
162,No,0.0004899172927252948
163,No,0.0001572034670971334
164,No,0.00020258412405382842
165,No,0.0015742653049528599
166,No,0.0007293621310964227
167,No,0.0001919381320476532
168,No,0.00016227105516009033
169,No,0.07877975702285767
170,No,0.35926151275634766
171,No,0.08314469456672668
172,No,0.20056089758872986
173,No,0.3969435691833496
174,Yes,0.7542122602462769
175,No,0.06684234738349915
176,No,0.08809465169906616
177,No,0.2214825451374054
178,No,0.026100125163793564
179,No,0.002381996251642704
180,No,0.011358869262039661
181,No,0.0005255865980871022
182,No,0.00022465175425168127
183,No,0.00015750750026199967
184,No,0.0001462335349060595
185,No,0.00025481468765065074
186,No,0.0005210365052334964
187,No,0.0001793129340512678
188,No,0.00015219987835735083
189,No,0.0004781611205544323
190,No,0.000291845528408885
191,No,0.00020812265574932098
192,No,0.00017104002472478896
193,No,0.006552146747708321
194,No,0.000997295486740768
195,No,0.00014695164281874895
196,No,0.0001250953646376729
197,No,0.10020068287849426
198,No,0.2680531144142151
199,No,0.2972448170185089
200,No,0.3530222475528717
201,No,0.0007135211490094662
202,No,0.0003511245595291257
203,No,0.0006395686650648713
204,No,0.0002913926145993173
205,No,0.0006160470074974
206,No,0.000721236108802259
207,No,0.00030580544262193143
208,No,0.0002883757115341723
209,Yes,0.999167799949646
210,Yes,0.9972720742225647
211,Yes,0.9741062521934509
212,Yes,0.9554668068885803
213,No,0.03712207451462746
214,No,0.01392484549432993
215,No,0.0017124294536188245
216,No,0.0029378309845924377
217,No,0.011598280631005764
218,No,0.00618054810911417
219,No,0.007158579304814339
220,No,0.006809923332184553
221,No,0.006974956952035427
222,No,0.0011129546910524368
223,No,0.0022118675988167524
224,No,0.0005115987150929868
225,No,0.006658030208200216
226,No,0.0016503207152709365
227,No,0.006729298271238804
228,No,0.0023704376071691513
229,No,0.005092335399240255
230,No,0.002365087391808629
231,No,0.0013610685709863901
232,No,0.0021068770438432693
233,No,0.012951024807989597
234,No,0.0033089551143348217
235,No,0.010523190721869469
236,No,0.009626368060708046
237,No,0.00038534350460395217
238,No,0.000138774499646388
239,No,9.815518569666892e-05
240,No,8.668457303429022e-05
241,No,0.17923647165298462
242,No,0.02939569391310215
243,No,0.0016273322980850935
244,No,0.0006728534353896976
245,No,0.0007960909279063344
246,No,0.0005006230785511434
247,No,0.0016933956649154425
248,No,0.000401439203415066
249,No,0.0002933916402980685
250,No,0.0001464574597775936
251,No,8.300491754198447e-05
252,No,9.807605965761468e-05
253,No,0.0023166504688560963
254,No,0.001194341341033578
255,No,0.0007086349651217461
256,No,0.0007814678829163313
257,No,0.002219465095549822
258,No,0.0019870675168931484
259,No,0.00015887270274106413
260,No,0.00023684311599936336
261,No,0.001253034919500351
262,No,0.0034873487893491983
263,No,0.00024991840473376215
264,No,0.00041797649464569986
265,No,0.019259562715888023
266,No,0.015414571389555931
267,No,0.028170477598905563
268,No,0.029684364795684814
269,No,0.007181812543421984
270,No,0.0026655993424355984
271,No,0.00039957367698661983
272,No,0.0006403414299711585
273,No,0.058100029826164246
274,No,0.01670018583536148
275,No,0.007083899341523647
276,No,0.0029255745466798544
277,No,0.07168921828269958
278,No,0.03288426622748375
279,No,0.11860468238592148
280,No,0.03667350485920906
281,No,0.10018961131572723
282,No,0.033888090401887894
283,No,0.2115480899810791
284,No,0.03870465233922005
285,No,0.031861353665590286
286,No,0.010285806842148304
287,No,0.0871346965432167
288,No,0.0275433212518692
289,No,0.002046407898887992
290,No,0.0007187929004430771
291,No,0.0003115946310572326
292,No,0.00034832899109460413
293,No,0.011843026615679264
294,No,0.003949994686990976
295,No,0.00037576069007627666
296,No,0.00026160458219237626
297,No,0.001313001150265336
298,No,0.0005019535892643034
299,No,0.000413061905419454
300,No,0.00028387896600179374
301,No,0.026492303237318993
302,No,0.002793453400954604
303,No,0.00046778543037362397
304,No,0.0002564963069744408
305,No,0.002562284469604492
306,No,0.0017271057004109025
307,No,0.0019615855999290943
308,No,0.0007796813151799142
309,Yes,0.767951250076294
310,Yes,0.9834439754486084
311,Yes,0.9831627607345581
312,Yes,0.99418044090271
313,No,0.0024828186724334955
