item,label,p_yes
1,No,0.12508252263069153
2,No,0.017152290791273117
3,No,0.007445159368216991
4,No,0.0032599729020148516
5,No,0.020714648067951202
6,No,0.005964056123048067
7,No,0.012413312681019306
8,No,0.006344194058328867
9,No,0.07045219093561172
10,No,0.08778135478496552
11,No,0.0032015186734497547
12,No,0.0037325068842619658
13,No,0.048445556312799454
14,No,0.07029379904270172
15,No,0.17906564474105835
16,No,0.14579378068447113
17,No,0.10353203117847443
18,No,0.0626537948846817
19,No,0.04340926930308342
20,No,0.0487358495593071
21,No,0.01185643207281828
22,No,0.010437261313199997
23,No,0.0050299810245633125
24,No,0.004443659447133541
25,No,0.022584497928619385
26,No,0.016086261719465256
27,No,0.011009554378688335
28,No,0.008771331049501896
29,No,0.0036967266350984573
30,No,0.001372337224893272
31,No,0.003136025508865714
32,No,0.0016100996872410178
33,No,0.0039255633018910885
34,No,0.00271886819973588
35,No,0.0027189995162189007
36,No,0.0024189960677176714
37,No,0.04706311598420143
38,No,0.020172951743006706
39,No,0.005346520803868771
40,No,0.003729054005816579
41,No,0.002616525162011385
42,No,0.0028586445841938257
43,No,0.005693047307431698
44,No,0.00574994832277298
45,No,0.005512729752808809
46,No,0.006484924349933863
47,No,0.005916329566389322
48,No,0.003576237941160798
49,No,0.061329253017902374
50,No,0.054411329329013824
51,No,0.026163484901189804
52,No,0.02710839733481407
53,No,0.20123131573200226
54,No,0.03602197766304016
55,No,0.0440325103700161
56,No,0.03265392780303955
57,No,0.04255722090601921
58,No,0.051114726811647415
59,No,0.02294042333960533
60,No,0.029410215094685555
61,No,0.012936679646372795
62,No,0.013133324682712555
63,No,0.004789260216057301
64,No,0.0036236820742487907
65,No,0.04255722090601921
66,No,0.051114726811647415
67,No,0.02294042333960533
68,No,0.029410215094685555
69,No,0.03400256857275963
70,No,0.007164612412452698
71,No,0.012240118347108364
72,No,0.00871980655938387
73,No,0.006510772742331028
74,No,0.01041229534894228
75,No,0.0044900537468492985
76,No,0.004816911648958921
77,No,0.05948880314826965
78,No,0.01025918498635292
79,No,0.012713134288787842
80,No,0.007759478874504566
81,No,0.19494792819023132
82,No,0.12838691473007202
83,No,0.05642082169651985
84,No,0.04447847232222557
85,No,0.02288435399532318
86,No,0.024192560464143753
87,No,0.024557791650295258
88,No,0.02834959328174591
89,No,0.1271672397851944
90,No,0.1283920556306839
91,No,0.02639390528202057
92,No,0.011453146114945412
