item,label,p_yes
1,No,0.4297848045825958
2,Yes,0.5464997291564941
3,No,0.2666478157043457
4,Yes,0.549560546875
5,No,0.035003721714019775
6,No,0.032238710671663284
7,No,0.027615072205662727
8,No,0.03481154516339302
9,No,0.06125947833061218
10,No,0.05354064330458641
11,No,0.04669911041855812
12,No,0.04936715215444565
13,No,0.0743410587310791
14,No,0.04669085890054703
15,No,0.040507201105356216
16,No,0.038322363048791885
17,No,0.07655225694179535
18,No,0.04694109410047531
19,No,0.04807226359844208
20,No,0.04355132579803467
21,No,0.07474353164434433
22,No,0.044999849051237106
23,No,0.041912466287612915
24,No,0.03349114954471588
25,Yes,0.7220761775970459
26,Yes,0.869949460029602
27,No,0.4743223488330841
28,Yes,0.833821177482605
29,No,0.09047973155975342
30,No,0.06713162362575531
31,No,0.05109729245305061
32,No,0.05245395749807358
33,No,0.11155638843774796
34,No,0.07679981738328934
35,No,0.08331082761287689
36,No,0.12531910836696625
37,No,0.06439360231161118
38,No,0.04441235959529877
39,No,0.03809593617916107
40,No,0.036659784615039825
41,No,0.07334116101264954
42,No,0.04417970031499863
43,No,0.03678125515580177
44,No,0.03871043398976326
45,No,0.09299050271511078
46,No,0.06791279464960098
47,No,0.04431590810418129
48,No,0.04079245775938034
49,No,0.0652095153927803
50,No,0.05390345677733421
51,No,0.041697531938552856
52,No,0.03853733465075493
53,No,0.09854919463396072
54,No,0.09512057900428772
55,No,0.058718688786029816
56,No,0.05253056064248085
57,No,0.07040034234523773
58,No,0.27618512511253357
59,No,0.038970429450273514
60,No,0.035680875182151794
61,No,0.37563610076904297
62,No,0.21087726950645447
63,No,0.21772505342960358
64,No,0.14717084169387817
65,No,0.07400167733430862
66,No,0.05064358562231064
67,No,0.05902291461825371
68,No,0.03758509084582329
69,No,0.1314985752105713
70,No,0.11205330491065979
71,No,0.05567970126867294
72,No,0.05270591005682945
73,No,0.06324880570173264
74,No,0.06347212195396423
75,No,0.031938791275024414
76,No,0.03417876362800598
77,No,0.0763213112950325
78,No,0.12413374334573746
79,No,0.06397321820259094
80,No,0.04839131236076355
81,No,0.04766920208930969
82,No,0.04284729063510895
83,No,0.03804785758256912
84,No,0.03621933236718178
85,No,0.03874712437391281
86,No,0.05542122200131416
87,No,0.03148309141397476
88,No,0.03007211722433567
89,No,0.045144688338041306
90,No,0.04559765383601189
91,No,0.029105795547366142
92,No,0.023527905344963074
93,Yes,0.596517026424408
94,Yes,0.60703045129776
95,Yes,0.8037688136100769
96,Yes,0.7171720862388611
97,No,0.051917664706707
98,No,0.038959186524152756
99,No,0.028647812083363533
100,No,0.023816287517547607
101,No,0.08640156686306
102,No,0.05369916930794716
103,No,0.03295950964093208
104,No,0.031137365847826004
105,No,0.060799431055784225
106,No,0.046805497258901596
107,No,0.033562302589416504
108,No,0.031051380559802055
109,No,0.09182476252317429
110,No,0.05782128497958183
111,No,0.03644169121980667
112,No,0.032786544412374496
113,No,0.09523164480924606
114,No,0.06456173956394196
115,No,0.04506947472691536
116,No,0.041834425181150436
117,No,0.06178751215338707
118,No,0.0538923479616642
119,No,0.04313374683260918
120,No,0.03653861582279205
121,No,0.046483512967824936
122,No,0.04722163453698158
123,No,0.03568604215979576
124,No,0.02982511930167675
125,No,0.03906407952308655
126,No,0.027950402349233627
127,No,0.02180752344429493
128,No,0.018196014687418938
129,No,0.13117575645446777
130,No,0.08594605326652527
131,No,0.06919138878583908
132,No,0.0710889920592308
133,No,0.10354767739772797
134,No,0.070806585252285
135,No,0.05839764326810837
136,No,0.062356431037187576
137,No,0.11365384608507156
138,No,0.08312848955392838
139,No,0.06894932687282562
140,No,0.07271286845207214
141,No,0.09393060207366943
142,No,0.10046612471342087
143,No,0.07457366585731506
144,No,0.06778749823570251
145,No,0.12600216269493103
146,No,0.07089366018772125
147,No,0.09703917801380157
148,No,0.07699868083000183
149,No,0.11365384608507156
150,No,0.08312848955392838
151,No,0.06894932687282562
152,No,0.07271286845207214
153,Yes,0.804415225982666
154,Yes,0.6975745558738708
155,Yes,0.5155501365661621
156,No,0.473355770111084
157,No,0.10002636164426804
158,No,0.08271375298500061
159,No,0.09480825066566467
160,No,0.10461513698101044
161,No,0.06869368255138397
162,No,0.07142738997936249
163,No,0.052046407014131546
164,No,0.05840824171900749
165,No,0.07896560430526733
166,No,0.08349069952964783
167,No,0.0545407235622406
168,No,0.05296448990702629
169,No,0.14852698147296906
170,No,0.12032301723957062
171,No,0.0641113743185997
172,No,0.07924561947584152
173,No,0.12964114546775818
174,No,0.09508778154850006
175,No,0.06784487515687943
176,No,0.06651568412780762
177,No,0.21091458201408386
178,No,0.23112548887729645
179,No,0.11674345284700394
180,No,0.13300926983356476
181,No,0.1258498728275299
182,No,0.08174202591180801
183,No,0.049035340547561646
184,No,0.0483287088572979
185,No,0.05825182422995567
186,No,0.05050917714834213
187,No,0.0376720055937767
188,No,0.03732072561979294
189,Yes,0.7953203916549683
190,Yes,0.9330815076828003
191,Yes,0.8293009996414185
192,Yes,0.9345145225524902
193,No,0.0876481682062149
194,No,0.05920179560780525
195,No,0.03861444815993309
196,No,0.04055993631482124
197,Yes,0.9691222310066223
198,Yes,0.98643958568573
199,Yes,0.9798160195350647
200,Yes,0.9838811159133911
201,No,0.2367294877767563
202,No,0.2665961980819702
203,No,0.22625525295734406
204,No,0.2537514567375183
205,No,0.05952410399913788
206,No,0.07463966310024261
207,No,0.04122069850564003
208,No,0.04864869266748428
209,No,0.05747269466519356
210,No,0.0410396084189415
211,No,0.021519724279642105
212,No,0.024654623121023178
213,No,0.15165595710277557
214,No,0.09058278053998947
215,No,0.06973489373922348
216,No,0.05691637471318245
217,No,0.060716044157743454
218,No,0.06385796517133713
219,No,0.04191048443317413
220,No,0.04220655560493469
221,No,0.07277077436447144
222,No,0.08346259593963623
223,No,0.043654657900333405
224,No,0.05129718407988548
225,No,0.05913873761892319
226,No,0.06994219124317169
227,No,0.048042576760053635
228,No,0.04396737366914749
229,No,0.04078712314367294
230,No,0.026921512559056282
231,No,0.03417423740029335
232,No,0.028387408703565598
233,No,0.07610580325126648
234,No,0.05384117737412453
235,No,0.033669985830783844
236,No,0.027730971574783325
237,No,0.11222247779369354
238,No,0.06201564893126488
239,No,0.04838719591498375
240,No,0.03814072161912918
241,No,0.13941431045532227
242,No,0.12191876024007797
243,No,0.08717380464076996
244,No,0.07478288561105728
245,No,0.055708907544612885
246,No,0.04069855064153671
247,No,0.03433727100491524
248,No,0.029694626107811928
249,No,0.06612244993448257
250,No,0.07004676014184952
251,No,0.039587389677762985
252,No,0.03740363195538521
253,No,0.10471143573522568
254,No,0.15555696189403534
255,No,0.10613467544317245
256,No,0.06607483327388763
257,No,0.1672109067440033
258,No,0.13610337674617767
259,No,0.07225015759468079
260,No,0.04921915754675865
261,No,0.10281293094158173
262,No,0.10297790914773941
263,No,0.06298644840717316
264,No,0.058306291699409485
265,No,0.06457169353961945
266,No,0.0785059854388237
267,No,0.051178764551877975
268,No,0.0426798090338707
269,No,0.08981560915708542
270,No,0.0827602669596672
271,No,0.05431583151221275
272,No,0.04704289883375168
273,No,0.04064901918172836
274,No,0.03809618577361107
275,No,0.02661176025867462
276,No,0.026203690096735954
277,No,0.0708799734711647
278,No,0.05630314722657204
279,No,0.04433627054095268
280,No,0.03946143388748169
281,No,0.0686633512377739
282,No,0.07655750215053558
283,No,0.05521756783127785
284,No,0.04527856409549713
285,No,0.16470474004745483
286,No,0.13161805272102356
287,No,0.07596948742866516
288,No,0.06852801889181137
289,No,0.04271160066127777
290,No,0.03975190594792366
291,No,0.0318426787853241
292,No,0.030353734269738197
293,No,0.06886959075927734
294,No,0.0839545726776123
295,No,0.04800694063305855
296,No,0.044841378927230835
297,No,0.1945640742778778
298,No,0.09835530072450638
299,No,0.24038812518119812
300,No,0.09572087228298187
301,No,0.09395276010036469
302,No,0.0861525759100914
303,No,0.09721792489290237
304,No,0.057598717510700226
305,No,0.16250082850456238
306,No,0.09968633949756622
307,No,0.07256414741277695
308,No,0.06480787694454193
309,No,0.20064254105091095
310,No,0.14804866909980774
311,No,0.17382517457008362
312,No,0.1455734670162201
313,No,0.135623037815094
314,No,0.15872617065906525
315,No,0.14722567796707153
316,No,0.15896371006965637
317,No,0.17258328199386597
318,No,0.12011468410491943
319,No,0.10535755008459091
320,No,0.09899681061506271
321,No,0.13395774364471436
322,No,0.15590044856071472
323,No,0.09873258322477341
324,No,0.10087031871080399
325,No,0.1263357400894165
326,No,0.09149430692195892
327,No,0.08385847508907318
328,No,0.07711531221866608
329,No,0.23271960020065308
330,No,0.22151891887187958
331,No,0.19175265729427338
332,No,0.1987120360136032
333,Yes,0.747081458568573
334,Yes,0.9262075424194336
335,Yes,0.5765393376350403
336,Yes,0.7440305948257446
337,No,0.02881396748125553
338,No,0.030855953693389893
339,No,0.02251458913087845
340,No,0.025604337453842163
341,No,0.07212484627962112
342,No,0.044284507632255554
343,No,0.0313042588531971
344,No,0.03338117524981499
345,No,0.07791902124881744
346,No,0.05817926675081253
347,No,0.05746208503842354
348,No,0.05436893180012703
349,No,0.10176722705364227
350,No,0.07561041414737701
351,No,0.0796874612569809
352,No,0.06836377829313278
353,No,0.17608056962490082
354,No,0.14783412218093872
355,No,0.10296043753623962
356,No,0.13446439802646637
357,No,0.11305642873048782
358,No,0.08305735886096954
359,No,0.09161268919706345
360,No,0.07074365764856339
361,No,0.09929388016462326
362,No,0.06499197334051132
363,No,0.059933852404356
364,No,0.055008046329021454
365,No,0.06581448018550873
366,No,0.046635180711746216
367,No,0.035071130841970444
368,No,0.03754609078168869
369,No,0.07261107861995697
370,No,0.08731353282928467
371,No,0.036429714411497116
372,No,0.03648456558585167
373,No,0.10103237628936768
374,No,0.070968396961689
375,No,0.0743846446275711
376,No,0.06427647918462753
377,No,0.06896226853132248
378,No,0.05147160217165947
379,No,0.0510522797703743
380,No,0.04998805746436119
381,No,0.32070037722587585
382,No,0.3802151083946228
383,No,0.1192316934466362
384,No,0.12378658354282379
385,No,0.466046005487442
386,No,0.12245932221412659
387,No,0.2583499252796173
388,No,0.21021270751953125
389,No,0.08282100409269333
