item,label,p_yes
1,No,1.7360627380114124e-09
2,No,3.575430309865624e-05
3,No,5.331495800398045e-10
4,No,0.00011617445852607489
5,No,1.3873115156659566e-10
6,No,1.865020221591962e-10
7,No,1.5798012897860758e-10
8,No,4.2247960685415364e-10
9,No,2.802363674447861e-09
10,No,2.565543999466513e-09
11,No,5.1022501779129925e-09
12,No,3.5799585518248023e-09
13,No,1.5835314171042114e-09
14,No,1.0865880417654239e-09
15,No,3.0749010004882393e-09
16,No,1.7543765329364192e-09
17,No,3.12220999054702e-10
18,No,2.3730364895335754e-10
19,No,2.825103206927082e-10
20,No,1.9786439153790525e-10
21,No,2.612261795764681e-10
22,No,2.334660520464382e-10
23,No,4.4599143822487974e-10
24,No,1.5638296213538183e-10
25,No,5.110935603624966e-07
26,Yes,0.8604650497436523
27,No,7.316866001971789e-10
28,No,1.9228590986131167e-07
29,No,3.524628811035768e-09
30,No,8.347803559516365e-10
31,No,3.486261723750772e-09
32,No,1.7894815629304617e-09
33,No,1.9287903219034064e-10
34,No,2.81193290874171e-10
35,No,2.355331762959878e-10
36,No,1.0899046110068866e-09
37,No,3.461508302216032e-10
38,No,1.9660240102581383e-10
39,No,4.734334035916277e-10
40,No,2.5138632842036657e-10
41,No,3.217512367648112e-10
42,No,2.9168353843367356e-10
43,No,5.221702514823789e-10
44,No,2.3862214981740237e-10
45,No,1.3160487144503463e-09
46,No,1.24066690254665e-09
47,No,1.1949162770363841e-09
48,No,8.823431985049979e-10
49,No,6.963434828755055e-10
50,No,4.015664190060164e-10
51,No,6.764594995267714e-10
52,No,4.981142720517084e-10
53,No,7.768915510908414e-10
54,No,2.1774923530948342e-10
55,No,1.4352483646007386e-09
56,No,5.90595850002984e-10
57,No,1.1342006500658641e-10
58,No,1.298890550671672e-09
59,No,1.2302622809379216e-10
60,No,1.0696383362374107e-10
61,No,2.8625581904861974e-09
62,No,1.333718468998768e-09
63,No,3.2636551794418267e-10
64,No,1.692367773697967e-10
65,No,3.4766012291242987e-10
66,No,3.241718282698258e-10
67,No,2.1999078947398942e-10
68,No,2.330441950526563e-10
69,No,1.3065968307302e-09
70,No,2.0783726739637132e-08
71,No,1.5133360120600514e-09
72,No,5.340091147054693e-10
73,No,4.1128725425387813e-10
74,No,1.8833484771718645e-10
75,No,3.304714835117295e-10
76,No,2.457844205938642e-10
77,No,3.651871860466116e-10
78,No,1.8903176246531928e-10
79,No,2.1651394566113424e-10
80,No,1.6964980809053287e-10
81,No,1.7537115093446687e-09
82,No,9.874859818737036e-10
83,No,2.4720288038793115e-09
84,No,1.760647294624107e-09
85,No,1.7358176007675752e-09
86,No,1.2631167223275952e-09
87,No,1.3826092493118836e-09
88,No,1.205337829546238e-09
89,No,6.082049863742611e-10
90,No,3.0651842175544175e-10
91,No,6.923249196155723e-10
