item,label,p_yes
1,Yes,0.5376211404800415
2,Yes,0.5841428637504578
3,Yes,0.5538877844810486
4,Yes,0.5802334547042847
5,No,0.4460541903972626
6,No,0.44128960371017456
7,No,0.4718019962310791
8,No,0.4780097007751465
9,No,0.4658203423023224
10,No,0.4750012755393982
11,No,0.47648102045059204
12,No,0.4870513081550598
13,No,0.41362419724464417
14,No,0.46097925305366516
15,No,0.47137001156806946
16,No,0.4931623339653015
17,Yes,0.5345924496650696
18,Yes,0.5772197246551514
19,Yes,0.5752415060997009
20,Yes,0.5781958699226379
21,No,0.4355852007865906
22,No,0.45734700560569763
23,Yes,0.5092669725418091
24,Yes,0.5337762236595154
25,No,0.3727361559867859
26,No,0.4180718958377838
27,No,0.42043960094451904
28,No,0.4565696716308594
29,No,0.45941251516342163
30,Yes,0.5205706357955933
31,Yes,0.5155690312385559
32,Yes,0.5350539088249207
33,Yes,0.5400069952011108
34,Yes,0.5400188565254211
35,Yes,0.5519835352897644
36,Yes,0.5533680319786072
37,No,0.47415146231651306
38,No,0.48145774006843567
39,No,0.46060287952423096
40,No,0.48158392310142517
41,Yes,0.5082120299339294
42,No,0.4778135120868683
43,Yes,0.5036259889602661
44,No,0.4817639887332916
45,Yes,0.5745255947113037
46,Yes,0.5754208564758301
47,Yes,0.6128983497619629
48,Yes,0.6169676184654236
49,Yes,0.5421100854873657
50,Yes,0.5525722503662109
51,Yes,0.5516061782836914
52,Yes,0.5505572557449341
53,No,0.4703829288482666
54,Yes,0.5116209983825684
55,No,0.4872733950614929
56,No,0.4985627830028534
57,Yes,0.5627149343490601
58,No,0.47880902886390686
59,No,0.49466097354888916
60,No,0.49699217081069946
61,No,0.483380526304245
62,No,0.46767738461494446
63,No,0.49965372681617737
64,No,0.4802219271659851
65,No,0.4709019958972931
66,Yes,0.5160534977912903
67,No,0.49911779165267944
68,No,0.49744486808776855
69,Yes,0.5421100854873657
70,Yes,0.5525722503662109
71,Yes,0.5516061782836914
72,Yes,0.5505572557449341
73,No,0.3995067775249481
74,No,0.39829128980636597
75,No,0.3771081864833832
76,No,0.40837305784225464
77,No,0.43353885412216187
78,No,0.4911237955093384
79,No,0.4738280773162842
80,No,0.48895764350891113
81,No,0.48760849237442017
82,Yes,0.5103073120117188
83,Yes,0.5513331294059753
84,Yes,0.5524346828460693
85,Yes,0.5139593482017517
86,Yes,0.5251358151435852
87,Yes,0.5726168155670166
88,Yes,0.5504212975502014
89,Yes,0.5370017886161804
90,No,0.5034133195877075
91,Yes,0.526820182800293
92,Yes,0.5315762758255005
93,Yes,0.5140219926834106
94,Yes,0.5192584991455078
95,Yes,0.5762436985969543
96,Yes,0.5853164792060852
97,Yes,0.6685523390769958
98,Yes,0.6380420327186584
99,Yes,0.6098156571388245
100,Yes,0.6231440305709839
101,No,0.49093297123908997
102,No,0.5015520453453064
103,Yes,0.5246660113334656
104,Yes,0.5285218358039856
105,No,0.5029626488685608
106,No,0.4722650349140167
107,Yes,0.521651029586792
108,Yes,0.5099599957466125
109,Yes,0.6678879261016846
110,Yes,0.637397050857544
111,Yes,0.6894881129264832
112,Yes,0.64083331823349
113,No,0.431612491607666
114,No,0.4715353548526764
115,Yes,0.5064579248428345
116,Yes,0.514696478843689
117,Yes,0.6316906213760376
118,Yes,0.5802983641624451
119,Yes,0.5883713364601135
120,Yes,0.5889769792556763
121,Yes,0.5834348201751709
122,Yes,0.5805209875106812
123,Yes,0.5818330645561218
124,Yes,0.5612421631813049
125,No,0.4025769829750061
126,No,0.41762930154800415
127,Yes,0.5172157883644104
128,Yes,0.5109714865684509
129,Yes,0.5198437571525574
130,No,0.5019140243530273
131,Yes,0.5523945093154907
132,Yes,0.551567792892456
133,No,0.4025769829750061
134,No,0.41762930154800415
135,Yes,0.5172157883644104
