item,label,p_yes
1,Yes,0.7833676934242249
2,Yes,0.7594016194343567
3,Yes,0.6639741659164429
4,Yes,0.6733981966972351
5,Yes,0.6674646735191345
6,Yes,0.6311115622520447
7,Yes,0.5732018947601318
8,Yes,0.5715785622596741
9,Yes,0.7101020216941833
10,Yes,0.6875810623168945
11,Yes,0.6572943925857544
12,Yes,0.6440281867980957
13,Yes,0.6954824328422546
14,Yes,0.679038941860199
15,Yes,0.5888581275939941
16,Yes,0.588703989982605
17,Yes,0.7501256465911865
18,Yes,0.7373809814453125
19,Yes,0.7128006815910339
20,Yes,0.7170050144195557
21,Yes,0.6716601252555847
22,Yes,0.6666263341903687
23,Yes,0.623314380645752
24,Yes,0.6174728274345398
25,Yes,0.7146570086479187
26,Yes,0.6908928751945496
27,Yes,0.6201695203781128
28,Yes,0.6132287383079529
29,Yes,0.7067893147468567
30,Yes,0.7175039052963257
31,Yes,0.6726843118667603
32,Yes,0.6840905547142029
33,Yes,0.6766715049743652
34,Yes,0.6629688143730164
35,Yes,0.6839589476585388
36,Yes,0.6420497298240662
37,Yes,0.61732417345047
38,Yes,0.6089882254600525
39,Yes,0.6152841448783875
40,Yes,0.5984035134315491
41,Yes,0.6549539566040039
42,Yes,0.6141790747642517
43,Yes,0.6337900161743164
44,Yes,0.6090205907821655
45,Yes,0.6892728209495544
46,Yes,0.649499773979187
47,Yes,0.6652041673660278
48,Yes,0.6267353296279907
49,Yes,0.6940104365348816
50,Yes,0.6572748422622681
51,Yes,0.6761153936386108
52,Yes,0.6237127184867859
53,Yes,0.6715359687805176
54,Yes,0.6328487992286682
55,Yes,0.630077600479126
56,Yes,0.5913800001144409
57,Yes,0.6671925187110901
58,Yes,0.6253583431243896
59,Yes,0.6591622829437256
60,Yes,0.633502721786499
61,Yes,0.657982587814331
62,Yes,0.6369978785514832
63,Yes,0.6508851647377014
64,Yes,0.605232834815979
65,Yes,0.6802769899368286
66,Yes,0.6393935084342957
67,Yes,0.6562304496765137
68,Yes,0.6092702150344849
69,Yes,0.6940104365348816
70,Yes,0.6572748422622681
71,Yes,0.6761153936386108
72,Yes,0.6237127184867859
73,Yes,0.6046376824378967
74,Yes,0.5670130252838135
75,Yes,0.6009775400161743
76,Yes,0.610593855381012
77,Yes,0.6836376190185547
78,Yes,0.6736708283424377
79,Yes,0.628553569316864
80,Yes,0.6070805191993713
81,Yes,0.6978365182876587
82,Yes,0.6873751282691956
83,Yes,0.7073355317115784
84,Yes,0.69895339012146
85,Yes,0.7017058730125427
86,Yes,0.6792792677879333
87,Yes,0.6935195326805115
88,Yes,0.6874640583992004
89,Yes,0.6791679263114929
90,Yes,0.6482428312301636
91,Yes,0.6152953505516052
92,Yes,0.6358944177627563
93,Yes,0.7289397120475769
94,Yes,0.729203999042511
95,Yes,0.7220397591590881
96,Yes,0.7336617708206177
97,Yes,0.7504957914352417
98,Yes,0.7237495183944702
99,Yes,0.6084923148155212
100,Yes,0.61187344789505
101,Yes,0.6971264481544495
102,Yes,0.6883841753005981
103,Yes,0.673691987991333
104,Yes,0.6739685535430908
105,Yes,0.6893904805183411
106,Yes,0.6589087843894958
107,Yes,0.6572132706642151
108,Yes,0.6757475733757019
109,Yes,0.6659613251686096
110,Yes,0.6627749800682068
111,Yes,0.7058093547821045
112,Yes,0.6395590901374817
113,Yes,0.6557652950286865
114,Yes,0.6663837432861328
115,Yes,0.6485946178436279
116,Yes,0.6655862331390381
117,Yes,0.7010994553565979
118,Yes,0.7132329940795898
119,Yes,0.7007309198379517
120,Yes,0.6920465230941772
121,Yes,0.6905990839004517
122,Yes,0.6416147947311401
123,Yes,0.6641913652420044
124,Yes,0.6441492438316345
125,Yes,0.6513392925262451
126,Yes,0.6323943138122559
127,Yes,0.6327854990959167
128,Yes,0.6337994933128357
129,Yes,0.6575595140457153
130,Yes,0.6496912240982056
131,Yes,0.6915591955184937
132,Yes,0.7129296660423279
133,Yes,0.6513392925262451
