item,label,p_yes
1,Yes,0.8530362844467163
2,Yes,0.8434991836547852
3,Yes,0.8476476669311523
4,Yes,0.889795184135437
5,No,0.1175713762640953
6,No,0.03972075879573822
7,No,0.03353285416960716
8,No,0.0176656823605299
9,No,0.09672924876213074
10,No,0.011859388090670109
11,No,0.010539783164858818
12,No,0.008381974883377552
13,No,0.2933819890022278
14,No,0.1778079867362976
15,No,0.1553780436515808
16,No,0.095180943608284
17,Yes,0.6716597676277161
18,Yes,0.749874472618103
19,Yes,0.5672293901443481
20,Yes,0.5567437410354614
21,No,0.18136471509933472
22,No,0.28960859775543213
23,No,0.08041094988584518
24,No,0.040107861161231995
25,No,0.3084108829498291
26,No,0.33189520239830017
27,No,0.1075378954410553
28,No,0.1566653996706009
29,Yes,0.51923668384552
30,Yes,0.5272614359855652
31,No,0.29763758182525635
32,No,0.18859989941120148
33,No,0.2944292724132538
34,No,0.29072698950767517
35,No,0.09168457984924316
36,No,0.12657217681407928
37,No,0.04178877919912338
38,No,0.0580427385866642
39,No,0.009679757989943027
40,No,0.018236303701996803
41,No,0.0931575670838356
42,No,0.16624042391777039
43,No,0.03810448199510574
44,No,0.0576726533472538
45,No,0.35548824071884155
46,No,0.35588186979293823
47,No,0.1688425987958908
48,No,0.12731988728046417
49,No,0.26323601603507996
50,No,0.32316121459007263
51,No,0.11463131755590439
52,No,0.1258687525987625
53,No,0.10208196938037872
54,No,0.34628960490226746
55,No,0.04674442112445831
56,No,0.0704338476061821
57,No,0.06604068726301193
58,No,0.13898493349552155
59,No,0.020060235634446144
60,No,0.08025822788476944
61,No,0.08322486281394958
62,No,0.14840568602085114
63,No,0.03441263735294342
64,No,0.04870162159204483
65,No,0.2459566593170166
66,No,0.3826926350593567
67,No,0.1269293874502182
68,No,0.14801305532455444
69,No,0.26323601603507996
70,No,0.32316121459007263
71,No,0.11463131755590439
72,No,0.1258687525987625
73,No,0.010097869671881199
74,No,0.02495666779577732
75,No,0.019085152074694633
76,No,0.042476870119571686
77,No,0.22894920408725739
78,No,0.3498882055282593
79,No,0.04406262934207916
80,No,0.0740080401301384
81,No,0.097210593521595
82,No,0.30568790435791016
83,No,0.0703938901424408
84,No,0.08542133122682571
85,No,0.43894287943840027
86,Yes,0.5682384967803955
87,No,0.3442862033843994
88,No,0.3484806716442108
89,No,0.0688151866197586
90,No,0.07300036400556564
91,No,0.05918358638882637
92,No,0.1904510259628296
93,No,0.23207853734493256
94,No,0.4014495611190796
95,No,0.18921208381652832
96,No,0.2676115930080414
97,No,0.24239201843738556
98,No,0.2536454498767853
99,No,0.14321976900100708
100,No,0.21626043319702148
101,No,0.04322370886802673
102,No,0.1292468011379242
103,No,0.04864224046468735
104,No,0.087511345744133
105,No,0.11819855123758316
106,No,0.1914028376340866
107,No,0.09397415816783905
108,No,0.17745251953601837
109,No,0.3275270462036133
110,No,0.31756722927093506
111,No,0.47197890281677246
112,No,0.20931263267993927
113,No,0.3022693991661072
114,No,0.4009819030761719
115,No,0.22391635179519653
116,No,0.29372695088386536
