item,label,p_yes
1,Yes,0.927839994430542
2,Yes,0.9794723987579346
3,Yes,0.9300206303596497
4,Yes,0.9393629431724548
5,No,0.012334971688687801
6,No,0.00439255079254508
7,No,0.004267654847353697
8,No,0.0033152273390442133
9,No,0.003333310130983591
10,No,0.0011804247042164207
11,No,0.002617462072521448
12,No,0.0018257522024214268
13,No,0.02709760144352913
14,No,0.017968185245990753
15,No,0.12098467350006104
16,No,0.10805194824934006
17,Yes,0.6947597861289978
18,Yes,0.9064052104949951
19,Yes,0.6144641637802124
20,Yes,0.7251097559928894
21,No,0.0053085749968886375
22,No,0.05347881838679314
23,No,0.0021460549905896187
24,No,0.0021214205771684647
25,No,0.26054859161376953
26,No,0.24021247029304504
27,No,0.044509708881378174
28,No,0.051217224448919296
29,No,0.13932500779628754
30,No,0.03030010126531124
31,No,0.017382558435201645
32,No,0.013224144466221333
33,No,0.0279576126486063
34,No,0.040371570736169815
35,No,0.05373378470540047
36,No,0.028617795556783676
37,No,0.011974222958087921
38,No,0.007714897394180298
39,No,0.003120698733255267
40,No,0.004889714065939188
41,No,0.045039139688014984
42,No,0.007932780310511589
43,No,0.004991769324988127
44,No,0.003088924568146467
45,No,0.261564701795578
46,No,0.3785538673400879
47,No,0.06343510001897812
48,No,0.049217093735933304
49,No,0.07469199597835541
50,No,0.058009322732686996
51,No,0.022994808852672577
52,No,0.017308849841356277
53,No,0.04849737510085106
54,No,0.20016439259052277
55,No,0.014329022727906704
56,No,0.004976142197847366
57,No,0.023769207298755646
58,No,0.006747939623892307
59,No,0.0030943644233047962
60,No,0.00391652574762702
61,No,0.006620469037443399
62,No,0.0028600951191037893
63,No,0.0019372014794498682
64,No,0.002338394755497575
65,No,0.01888137310743332
66,No,0.03827138617634773
67,No,0.020570509135723114
68,No,0.022658750414848328
69,No,0.07469199597835541
70,No,0.058009322732686996
71,No,0.022994808852672577
72,No,0.017308849841356277
73,No,0.008346646092832088
74,No,0.009865812957286835
75,No,0.006332779303193092
76,No,0.00663988571614027
77,No,0.021394480019807816
78,No,0.018794333562254906
79,No,0.0010288744233548641
80,No,0.0015543041517958045
81,No,0.03782770037651062
82,No,0.0677347183227539
83,No,0.04974128305912018
84,No,0.04663040116429329
85,No,0.23725175857543945
86,No,0.3370896279811859
87,No,0.43272116780281067
88,No,0.4274524450302124
89,No,0.010263034142553806
90,No,0.007051156368106604
91,No,0.00819235946983099
92,No,0.008307419717311859
93,No,0.11352672427892685
94,No,0.12775863707065582
95,No,0.12424417585134506
96,No,0.11196733266115189
97,No,0.03798634186387062
98,No,0.06600117683410645
99,No,0.03464148938655853
100,No,0.03822724521160126
101,No,0.007877737283706665
102,No,0.008933220990002155
103,No,0.006501499097794294
104,No,0.0069279964081943035
105,No,0.011734655126929283
106,No,0.012589489109814167
107,No,0.008718454279005527
108,No,0.00808053556829691
109,Yes,0.6145590543746948
110,No,0.4478931128978729
111,No,0.24531100690364838
112,No,0.15936608612537384
113,No,0.14660046994686127
114,No,0.1538197547197342
115,No,0.021616870537400246
116,No,0.03093791753053665
117,No,0.12628956139087677
118,No,0.13464656472206116
119,No,0.23740734159946442
120,No,0.22278524935245514
121,No,0.12927433848381042
122,No,0.15928632020950317
123,No,0.06088521331548691
124,No,0.05464902147650719
125,No,0.01767771691083908
126,No,0.01816968247294426
127,No,0.015255231410264969
128,No,0.014187774620950222
129,No,0.049624569714069366
130,No,0.026077119633555412
131,No,0.01570076495409012
132,No,0.021022558212280273
133,No,0.01767771691083908
134,No,0.01816968247294426
135,No,0.015255231410264969
136,No,0.014187774620950222
137,No,0.02663346752524376
138,No,0.03393993899226189
139,No,0.02003297209739685
140,No,0.022965893149375916
141,No,0.06111345812678337
142,No,0.11050654202699661
