item,label,p_yes
1,Yes,0.8361960649490356
2,Yes,0.7970167398452759
3,Yes,0.5921018719673157
4,Yes,0.6359761357307434
5,No,0.08426488935947418
6,No,0.0531357042491436
7,No,0.036533888429403305
8,No,0.03355002403259277
9,No,0.060740113258361816
10,No,0.06153792515397072
11,No,0.06299082934856415
12,No,0.05746360495686531
13,No,0.0649699941277504
14,No,0.05191611126065254
15,No,0.04407362639904022
16,No,0.03562672436237335
17,No,0.4920298457145691
18,No,0.44594159722328186
19,No,0.37960702180862427
20,No,0.2525255084037781
21,No,0.06490195542573929
22,No,0.09442943334579468
23,No,0.03071906603872776
24,No,0.023778269067406654
25,No,0.09173572063446045
26,No,0.07578523457050323
27,No,0.056060757488012314
28,No,0.04208698123693466
29,No,0.31887245178222656
30,No,0.4616641104221344
31,No,0.3193264305591583
32,No,0.19088727235794067
33,No,0.17732594907283783
34,No,0.19430865347385406
35,No,0.11458528786897659
36,No,0.09221076220273972
37,No,0.06249740347266197
38,No,0.0487125925719738
39,No,0.040438562631607056
40,No,0.03489595279097557
41,No,0.0704747885465622
42,No,0.05637385696172714
43,No,0.046797048300504684
44,No,0.04322667419910431
45,No,0.28801605105400085
46,No,0.47703978419303894
47,No,0.2531363070011139
48,No,0.18742530047893524
49,No,0.2965920567512512
50,No,0.24113178253173828
51,No,0.3457915186882019
52,No,0.16107426583766937
53,No,0.05470738559961319
54,No,0.06231001392006874
55,No,0.04070470854640007
56,No,0.03129209578037262
57,No,0.11081138998270035
58,No,0.1016930416226387
59,No,0.11591813713312149
60,No,0.08476059138774872
61,No,0.08661569654941559
62,No,0.05919601023197174
63,No,0.05574408546090126
64,No,0.050684962421655655
65,No,0.3138398230075836
66,No,0.2722279131412506
67,No,0.17284229397773743
68,No,0.11370500922203064
69,No,0.2965920567512512
70,No,0.24113178253173828
71,No,0.3457915186882019
72,No,0.16107426583766937
73,No,0.027147576212882996
74,No,0.02281157113611698
75,No,0.021788064390420914
76,No,0.019373100250959396
77,No,0.1882908195257187
78,No,0.15278421342372894
79,No,0.08935758471488953
80,No,0.0660853311419487
81,No,0.16131097078323364
82,No,0.16901840269565582
83,No,0.1590353101491928
84,No,0.14070019125938416
85,No,0.2333395630121231
86,No,0.26586273312568665
87,No,0.34597358107566833
88,No,0.35710471868515015
89,No,0.08211739361286163
90,No,0.05702346935868263
91,No,0.045450106263160706
92,No,0.045594774186611176
93,No,0.2836960256099701
94,No,0.25123852491378784
95,No,0.47585541009902954
96,Yes,0.5586644411087036
97,Yes,0.5667155385017395
98,Yes,0.5351674556732178
99,No,0.24603238701820374
100,No,0.174091637134552
101,No,0.14017324149608612
102,No,0.12851905822753906
103,No,0.09409990906715393
104,No,0.1044938862323761
105,No,0.08743619918823242
106,No,0.056679487228393555
107,No,0.05253924801945686
108,No,0.053001437336206436
109,No,0.2846311032772064
110,No,0.23037727177143097
111,Yes,0.6633378863334656
112,No,0.3118176758289337
113,No,0.10945354402065277
114,No,0.11179579049348831
115,No,0.05648661032319069
116,No,0.054255422204732895
117,No,0.3580724596977234
118,No,0.463604599237442
119,No,0.2814171612262726
120,No,0.28970566391944885
121,No,0.1942644566297531
122,No,0.19439448416233063
123,No,0.27072757482528687
124,No,0.1402459442615509
125,No,0.10260464251041412
126,No,0.09677106142044067
127,No,0.07857067137956619
128,No,0.06567000597715378
129,No,0.04413299635052681
130,No,0.035050179809331894
131,No,0.02900724485516548
132,No,0.030837148427963257
133,No,0.10260464251041412
134,No,0.09677106142044067
135,No,0.07857067137956619
136,No,0.06567000597715378
137,No,0.08463796973228455
138,No,0.0719810351729393
139,No,0.05528683215379715
140,No,0.05599606782197952
141,No,0.30430540442466736
142,No,0.38229912519454956
143,No,0.29898014664649963
144,No,0.2115621566772461
145,No,0.20417194068431854
146,No,0.17838852107524872
147,No,0.10541818290948868
148,No,0.11122198402881622
149,No,0.09474515169858932
150,No,0.23017998039722443
151,No,0.06308171153068542
152,No,0.07995384931564331
153,No,0.12798583507537842
154,No,0.14314855635166168
155,No,0.05815639719367027
156,No,0.05995549261569977
157,No,0.2656611502170563
158,No,0.49980393052101135
159,No,0.4643017649650574
160,Yes,0.5495891571044922
161,No,0.10854627192020416
162,No,0.150722935795784
163,No,0.09814641624689102
164,No,0.10151170194149017
165,No,0.07479815185070038
166,No,0.3427133560180664
167,No,0.05173336714506149
168,No,0.04950737580657005
169,No,0.2232109159231186
170,No,0.344686359167099
171,No,0.3493283987045288
172,No,0.25743499398231506
173,Yes,0.5758244395256042
174,Yes,0.5800043940544128
175,No,0.2514159381389618
176,No,0.17837859690189362
177,No,0.037803713232278824
178,No,0.040129851549863815
179,No,0.03976749628782272
180,No,0.033167120069265366
181,No,0.04100675880908966
182,No,0.0561957024037838
183,No,0.033054888248443604
184,No,0.034645386040210724
185,No,0.05302295461297035
186,No,0.06894005835056305
187,No,0.059667423367500305
188,No,0.04791327938437462
189,No,0.11155050992965698
190,No,0.08902474492788315
191,No,0.0389396958053112
192,No,0.036656931042671204
193,No,0.0894443541765213
194,No,0.0818135142326355
195,No,0.060326531529426575
196,No,0.05979488044977188
197,No,0.09508703649044037
198,No,0.06825117021799088
199,No,0.046334393322467804
200,No,0.043706268072128296
201,Yes,0.5655443072319031
202,Yes,0.7838749885559082
203,No,0.39449450373649597
204,Yes,0.6254807710647583
205,No,0.04902248829603195
206,No,0.05329670384526253
207,No,0.025807689875364304
208,No,0.02658654749393463
209,No,0.08001654595136642
210,No,0.06415822356939316
211,No,0.04268358275294304
212,No,0.0450730063021183
213,No,0.0669267550110817
214,No,0.04710474982857704
215,No,0.04264799505472183
216,No,0.03441936895251274
217,Yes,0.883378803730011
218,Yes,0.8862783908843994
219,Yes,0.6198044419288635
220,Yes,0.7131014466285706
221,No,0.3578053414821625
222,No,0.2252960205078125
223,No,0.1587473750114441
224,No,0.11351843178272247
225,No,0.07802528887987137
226,No,0.09741897881031036
227,No,0.051202673465013504
228,No,0.05025175213813782
229,No,0.1577543467283249
230,No,0.0718241035938263
231,No,0.07129795104265213
232,No,0.05280907452106476
233,No,0.4318360388278961
234,No,0.3663384020328522
235,No,0.2675662934780121
236,No,0.16065682470798492
237,No,0.1588994264602661
238,No,0.11617371439933777
239,No,0.06837961822748184
240,No,0.06620539724826813
241,No,0.07886122167110443
242,No,0.059327784925699234
243,No,0.05287448689341545
244,No,0.04492669925093651
245,No,0.16339018940925598
246,No,0.10237906128168106
247,No,0.10042048990726471
248,No,0.07726734131574631
249,No,0.1546361893415451
250,No,0.065028615295887
251,No,0.18166017532348633
252,No,0.1463310867547989
253,No,0.05506017804145813
254,No,0.05948404595255852
255,No,0.07714765518903732
256,No,0.08829250931739807
257,No,0.3047860860824585
258,No,0.3025381863117218
259,No,0.3339884281158447
260,Yes,0.569187581539154
261,Yes,0.6391499638557434
262,No,0.38611096143722534
263,No,0.42973947525024414
264,No,0.30548208951950073
265,No,0.3732873797416687
266,No,0.3324413597583771
267,No,0.2974264323711395
268,No,0.3250179886817932
269,No,0.2855473458766937
270,No,0.3453685939311981
271,No,0.24272984266281128
272,No,0.3383706510066986
273,No,0.1788046509027481
274,No,0.14319036900997162
275,No,0.10407376289367676
276,No,0.08830799162387848
277,Yes,0.6818916201591492
278,Yes,0.5330290794372559
279,Yes,0.6434151530265808
280,No,0.4323682188987732
281,No,0.2729067802429199
282,No,0.19670288264751434
283,No,0.17916780710220337
284,No,0.16714976727962494
285,No,0.24164524674415588
286,No,0.2219131886959076
287,No,0.19881701469421387
288,No,0.18025431036949158
289,No,0.14505890011787415
290,No,0.2605084180831909
291,No,0.03526195138692856
292,No,0.040481340140104294
293,No,0.09129974246025085
294,No,0.0913335457444191
295,No,0.06149570643901825
296,No,0.06339461356401443
297,No,0.02747967094182968
298,No,0.033944740891456604
299,No,0.024463873356580734
300,No,0.030460264533758163
301,No,0.05539233237504959
302,No,0.10609333962202072
303,No,0.08494089543819427
304,No,0.08226701617240906
305,No,0.08243502676486969
306,No,0.1039423942565918
307,No,0.03966876119375229
308,No,0.0543135330080986
309,No,0.1127384752035141
310,No,0.12655144929885864
311,No,0.14243967831134796
312,No,0.11762242019176483
313,No,0.06287606060504913
314,No,0.07646571844816208
315,No,0.04525598883628845
316,No,0.052314579486846924
317,No,0.18751253187656403
318,No,0.3198046088218689
319,No,0.37608420848846436
320,No,0.17952820658683777
321,Yes,0.9179401993751526
322,Yes,0.9188393354415894
323,Yes,0.8483845591545105
324,Yes,0.8647122979164124
325,Yes,0.5740805268287659
326,No,0.48906588554382324
327,Yes,0.5787267088890076
328,No,0.3573759198188782
329,No,0.14567460119724274
330,No,0.13015170395374298
331,No,0.1053319126367569
332,No,0.09697169065475464
333,No,0.19683954119682312
334,Yes,0.715247392654419
335,Yes,0.5947660803794861
336,No,0.3252052366733551
337,No,0.45830655097961426
338,No,0.23394599556922913
339,No,0.27289095520973206
340,No,0.16156840324401855
341,Yes,0.9393391013145447
342,Yes,0.9824876189231873
343,Yes,0.9709023237228394
344,Yes,0.9814958572387695
345,Yes,0.9745358228683472
346,Yes,0.9746015071868896
347,Yes,0.972122073173523
348,Yes,0.9780641198158264
349,Yes,0.5740346908569336
350,Yes,0.6388401985168457
351,No,0.34996795654296875
352,No,0.3489631712436676
353,No,0.34131303429603577
354,No,0.18709561228752136
355,No,0.17676450312137604
356,No,0.09447619318962097
357,No,0.1376776248216629
358,No,0.1248338595032692
359,No,0.08197635412216187
360,No,0.08163724839687347
361,No,0.10079428553581238
362,No,0.08777687698602676
363,No,0.0796893835067749
364,No,0.07004496455192566
365,No,0.07841403037309647
366,No,0.3083432614803314
367,No,0.03340121731162071
368,No,0.04457882046699524
369,No,0.051762815564870834
370,No,0.046600427478551865
371,No,0.03465285152196884
372,No,0.029491892084479332
373,No,0.053730640560388565
374,No,0.04603085294365883
375,No,0.05332539230585098
376,No,0.045622579753398895
377,No,0.0511271134018898
378,No,0.035806551575660706
379,No,0.026912786066532135
380,No,0.0284726582467556
381,No,0.07983148097991943
382,No,0.12086107581853867
383,No,0.04409310594201088
384,No,0.05140678212046623
385,No,0.0728289857506752
386,No,0.23623059689998627
387,No,0.0402807779610157
388,No,0.040261492133140564
389,Yes,0.6040006875991821
390,Yes,0.5234058499336243
391,No,0.2739578187465668
392,No,0.24977125227451324
393,No,0.07833565026521683
394,No,0.0848962590098381
395,No,0.04429793730378151
396,No,0.04107759892940521
397,No,0.06538679450750351
398,No,0.05761081352829933
399,No,0.03704182431101799
400,No,0.03905390948057175
401,No,0.10255099087953568
402,No,0.07881326973438263
403,No,0.041542861610651016
404,No,0.03664713352918625
405,No,0.10555420070886612
406,No,0.0623992457985878
407,No,0.040164463222026825
408,No,0.04490414634346962
409,Yes,0.779689610004425
410,Yes,0.8676652312278748
411,No,0.39084357023239136
412,No,0.4026840627193451
413,No,0.07904457300901413
414,No,0.037666965276002884
415,No,0.03513672947883606
416,No,0.030866649001836777
417,Yes,0.6285378336906433
418,Yes,0.5036046504974365
419,Yes,0.5577713251113892
420,No,0.45612457394599915
421,No,0.11690209805965424
422,No,0.15835648775100708
423,No,0.1334666907787323
424,No,0.11685535311698914
425,No,0.2316276580095291
426,No,0.44158267974853516
427,No,0.41010797023773193
428,No,0.35235267877578735
429,No,0.08004947006702423
430,No,0.05702938511967659
431,No,0.03926161676645279
432,No,0.031900156289339066
433,No,0.0722859799861908
434,No,0.047906458377838135
435,No,0.03949761018157005
436,No,0.03581637889146805
437,No,0.3876415491104126
438,No,0.1437695324420929
439,No,0.17878641188144684
440,No,0.0914245992898941
441,No,0.22342832386493683
442,No,0.1997789889574051
443,No,0.17866887152194977
444,No,0.0821576938033104
445,No,0.33883801102638245
446,No,0.23239830136299133
447,No,0.1981600970029831
448,No,0.14550413191318512
449,No,0.09004585444927216
450,No,0.0702572911977768
451,No,0.07486315071582794
452,No,0.05855676531791687
453,No,0.14578573405742645
454,No,0.10425837337970734
455,No,0.07696741819381714
456,No,0.07120635360479355
457,No,0.15390081703662872
458,No,0.13137832283973694
459,No,0.12200748175382614
460,No,0.09428929537534714
461,No,0.13089264929294586
462,No,0.11731572449207306
463,No,0.1348147690296173
464,No,0.09191052615642548
465,No,0.09466634690761566
466,No,0.078710176050663
467,No,0.08816772699356079
468,No,0.06739015132188797
469,Yes,0.5692623257637024
470,Yes,0.6228875517845154
471,Yes,0.5218141078948975
472,No,0.3609844148159027
473,No,0.2048538327217102
474,No,0.194822296500206
475,No,0.2599351704120636
476,No,0.20534944534301758
477,No,0.4275519847869873
478,No,0.35832101106643677
479,No,0.2528207004070282
480,No,0.15497104823589325
481,No,0.2360694706439972
482,No,0.1247081458568573
483,No,0.18518652021884918
484,No,0.13042052090168
485,No,0.10232570767402649
486,No,0.05995218828320503
487,No,0.05222819000482559
488,No,0.04442539066076279
489,No,0.20552878081798553
490,No,0.12812890112400055
491,No,0.2358713001012802
492,No,0.11713852733373642
493,No,0.11703641712665558
494,No,0.1322840452194214
495,No,0.13865867257118225
496,No,0.09779708832502365
497,Yes,0.5829721689224243
498,Yes,0.8136908411979675
499,Yes,0.5270116329193115
500,No,0.3874242305755615
501,No,0.48566797375679016
502,Yes,0.5645373463630676
503,Yes,0.6515457034111023
504,Yes,0.5320018529891968
505,No,0.07176267355680466
506,No,0.05897323787212372
507,No,0.09251713752746582
508,No,0.06092214211821556
509,Yes,0.602658212184906
510,Yes,0.5751206874847412
511,Yes,0.8403298854827881
512,Yes,0.7480517029762268
513,No,0.11121779680252075
514,No,0.08914509415626526
515,No,0.07473498582839966
