item,idx,hypernym_pred,negative_pred,hypernym_yes,negative_yes
1,1,Yes,No,0.5142894387245178,0.48624056577682495
1,2,Yes,No,0.5142894387245178,0.47047922015190125
1,3,Yes,No,0.5142894387245178,0.49225807189941406
1,4,Yes,No,0.5142894387245178,0.4494348168373108
2,5,Yes,No,0.5803503394126892,0.4169473350048065
2,6,Yes,Yes,0.5803503394126892,0.5563070774078369
2,7,Yes,No,0.5803503394126892,0.3971427381038666
2,8,Yes,Yes,0.5803503394126892,0.5298438668251038
3,9,No,No,0.5023849606513977,0.45172637701034546
3,10,No,No,0.5023849606513977,0.3944133520126343
3,11,No,No,0.5023849606513977,0.411464124917984
3,12,No,Yes,0.5023849606513977,0.5336092710494995
4,13,Yes,No,0.7374737858772278,0.48383796215057373
4,14,Yes,Yes,0.7374737858772278,0.604583740234375
4,15,Yes,No,0.7374737858772278,0.4027930200099945
4,16,Yes,Yes,0.7374737858772278,0.5235205292701721
5,17,Yes,No,0.6799706220626831,0.2872372567653656
5,18,Yes,No,0.6799706220626831,0.39281684160232544
5,19,Yes,No,0.6799706220626831,0.36100509762763977
5,20,Yes,No,0.6799706220626831,0.47890594601631165
6,21,Yes,No,0.7383626699447632,0.2861815094947815
6,22,Yes,No,0.7383626699447632,0.497686505317688
6,23,Yes,No,0.7383626699447632,0.39424359798431396
6,24,Yes,No,0.7383626699447632,0.41628172993659973
7,25,Yes,No,0.5751338005065918,0.38184139132499695
7,26,Yes,No,0.5751338005065918,0.13283437490463257
7,27,Yes,No,0.5751338005065918,0.34697309136390686
7,28,Yes,No,0.5751338005065918,0.2571439743041992
8,29,Yes,No,0.5998955965042114,0.1565484255552292
8,30,Yes,No,0.5998955965042114,0.23096004128456116
8,31,Yes,No,0.5998955965042114,0.24205829203128815
8,32,Yes,No,0.5998955965042114,0.28128907084465027
9,33,Yes,No,0.5256024599075317,0.48072031140327454
9,34,Yes,No,0.5256024599075317,0.500622570514679
9,35,Yes,No,0.5256024599075317,0.45410314202308655
9,36,Yes,No,0.5256024599075317,0.44827258586883545
10,37,Yes,No,0.5253099799156189,0.42069149017333984
10,38,Yes,No,0.5253099799156189,0.45410314202308655
10,39,Yes,No,0.5253099799156189,0.3705506920814514
10,40,Yes,No,0.5253099799156189,0.4576164484024048
11,41,No,No,0.4936589300632477,0.3563147187232971
11,42,No,Yes,0.4936589300632477,0.542134702205658
11,43,No,No,0.4936589300632477,0.29953238368034363
11,44,No,No,0.4936589300632477,0.4587121605873108
12,45,Yes,No,0.6396269798278809,0.4468887150287628
12,46,Yes,Yes,0.6396269798278809,0.5683413743972778
12,47,Yes,No,0.6396269798278809,0.3830752670764923
12,48,Yes,Yes,0.6396269798278809,0.5311052203178406
13,49,Yes,No,0.6291495561599731,0.46403682231903076
13,50,Yes,No,0.6291495561599731,0.39750051498413086
13,51,Yes,No,0.6291495561599731,0.4342471957206726
13,52,Yes,No,0.6291495561599731,0.3896547853946686
14,53,Yes,No,0.5914432406425476,0.3057760000228882
14,54,Yes,No,0.5914432406425476,0.3303885757923126
14,55,Yes,No,0.5914432406425476,0.34782925248146057
14,56,Yes,No,0.5914432406425476,0.47115615010261536
15,57,Yes,No,0.6612669825553894,0.3535781502723694
15,58,Yes,No,0.6612669825553894,0.4760838449001312
15,59,Yes,No,0.6612669825553894,0.3999137282371521
15,60,Yes,No,0.6612669825553894,0.29439064860343933
16,61,Yes,Yes,0.7471158504486084,0.5090575218200684
16,62,Yes,Yes,0.7471158504486084,0.613930881023407
16,63,Yes,Yes,0.7471158504486084,0.5111626386642456
16,64,Yes,No,0.7471158504486084,0.4318647086620331
17,65,Yes,No,0.5579622983932495,0.4330850839614868
17,66,Yes,No,0.5579622983932495,0.3533594012260437
17,67,Yes,No,0.5579622983932495,0.3546255826950073
17,68,Yes,No,0.5579622983932495,0.4029817581176758
18,69,Yes,No,0.5211599469184875,0.39483335614204407
18,70,Yes,No,0.5211599469184875,0.31499093770980835
18,71,Yes,No,0.5211599469184875,0.4126074016094208
18,72,Yes,No,0.5211599469184875,0.3105469346046448
