item,idx,hypernym_pred,negative_pred,hypernym_yes,negative_yes
1,1,Yes,Yes,0.6333590745925903,0.5672114491462708
1,2,Yes,Yes,0.6333590745925903,0.6669232249259949
1,3,Yes,Yes,0.6333590745925903,0.5691288113594055
1,4,Yes,Yes,0.6333590745925903,0.5506309866905212
2,5,Yes,Yes,0.6286109685897827,0.575337290763855
2,6,Yes,Yes,0.6286109685897827,0.5624867081642151
2,7,Yes,Yes,0.6286109685897827,0.5470497012138367
2,8,Yes,Yes,0.6286109685897827,0.6604568958282471
3,9,Yes,Yes,0.6141257286071777,0.5418302416801453
3,10,Yes,No,0.6141257286071777,0.5005442500114441
3,11,Yes,Yes,0.6141257286071777,0.5632310509681702
3,12,Yes,Yes,0.6141257286071777,0.6596305966377258
4,13,Yes,No,0.6377566456794739,0.45772266387939453
4,14,Yes,Yes,0.6377566456794739,0.57191401720047
4,15,Yes,Yes,0.6377566456794739,0.5397039651870728
4,16,Yes,Yes,0.6377566456794739,0.5959290862083435
5,17,Yes,No,0.5911376476287842,0.44990649819374084
5,18,Yes,No,0.5911376476287842,0.4477425813674927
5,19,Yes,No,0.5911376476287842,0.42723485827445984
5,20,Yes,No,0.5911376476287842,0.47204941511154175
6,21,Yes,No,0.6092173457145691,0.3912164866924286
6,22,Yes,Yes,0.6092173457145691,0.5429115295410156
6,23,Yes,Yes,0.6092173457145691,0.5172114372253418
6,24,Yes,No,0.6092173457145691,0.5001583099365234
7,25,Yes,Yes,0.5542128682136536,0.5823045372962952
7,26,Yes,No,0.5542128682136536,0.4505775570869446
7,27,Yes,Yes,0.5542128682136536,0.534916877746582
7,28,Yes,No,0.5542128682136536,0.483834445476532
8,29,Yes,No,0.6429443955421448,0.44783613085746765
8,30,Yes,No,0.6429443955421448,0.49204221367836
8,31,Yes,No,0.6429443955421448,0.458741694688797
8,32,Yes,No,0.6429443955421448,0.4912731647491455
9,33,Yes,Yes,0.679707407951355,0.7022932171821594
9,34,Yes,Yes,0.679707407951355,0.6333866715431213
9,35,Yes,Yes,0.679707407951355,0.6998151540756226
9,36,Yes,Yes,0.679707407951355,0.5839223265647888
10,37,Yes,Yes,0.7086440324783325,0.5457841753959656
10,38,Yes,Yes,0.7086440324783325,0.6998151540756226
10,39,Yes,Yes,0.7086440324783325,0.5763970017433167
10,40,Yes,Yes,0.7086440324783325,0.6082717180252075
