item,idx,hypernym_pred,negative_pred,hypernym_yes,negative_yes
1,1,No,No,0.47742152214050293,0.45286816358566284
1,2,No,No,0.47742152214050293,0.4753372371196747
1,3,No,No,0.47742152214050293,0.45823273062705994
1,4,No,No,0.47742152214050293,0.44689902663230896
2,5,Yes,Yes,0.4988262355327606,0.48502475023269653
2,6,Yes,No,0.4988262355327606,0.4354473948478699
2,7,Yes,No,0.4988262355327606,0.45285019278526306
2,8,Yes,No,0.4988262355327606,0.4820893108844757
3,9,Yes,Yes,0.4868762493133545,0.49104300141334534
3,10,Yes,Yes,0.4868762493133545,0.4866735339164734
3,11,Yes,No,0.4868762493133545,0.46889927983283997
3,12,Yes,Yes,0.4868762493133545,0.48474711179733276
4,13,No,No,0.4741731584072113,0.4806050956249237
4,14,No,No,0.4741731584072113,0.4458264708518982
4,15,No,No,0.4741731584072113,0.46353408694267273
4,16,No,Yes,0.4741731584072113,0.4820135831832886
5,17,Yes,No,0.4844360947608948,0.43287360668182373
5,18,Yes,No,0.4844360947608948,0.4600437581539154
5,19,Yes,No,0.4844360947608948,0.4122183322906494
5,20,Yes,No,0.4844360947608948,0.4801977574825287
6,21,No,No,0.4675663113594055,0.4399304986000061
6,22,No,Yes,0.4675663113594055,0.48417338728904724
6,23,No,No,0.4675663113594055,0.4709330201148987
6,24,No,No,0.4675663113594055,0.4593043029308319
7,25,No,No,0.4623372554779053,0.46738994121551514
7,26,No,No,0.4623372554779053,0.4321528375148773
7,27,No,Yes,0.4623372554779053,0.4870590567588806
7,28,No,No,0.4623372554779053,0.4543568789958954
8,29,No,No,0.4669691324234009,0.4623485207557678
8,30,No,No,0.4669691324234009,0.4746435284614563
8,31,No,No,0.4669691324234009,0.4703525900840759
8,32,No,No,0.4669691324234009,0.4722229242324829
9,33,Yes,Yes,0.49901488423347473,0.5229498744010925
9,34,Yes,No,0.49901488423347473,0.48105770349502563
9,35,Yes,Yes,0.49901488423347473,0.5155394673347473
9,36,Yes,Yes,0.49901488423347473,0.49748510122299194
10,37,Yes,Yes,0.5108191967010498,0.4972204566001892
10,38,Yes,Yes,0.5108191967010498,0.5155394673347473
10,39,Yes,Yes,0.5108191967010498,0.5081084370613098
10,40,Yes,Yes,0.5108191967010498,0.5177586674690247
11,41,Yes,No,0.48371580243110657,0.3900254964828491
11,42,Yes,No,0.48371580243110657,0.4602277874946594
11,43,Yes,No,0.48371580243110657,0.4266121983528137
11,44,Yes,No,0.48371580243110657,0.4710862636566162
12,45,Yes,No,0.4859010577201843,0.4519396722316742
12,46,Yes,No,0.4859010577201843,0.47282522916793823
12,47,Yes,Yes,0.4859010577201843,0.4984266459941864
12,48,Yes,No,0.4859010577201843,0.4628088176250458
13,49,Yes,Yes,0.49202027916908264,0.5068787336349487
13,50,Yes,No,0.49202027916908264,0.4752025902271271
13,51,Yes,No,0.49202027916908264,0.4378054141998291
13,52,Yes,No,0.49202027916908264,0.48117104172706604
14,53,Yes,No,0.4996715486049652,0.48059403896331787
14,54,Yes,Yes,0.4996715486049652,0.4954565465450287
14,55,Yes,No,0.4996715486049652,0.47323378920555115
14,56,Yes,Yes,0.4996715486049652,0.4944978654384613
15,57,Yes,Yes,0.48908287286758423,0.4997159540653229
15,58,Yes,No,0.48908287286758423,0.4734307527542114
15,59,Yes,No,0.48908287286758423,0.47513875365257263
15,60,Yes,No,0.48908287286758423,0.4671124517917633
16,61,No,No,0.4527439773082733,0.4543265998363495
16,62,No,No,0.4527439773082733,0.4670703709125519
16,63,No,No,0.4527439773082733,0.44931942224502563
16,64,No,No,0.4527439773082733,0.4372412860393524
17,65,Yes,Yes,0.5199704170227051,0.5234599709510803
17,66,Yes,No,0.5199704170227051,0.4665219187736511
17,67,Yes,Yes,0.5199704170227051,0.5005310773849487
17,68,Yes,No,0.5199704170227051,0.4757273197174072
18,69,No,Yes,0.46749264001846313,0.4881823658943176
18,70,No,No,0.46749264001846313,0.4543498754501343
18,71,No,No,0.46749264001846313,0.46243521571159363
18,72,No,No,0.46749264001846313,0.46593910455703735
19,73,No,No,0.46014702320098877,0.4733549952507019
