item,idx,hypernym_pred,negative_pred,hypernym_yes,negative_yes
1,1,Yes,No,0.9932648539543152,1.2806268934184573e-08
1,2,Yes,No,0.9932648539543152,4.2732189342586935e-08
1,3,Yes,No,0.9932648539543152,5.5529163489609346e-09
1,4,Yes,No,0.9932648539543152,2.0075886197901127e-07
2,5,Yes,No,0.9999939203262329,6.005221848681686e-07
2,6,Yes,No,0.9999939203262329,7.168390681044912e-08
2,7,Yes,No,0.9999939203262329,2.8009633723513616e-08
2,8,Yes,No,0.9999939203262329,2.0369636331452057e-05
3,9,Yes,No,0.9999995231628418,2.4937301645877596e-07
3,10,Yes,No,0.9999995231628418,3.529363112875217e-08
3,11,Yes,No,0.9999995231628418,3.787986599945725e-07
3,12,Yes,Yes,0.9999995231628418,0.999647855758667
4,13,Yes,No,0.9999992847442627,1.6910135514081048e-08
4,14,Yes,No,0.9999992847442627,4.2286990264983615e-07
4,15,Yes,No,0.9999992847442627,4.1246835280617233e-08
4,16,Yes,No,0.9999992847442627,1.976451500240728e-07
5,17,Yes,No,0.9999997615814209,4.325374547420324e-08
5,18,Yes,No,0.9999997615814209,1.5542070741503267e-08
5,19,Yes,No,0.9999997615814209,6.3776326442166464e-09
5,20,Yes,No,0.9999997615814209,7.482456254592762e-08
6,21,Yes,No,0.9999995231628418,1.552037964813735e-08
6,22,Yes,No,0.9999995231628418,1.675297234271511e-08
6,23,Yes,No,0.9999995231628418,1.4292990613284928e-07
6,24,Yes,No,0.9999995231628418,8.54755022317022e-09
7,25,Yes,No,0.9999933242797852,1.1751026107731377e-07
7,26,Yes,No,0.9999933242797852,4.750252191598747e-09
7,27,Yes,No,0.9999933242797852,1.301227392502824e-08
7,28,Yes,No,0.9999933242797852,2.806870735838629e-09
8,29,Yes,No,0.9999992847442627,7.3249832865940334e-09
8,30,Yes,No,0.9999992847442627,1.0528581562141426e-08
8,31,Yes,No,0.9999992847442627,2.084113148725919e-08
8,32,Yes,No,0.9999992847442627,1.7770769744629433e-08
9,33,Yes,No,0.9999997615814209,1.0578681042261451e-07
9,34,Yes,No,0.9999997615814209,3.4204511223379086e-08
9,35,Yes,No,0.9999997615814209,4.839818323887357e-09
9,36,Yes,No,0.9999997615814209,5.569038563635331e-08
10,37,Yes,No,0.9999998807907104,8.83736372969679e-09
10,38,Yes,No,0.9999998807907104,4.839818323887357e-09
10,39,Yes,No,0.9999998807907104,1.6586977835686412e-07
10,40,Yes,No,0.9999998807907104,4.018848898112992e-08
11,41,Yes,No,0.9999986886978149,1.7855493084084628e-08
11,42,Yes,No,0.9999986886978149,4.8191409973696864e-08
11,43,Yes,No,0.9999986886978149,1.597389776009095e-08
11,44,Yes,No,0.9999986886978149,0.002442023018375039
12,45,Yes,No,0.9999990463256836,5.371175060275846e-09
12,46,Yes,Yes,0.9999990463256836,0.999985933303833
12,47,Yes,No,0.9999990463256836,7.00683244758693e-09
12,48,Yes,No,0.9999990463256836,9.058211958290485e-09
13,49,Yes,No,0.9999998807907104,9.423921198958851e-09
13,50,Yes,No,0.9999998807907104,1.1883771300347235e-08
13,51,Yes,No,0.9999998807907104,4.1143968232404404e-09
13,52,Yes,No,0.9999998807907104,1.195984822288665e-07
14,53,Yes,No,0.9999997615814209,1.12534195295666e-08
14,54,Yes,No,0.9999997615814209,4.348770943352065e-08
14,55,Yes,No,0.9999997615814209,3.981971019584307e-08
14,56,Yes,Yes,0.9999997615814209,0.9999984502792358
15,57,Yes,No,0.9999997615814209,5.310009498771251e-08
15,58,Yes,No,0.9999997615814209,4.2064623784199284e-08
15,59,Yes,No,0.9999997615814209,6.996166757033961e-09
15,60,Yes,No,0.9999997615814209,9.164492098534538e-08
16,61,Yes,No,0.9999998807907104,2.220505379568749e-08
16,62,Yes,No,0.9999998807907104,0.0005531497299671173
16,63,Yes,No,0.9999998807907104,1.0852362564151008e-08
16,64,Yes,No,0.9999998807907104,1.4596478692396886e-08
17,65,Yes,No,0.9999995231628418,7.624851150467293e-08
17,66,Yes,No,0.9999995231628418,7.462070072961069e-09
17,67,Yes,No,0.9999995231628418,7.980819560771124e-09
17,68,Yes,No,0.9999995231628418,2.532839937785525e-09
18,69,Yes,No,0.999998927116394,5.6984341689769735e-09
18,70,Yes,No,0.999998927116394,1.5707550815591276e-08
18,71,Yes,No,0.999998927116394,2.605535165400852e-08
18,72,Yes,No,0.999998927116394,6.035553923311454e-08
19,73,No,No,0.00012973533011972904,1.1036492963967248e-07
19,74,No,No,0.00012973533011972904,9.1149159331394e-09
19,75,No,No,0.00012973533011972904,1.715042330374672e-08
19,76,No,No,0.00012973533011972904,1.687955943907582e-07
20,77,Yes,No,0.9999991655349731,1.70831917500891e-08
20,78,Yes,No,0.9999991655349731,1.6208019815167063e-08
20,79,Yes,No,0.9999991655349731,1.2728639475767523e-08
20,80,Yes,No,0.9999991655349731,1.0615619885356864e-06
21,81,Yes,No,0.9999995231628418,3.165928408321861e-09
21,82,Yes,No,0.9999995231628418,2.4851853908103294e-08
21,83,Yes,No,0.9999995231628418,4.968403910510233e-09
21,84,Yes,No,0.9999995231628418,4.620219939965864e-08
22,85,Yes,No,1.0,1.0083097379265382e-07
22,86,Yes,No,1.0,1.3308201651796026e-08
22,87,Yes,No,1.0,9.812683110510534e-09
22,88,Yes,No,1.0,3.8172910876710375e-07
23,89,Yes,No,0.9989286661148071,2.3356570011401345e-08
23,90,Yes,No,0.9989286661148071,3.077939254580997e-07
23,91,Yes,No,0.9989286661148071,2.2045631098421836e-08
23,92,Yes,No,0.9989286661148071,6.926210858182458e-07
24,93,Yes,No,0.9999997615814209,2.6169342248749672e-08
24,94,Yes,No,0.9999997615814209,2.0140161538506618e-08
24,95,Yes,No,0.9999997615814209,2.784509334219365e-08
24,96,Yes,No,0.9999997615814209,5.4022568640732516e-09
25,97,Yes,No,1.0,1.2545616101533597e-08
25,98,Yes,No,1.0,4.681004611484241e-06
25,99,Yes,No,1.0,0.29895734786987305
25,100,Yes,No,1.0,1.4490786952592316e-06
26,101,Yes,No,1.0,3.333327214249948e-08
26,102,Yes,No,1.0,1.6557560229557566e-05
26,103,Yes,No,1.0,8.492899894463335e-08
26,104,Yes,No,1.0,1.6063432894952712e-07
27,105,Yes,No,0.9999998807907104,1.0200500000223656e-08
27,106,Yes,No,0.9999998807907104,0.0006933798431418836
27,107,Yes,No,0.9999998807907104,1.2545616101533597e-08
27,108,Yes,No,0.9999998807907104,7.348492037095866e-09
28,109,Yes,No,0.9999998807907104,1.8358740305757237e-08
28,110,Yes,No,0.9999998807907104,8.030241360756918e-09
28,111,Yes,No,0.9999998807907104,1.0136007233541022e-07
28,112,Yes,No,0.9999998807907104,2.049125313874356e-08
29,113,Yes,No,0.9998822808265686,1.785951475596903e-08
29,114,Yes,No,0.9998822808265686,1.4296881012398899e-08
29,115,Yes,No,0.9998822808265686,2.9471566520555825e-08
29,116,Yes,No,0.9998822808265686,2.178746250081076e-08
30,117,Yes,No,0.9999995231628418,1.7076809299965134e-08
30,118,Yes,No,0.9999995231628418,3.044646490479863e-08
30,119,Yes,No,0.9999995231628418,4.253132956932859e-09
30,120,Yes,No,0.9999995231628418,1.1344771877475068e-07
31,121,Yes,No,0.9999998807907104,9.513225450064056e-06
31,122,Yes,No,0.9999998807907104,1.4550447069439087e-08
31,123,Yes,No,0.9999998807907104,3.044646490479863e-08
