item,idx,hypernym_pred,negative_pred,hypernym_yes,negative_yes
1,1,Yes,No,0.9687895178794861,0.00034058550954796374
1,2,Yes,No,0.9687895178794861,0.0004850874829571694
1,3,Yes,No,0.9687895178794861,0.0025743404403328896
1,4,Yes,No,0.9687895178794861,0.00017965547158382833
2,5,Yes,No,0.9989698529243469,0.0003029383660759777
2,6,Yes,No,0.9989698529243469,0.00024067817139439285
2,7,Yes,No,0.9989698529243469,0.0017726356163620949
2,8,Yes,No,0.9989698529243469,0.01730806566774845
3,9,Yes,No,0.9956158399581909,0.0025315892416983843
3,10,Yes,No,0.9956158399581909,0.0006604754598811269
3,11,Yes,No,0.9956158399581909,0.00022350961808115244
3,12,Yes,Yes,0.9956158399581909,0.999704122543335
4,13,Yes,No,0.9998759627342224,0.0014136910904198885
4,14,Yes,No,0.9998759627342224,0.07811692357063293
4,15,Yes,No,0.9998759627342224,0.0006324290880002081
4,16,Yes,No,0.9998759627342224,0.0060106604360044
5,17,Yes,No,0.9998236894607544,0.00019115980830974877
5,18,Yes,No,0.9998236894607544,0.00018772635667119175
5,19,Yes,No,0.9998236894607544,0.0002501287090126425
5,20,Yes,No,0.9998236894607544,0.0022699765395373106
6,21,Yes,No,0.9996271133422852,0.00016589152801316231
6,22,Yes,No,0.9996271133422852,0.000374675786588341
6,23,Yes,No,0.9996271133422852,0.000583975634071976
6,24,Yes,No,0.9996271133422852,0.0004857606254518032
7,25,Yes,No,0.9997729659080505,0.0002965940220747143
7,26,Yes,No,0.9997729659080505,7.329032087000087e-05
7,27,Yes,No,0.9997729659080505,0.0004832979175262153
7,28,Yes,No,0.9997729659080505,0.00015895720571279526
8,29,Yes,No,0.9998494386672974,8.915764919947833e-05
8,30,Yes,No,0.9998494386672974,0.00014217602438293397
8,31,Yes,No,0.9998494386672974,0.0003780950210057199
8,32,Yes,No,0.9998494386672974,0.0005659298622049391
9,33,Yes,No,0.9998593330383301,0.0018370511243119836
9,34,Yes,No,0.9998593330383301,0.0014767274260520935
9,35,Yes,No,0.9998593330383301,0.0003972825943492353
9,36,Yes,No,0.9998593330383301,0.0005546332104131579
10,37,Yes,No,0.9958147406578064,0.0013664710568264127
10,38,Yes,No,0.9958147406578064,0.0003972825943492353
10,39,Yes,No,0.9958147406578064,0.0002242812915937975
10,40,Yes,No,0.9958147406578064,0.0009540215251035988
11,41,Yes,No,0.9198259711265564,0.00016690163465682417
11,42,Yes,No,0.9198259711265564,0.0016004192875698209
11,43,Yes,No,0.9198259711265564,0.00022233481286093593
11,44,Yes,No,0.9198259711265564,0.06993848085403442
12,45,Yes,No,0.9999098181724548,0.0005035435897298157
12,46,Yes,No,0.9999098181724548,0.004362453706562519
12,47,Yes,No,0.9999098181724548,0.00014875114720780402
12,48,Yes,No,0.9999098181724548,0.0003921407333109528
13,49,Yes,No,0.9996986389160156,0.0001745997869875282
13,50,Yes,No,0.9996986389160156,0.0003535082214511931
13,51,Yes,No,0.9996986389160156,0.00019438947492744774
13,52,Yes,No,0.9996986389160156,0.00012550187238957733
14,53,Yes,No,0.999901533126831,0.00040275001083500683
14,54,Yes,No,0.999901533126831,0.0003466910857241601
14,55,Yes,No,0.999901533126831,0.0018730983138084412
14,56,Yes,No,0.999901533126831,0.07963014394044876
15,57,Yes,No,0.9999197721481323,0.009472095407545567
15,58,Yes,No,0.9999197721481323,0.0023875052575021982
15,59,Yes,No,0.9999197721481323,0.0005741053028032184
15,60,Yes,No,0.9999197721481323,0.0010301864240318537
16,61,Yes,No,0.9998285174369812,0.00022942096984479576
16,62,Yes,No,0.9998285174369812,0.3071429133415222
16,63,Yes,No,0.9998285174369812,0.0001307659549638629
16,64,Yes,No,0.9998285174369812,0.00014928147720638663
17,65,Yes,No,0.9998733401298523,0.00241344072856009
17,66,Yes,No,0.9998733401298523,0.00014210976951289922
17,67,Yes,No,0.9998733401298523,0.00011107740283478051
17,68,Yes,No,0.9998733401298523,0.00040149391861632466
18,69,Yes,No,0.9995847940444946,0.000631924660410732
18,70,Yes,No,0.9995847940444946,0.0008713856223039329
18,71,Yes,No,0.9995847940444946,0.03714969381690025
18,72,Yes,No,0.9995847940444946,0.00018440453277435154
19,73,No,No,0.021883612498641014,0.00012312704348005354
19,74,No,No,0.021883612498641014,0.00010615890641929582
19,75,No,No,0.021883612498641014,6.636567559326068e-05
19,76,No,No,0.021883612498641014,0.00013450517144519836
20,77,Yes,No,0.9996479153633118,0.00014540943084284663
20,78,Yes,No,0.9996479153633118,0.00010669542098185048
20,79,Yes,No,0.9996479153633118,6.797753303544596e-05
20,80,Yes,No,0.9996479153633118,0.00018260261276736856
21,81,Yes,No,0.9972817301750183,0.00010924784146482125
