item,label,p_yes
1,Yes,0.8890949487686157
2,Yes,0.9273346662521362
3,Yes,0.7554609179496765
4,Yes,0.8326689600944519
5,No,0.046173904091119766
6,No,0.020326919853687286
7,No,0.009566518478095531
8,No,0.008661128580570221
9,No,0.030763773247599602
10,No,0.014639423228800297
11,No,0.02018878608942032
12,No,0.013247060589492321
13,No,0.021340230479836464
14,No,0.019933925941586494
15,No,0.013627219945192337
16,No,0.012040726840496063
17,Yes,0.713253378868103
18,Yes,0.8201148509979248
19,No,0.4214448630809784
20,No,0.2103208601474762
21,No,0.03048023022711277
22,No,0.11898235231637955
23,No,0.011757060885429382
24,No,0.008359366096556187
25,No,0.04447251185774803
26,No,0.03350738063454628
27,No,0.012472276575863361
28,No,0.008333351463079453
29,No,0.3898903727531433
30,No,0.34496909379959106
31,No,0.19871389865875244
32,No,0.06779807806015015
33,No,0.1403447389602661
34,No,0.133986696600914
35,No,0.05595387518405914
36,No,0.052110884338617325
37,No,0.1287919282913208
38,No,0.10275083780288696
39,No,0.018902581185102463
40,No,0.026691019535064697
41,No,0.037824612110853195
42,No,0.03169325366616249
43,No,0.014999862760305405
44,No,0.019343113526701927
45,No,0.42650315165519714
46,Yes,0.5850505232810974
47,No,0.0887049064040184
48,No,0.04947758838534355
49,No,0.131877139210701
50,No,0.1152312383055687
51,No,0.08397485315799713
52,No,0.03929942101240158
53,No,0.05476921424269676
54,No,0.12129059433937073
55,No,0.013188695535063744
56,No,0.012851255014538765
57,No,0.07224377244710922
58,No,0.08707558363676071
59,No,0.05603331699967384
60,No,0.05859026685357094
61,No,0.042160991579294205
62,No,0.034315865486860275
63,No,0.029629463329911232
64,No,0.03408415615558624
65,No,0.07459577918052673
66,No,0.08760741353034973
67,No,0.042815349996089935
68,No,0.05661308020353317
69,No,0.131877139210701
70,No,0.1152312383055687
71,No,0.08397485315799713
72,No,0.03929942101240158
73,No,0.004294161684811115
74,No,0.003969872836023569
75,No,0.0033246963284909725
76,No,0.0034729791805148125
