item,idx,hypernym_pred,negative_pred,hypernym_yes,negative_yes
1,1,Yes,No,0.9836539626121521,0.0112869031727314
1,2,Yes,No,0.9836539626121521,0.01720631681382656
1,3,Yes,No,0.9836539626121521,0.05801033973693848
1,4,Yes,No,0.9836539626121521,0.0070868744514882565
2,5,Yes,No,0.7878761291503906,0.05906345695257187
2,6,Yes,No,0.7878761291503906,0.02960645593702793
2,7,Yes,No,0.7878761291503906,0.015307190828025341
2,8,Yes,No,0.7878761291503906,0.09126919507980347
3,9,Yes,Yes,0.7978672385215759,0.7107515931129456
3,10,Yes,No,0.7978672385215759,0.05235835909843445
3,11,Yes,No,0.7978672385215759,0.13450711965560913
3,12,Yes,Yes,0.7978672385215759,0.9548585414886475
4,13,Yes,No,0.9999128580093384,0.004422398749738932
4,14,Yes,No,0.9999128580093384,0.05527885630726814
4,15,Yes,No,0.9999128580093384,0.005074115004390478
4,16,Yes,No,0.9999128580093384,0.009248310700058937
5,17,Yes,No,0.9982081651687622,0.007314763031899929
5,18,Yes,No,0.9982081651687622,0.0031430567614734173
5,19,Yes,No,0.9982081651687622,0.004078526049852371
5,20,Yes,No,0.9982081651687622,0.006957837380468845
6,21,Yes,No,0.9989950656890869,0.002762311603873968
6,22,Yes,No,0.9989950656890869,0.0038858558982610703
6,23,Yes,No,0.9989950656890869,0.005897408816963434
6,24,Yes,No,0.9989950656890869,0.006262967362999916
7,25,Yes,No,0.9997533559799194,0.08015184104442596
7,26,Yes,No,0.9997533559799194,0.00666655320674181
7,27,Yes,No,0.9997533559799194,0.009369585663080215
7,28,Yes,No,0.9997533559799194,0.0035122765693813562
8,29,Yes,No,0.9999067187309265,0.003353210398927331
8,30,Yes,No,0.9999067187309265,0.006093777250498533
8,31,Yes,No,0.9999067187309265,0.0063982461579144
8,32,Yes,No,0.9999067187309265,0.007300850935280323
9,33,Yes,No,0.998895525932312,0.10537754744291306
9,34,Yes,No,0.998895525932312,0.07363849878311157
9,35,Yes,No,0.998895525932312,0.040477946400642395
9,36,Yes,No,0.998895525932312,0.06689667701721191
10,37,Yes,No,0.9983384013175964,0.0278818029910326
10,38,Yes,No,0.9983384013175964,0.040477946400642395
10,39,Yes,No,0.9983384013175964,0.15141241252422333
10,40,Yes,No,0.9983384013175964,0.12372402846813202
11,41,Yes,No,0.9993866086006165,0.005863424390554428
11,42,Yes,No,0.9993866086006165,0.14561055600643158
11,43,Yes,No,0.9993866086006165,0.007595316041260958
11,44,Yes,Yes,0.9993866086006165,0.689421534538269
12,45,Yes,No,0.999914824962616,0.01197695080190897
12,46,Yes,No,0.999914824962616,0.12115084379911423
12,47,Yes,No,0.999914824962616,0.005899922922253609
12,48,Yes,No,0.999914824962616,0.00919877178966999
13,49,Yes,No,0.999585747718811,0.017354905605316162
13,50,Yes,No,0.999585747718811,0.007764369715005159
13,51,Yes,No,0.999585747718811,0.004384612198919058
13,52,Yes,No,0.999585747718811,0.0038456409238278866
14,53,Yes,No,0.9975346922874451,0.013522707857191563
14,54,Yes,No,0.9975346922874451,0.005081151146441698
14,55,Yes,No,0.9975346922874451,0.0071569811552762985
14,56,Yes,No,0.9975346922874451,0.2322641760110855
15,57,Yes,No,0.9996591210365295,0.05109158903360367
15,58,Yes,No,0.9996591210365295,0.21291483938694
15,59,Yes,No,0.9996591210365295,0.018177013844251633
15,60,Yes,No,0.9996591210365295,0.03439471870660782
16,61,Yes,No,0.9997546076774597,0.011010879650712013
16,62,Yes,Yes,0.9997546076774597,0.685390293598175
16,63,Yes,No,0.9997546076774597,0.021192559972405434
16,64,Yes,No,0.9997546076774597,0.017953481525182724
17,65,Yes,No,0.9999521970748901,0.043121516704559326
17,66,Yes,No,0.9999521970748901,0.009696557186543941
17,67,Yes,No,0.9999521970748901,0.005597683601081371
17,68,Yes,No,0.9999521970748901,0.010021585039794445
18,69,Yes,No,0.9966764450073242,0.00556259835138917
18,70,Yes,No,0.9966764450073242,0.005425563547760248
18,71,Yes,Yes,0.9966764450073242,0.7061731815338135
18,72,Yes,No,0.9966764450073242,0.003913142718374729
19,73,No,No,0.269561767578125,0.008989088237285614
19,74,No,No,0.269561767578125,0.011225691996514797
19,75,No,No,0.269561767578125,0.0059603252448141575
19,76,No,No,0.269561767578125,0.03136782348155975
20,77,Yes,No,0.9996581077575684,0.010453978553414345
20,78,Yes,No,0.9996581077575684,0.006869997829198837
20,79,Yes,No,0.9996581077575684,0.011748332530260086
20,80,Yes,No,0.9996581077575684,0.01688581332564354
21,81,Yes,No,0.9980155825614929,0.011433960869908333
21,82,Yes,No,0.9980155825614929,0.060567259788513184
21,83,Yes,No,0.9980155825614929,0.010379399172961712
21,84,Yes,No,0.9980155825614929,0.08285635709762573
22,85,Yes,No,0.9997897148132324,0.01051770057529211
22,86,Yes,No,0.9997897148132324,0.009470886550843716
22,87,Yes,No,0.9997897148132324,0.009344481863081455
22,88,Yes,No,0.9997897148132324,0.027715109288692474
23,89,Yes,No,0.9990194439888,0.004019849002361298
23,90,Yes,No,0.9990194439888,0.0230437982827425
23,91,Yes,No,0.9990194439888,0.005171464290469885
23,92,Yes,No,0.9990194439888,0.0918840542435646
24,93,Yes,No,0.999893307685852,0.08952168375253677
24,94,Yes,No,0.999893307685852,0.004147005267441273
24,95,Yes,No,0.999893307685852,0.014982092194259167
24,96,Yes,No,0.999893307685852,0.004524430725723505
25,97,Yes,No,0.9991744160652161,0.006072297226637602
25,98,Yes,No,0.9991744160652161,0.23279939591884613
25,99,Yes,No,0.9991744160652161,0.48010849952697754
25,100,Yes,No,0.9991744160652161,0.39327144622802734
26,101,Yes,No,0.9455967545509338,0.020993461832404137
26,102,Yes,No,0.9455967545509338,0.1967683881521225
26,103,Yes,No,0.9455967545509338,0.07075456529855728
26,104,Yes,No,0.9455967545509338,0.27597492933273315
27,105,Yes,No,0.9757656455039978,0.00933898612856865
27,106,Yes,Yes,0.9757656455039978,0.8251886963844299
27,107,Yes,No,0.9757656455039978,0.006072320509701967
27,108,Yes,No,0.9757656455039978,0.012369629926979542
28,109,Yes,No,0.9996984601020813,0.02172594703733921
28,110,Yes,No,0.9996984601020813,0.028058446943759918
28,111,Yes,No,0.9996984601020813,0.3461393117904663
28,112,Yes,No,0.9996984601020813,0.08198929578065872
29,113,Yes,No,0.9954510927200317,0.07382440567016602
29,114,Yes,No,0.9954510927200317,0.006402837578207254
29,115,Yes,No,0.9954510927200317,0.007334182504564524
29,116,Yes,No,0.9954510927200317,0.054207757115364075
30,117,Yes,No,0.9997653961181641,0.0062083774246275425
30,118,Yes,No,0.9997653961181641,0.01588045060634613
30,119,Yes,No,0.9997653961181641,0.019315730780363083
30,120,Yes,Yes,0.9997653961181641,0.5952515602111816
31,121,Yes,Yes,0.9970210790634155,0.5427435636520386
31,122,Yes,No,0.9970210790634155,0.00907975621521473
31,123,Yes,No,0.9970210790634155,0.01588045060634613
31,124,Yes,No,0.9970210790634155,0.008829844184219837
32,125,Yes,No,0.9988796710968018,0.006129659246653318
32,126,Yes,No,0.9988796710968018,0.00888898316770792
32,127,Yes,No,0.9988796710968018,0.008698945865035057
32,128,Yes,No,0.9988796710968018,0.0130173210054636
33,129,Yes,No,0.9993454813957214,0.005503379739820957
