item,idx,hypernym_pred,negative_pred,hypernym_yes,negative_yes
1,1,Yes,No,1.0,3.5988119861940504e-07
1,2,Yes,No,1.0,3.8848173744554515e-07
1,3,Yes,No,1.0,4.170329361841141e-07
1,4,Yes,No,1.0,2.103560206023758e-07
2,5,Yes,No,1.0,1.571329164562485e-07
2,6,Yes,No,1.0,3.106452766132861e-07
2,7,Yes,No,1.0,5.056911618339655e-07
2,8,Yes,No,1.0,0.00544690852984786
3,9,Yes,Yes,1.0,1.0
3,10,Yes,No,1.0,1.7007278074743226e-07
3,11,Yes,No,1.0,2.3361569390090153e-07
3,12,Yes,Yes,1.0,1.0
4,13,Yes,No,1.0,3.393704162135691e-07
4,14,Yes,No,1.0,8.355799536730046e-07
4,15,Yes,No,1.0,2.6660234198061517e-07
4,16,Yes,No,1.0,7.747303243377246e-07
5,17,Yes,No,1.0,7.019800563057288e-08
5,18,Yes,No,1.0,1.0198859001775418e-07
5,19,Yes,No,1.0,2.8747859914801666e-07
5,20,Yes,No,1.0,5.728400083171437e-07
6,21,Yes,No,1.0,1.3644722685057786e-07
6,22,Yes,No,1.0,2.335765856287253e-07
6,23,Yes,No,1.0,3.4988062225238536e-07
6,24,Yes,No,1.0,2.6769043870444875e-07
7,25,Yes,No,1.0,2.2028598323231563e-06
7,26,Yes,No,1.0,4.278388985312631e-07
7,27,Yes,No,1.0,4.3431091967249813e-07
7,28,Yes,No,1.0,4.835149525206361e-07
8,29,Yes,No,1.0,3.049480028494145e-07
8,30,Yes,No,1.0,5.669423330800782e-07
8,31,Yes,No,1.0,4.126766839362972e-07
8,32,Yes,No,1.0,4.4324838199827354e-07
9,33,Yes,No,1.0,1.9750839783228002e-05
9,34,Yes,No,1.0,9.183247584587662e-07
9,35,Yes,No,1.0,8.144763228301599e-07
9,36,Yes,No,1.0,4.290266701900691e-07
10,37,Yes,No,1.0,1.916633607379481e-07
10,38,Yes,No,1.0,8.144763228301599e-07
10,39,Yes,No,1.0,2.9777177701362234e-07
10,40,Yes,No,1.0,1.6153492197190644e-06
11,41,Yes,No,1.0,2.65095479790034e-07
11,42,Yes,No,1.0,1.282374796574004e-06
11,43,Yes,No,1.0,2.8647843919316074e-07
11,44,Yes,Yes,1.0,0.9999958872795105
