item,label,p_yes
1,Yes,0.5934098362922668
2,Yes,0.5675697326660156
3,Yes,0.6164422035217285
4,Yes,0.6189103126525879
5,Yes,0.5077444314956665
6,No,0.46063193678855896
7,Yes,0.5563144087791443
8,Yes,0.528744101524353
9,No,0.4440643787384033
10,No,0.4633984863758087
11,No,0.38234418630599976
12,No,0.4439403712749481
13,No,0.486807644367218
14,No,0.4724079370498657
15,No,0.3637685477733612
16,No,0.4159422218799591
17,Yes,0.5221782326698303
18,Yes,0.5569482445716858
19,No,0.47013580799102783
20,Yes,0.5256723761558533
21,Yes,0.6354641914367676
22,Yes,0.6482406258583069
23,Yes,0.6618406772613525
24,Yes,0.694922149181366
25,No,0.4039194881916046
26,No,0.44787704944610596
27,No,0.4628956615924835
28,No,0.5038087964057922
29,No,0.40177690982818604
30,No,0.3596232831478119
31,No,0.3651764690876007
32,No,0.3433716595172882
33,Yes,0.5256249308586121
34,Yes,0.6058992147445679
35,Yes,0.5393168330192566
36,Yes,0.6018827557563782
37,Yes,0.563782274723053
38,Yes,0.6038560271263123
39,Yes,0.5957387089729309
40,Yes,0.632484495639801
41,No,0.4922536313533783
42,No,0.4256238639354706
43,Yes,0.5764326453208923
44,Yes,0.538258969783783
45,Yes,0.6302485466003418
46,Yes,0.6336533427238464
47,Yes,0.6009242534637451
48,Yes,0.6151751279830933
49,Yes,0.6208191514015198
50,Yes,0.6228731870651245
51,Yes,0.6353170275688171
52,Yes,0.62581467628479
53,Yes,0.5591933727264404
54,Yes,0.540231466293335
55,Yes,0.5871355533599854
56,Yes,0.5906379818916321
57,Yes,0.5198423862457275
58,No,0.4732280671596527
59,Yes,0.5877352952957153
60,Yes,0.5993637442588806
61,Yes,0.5286754369735718
62,Yes,0.51212477684021
63,Yes,0.5398674011230469
64,Yes,0.5706042051315308
65,Yes,0.5967123508453369
66,Yes,0.5693327188491821
67,Yes,0.6487913727760315
68,Yes,0.6054102778434753
69,Yes,0.5285306572914124
70,No,0.4990704357624054
71,Yes,0.6094616651535034
72,Yes,0.5849093794822693
73,Yes,0.5329037308692932
74,Yes,0.5087325572967529
75,Yes,0.60040682554245
76,Yes,0.5683948993682861
77,Yes,0.5549345016479492
78,Yes,0.5723488926887512
79,Yes,0.5244491100311279
80,Yes,0.5670602321624756
81,Yes,0.5528126955032349
82,Yes,0.5543835759162903
83,Yes,0.5905563235282898
84,Yes,0.602174699306488
85,Yes,0.5201190114021301
86,Yes,0.5033829212188721
87,No,0.4973498284816742
88,Yes,0.5075156092643738
89,No,0.49917641282081604
90,No,0.49928560853004456
91,No,0.48050469160079956
92,Yes,0.5052281618118286
93,Yes,0.5449145436286926
94,Yes,0.5392311215400696
95,Yes,0.5983478426933289
96,Yes,0.5962209701538086
97,Yes,0.6141069531440735
98,Yes,0.53754723072052
99,Yes,0.5921241044998169
100,Yes,0.599071741104126
101,No,0.40486830472946167
102,No,0.3653663098812103
103,No,0.43760064244270325
104,No,0.4224333167076111
105,Yes,0.5094020962715149
106,Yes,0.5149686336517334
107,No,0.4919689893722534
108,Yes,0.5064307451248169
109,No,0.4809936583042145
110,Yes,0.5072201490402222
111,Yes,0.539857029914856
112,Yes,0.5634697079658508
113,No,0.4716217517852783
114,No,0.49629828333854675
115,Yes,0.5119037628173828
116,Yes,0.547028660774231
117,No,0.3989546000957489
118,No,0.45382773876190186
119,No,0.45285764336586
120,Yes,0.5257775783538818
121,No,0.4183281660079956
122,No,0.4585667848587036
123,Yes,0.5870621204376221
124,Yes,0.5682083368301392
125,No,0.5007756352424622
126,No,0.44680407643318176
127,Yes,0.5569319128990173
128,Yes,0.5441091060638428
129,No,0.43800783157348633
130,Yes,0.5219566822052002
131,Yes,0.5126314163208008
132,Yes,0.5569716691970825
133,No,0.4670330882072449
134,No,0.49298492074012756
135,No,0.4647831320762634
136,No,0.4835425913333893
137,No,0.4595293700695038
138,No,0.48126140236854553
139,No,0.47151806950569153
140,No,0.49613121151924133
141,Yes,0.5112888216972351
142,No,0.47110283374786377
143,Yes,0.5321512818336487
144,Yes,0.5350357294082642
145,Yes,0.538727879524231
146,Yes,0.5463446974754333
147,Yes,0.5381221771240234
148,Yes,0.5419347286224365
149,Yes,0.5070549249649048
150,No,0.4865221381187439
151,Yes,0.5482827425003052
152,Yes,0.5689168572425842
153,No,0.5000673532485962
154,No,0.46511393785476685
155,No,0.45512962341308594
156,No,0.48546725511550903
157,Yes,0.5058596730232239
158,Yes,0.5123959183692932
159,No,0.489865779876709
160,Yes,0.5380772352218628
161,No,0.5030360817909241
162,Yes,0.5062813758850098
163,Yes,0.5091537833213806
164,Yes,0.5194454789161682
165,Yes,0.57713383436203
166,Yes,0.5292426347732544
167,Yes,0.5588494539260864
168,Yes,0.5790704488754272
169,Yes,0.5388637781143188
170,No,0.4849036931991577
171,Yes,0.5100137591362
172,Yes,0.5388118624687195
173,No,0.4218696355819702
174,No,0.41732272505760193
175,Yes,0.545600175857544
176,Yes,0.5819488167762756
177,No,0.4138798415660858
178,No,0.4715573489665985
179,No,0.43560272455215454
180,No,0.4906805455684662
181,No,0.432513564825058
182,No,0.4039182662963867
183,No,0.38337069749832153
184,No,0.40837860107421875
185,Yes,0.5189236402511597
186,Yes,0.5677143335342407
